Current Date:,10/31/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/30/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,DOWNTOWN SES,52,65,46,65,30,51,23,40,41,23,24,24,21,26,19,18,19,16,21,34,21,37,53,18,33,65,01
,EL CAJON LES,66,44,52,39,33,43,45,63,55,56,42,37,23,22,23,20,17,31,41,37,40,36,32,28,39,66,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4,4,6,8,8,6,8,37,31,23,27,23,18,18,14,15,8,26,23,13,11,14,12,13,15,37,07
,OTAY MESA DVN,15,7,43,51,32,18,27,25,47,20,19,13,13,14,15,14,17,20,24,70,10,22,22,28,24,70,19
,PENDLETON,9,9,9,9,8,8,9,13,45,12,14,12,13,13,15,19,16,13,15,11,9,10,11,10,13,45,08
14 VWSP MPH,ALPINE,.8,.7,1.4,1.8,2.4,2.1,1.0,.6,2.7,3.7,3.9,4.3,4.7,4.4,5.1,4.3,3.1,.6,1.3,.8,1.4,1.0,1.3,1.3,.0,5.1,14
,CHULA VISTA,.7,1.3,1.0,1.2,.7,.9,1.7,.8,1.2,1.7,3.7,4.8,5.2,4.4,5.4,5.4,3.9,.7,.2,.1,.5,.3,.4,.7,.0,5.4,14
,DOWNTOWN SES,.2,.1,.8,.3,1.6,.3,1.8,.5,.8,2.5,2.9,4.5,5.5,4.6,5.9,4.8,3.6,2.6,1.7,.8,.7,.4,.6,1.7,.0,5.9,14
,EL CAJON LES,.2,.2,.1,.2,.6,.2,.4,.2,.6,.4,1.6,3.3,6.0,6.1,5.4,4.8,5.0,1.4,.9,.2,.5,.3,.1,.5,.0,6.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
