Current Date:,5/4/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/3/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.042,C,C,.037,.037,.036,.038,.040,M,M,M,.061,.063,C,C,C,C,C,C,C,.038,.028,.025,.040,.063,13
,EL CAJON LES,59.4,59.2,59.2,59.2,59.1,59.1,59.0,60.2,61.9,64.6,66.9,67.0,68.6,69.2,69.4,67.5,66.2,63.3,60.1,58.2,57.0,55.8,54.8,54.0,61.6,69.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60.6,60.6,60.6,60.1,59.3,58.4,58.1,60.0,61.5,63.6,64.3,65.2,66.0,65.3,64.0,63.3,62.1,60.8,58.4,56.8,56.1,56.0,54.0,53.4,60.4,66.0,12
,OTAY MESA DVN,58.1,57.8,57.6,57.5,57.9,57.9,58.5,59.3,61.4,64.0,65.2,66.5,67.2,65.0,64.6,62.8,62.4,60.2,56.5,55.4,54.3,53.6,53.1,52.9,59.6,67.2,12
,PENDLETON,61.8,61.6,61.6,60.7,59.8,59.0,59.2,60.0,61.0,62.7,64.3,64.9,65.2,65.9,65.8,65.1,64.1,62.3,59.9,59.2,59.0,59.0,58.6,57.2,61.6,65.9,13
17 RELHUM %,ALPINE,98,99,98,98,97,95,93,86,81,71,65,58,58,55,55,57,61,68,79,86,90,94,94,94,80,99,01
,EL CAJON LES,76,75,74,72,71,74,80,74,67,59,57,58,55,53,51,54,56,62,68,73,77,81,84,86,68,86,23
,KEARNY MESA,78,77,76,82,87,90,88,80,73,69,68,66,64,64,66,67,70,74,79,84,86,87,87,89,77,90,05
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,748,748,748,748,748,747,747,747,746,746,746,746,747,747,748,748,748,748,747,748,06
,KEARNY MESA,749,748,748,748,748,748,749,749,749,749,749,749,748,748,748,748,748,748,748,748,749,749,749,749,748,749,00
19 SOLAR W/M2,EL CAJON LES,3,3,3,3,3,20,99,191,347,457,872,985,992,912,765,567,346,130,11,0,0,0,0,-1,280,992,12
,KEARNY MESA,0,0,0,0,1,13,77,251,364,686,773,933,1000,927,795,612,393,162,16,0,0,0,0,0,292,1000,12
25 NOY,EL CAJON LES,2.53,2.74,3.12,3.43,3.77,C,C,5.71,6.96,6.95,6.00,4.26,3.76,4.05,4.32,3.79,4.05,3.92,4.23,4.35,4.87,4.49,4.16,3.83,4.33,6.96,08
26 NOY-NO,EL CAJON LES,2.54,2.75,3.14,3.44,3.76,C,C,4.96,5.70,5.45,4.80,3.42,3.25,3.58,3.42,3.11,3.46,3.40,3.93,4.18,4.70,4.40,4.09,3.81,3.87,5.70,08
27 NO Trace,EL CAJON LES,.00,.00,-.01,-.01,.01,C,C,.75,1.25,1.49,1.19,.83,.51,.47,.89,.68,.59,.51,.29,.17,.16,.08,.06,.02,.45,1.49,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,12
29 CO Tr PPB,EL CAJON LES,171.1,173.8,C,C,C,191.5,202.4,215.0,244.5,244.6,216.1,178.4,175.2,178.5,182.0,182.5,180.8,184.7,192.9,198.5,208.2,205.6,196.3,184.9,195.5,244.6,09
BCarbon ug/m3,10TH AVE MARINE TERM,.16,.13,.14,.10,.10,.23,.12,.31,.33,.14,.20,.20,.19,.16,.17,.22,.21,.12,.20,.17,.14,.10,.09,.13,.17,.33,08
,ALPINE,.17,.19,.22,.25,.31,.42,.50,.74,.75,.71,.62,.47,.32,.27,.23,.25,.21,.24,.24,.24,.22,.25,.32,.30,.35,.75,08
,CHICANO PARK,.15,.12,.14,.15,.18,.24,.22,.22,.32,.24,.19,.16,.15,.20,.18,.16,.18,.15,.18,.15,.16,.14,.12,.11,.18,.32,08
,DOWNTOWN SES,.17,.13,.15,.15,.13,.14,.14,.16,.13,.10,.09,.11,.11,.15,.14,.12,.12,.11,.12,.16,.14,.13,.12,.14,.13,.17,00
,OCEANVIEW BLVD,.15,.21,.22,.18,.21,.36,.37,.30,.21,.17,.16,.18,.16,.18,.22,.19,.15,.16,.19,.22,.18,.18,.11,.11,.20,.37,06
,SAN YSIDRO,.52,.68,.27,.28,.29,.28,.39,.38,.34,.42,.21,.21,.20,.14,.13,.12,.14,.13,.15,.26,.63,2.01,2.45,1.66,.51,2.45,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
