,CARMEL MT RCH,.006,.006,C,C,.011,.008,.004,.006,.017,.015,.011,.011,.014,.014,.015,.016,.020,.023,.022,.032,.032,.031,.027,.024,.017,.032,19
,CHULA VISTA,.004,.004,C,C,.004,.005,.007,.006,.005,.005,.008,.006,.005,.004,.008,.010,.010,.016,.021,.030,.030,.029,.028,.027,.012,.030,19
,DOWNTOWN SES,.004,.004,C,C,.005,.006,.007,.007,.006,.006,.007,.006,.009,.010,.007,.007,.009,.014,.019,.018,.023,.027,.028,.028,.012,.028,22
,EL CAJON LES,.003,.002,C,C,C,.003,.003,.003,.004,.004,.004,.003,.003,.004,.005,.005,.008,.015,.028,.030,.025,.026,.025,.022,.011,.030,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,.004,.005,.005,.004,.004,.004,.005,.006,.007,.007,.007,.006,.005,.005,.006,.010,.009,.008,.011,.012,.014,.017,.007,.017,23
,OTAY MESA DVN,.004,.003,C,C,.002,.003,.003,.004,.008,.006,.004,.005,.006,.006,.006,.008,.010,.022,.045,.038,.027,.029,.030,.040,.014,.045,18
,PENDLETON,.006,.005,C,C,.005,.006,.012,.007,.005,.004,<,.002,.002,.002,.002,.002,.002,.004,.007,.016,.015,.018,.016,.011,.007,.018,21
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.003,.004,.006,.003,.002,.001,.001,<,.001,.001,.001,.001,.002,.000,.000,.001,.000,.000,.001,.006,08
,CARMEL MT RCH,.001,.001,C,C,.005,.004,.000,.004,.017,.014,.008,.007,.014,.014,.014,.014,.014,.008,.007,.013,.008,.009,.011,.008,.009,.017,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.002,.002,.001,.001,.002,.002,.000,.000,.000,.004,.009,.019,.024,.026,.004,.026,23
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.001,.002,.002,.003,.002,.004,.005,.003,.002,.002,.001,.001,.001,.002,.002,.005,.006,.002,.006,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.000,.002,09
,OTAY MESA DVN,.001,.001,C,C,.001,.001,.001,.001,.003,.002,.001,.001,.002,.002,.002,.002,.001,.004,.021,.010,.002,.004,.004,.024,.004,.024,23
,PENDLETON,.000,.000,C,C,.001,.000,.007,.003,.002,.001,<,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.002,.000,.001,.007,06
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.3,.2,.3,.6,.4,.3,.4,.5,.7,.7,.6,.5,.5,.7,1.1,.9,.9,.8,.7,.6,1.1,19
10 INTMP °C,ALPINE,28,27,28,27,28,28,28,27,26,25,25,25,24,<,24,24,24,25,25,25,26,26,26,26,26,28,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,24,25,24,24,25,25,25,24,24,25,25,25,25,25,25,24,24,24,25,24,24,24,25,04
,DOWNTOWN SES,24,24,24,24,23,24,24,24,23,23,M,22,22,22,22,22,22,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,24,25,25,24,24,25,25,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,22,22,22,22,22,22,22,22,23,24,25,26,25,25,26,26,26,25,24,23,23,22,22,24,26,12
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,24,24,25,25,25,25,25,26,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,<,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,11.0,7.7,7.3,6.3,6.6,7.1,5.1,3.7,1.1,-2.0,-.5,2.3,M,1.0,.8,5.6,7.0,10.3,7.9,8.3,4.7,3.8,4.5,2.5,4.8,11.0,00
,DOWNTOWN SES,1.2,7.9,7.2,7.0,6.2,6.3,5.6,6.1,5.5,3.8,4.2,4.3,3.7,3.8,3.6,3.7,4.7,8.0,6.5,6.3,10.9,10.6,12.7,9.0,6.2,12.7,22
,EL CAJON LES,8.4,6.6,12.1,11.6,8.0,6.2,6.2,5.7,9.9,7.9,M,8.0,5.6,3.4,2.8,4.9,9.2,14.1,9.8,15.1,19.1,18.0,16.8,12.8,9.6,19.1,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.0,3.1,.3,-.6,.1,1.3,3.9,2.8,10.1,7.4,5.1,5.7,3.9,7.2,5.2,7.0,4.5,11.8,23.8,17.8,18.9,12.2,12.7,22.5,7.9,23.8,18
,PENDLETON,6.6,11.9,8.5,7.8,9.5,7.5,9.4,10.7,M,5.3,5.9,6.6,3.9,3.1,5.1,1.4,1.9,5.1,4.8,3.7,4.3,7.4,8.4,7.3,6.3,11.9,01
12 VWDR °,ALPINE,115,115,107,47,358,44,86,166,197,259,275,256,267,<,310,300,339,90,83,87,77,69,99,93,0,358,04
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,4,71,65,59,33,26,26,38,38,299,M,285,307,296,308,326,335,348,338,341,343,344,355,54,0,355,22
,EL CAJON LES,121,112,73,46,12,92,84,75,331,310,326,315,329,315,263,286,298,351,135,260,110,191,148,177,0,351,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,10,88,90,67,58,341,6,25,7,330,349,329,337,310,311,325,328,334,323,346,331,328,326,9,0,349,10
,OTAY MESA DVN,4,2,16,41,16,52,18,12,279,314,317,318,302,290,290,289,280,165,136,121,359,10,11,122,0,359,20
,PENDLETON,48,40,54,64,51,30,54,42,55,255,<,243,264,277,284,287,307,328,322,354,33,35,48,47,0,354,19
13 SIGTHETA °,ALPINE,15,16,16,20,43,50,60,75,27,29,40,36,40,<,28,26,38,41,39,37,37,57,49,16,36,75,07
,CHULA VISTA,22,15,17,26,22,19,20,20,33,41,33,22,21,19,19,20,23,33,25,58,18,47,26,34,26,58,19
,DOWNTOWN SES,23,19,19,23,31,47,21,31,41,48,M,23,22,23,22,23,23,20,12,24,18,28,39,59,28,59,23
,EL CAJON LES,23,34,15,53,16,22,20,30,38,41,35,52,52,50,25,26,21,38,53,61,38,59,57,60,38,61,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,16,16,10,18,14,17,27,68,49,36,44,28,15,11,10,8,8,6,9,7,15,36,44,22,68,08
,OTAY MESA DVN,20,19,21,17,21,17,26,19,51,30,16,17,14,12,14,13,15,15,12,38,18,23,60,41,23,60,22
,PENDLETON,13,12,12,12,12,11,11,12,18,39,<,12,15,15,15,16,16,14,11,11,8,13,14,22,15,39,09
14 VWSP MPH,ALPINE,2.4,2.2,2.5,1.2,1.0,.8,.4,.7,1.5,2.9,2.4,2.9,3.1,<,3.8,3.2,1.3,1.2,1.5,1.7,1.0,.4,.3,1.9,.0,3.8,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.9,2.8,2.7,1.2,.5,.4,2.3,1.9,2.1,.8,M,6.4,6.2,7.4,8.2,7.1,4.5,2.9,3.7,1.7,.1,1.7,.0,.0,.0,8.2,14
,EL CAJON LES,2.0,.6,2.6,.6,1.8,1.7,2.4,1.6,1.7,2.4,3.0,1.8,1.6,1.8,5.1,4.4,3.0,1.1,.2,.3,.2,.3,.2,.3,.0,5.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.0,2.1,2.4,3.9,2.9,3.9,3.7,2.4,1.8,2.8,3.8,3.7,5.3,10.7,11.6,11.4,8.3,4.6,6.3,5.8,5.6,4.3,3.2,1.7,.0,11.6,14
,OTAY MESA DVN,3.9,3.0,3.1,4.1,2.9,3.7,3.1,2.5,.8,4.0,7.3,7.8,8.4,10.3,8.9,6.8,4.3,2.2,4.0,2.3,2.1,1.2,.3,1.5,.0,10.3,13
,PENDLETON,4.2,4.8,4.8,5.2,5.9,5.9,6.0,6.3,5.3,2.0,<,6.2,6.4,5.8,5.1,3.8,3.2,3.6,3.0,3.2,3.1,2.7,3.2,2.4,.0,6.4,12
15 SWSP MPH,ALPINE,2.5,2.4,2.6,1.6,1.9,1.3,.7,1.2,2.5,3.3,3.1,3.8,3.9,<,4.3,3.6,1.4,1.3,2.3,1.9,1.3,.5,.3,2.0,2.2,4.3,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,2.5,3.0,2.8,1.3,.5,.4,2.4,2.1,2.4,2.3,M,7.0,6.7,8.0,8.8,7.6,5.0,3.0,3.8,1.8,.1,1.8,.0,.0,3.2,8.8,14
,EL CAJON LES,2.3,1.2,2.8,.9,1.9,2.0,2.6,2.9,2.3,3.2,3.6,3.2,2.7,3.1,5.5,5.4,3.3,1.3,.4,.5,.2,.4,.7,.5,2.2,5.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.2,2.3,2.5,3.9,3.2,4.0,3.9,3.3,3.1,3.5,4.5,4.7,5.7,11.0,12.0,11.6,8.4,4.6,6.3,5.9,5.7,4.4,4.0,2.6,5.2,12.0,14
,OTAY MESA DVN,4.2,3.2,3.5,4.3,3.2,4.0,3.7,2.9,2.1,4.4,7.6,8.1,8.7,10.6,9.1,6.9,4.5,2.5,4.1,3.3,2.2,1.3,.8,2.0,4.5,10.6,13
,PENDLETON,4.4,4.9,5.0,5.4,6.1,6.1,6.1,6.4,5.6,3.5,<,6.3,6.7,6.1,5.3,3.9,3.3,3.7,3.1,3.3,3.2,2.9,3.3,2.6,4.7,6.7,12
16 AMBTEMP °F,ALPINE,49.1,48.5,48.4,48.8,48.5,48.7,48.9,53.8,59.5,61.3,64.7,68.5,72.2,<,75.8,74.6,70.6,69.2,68.0,67.4,69.3,70.4,69.9,70.0,62.0,75.8,14
,CARMEL MT RCH,58.7,58.9,58.7,58.1,57.9,57.5,57.0,58.3,59.2,61.9,65.9,69.4,72.2,72.0,69.0,67.2,65.0,64.2,64.5,62.9,61.5,61.2,60.2,59.6,62.5,72.2,12
,CHULA VISTA,61.7,59.7,60.0,60.8,61.1,60.7,60.9,61.1,61.7,64.0,66.9,67.9,68.6,68.2,67.6,67.8,68.0,66.2,64.4,63.0,61.9,60.6,59.6,58.4,63.4,68.6,12
,DOWNTOWN SES,61.8,61.0,60.4,61.0,61.6,61.7,62.0,61.9,62.8,65.2,M,68.6,69.9,68.9,68.2,67.9,66.4,65.5,64.7,63.9,63.1,62.3,61.0,60.1,63.9,69.9,12
,EL CAJON LES,58.1,58.8,59.3,59.1,59.1,58.8,58.4,58.2,59.9,62.4,66.7,70.5,74.5,78.3,78.7,75.0,70.7,68.4,66.0,64.2,62.1,60.1,58.7,57.1,64.3,78.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60.9,60.7,60.3,59.9,59.9,60.4,60.1,60.3,61.3,64.2,67.0,70.2,72.7,70.6,67.7,65.9,64.7,63.1,61.2,61.0,59.9,58.4,58.0,56.0,62.7,72.7,12
,OTAY MESA DVN,59.2,58.5,58.9,58.7,58.0,57.8,57.4,57.8,60.9,63.4,66.5,70.3,72.6,70.6,67.9,67.5,65.0,63.3,63.2,63.3,61.9,63.0,63.6,62.5,63.0,72.6,12
,PENDLETON,58.7,58.8,58.5,57.8,57.2,56.6,56.3,56.4,60.7,64.6,<,65.9,66.4,66.1,66.0,65.5,64.1,62.7,62.0,61.3,60.7,59.3,58.9,58.2,61.0,66.4,12
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,90,75,71,63,49,42,<,33,38,51,53,49,36,28,28,24,23,63,100,00
,EL CAJON LES,83,82,77,77,77,79,80,81,77,71,62,54,46,39,45,51,59,64,70,74,78,82,84,85,70,85,23
,KEARNY MESA,89,88,88,84,83,86,87,86,83,76,68,61,57,64,71,77,80,83,88,89,91,94,96,96,82,96,22
18 PRES mmHg,EL CAJON LES,754,753,753,753,753,753,753,753,753,753,753,752,751,750,750,750,750,750,750,751,751,751,751,751,752,754,00
,KEARNY MESA,754,754,753,753,753,753,754,754,754,754,753,752,751,751,751,751,751,751,751,751,751,751,751,751,752,754,00
19 SOLAR W/M2,EL CAJON LES,3,3,3,3,3,3,14,74,321,504,603,646,610,517,374,195,33,-2,-1,0,0,0,0,0,163,646,11
,KEARNY MESA,0,0,0,0,0,0,9,55,256,489,574,602,575,495,366,202,43,-1,-1,-1,0,0,0,0,153,602,11
25 NOY,EL CAJON LES,4.22,3.96,3.78,6.05,4.56,C,C,3.50,5.25,6.70,6.53,5.20,5.67,6.52,7.94,7.04,7.72,14.84,26.40,27.79,26.65,33.71,33.89,31.46,12.69,33.89,22
26 NOY-NO,EL CAJON LES,4.23,3.92,3.81,6.05,4.58,C,C,3.26,4.41,5.14,4.84,4.32,4.81,5.80,6.95,6.30,7.20,14.23,24.58,25.92,24.55,26.05,25.07,22.85,10.85,26.05,21
27 NO Trace,EL CAJON LES,.00,.03,-.02,.00,-.02,C,C,.23,.84,1.55,1.68,.87,.85,.72,.99,.74,.52,.60,1.82,1.86,2.09,7.66,8.81,8.60,1.83,8.81,22
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.1,.0,.0,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,13
29 CO Tr PPB,EL CAJON LES,209.9,194.6,C,C,C,177.6,180.3,187.2,223.4,225.1,215.0,206.3,208.8,227.4,262.9,258.8,268.4,383.9,562.8,679.5,606.0,714.7,795.9,717.5,357.4,795.9,22
BCarbon ug/m3,10TH AVE MARINE TERM,.13,.35,1.14,.77,.34,.29,.23,.25,.27,.26,.28,.40,.21,.24,.28,.65,.32,.52,.71,1.05,1.04,.82,.86,1.21,.53,1.21,23
,ALPINE,.38,.35,.25,.26,.34,.34,.69,.74,.52,.38,.33,.31,.29,.22,.23,.25,.46,.85,.58,.24,.15,.14,.07,.05,.35,.85,17
,CHICANO PARK,.17,.24,.29,.27,.36,.46,.54,.49,.41,.55,.49,.47,.43,.37,.36,.43,.46,.76,.78,.78,.95,.93,1.08,1.51,.57,1.51,23
,DOWNTOWN SES,.18,.26,.34,.29,.32,.30,.33,.28,.28,.35,.42,.35,.43,.47,.40,.39,.42,.62,.79,.71,.87,.95,1.19,1.33,.51,1.33,23
,OCEANVIEW BLVD,.16,.23,.23,.21,.25,.30,.31,.25,.25,.34,.46,.42,.41,.41,.35,.36,.45,.64,.86,.81,.96,1.48,1.54,1.15,.53,1.54,22
,SAN YSIDRO,.24,.16,.14,.10,.13,.22,.24,.22,.28,.22,.33,.31,.26,.22,.23,1.46,.32,.84,1.23,1.91,1.66,3.24,5.08,5.03,1.00,5.08,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
