10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,23,24,23,24,24,24,24,24,24,24,24,25,25,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,24,25,25,24,25,24,25,25,25,25,25,25,24,24,25,24,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,25,26,26,26,26,27,27,27,27,27,27,00
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,-49,P,,,21,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.5,3.0,3.6,.8,3.6,7.1,6.2,11.4,10.0,8.2,18.0,14.7,19.7,11.8,12.2,11.5,12.0,7.9,11.3,11.1,11.0,13.6,12.3,13.0,9.8,19.7,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14.5,14.4,17.0,16.6,14.1,17.6,17.8,20.3,23.4,25.1,22.4,12.3,13.8,11.4,15.7,9.8,12.5,15.4,11.3,12.5,11.8,17.1,18.0,14.4,15.8,25.1,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,18.9,23.6,29.5,35.9,37.0,32.7,31.3,26.7,24.0,24.6,16.5,17.1,12.0,14.5,15.0,12.3,16.0,10.1,14.5,10.6,12.0,13.0,9.7,10.4,19.4,37.0,04
,PENDLETON,8.7,11.5,11.2,11.2,15.7,16.5,12.9,14.7,12.1,8.2,10.1,8.3,7.6,8.2,8.5,10.3,9.5,13.0,10.1,M,M,,,,10.9,16.5,05
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,301,322,354,318,306,355,327,277,251,235,256,260,260,252,256,262,282,307,314,325,339,40,339,58,275,355,05
,CHULA VISTA,152,161,177,199,202,180,199,200,249,249,257,248,258,264,257,251,259,247,253,248,240,233,260,214,227,264,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,180,163,104,100,96,93,85,62,357,317,274,252,247,243,258,254,257,239,226,215,194,191,185,178,199,357,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,142,170,120,121,120,122,125,120,185,237,209,226,239,235,236,268,253,271,283,275,291,268,271,31,201,291,20
,OTAY MESA DVN,216,180,144,137,144,159,111,205,186,163,284,298,289,292,286,291,293,283,295,288,327,351,26,30,220,351,21
,PENDLETON,138,115,122,120,95,98,104,163,200,214,236,256,259,260,259,258,252,251,248,244,256,P,,,198,260,13
13 SIGTHETA °,ALPINE,18,31,29,27,23,46,25,35,35,37,42,41,36,31,27,33,27,25,23,22,15,38,31,39,31,46,05
,CHULA VISTA,33,42,33,29,25,33,38,54,49,30,25,27,26,25,23,22,27,23,21,21,17,21,44,34,30,54,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,42,29,24,15,17,16,23,68,46,59,58,36,26,28,24,23,24,23,20,17,16,15,15,20,29,68,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,20,21,13,11,12,15,20,29,38,40,35,20,20,24,21,19,25,15,11,8,10,4,5,27,19,40,09
,OTAY MESA DVN,45,46,48,26,37,54,25,47,78,58,42,17,22,20,19,16,15,17,13,11,15,27,12,15,30,78,08
,PENDLETON,14,14,13,14,15,17,24,22,18,16,15,11,12,12,11,12,14,14,16,14,10,P,,,15,24,06
14 VWSP MPH,ALPINE,.5,.7,1.4,1.5,1.4,1.0,2.0,1.7,2.6,3.3,3.5,4.1,5.2,5.7,5.5,5.1,4.5,4.2,3.0,1.8,1.8,.5,1.0,.2,2.6,5.7,13
,CHULA VISTA,1.8,1.8,1.9,1.7,2.1,1.9,1.9,.9,3.0,4.9,7.0,6.4,6.5,6.5,6.8,6.3,4.9,4.4,3.9,3.2,1.6,1.1,1.0,.7,3.4,7.0,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.0,2.2,2.9,3.5,3.1,3.7,3.3,.2,1.4,1.5,2.5,5.5,6.4,5.7,6.5,6.4,5.6,4.6,4.2,3.6,2.7,2.2,2.1,1.8,3.5,6.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.2,4.4,4.6,4.6,4.0,3.9,3.9,5.0,3.5,4.5,5.1,8.3,7.9,7.5,7.8,7.9,5.8,5.8,6.3,4.9,2.6,3.9,2.8,1.1,5.0,8.3,11
,OTAY MESA DVN,.9,1.4,2.0,2.8,1.3,1.1,2.4,1.7,1.4,2.1,7.8,8.9,8.0,7.6,9.1,8.8,7.5,6.3,6.0,4.5,3.2,1.8,2.3,2.1,4.2,9.1,14
,PENDLETON,4.7,4.7,4.6,3.5,4.3,4.1,3.4,4.3,6.3,7.5,8.4,8.7,7.4,7.3,7.3,6.5,6.3,5.7,4.4,4.2,.0,P,,,5.4,8.7,11
15 SWSP MPH,ALPINE,.6,1.0,1.5,1.7,1.6,1.4,2.2,2.4,3.3,4.0,4.4,5.2,6.1,6.5,6.1,6.0,5.0,4.6,3.2,1.9,1.9,.9,1.1,.9,3.1,6.5,13
,CHULA VISTA,2.1,2.3,2.2,1.9,2.3,2.4,2.3,2.1,3.9,5.4,7.6,7.1,7.2,7.2,7.3,6.7,5.5,4.8,4.2,3.4,1.7,1.2,1.2,1.1,3.9,7.6,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.5,2.7,3.2,3.6,3.2,3.8,3.6,2.3,2.5,2.9,3.9,6.7,7.0,6.5,7.1,6.9,6.2,5.0,4.5,3.8,2.9,2.5,2.2,2.0,4.1,7.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,4.7,4.8,4.7,4.1,4.0,4.1,5.6,4.6,5.8,5.9,9.1,8.4,8.1,8.4,8.4,6.4,6.4,6.5,5.0,2.8,3.9,2.8,1.9,5.4,9.1,11
,OTAY MESA DVN,1.7,2.1,2.6,3.1,1.6,1.7,2.8,2.6,2.9,3.5,8.7,9.3,8.7,8.0,9.7,9.2,7.8,6.6,6.1,4.6,3.6,2.3,2.4,2.2,4.7,9.7,14
,PENDLETON,4.9,4.9,4.7,3.8,4.4,4.3,3.8,5.0,6.7,7.8,8.9,8.8,7.6,7.5,7.5,6.7,6.5,5.9,4.6,4.3,.1,P,,,5.7,8.9,10
16 AMBTEMP °F,ALPINE,53.8,53.7,52.8,53.5,53.6,53.6,54.4,58.8,64.7,69.8,75.2,78.9,81.4,81.3,79.9,78.7,75.8,72.1,68.0,63.4,60.3,58.9,57.6,56.1,64.8,81.4,12
,CARMEL MT RCH,61.1,61.0,61.2,61.0,60.9,61.3,62.4,64.5,66.6,71.0,75.4,75.7,75.3,76.0,76.1,74.8,73.5,70.7,67.3,64.0,62.4,61.7,61.2,60.3,66.9,76.1,14
,CHULA VISTA,63.4,63.3,63.6,63.7,63.8,64.0,64.6,66.2,68.8,70.2,69.4,69.7,70.2,69.8,68.9,68.7,68.0,67.0,65.6,64.3,63.9,63.8,64.0,64.2,66.2,70.2,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,61.2,61.0,61.2,60.9,61.0,61.3,62.1,64.0,67.9,71.8,76.0,77.5,77.1,77.0,77.1,76.0,75.2,73.2,69.9,66.2,63.9,62.9,61.9,61.8,67.8,77.5,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.6,63.4,63.6,63.4,63.5,63.9,64.9,67.1,68.9,70.3,72.4,73.3,72.4,72.9,72.9,72.1,71.5,70.7,67.5,64.2,63.1,62.7,62.4,60.6,67.1,73.3,11
,OTAY MESA DVN,61.7,61.6,61.8,61.9,61.8,61.8,62.8,66.1,69.9,73.3,75.1,72.8,74.2,74.2,74.2,72.3,70.5,69.4,66.5,63.6,62.6,61.5,61.3,61.2,66.8,75.1,10
,PENDLETON,65.7,65.7,65.3,65.3,65.3,65.3,65.6,66.3,68.2,69.5,69.9,70.0,70.1,70.1,70.5,70.6,70.4,69.8,68.1,66.6,-56.4,P,,,62.0,70.6,15
17 RELHUM %,ALPINE,96,97,97,98,98,98,97,83,65,53,43,39,37,37,39,41,46,51,60,71,82,85,89,92,71,98,03
,EL CAJON LES,82,82,81,81,80,79,76,71,63,56,49,49,50,50,49,50,51,55,62,71,78,80,83,84,67,84,23
,KEARNY MESA,78,77,77,77,77,76,74,68,64,63,60,58,60,58,58,59,60,62,70,77,82,84,86,88,71,88,23
18 PRES mmHg,KEARNY MESA,745,745,744,744,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,745,746,746,746,746,745,746,20
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,2,38,124,535,644,842,959,1016,1016,960,845,680,481,262,65,0,0,0,0,0,353,1016,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,.2,.2,.2,.2,.2,.2,.2,.2,.1,.1,.1,.0,.0,.0,.1,.2,10
29 CO Tr PPB,EL CAJON LES,138.3,144.2,C,C,C,174.7,202.6,214.5,228.9,229.1,,,188.6,199.9,193.6,186.1,,,205.4,212.0,203.1,224.0,,,196.3,229.1,09
