Current Date:,4/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.038,.035,.040,.035,M,M,M,M,M,M,M,M,M,.043,.040,.040,.040,.039,.039,.038,.038,.043,17
,PENDLETON,52.9,50.8,51.9,51.1,50.7,50.6,52.7,57.7,61.2,62.4,63.3,64.3,65.6,66.0,65.6,65.1,64.5,62.5,60.1,59.6,59.7,59.9,59.9,60.1,59.1,66.0,13
17 RELHUM %,ALPINE,80,80,79,78,78,82,93,75,64,45,38,37,36,36,40,48,58,68,85,90,95,93,95,97,70,97,23
,EL CAJON LES,78,74,76,79,78,80,73,67,60,45,41,39,36,34,38,46,52,59,65,73,71,72,75,76,62,80,05
,KEARNY MESA,92,92,94,95,95,93,86,78,68,54,48,39,39,50,59,66,72,74,84,85,83,84,89,91,75,95,03
18 PRES mmHg,EL CAJON LES,750,750,749,749,749,750,750,750,750,750,750,750,749,749,749,749,749,749,749,750,750,750,750,749,750,750,00
,KEARNY MESA,751,751,751,750,751,751,751,752,752,752,751,751,751,751,751,751,750,750,750,751,751,751,751,751,751,752,07
19 SOLAR W/M2,EL CAJON LES,-1,0,0,0,0,32,191,433,646,826,947,994,975,887,745,563,337,110,5,2,3,2,1,2,321,994,11
,KEARNY MESA,0,0,0,0,0,33,202,411,660,833,952,1012,990,913,781,572,343,152,7,0,0,0,0,0,328,1012,11
25 NOY,EL CAJON LES,3.64,2.85,3.18,2.98,4.82,C,C,3.68,4.00,4.26,4.18,4.02,4.19,3.45,2.83,2.70,2.45,2.15,2.75,2.16,1.67,1.79,1.81,1.69,3.05,4.82,04
26 NOY-NO,EL CAJON LES,3.63,2.82,3.16,2.97,4.71,C,C,2.77,3.00,3.25,3.35,3.35,3.60,2.78,2.23,2.24,2.04,1.83,2.38,1.99,1.55,1.72,1.76,1.67,2.67,4.71,04
