,DOWNTOWN SES,.002,.002,C,C,.003,.006,.007,.009,.008,.007,.006,.003,.002,.002,.004,.004,.005,.009,.009,.012,.025,.013,.018,.015,.008,.025,20
,EL CAJON LES,.004,.004,C,C,C,.006,.011,.006,.006,.003,.004,.004,.002,.002,.002,.004,.009,.013,.009,.006,.010,.019,.012,.014,.007,.019,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,,,,,.006,.005,,.005,.005,.005,.002,,.003,.002,.002,.004,,,.013,.009,.007,,<,.005,.013,19
,OTAY MESA DVN,.002,.002,C,C,.001,.006,.012,.004,.005,.002,.003,.001,.001,.001,.002,.003,.007,.016,.005,.003,.005,.004,.004,.004,.004,.016,17
,PENDLETON,.000,.002,C,C,.004,.005,.010,.008,.006,.004,.003,.001,.002,.001,.000,.000,.002,.004,.006,.005,.005,.006,.005,.003,.004,.010,06
04 NO PPM,ALPINE,C,C,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,04
,CARMEL MT RCH,.002,.002,C,C,.002,.002,.001,.001,.002,.003,.002,.006,.007,.006,.005,.006,.008,.004,.003,.005,.004,.003,.004,.005,.004,.008,16
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.002,.001,.000,.000,.001,.000,.000,.000,.000,.001,.002,.001,.001,.001,.001,.002,10
,EL CAJON LES,.000,.000,C,C,C,.000,.002,.000,.001,.000,.001,.001,.001,.000,.001,.001,.001,.002,.000,.000,.000,.001,.001,.001,.001,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,,,,,.000,.000,,.001,.001,.001,.000,,.000,.000,.000,.000,,,.000,.000,.000,,<,.000,.001,08
,OTAY MESA DVN,.001,.001,C,C,.001,.002,.004,.002,.003,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.004,06
,PENDLETON,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.001,07
06 CO PPM,CARMEL MT RCH,.2,.1,C,C,C,.2,1.0,.6,.2,.3,.2,.3,.3,.3,.4,.4,.6,.5,.6,.6,.7,1.0,.6,.7,.5,1.0,06
10 INTMP °C,ALPINE,24,24,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,02
,CARMEL MT RCH,25,25,26,26,26,26,25,26,25,25,25,26,26,26,27,26,25,26,26,26,26,26,26,26,26,27,14
,CHULA VISTA,24,24,24,24,24,24,24,25,24,22,23,23,23,24,24,24,24,24,24,24,24,24,25,25,24,25,07
,DOWNTOWN SES,26,26,27,27,27,27,27,27,26,26,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,27,02
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,,,,,25,24,,24,24,24,24,,24,25,24,25,,,25,25,25,,<,25,25,00
,OTAY MESA DVN,26,26,26,26,27,26,26,26,26,26,27,27,27,27,26,26,26,26,27,27,27,27,27,27,26,27,04
,PENDLETON,24,24,24,24,24,24,24,23,23,24,24,25,25,25,26,26,26,26,26,25,25,25,25,24,25,26,14
11 PM2.5 µg/M3,ALPINE,.5,3.2,5.7,5.9,4.9,2.5,1.0,.4,-.8,-.5,-2.3,.7,6.5,5.1,3.1,1.7,.7,3.0,3.4,6.7,6.1,2.9,2.4,2.5,2.7,6.7,19
,DOWNTOWN SES,4.2,1.9,1.5,.9,1.1,2.6,.7,1.1,5.0,3.9,2.7,2.1,4.3,4.7,1.7,4.5,2.8,3.9,4.1,2.5,17.0,3.9,8.4,8.2,3.9,17.0,20
,EL CAJON LES,3.6,.7,1.3,3.3,2.4,3.3,3.8,3.2,3.6,2.6,3.9,5.5,2.5,.5,1.9,2.1,2.3,4.8,13.5,10.6,16.5,21.3,22.1,13.3,6.1,22.1,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.8,2.3,3.3,2.3,M,1.9,1.8,1.6,1.2,1.9,1.5,2.8,3.4,3.7,4.5,3.6,1.6,1.5,3.5,3.7,3.1,3.0,2.0,2.9,2.6,4.5,14
,PENDLETON,-1.4,-.4,2.1,1.1,-1.2,-1.6,1.0,1.1,2.9,1.8,-1.6,.7,-.4,-2.8,-1.7,-1.1,-.3,.5,.4,-.7,.3,.2,.2,1.5,.0,2.9,08
12 VWDR °,ALPINE,267,259,273,268,304,293,335,50,297,178,235,226,255,265,274,233,257,276,257,186,103,112,160,109,0,335,06
,CHULA VISTA,252,283,280,284,274,274,295,35,43,57,261,266,268,256,241,232,258,289,249,8,106,48,102,115,0,295,06
,DOWNTOWN SES,270,279,286,297,15,338,32,58,58,154,275,266,258,278,236,264,272,272,273,74,44,333,55,40,0,338,05
,EL CAJON LES,229,215,211,268,333,46,34,73,127,164,171,225,262,271,237,216,252,216,254,146,71,108,92,317,0,333,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,256,,,,,56,65,,126,148,208,259,,264,281,287,321,,,88,54,104,,<,0,321,16
,OTAY MESA DVN,311,294,344,350,290,56,139,303,344,351,273,283,293,272,250,257,228,229,20,32,40,113,53,81,0,351,09
,PENDLETON,275,305,351,47,352,55,100,93,79,92,58,328,331,254,265,295,322,52,63,46,46,60,63,43,0,352,04
13 SIGTHETA °,ALPINE,30,31,30,30,31,28,46,57,36,26,25,25,29,28,27,27,31,21,49,27,50,35,28,15,32,57,07
,CHULA VISTA,21,21,18,16,23,34,31,44,28,55,29,20,20,20,21,21,19,25,21,19,17,56,40,50,28,56,21
,DOWNTOWN SES,25,22,25,27,68,44,45,31,36,43,47,28,22,22,24,23,29,28,38,26,37,32,16,37,32,68,04
,EL CAJON LES,22,20,15,26,66,41,21,56,44,43,31,24,20,22,21,22,21,16,48,19,48,41,53,49,33,66,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,,,,,61,9,,14,13,24,10,,12,14,15,11,,,38,26,48,,<,22,61,05
,OTAY MESA DVN,22,46,26,47,31,33,30,66,24,26,42,16,16,13,13,10,11,31,19,19,15,43,17,21,27,66,07
,PENDLETON,17,16,14,25,15,15,22,16,33,17,55,17,22,22,19,40,18,14,15,13,21,16,16,13,20,55,10
14 VWSP MPH,ALPINE,4.4,2.7,3.1,3.9,2.5,2.6,2.3,.4,1.7,2.9,4.3,5.1,6.1,5.9,6.1,4.9,1.4,1.3,.4,1.6,1.0,1.1,.5,.8,.0,6.1,12
,CHULA VISTA,5.7,6.4,7.6,8.4,6.5,6.7,5.4,3.4,4.0,1.0,5.4,9.2,8.6,7.8,7.7,5.2,4.0,3.8,3.1,1.6,2.8,1.2,2.7,1.6,.0,9.2,11
,DOWNTOWN SES,4.5,5.6,5.6,3.9,1.3,1.7,4.6,2.7,3.6,1.9,2.2,7.3,7.9,7.5,5.8,5.0,4.8,2.2,2.2,.6,1.4,.5,3.2,2.2,.0,7.9,12
,EL CAJON LES,2.1,1.9,2.8,2.2,.8,.3,3.0,1.7,1.6,3.4,2.6,6.6,9.0,8.5,7.5,4.9,2.5,2.1,.4,4.3,1.1,.6,1.4,.3,.0,9.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,7.5,,,,,1.4,5.1,,4.3,6.3,4.4,14.6,,11.1,10.7,7.6,3.1,,,1.5,3.2,1.8,,<,.0,14.6,11
,OTAY MESA DVN,5.5,.8,2.5,.3,6.1,1.3,2.3,2.9,3.3,3.8,3.1,10.3,10.7,11.2,10.6,7.5,4.5,2.4,3.4,3.6,3.3,1.9,2.9,2.0,.0,11.2,13
,PENDLETON,8.0,10.2,4.6,2.9,4.5,4.0,3.4,4.2,4.3,5.5,1.9,7.1,4.9,8.2,7.5,1.7,4.7,4.8,5.6,6.3,4.7,4.1,4.6,6.0,.0,10.2,01
15 SWSP MPH,ALPINE,5.0,3.1,3.5,4.7,3.0,3.1,3.1,1.1,3.0,4.0,4.9,5.6,6.8,6.6,6.7,5.9,1.7,1.5,.5,2.1,1.5,1.2,1.1,.9,3.4,6.8,12
,CHULA VISTA,6.3,6.9,8.0,8.7,7.4,7.3,7.9,5.1,4.4,2.1,6.6,9.7,9.1,8.3,8.3,5.5,4.4,4.5,3.6,2.4,2.9,2.2,3.2,2.2,5.7,9.7,11
,DOWNTOWN SES,4.9,6.1,6.1,4.9,2.8,3.9,5.4,3.4,4.3,3.0,4.5,8.3,8.5,8.2,6.3,5.6,5.7,2.7,2.9,1.6,2.6,2.0,3.4,2.8,4.6,8.5,12
,EL CAJON LES,2.8,2.4,3.1,3.5,1.4,1.8,3.4,2.3,2.8,4.0,3.9,7.7,9.5,9.1,8.8,5.5,2.7,2.2,2.1,4.6,1.9,2.3,2.1,1.0,3.8,9.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7.8,,,,,2.4,5.2,,4.5,6.5,6.9,14.9,,11.3,11.9,7.9,3.6,,,2.3,3.9,2.7,,<,6.6,14.9,11
,OTAY MESA DVN,5.9,3.4,3.4,1.8,7.7,2.9,2.6,5.0,4.6,4.2,3.8,10.8,11.2,11.5,10.9,7.7,4.7,3.0,4.2,3.9,3.5,3.3,3.4,2.9,5.3,11.5,13
,PENDLETON,8.5,11.7,5.0,3.4,5.3,4.3,4.1,4.4,5.7,5.7,4.4,7.5,5.3,9.8,8.7,2.8,7.1,5.1,5.8,6.5,5.1,4.3,4.8,6.1,5.9,11.7,01
16 AMBTEMP °F,ALPINE,43.4,42.4,42.0,41.5,40.7,39.7,39.1,39.3,39.6,40.9,43.6,46.1,48.0,46.6,46.5,45.4,44.2,43.0,42.7,42.7,42.4,42.6,42.8,42.8,42.8,48.0,12
,CARMEL MT RCH,48.1,46.7,47.6,45.5,44.0,43.5,43.4,43.7,45.3,47.4,49.9,52.6,53.8,54.4,51.7,53.2,52.3,50.8,49.0,47.5,47.3,46.9,45.5,45.2,48.1,54.4,13
,CHULA VISTA,51.5,52.1,52.6,52.8,50.5,51.1,51.6,48.5,49.6,50.1,55.2,57.6,57.9,57.0,56.3,56.5,56.4,55.0,53.2,51.8,50.9,50.6,50.5,50.0,52.9,57.9,12
,DOWNTOWN SES,53.3,53.0,53.1,53.0,49.5,50.1,47.7,47.6,48.9,50.1,55.5,58.3,57.7,58.3,54.7,56.9,56.3,54.9,54.1,51.9,51.0,50.9,49.4,49.2,52.7,58.3,11
,EL CAJON LES,48.6,47.5,47.0,47.5,46.7,45.7,45.3,45.3,46.3,47.2,52.3,55.1,55.5,57.0,54.9,54.0,52.9,50.9,49.9,48.1,47.5,46.7,45.9,45.0,49.3,57.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,50.4,,,,,46.3,45.1,,47.3,48.9,52.7,56.3,,56.3,56.0,55.8,53.5,,,50.0,48.8,48.9,,<,51.2,56.3,11
,OTAY MESA DVN,49.2,48.3,48.8,48.6,46.8,46.7,46.8,47.7,49.0,49.2,51.9,54.1,54.6,54.8,52.5,53.6,52.2,51.8,50.1,49.8,50.0,49.3,49.2,49.3,50.2,54.8,13
,PENDLETON,54.2,52.1,48.7,48.1,47.3,46.9,46.8,47.2,48.5,52.0,54.5,54.4,55.0,56.3,56.3,56.2,54.9,50.9,50.2,48.6,47.3,47.1,47.4,46.5,50.7,56.3,13
17 RELHUM %,ALPINE,96,96,96,95,95,95,95,95,93,93,90,83,77,73,71,82,90,92,92,92,92,92,91,91,90,96,00
,EL CAJON LES,88,91,89,83,87,92,92,91,90,88,81,66,56,50,59,68,69,77,79,88,90,93,94,95,82,95,23
,KEARNY MESA,81,,,,,92,93,,93,91,79,59,,58,59,62,70,,,85,90,89,,<,79,93,06
18 PRES mmHg,EL CAJON LES,741,741,741,741,742,743,744,745,746,747,747,747,747,747,748,748,748,749,749,750,750,751,751,751,746,751,21
,KEARNY MESA,738,,,,,740,741,,743,744,745,745,,745,746,746,746,,,748,748,748,,<,745,748,19
19 SOLAR W/M2,EL CAJON LES,2,1,1,1,2,2,7,49,160,203,534,511,397,416,232,133,12,0,1,1,-1,2,-1,1,111,534,10
,KEARNY MESA,0,,,,,0,9,,155,340,472,504,,244,199,176,14,,,0,0,0,,<,151,504,11
25 NOY,EL CAJON LES,3.36,3.83,2.72,3.24,3.65,C,C,6.36,5.98,3.27,3.28,3.93,3.02,2.55,3.02,4.29,9.33,13.90,9.57,5.86,10.17,20.87,12.69,14.75,6.80,20.87,21
26 NOY-NO,EL CAJON LES,3.25,3.56,2.48,3.18,3.52,C,C,6.02,5.37,2.70,2.43,2.83,2.39,2.09,2.42,3.47,8.57,12.76,9.24,5.70,9.93,19.78,12.22,13.62,6.25,19.78,21
27 NO Trace,EL CAJON LES,.11,.26,.24,.05,.12,C,C,.33,.61,.57,.85,1.09,.63,.45,.59,.82,.76,1.14,.33,.15,.23,1.09,.46,1.12,.54,1.14,17
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,183.7,180.9,C,C,C,156.7,181.0,177.3,188.8,146.2,213.5,188.8,164.3,162.2,168.9,187.9,244.8,342.4,290.1,264.3,366.2,534.7,436.2,404.2,246.8,534.7,21
BCarbon ng/m3,DOWNTOWN SES,24.3,25.7,18.2,41.1,92.0,139.5,190.3,193.6,207.8,185.8,202.4,104.8,83.7,61.4,167.7,144.1,106.1,195.8,282.9,433.7,1360.0,270.9,735.4,928.0,258.1,1360.0,20
