Current Date:,2/14/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.5,51.8,51.5,50.6,51.0,51.1,50.9,52.3,57.0,60.0,61.8,62.0,62.8,63.2,62.8,62.1,60.7,59.7,58.2,56.6,55.6,55.6,56.1,56.3,56.7,63.2,13
,OTAY MESA DVN,52.1,52.6,52.6,52.2,49.2,50.6,51.6,52.5,55.8,60.5,62.0,63.4,63.3,63.2,62.4,61.1,60.6,59.4,57.6,57.1,56.2,56.3,57.0,56.8,56.9,63.4,11
,PENDLETON,50.7,51.1,49.1,48.3,48.8,48.1,47.4,49.0,53.7,59.2,62.8,63.1,62.5,62.3,62.7,61.8,61.1,59.8,58.8,57.6,57.1,55.4,54.3,54.8,55.8,63.1,11
17 RELHUM %,ALPINE,89,92,92,88,84,79,73,75,67,56,51,48,46,47,50,50,54,65,70,73,72,65,59,61,67,92,01
,EL CAJON LES,76,76,79,80,80,80,84,83,65,47,40,40,39,41,41,44,52,59,61,66,67,64,65,68,62,84,06
,KEARNY MESA,85,85,84,87,86,86,83,77,62,48,42,43,44,44,46,49,53,54,59,63,66,66,65,64,64,87,03
18 PRES mmHg,KEARNY MESA,748,749,749,749,749,749,750,750,751,751,752,752,751,751,751,751,752,752,752,752,752,752,752,752,751,752,10
19 SOLAR W/M2,KEARNY MESA,1,1,1,1,1,1,8,122,356,579,653,496,702,751,570,378,169,27,1,1,1,1,1,1,201,751,13
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.0,.0,.0,.0,.1,.1,.1,.1,.1,.0,.0,.0,.1,.1,.0,.0,.1,08
29 CO Tr PPB,EL CAJON LES,252.0,223.7,C,C,C,253.6,341.9,477.5,349.8,178.2,144.7,136.1,146.9,202.7,199.1,202.2,196.1,198.3,268.8,296.0,342.7,383.2,413.0,276.5,261.0,477.5,07
