,CARMEL MT RCH,26,26,26,26,27,27,27,26,26,26,26,25,26,26,26,26,25,26,25,26,25,26,26,26,26,27,04
,CHULA VISTA,27,27,27,24,24,24,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,24,25,27,00
,DOWNTOWN SES,27,26,27,26,26,26,27,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,EL CAJON LES,26,27,26,26,26,26,26,26,26,27,26,27,27,26,26,26,26,26,27,26,26,27,27,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,26,25,25,25,26,26,26,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,01
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,24,23,22,24,25,25,26,26,26,26,26,26,26,26,25,26,00
,PENDLETON,27,27,27,27,26,27,27,26,27,27,27,27,27,26,26,26,26,26,26,26,26,27,26,26,27,27,00
11 PM2.5 µg/M3,ALPINE,.2,-.2,-1.0,-1.2,-.7,.9,2.2,1.3,1.3,3.4,.4,-1.5,-.2,1.9,2.3,2.2,2.7,.3,5.5,5.1,4.2,4.6,2.9,2.7,1.6,5.5,18
,DOWNTOWN SES,2.8,2.1,2.4,4.6,5.0,2.9,2.0,4.0,2.9,3.6,2.8,3.6,3.4,5.0,5.1,4.1,4.2,4.9,5.2,4.6,6.0,7.0,4.5,4.8,4.0,7.0,21
,EL CAJON LES,4.1,3.4,2.4,.9,-.6,1.4,4.5,2.2,3.5,4.0,4.1,5.7,7.7,6.1,4.1,2.8,3.2,5.0,8.6,6.1,12.1,12.7,12.5,9.3,5.2,12.7,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.0,2.1,2.0,.7,1.2,4.5,4.4,4.1,2.1,2.8,3.7,4.3,5.0,9.3,6.2,1.9,2.5,4.3,3.6,2.4,1.0,2.0,4.3,9.3,3.5,9.3,13
,PENDLETON,.9,3.1,3.1,5.7,5.5,3.5,1.8,3.9,2.9,1.7,1.1,.4,1.5,1.4,1.3,3.2,3.1,2.0,4.8,5.6,4.8,5.3,4.1,9.9,3.3,9.9,23
12 VWDR °,ALPINE,173,173,174,192,187,134,141,150,176,168,180,193,201,195,196,223,236,190,215,257,275,234,170,141,0,275,20
,CHULA VISTA,127,134,135,128,127,113,123,138,131,200,212,204,217,219,221,200,203,233,265,257,229,139,148,155,0,265,18
,DOWNTOWN SES,121,126,103,124,170,108,105,168,235,216,197,195,201,207,201,196,211,265,280,252,223,217,257,117,0,280,18
,EL CAJON LES,153,143,139,139,131,145,129,127,138,144,144,193,178,192,208,214,195,216,198,270,166,123,111,130,0,270,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,138,138,137,120,128,131,127,150,174,172,210,186,191,193,225,191,210,255,267,272,192,99,123,108,0,272,19
,OTAY MESA DVN,136,143,148,135,133,162,136,138,138,150,163,144,138,199,183,225,225,217,159,258,275,165,136,144,0,275,20
,PENDLETON,64,63,95,111,97,140,158,129,157,185,191,205,217,216,189,221,277,254,216,271,268,267,112,97,0,277,16
13 SIGTHETA °,ALPINE,16,18,17,22,17,12,14,14,15,13,17,20,23,21,22,23,29,24,23,27,24,40,47,27,22,47,22
,CHULA VISTA,12,13,12,11,30,24,13,16,20,25,21,24,22,22,21,18,24,21,21,19,27,12,12,32,20,32,23
,DOWNTOWN SES,19,21,41,36,22,15,16,29,23,19,19,18,19,19,19,20,19,21,18,29,31,17,20,36,23,41,02
,EL CAJON LES,17,12,44,22,12,20,12,13,16,27,23,19,22,23,22,21,23,23,26,19,21,10,28,16,20,44,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,9,13,10,8,9,10,29,22,19,15,13,13,13,14,18,16,12,8,20,21,8,14,10,14,29,07
,OTAY MESA DVN,12,12,14,11,10,16,11,13,13,14,16,15,15,15,17,17,34,11,14,25,21,12,12,12,15,34,16
,PENDLETON,9,24,12,15,13,20,17,11,14,18,18,15,14,12,17,31,21,22,17,39,14,22,19,32,19,39,19
14 VWSP MPH,ALPINE,3.5,3.4,4.0,3.3,4.2,3.3,4.1,4.7,5.4,6.2,5.0,6.1,6.0,6.1,4.4,3.8,4.2,2.5,2.6,3.2,2.9,.5,.9,1.4,.0,6.2,09
,CHULA VISTA,3.1,3.2,2.9,2.8,2.0,2.7,4.3,5.4,5.0,4.5,5.0,5.1,6.4,5.1,5.7,5.0,3.7,3.9,3.3,1.8,.2,1.5,1.6,.8,.0,6.4,12
,DOWNTOWN SES,3.5,3.5,2.1,1.5,3.7,3.4,4.3,2.6,4.4,7.4,6.4,6.3,6.4,5.9,6.4,6.1,5.8,3.6,3.6,1.8,.6,.9,1.9,.4,.0,7.4,09
,EL CAJON LES,4.3,3.6,1.7,2.5,4.4,2.4,5.1,5.7,4.2,3.2,4.5,6.1,3.9,3.8,4.5,6.0,4.4,3.1,1.5,2.4,.7,1.1,.6,2.2,.0,6.1,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.5,4.4,2.8,2.9,4.0,5.5,5.3,3.5,4.5,5.5,8.8,8.7,8.0,6.6,6.4,4.7,6.2,4.4,4.5,3.3,1.4,1.8,1.2,1.5,.0,8.8,10
,OTAY MESA DVN,4.7,4.9,5.6,5.7,7.3,5.3,7.3,6.7,8.4,6.1,7.0,7.9,6.4,5.8,5.4,4.6,2.0,5.8,4.0,1.3,.4,1.2,2.6,3.7,.0,8.4,08
,PENDLETON,3.6,2.8,4.7,4.4,4.5,4.1,7.8,6.5,5.2,5.6,6.1,7.2,6.8,6.2,2.1,1.5,.6,.1,.0,.8,2.2,1.0,.0,.0,.0,7.8,06
15 SWSP MPH,ALPINE,3.9,3.7,4.2,3.5,4.5,3.4,4.2,4.9,5.6,6.4,5.4,6.5,6.4,6.5,4.8,4.3,4.8,2.8,3.1,3.7,3.1,.8,1.5,1.5,4.1,6.5,11
,CHULA VISTA,3.2,3.3,3.0,2.8,2.9,2.9,4.5,5.7,5.3,4.9,5.4,5.7,6.9,5.5,6.1,5.6,4.2,4.2,3.5,1.9,.3,1.5,1.6,.8,3.8,6.9,12
,DOWNTOWN SES,3.7,3.7,2.5,2.3,4.0,3.6,4.5,4.7,5.1,7.9,6.8,6.6,6.8,6.2,6.8,6.5,6.5,4.0,3.8,2.2,.7,1.0,2.0,.6,4.3,7.9,09
,EL CAJON LES,4.5,3.7,2.4,2.9,4.5,2.8,5.3,5.8,4.4,3.6,5.2,6.4,4.3,4.3,4.8,6.4,4.7,3.6,1.8,2.6,.9,1.1,.7,2.4,3.7,6.4,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.6,4.5,2.9,3.0,4.2,5.6,5.4,4.8,5.1,6.9,9.2,9.0,8.3,6.8,6.7,4.9,6.5,4.7,4.6,3.4,1.6,1.9,1.3,1.5,4.9,9.2,10
,OTAY MESA DVN,4.8,5.0,5.9,5.8,7.5,5.9,7.5,6.9,8.7,6.3,7.3,8.1,6.7,6.8,5.7,6.3,2.4,6.0,4.1,1.9,.6,1.3,2.7,3.8,5.3,8.7,08
,PENDLETON,3.7,3.2,4.9,4.6,4.6,4.8,8.1,6.7,6.3,5.9,6.6,7.4,7.0,6.4,2.2,3.0,.7,.1,.0,.9,2.3,1.0,.0,.0,3.8,8.1,06
16 AMBTEMP °F,ALPINE,48.5,48.3,48.4,48.5,48.0,47.3,47.7,49.0,50.2,50.5,50.5,50.6,50.8,50.3,50.7,51.1,50.9,50.9,50.6,50.7,50.5,50.3,50.4,50.4,49.8,51.1,15
,CARMEL MT RCH,52.9,52.8,52.2,51.6,51.5,51.9,52.5,53.0,53.6,54.9,55.8,54.9,55.0,55.6,56.3,57.3,56.8,55.7,55.8,55.6,55.4,55.0,55.0,54.7,54.4,57.3,15
,CHULA VISTA,55.1,55.5,55.1,55.0,55.1,54.6,55.2,57.3,56.7,57.8,58.4,59.9,60.3,60.4,60.4,59.6,59.9,58.1,58.2,58.1,57.8,57.7,57.7,57.7,57.6,60.4,13
,DOWNTOWN SES,56.0,55.4,55.6,56.3,56.7,55.7,55.6,56.8,57.1,58.7,57.5,58.5,59.7,60.0,59.8,60.2,59.2,58.5,58.6,58.7,58.4,58.6,58.5,58.1,57.8,60.2,15
,EL CAJON LES,54.1,53.8,54.1,53.7,53.4,53.4,53.4,55.2,55.5,54.8,55.4,56.8,57.3,57.6,58.8,58.8,59.0,57.0,56.0,56.8,55.9,55.7,56.0,55.8,55.8,59.0,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.5,53.4,53.5,53.3,53.8,54.4,54.6,54.9,55.9,57.1,57.4,57.5,57.6,58.4,57.7,58.3,58.1,57.4,57.0,57.0,57.1,56.3,56.5,56.5,56.2,58.4,13
,OTAY MESA DVN,54.1,54.0,54.3,54.1,54.4,53.7,54.1,55.4,55.6,54.9,54.3,55.0,55.9,57.3,57.8,56.6,56.8,56.4,55.9,55.8,55.8,55.9,56.1,55.8,55.4,57.8,14
,PENDLETON,53.9,54.0,54.5,54.9,55.1,54.9,56.1,55.6,57.0,57.5,58.2,59.3,58.4,58.2,58.5,58.3,58.6,57.9,57.4,58.3,58.6,58.7,58.1,58.0,57.1,59.3,11
17 RELHUM %,ALPINE,97,98,99,99,99,99,99,98,93,92,94,96,96,97,98,99,99,98,99,100,100,100,100,100,98,100,19
,EL CAJON LES,90,92,93,94,93,96,96,90,90,95,95,91,89,88,82,80,80,90,97,94,96,97,96,98,92,98,23
,KEARNY MESA,97,97,96,97,97,96,96,96,93,91,90,87,89,87,92,90,90,95,95,94,92,97,97,97,94,97,00
18 PRES mmHg,EL CAJON LES,745,745,745,745,745,746,746,747,747,748,748,748,748,748,748,748,748,749,749,750,750,751,751,751,748,751,21
,KEARNY MESA,746,746,746,746,746,747,747,747,748,748,749,663,600,600,600,600,600,600,600,600,600,600,600,600,670,749,10
19 SOLAR W/M2,EL CAJON LES,1,1,2,0,1,3,53,140,112,102,220,310,116,126,179,166,129,11,2,2,1,2,2,2,70,310,11
,KEARNY MESA,0,0,0,0,0,1,21,37,167,260,204,216,159,123,104,147,39,24,0,0,0,0,0,0,63,260,09
25 NOY,EL CAJON LES,2.38,2.12,2.67,2.98,3.06,C,C,2.64,2.87,3.28,4.82,4.15,5.33,5.11,4.43,3.28,4.19,4.62,5.38,6.99,9.37,10.37,6.70,5.62,4.65,10.37,21
26 NOY-NO,EL CAJON LES,2.31,2.05,2.60,2.91,2.78,C,C,2.25,2.47,2.74,4.01,3.35,4.67,4.27,3.66,2.78,3.22,4.27,4.87,6.23,8.80,9.95,6.64,5.54,4.19,9.95,21
27 NO Trace,EL CAJON LES,.06,.06,.06,.06,.28,C,C,.38,.39,.54,.80,.80,.66,.83,.76,.50,.97,.35,.51,.76,.57,.42,.05,.08,.44,.97,16
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,M,M,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,153.4,142.6,C,C,C,171.8,170.3,160.5,164.5,M,C,C,M,M,188.8,185.2,191.3,200.9,269.8,255.2,371.3,370.4,289.1,230.3,219.7,371.3,20
BCarbon ug/m3,DOWNTOWN SES,.33,.19,.16,.23,.12,.26,.65,.63,.28,.17,.11,.13,.10,.12,.13,.15,.12,.19,.12,.16,.22,.25,.20,.22,.22,.65,06
RAINFALL,EL CAJON LES,.00,.00,.01,.00,.00,.04,.00,.00,.06,.26,.09,.00,.00,.00,.00,.00,.00,.03,.02,.00,.00,.00,.00,.02,.02,.26,09
