,DOWNTOWN SES,.000,.000,C,C,.000,.003,.007,.005,.004,.004,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.001,.007,06
,EL CAJON LES,.000,.001,C,C,C,.001,.002,.001,.001,.001,.001,.001,M,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.001,.003,.005,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,OTAY MESA DVN,.009,.000,C,C,.000,.001,.000,M,M,M,M,M,M,M,M,.001,.000,.000,.002,.001,.000,.000,.000,.000,.001,.009,00
,PENDLETON,-.001,-.001,C,C,-.001,.001,.000,.000,.001,M,M,.001,.001,.000,.000,M,M,M,M,M,M,M,M,M,.000,.001,05
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.2,.2,.2,.4,.4,.4,.4,.4,.4,.4,.3,.5,.3,.2,.2,.2,.2,.3,.5,18
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,27,26,26,25,25,25,25,25,26,26,26,26,26,26,26,26,27,09
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,22,22,22,22,22,22,22,22,23,24,25,25,25,26,26,26,26,26,27,26,24,23,23,23,24,27,18
,DOWNTOWN SES,27,26,26,27,27,27,27,27,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,26,25,25,25,25,25,25,26,18
,OTAY MESA DVN,24,24,25,25,25,24,24,25,25,23,22,22,22,24,25,25,25,26,26,26,26,26,26,26,25,26,17
,PENDLETON,27,27,27,27,27,27,26,26,26,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,26,27,00
11 PM2.5 µg/M3,ALPINE,-.5,2.8,1.9,1.4,3.6,2.4,-.3,-1.5,3.0,10.0,4.9,-.7,-.4,-.1,2.8,5.6,2.9,1.2,5.3,6.5,5.9,3.4,.7,-.3,2.5,10.0,09
,DOWNTOWN SES,4.7,2.9,2.4,2.5,2.9,4.8,6.3,10.5,6.8,5.8,4.9,3.6,,,3.8,3.6,4.2,4.8,4.3,8.4,8.2,7.1,9.5,6.1,5.3,10.5,07
,EL CAJON LES,1.8,4.2,4.0,2.5,2.9,2.4,8.5,5.6,3.0,4.2,-.4,3.3,6.3,5.3,3.3,5.2,3.4,3.3,8.4,12.0,13.2,8.3,4.4,2.1,4.8,13.2,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.9,4.9,2.5,6.0,5.7,3.5,1.7,3.1,3.4,4.4,8.5,6.3,4.1,1.4,2.3,2.2,.3,1.9,4.4,6.8,6.4,3.2,7.9,6.1,4.4,8.9,00
,PENDLETON,4.5,3.2,3.1,1.9,4.0,4.7,4.2,5.3,3.4,4.4,6.7,4.3,2.2,2.4,1.9,2.3,3.0,2.9,3.7,3.4,2.0,2.4,3.8,3.3,3.4,6.7,10
12 VWDR °,ALPINE,186,173,141,216,152,146,265,250,179,189,216,194,250,237,216,205,187,186,177,153,110,105,106,101,0,265,06
,CHULA VISTA,231,110,126,116,113,105,108,107,134,145,209,211,237,230,225,227,208,204,182,140,131,108,106,109,0,237,12
,DOWNTOWN SES,235,243,314,84,72,29,71,88,150,188,206,200,204,205,203,202,193,194,179,170,132,113,91,93,0,314,02
,EL CAJON LES,149,151,117,113,139,284,121,150,133,158,186,210,187,216,220,225,202,202,192,130,120,103,69,85,0,284,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,223,188,179,127,101,87,104,123,102,194,213,199,225,216,228,200,226,200,184,149,115,121,84,71,0,228,14
,OTAY MESA DVN,139,89,126,118,137,128,115,149,149,137,126,192,294,213,196,213,222,203,172,150,139,142,162,163,0,294,12
,PENDLETON,267,272,303,349,28,23,264,346,43,194,190,191,205,224,236,235,229,206,203,198,181,162,80,44,0,349,03
13 SIGTHETA °,ALPINE,28,15,33,36,43,25,48,29,47,47,34,34,M,27,26,24,22,20,20,17,11,10,13,15,27,48,06
,CHULA VISTA,34,36,16,38,13,34,34,14,18,29,38,26,35,23,24,24,25,22,17,12,13,13,13,12,23,38,03
,DOWNTOWN SES,20,24,49,13,20,42,17,17,29,25,28,23,21,23,21,20,19,19,16,17,20,15,15,17,22,49,02
,EL CAJON LES,23,28,39,23,61,47,48,13,22,24,19,22,18,25,22,24,20,17,23,12,11,27,41,11,26,61,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,36,29,23,19,45,23,26,20,27,35,22,23,15,16,15,19,23,12,10,12,12,11,8,9,20,45,04
,OTAY MESA DVN,38,11,17,11,12,16,42,18,14,18,21,38,18,20,18,15,11,16,13,12,12,12,13,20,18,42,06
,PENDLETON,22,25,27,34,45,16,60,32,20,29,19,20,18,14,16,16,17,16,16,23,34,36,18,20,25,60,06
14 VWSP MPH,ALPINE,3.4,5.2,2.1,.7,1.7,1.5,1.7,1.8,2.0,2.2,3.2,5.0,3.9,5.6,7.1,7.5,6.2,4.1,2.5,1.3,2.4,2.6,2.0,2.1,.0,7.5,15
,CHULA VISTA,3.7,1.6,4.2,3.3,4.4,3.1,2.8,3.7,3.6,2.0,3.7,6.0,5.6,8.6,7.6,7.0,6.8,4.5,3.2,2.4,3.0,2.5,2.4,2.4,.0,8.6,13
,DOWNTOWN SES,5.6,1.4,1.0,4.0,3.7,1.3,2.7,3.1,1.9,5.3,5.5,6.9,8.6,8.7,8.7,8.4,9.1,6.7,6.6,5.2,3.7,3.6,3.0,2.7,.0,9.1,16
,EL CAJON LES,3.6,4.9,1.5,3.0,3.5,.5,1.1,5.4,3.0,4.3,7.3,5.6,8.3,7.1,7.7,7.3,7.4,5.6,2.3,3.0,3.6,2.1,1.8,2.8,.0,8.3,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.6,2.9,.5,2.4,2.5,2.4,2.2,3.0,3.0,4.0,7.4,7.1,10.0,10.4,10.5,9.5,5.1,7.0,5.6,3.0,2.8,3.6,2.0,2.8,.0,10.5,14
,OTAY MESA DVN,2.7,2.5,5.3,4.8,7.1,6.8,1.9,2.1,4.5,4.9,4.9,2.0,6.5,9.0,9.4,7.9,9.2,6.9,4.3,3.5,6.1,6.0,3.0,2.3,.0,9.4,14
,PENDLETON,6.9,5.6,1.8,1.3,.1,1.7,3.2,1.0,3.3,2.0,4.9,9.0,9.1,9.5,8.9,8.0,5.4,4.6,4.2,3.6,1.3,2.2,2.6,4.3,.0,9.5,13
15 SWSP MPH,ALPINE,4.1,5.4,2.6,1.8,2.7,1.8,2.6,2.3,2.4,2.8,4.0,5.7,5.5,6.3,8.0,8.5,6.7,4.4,2.8,1.4,2.4,2.7,2.0,2.2,3.8,8.5,15
,CHULA VISTA,4.1,1.7,4.4,3.8,4.5,3.4,3.1,3.8,3.9,3.6,5.2,6.7,7.0,9.3,8.2,7.6,7.5,4.9,3.4,2.5,3.1,2.6,2.5,2.4,4.6,9.3,13
,DOWNTOWN SES,5.9,2.4,1.7,4.2,3.8,1.6,2.8,3.3,2.7,5.9,6.1,7.5,9.2,9.4,9.4,9.1,9.6,7.1,6.9,5.4,4.1,3.8,3.1,2.9,5.3,9.6,16
,EL CAJON LES,4.1,5.3,2.4,3.5,4.5,1.8,1.2,5.6,3.2,4.9,7.7,6.2,8.7,7.8,8.3,8.0,7.8,5.8,2.9,3.1,3.7,2.3,2.0,2.9,4.7,8.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,4.4,2.1,2.5,3.0,2.6,2.4,3.3,3.9,6.5,8.0,7.9,10.4,10.9,11.1,10.1,6.1,7.2,5.8,3.1,2.8,3.7,2.0,2.9,5.3,11.1,14
,OTAY MESA DVN,3.2,2.8,5.5,4.9,7.3,7.0,2.6,2.3,4.8,5.5,5.2,6.5,8.0,9.5,10.0,8.3,9.4,7.7,4.5,3.6,6.2,6.1,3.1,2.4,5.7,10.0,14
,PENDLETON,7.3,6.0,2.4,1.6,.2,1.7,4.9,4.5,3.6,2.2,5.4,9.6,9.7,9.8,9.3,8.3,5.7,4.7,4.4,3.8,1.7,4.7,2.8,4.6,5.0,9.8,13
16 AMBTEMP °F,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,50.6,52.3,51.1,49.5,47.7,47.0,46.3,45.7,44.7,44.4,44.5,47.6,52.3,14
,CARMEL MT RCH,49.2,48.4,48.0,48.3,48.5,48.3,48.7,50.4,52.5,55.5,56.6,57.6,56.3,57.9,59.5,58.3,55.5,54.5,53.4,52.8,52.1,51.7,51.3,51.1,52.8,59.5,14
,CHULA VISTA,52.9,52.0,50.8,50.5,50.8,51.0,50.9,51.7,54.8,56.9,58.6,58.2,59.7,61.2,61.0,60.6,59.1,57.7,56.3,54.9,54.2,53.5,53.6,53.5,55.2,61.2,13
,DOWNTOWN SES,54.7,52.4,53.4,51.2,50.7,51.3,51.1,52.6,56.2,58.7,59.5,60.9,61.5,60.9,60.8,60.4,59.6,58.5,57.1,57.2,56.6,55.2,54.5,54.3,56.2,61.5,12
,EL CAJON LES,49.0,49.1,48.7,48.1,48.1,48.0,48.1,49.9,53.2,56.2,59.2,57.9,57.3,59.1,60.2,59.9,59.2,56.7,54.5,53.0,52.1,51.0,50.3,48.4,53.2,60.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51.9,50.7,50.4,49.4,49.7,49.7,50.0,52.1,55.0,57.9,58.9,58.4,58.9,58.9,59.2,58.6,55.4,56.2,55.3,54.2,53.0,53.0,52.6,51.4,54.2,59.2,14
,OTAY MESA DVN,49.4,49.0,48.8,49.4,49.4,49.4,49.6,50.6,51.8,53.6,54.8,56.8,56.5,57.7,55.4,56.7,57.4,55.4,53.3,52.9,53.3,53.2,52.6,51.1,52.8,57.7,13
,PENDLETON,55.5,55.4,52.5,51.4,51.4,49.8,51.7,53.6,55.2,60.2,60.5,61.4,61.0,62.7,61.9,59.5,59.4,58.2,58.1,57.5,56.2,54.8,53.9,52.6,56.4,62.7,13
17 RELHUM %,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,68,68,67,68,69,69,69,69,69,69,69,69,69,17
,EL CAJON LES,94,91,91,96,93,96,98,95,87,77,60,66,67,61,56,54,58,66,70,76,79,84,82,86,78,98,06
,KEARNY MESA,83,88,90,94,94,94,94,91,84,67,56,62,58,60,62,66,80,73,75,78,84,87,90,90,79,94,03
18 PRES mmHg,EL CAJON LES,748,748,748,749,749,749,750,751,751,752,752,752,752,752,752,752,752,752,752,753,753,753,754,754,751,754,22
,KEARNY MESA,749,749,749,749,750,750,751,752,752,753,753,753,753,753,753,753,753,753,753,754,754,754,755,755,752,755,22
19 SOLAR W/M2,EL CAJON LES,1,2,2,2,1,3,41,146,306,641,1013,379,426,664,569,442,280,38,-2,-1,0,1,0,0,206,1013,10
,KEARNY MESA,0,0,0,0,0,1,63,203,376,764,651,432,320,349,410,307,122,69,1,0,0,0,0,0,170,764,09
25 NOY,EL CAJON LES,2.32,2.18,3.26,3.52,2.63,C,C,4.28,3.28,2.94,3.95,4.48,M,2.49,2.52,2.04,2.38,2.90,4.72,6.77,7.67,8.25,5.07,3.09,3.84,8.25,21
26 NOY-NO,EL CAJON LES,2.14,1.99,3.19,3.42,2.45,C,C,3.61,2.66,2.25,2.77,3.62,M,2.01,1.97,1.60,1.69,2.48,4.39,6.33,7.47,8.00,4.94,3.02,3.42,8.00,21
27 NO Trace,EL CAJON LES,.18,.18,.07,.10,.17,C,C,.66,.61,.68,1.17,.85,M,.48,.54,.44,.68,.42,.33,.43,.20,.25,.12,.06,.41,1.17,10
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,167.4,170.3,C,C,C,245.8,313.1,200.6,180.6,184.1,189.7,163.9,M,146.2,139.9,139.2,146.5,160.0,348.5,738.3,607.6,270.5,210.0,170.4,244.6,738.3,19
BCarbon ug/m3,DOWNTOWN SES,.10,.07,.17,.21,.34,.62,.91,.70,.41,.41,.20,.09,.06,.11,.08,.06,.07,.05,.09,.16,.41,.68,.69,.47,.30,.91,06
RAINFALL,EL CAJON LES,.04,.01,.02,.00,.00,.02,.00,.02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.04,00
