,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,73,58,59,56,51,45,66,270,192,219,246,232,240,238,225,232,240,212,220,160,153,140,196,202,168,270,07
,OTAY MESA DVN,24,44,113,9,103,37,132,148,234,226,281,281,277,289,272,266,293,272,218,210,156,157,149,169,182,293,16
,PENDLETON,,,,,,,,,,,201,219,238,213,213,235,234,206,198,176,161,168,162,143,198,238,12
13 SIGTHETA °,ALPINE,41,31,41,24,29,53,43,22,30,36,36,32,29,28,33,28,30,22,30,22,29,11,14,15,30,53,05
,CHULA VISTA,24,26,29,32,39,46,41,50,64,38,21,23,21,19,23,21,22,22,22,17,16,17,20,19,28,64,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,59,32,71,38,64,59,41,52,59,61,35,25,26,22,23,22,20,24,19,37,21,15,13,17,36,71,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6,5,8,8,6,14,27,57,32,35,25,20,15,18,18,14,13,15,13,12,13,10,12,12,17,57,07
,OTAY MESA DVN,61,28,27,24,55,34,20,31,59,40,20,21,16,15,20,20,14,11,12,12,10,11,10,14,24,61,00
,PENDLETON,,,,,,,,,,,18,18,18,20,16,16,17,15,16,15,12,16,15,13,16,20,13
14 VWSP MPH,ALPINE,.1,.0,.4,.4,.1,.0,.3,1.2,1.7,2.7,4.1,5.0,6.9,6.8,5.5,5.6,5.1,4.8,1.8,2.9,1.8,4.4,4.2,4.7,2.9,6.9,12
,CHULA VISTA,.8,1.6,.9,1.5,.8,1.0,.9,1.1,.3,3.0,6.1,7.3,7.6,7.5,6.0,7.0,6.5,4.7,4.4,5.1,3.7,5.1,5.2,4.2,3.8,7.6,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.4,1.3,.4,.7,.5,.8,.5,.7,.8,2.0,4.2,5.8,6.5,7.2,6.7,6.9,8.1,5.9,5.1,3.0,3.6,3.6,5.3,5.2,3.6,8.1,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,5.2,3.6,2.9,3.8,4.1,1.7,1.7,3.3,3.8,5.2,7.9,9.7,8.1,7.7,9.3,9.0,5.9,6.4,6.3,7.0,6.8,6.8,5.8,5.6,9.7,12
,OTAY MESA DVN,.9,2.6,2.8,4.0,2.5,1.3,2.4,2.1,1.4,3.3,7.8,7.9,10.5,9.6,6.7,7.0,9.7,7.1,4.3,6.2,6.7,7.1,7.4,6.6,5.3,10.5,12
,PENDLETON,,,,,,,,,,,6.0,6.4,5.6,5.6,5.7,6.8,5.7,5.5,6.0,6.2,6.5,5.3,5.6,6.7,6.0,6.8,15
15 SWSP MPH,ALPINE,.2,.0,.4,.4,.2,.0,.4,1.3,1.9,3.1,5.2,5.8,7.8,7.6,6.7,6.5,6.1,5.2,2.4,3.1,2.4,4.5,4.4,5.0,3.4,7.8,12
,CHULA VISTA,.8,1.7,1.2,1.7,.9,1.4,1.6,1.7,1.5,4.0,6.5,7.8,8.1,7.9,6.5,7.5,7.0,5.2,4.7,5.4,3.8,5.3,5.5,4.5,4.3,8.1,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.7,1.4,.8,1.8,1.3,1.2,1.0,1.5,1.7,3.1,5.1,6.5,7.2,7.7,7.2,7.4,8.6,6.5,5.4,3.6,4.1,3.9,5.5,5.6,4.1,8.6,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.1,5.3,3.7,3.0,3.8,4.2,1.9,2.2,3.8,4.5,5.9,8.4,10.1,8.5,8.1,9.6,9.2,6.2,6.5,6.6,7.2,6.9,7.0,5.9,5.9,10.1,12
,OTAY MESA DVN,1.2,3.3,3.1,4.2,3.2,2.0,2.8,2.9,2.3,4.1,8.3,8.6,11.2,9.9,7.2,7.5,10.0,7.2,4.5,6.5,6.8,7.2,7.5,6.8,5.8,11.2,12
,PENDLETON,,,,,,,,,,,6.4,6.7,6.0,6.0,5.9,7.1,5.9,5.7,6.4,6.4,6.7,5.5,5.9,6.9,6.3,7.1,15
16 AMBTEMP °F,ALPINE,53.0,51.7,52.3,53.4,53.7,54.5,56.9,60.9,63.9,118.4,86.5,140.0,140.0,117.1,74.0,110.1,82.9,57.3,52.8,51.5,50.8,49.6,49.1,50.1,72.1,140.0,11
,CARMEL MT RCH,53.0,51.4,50.5,50.5,50.5,50.7,53.4,57.7,63.0,66.8,69.5,70.9,70.4,69.2,68.9,68.8,64.0,61.3,58.9,57.4,56.0,55.3,55.5,56.0,59.6,70.9,11
,CHULA VISTA,54.5,53.9,51.6,51.1,50.7,50.0,53.6,58.8,63.4,67.1,66.2,66.2,66.6,66.0,65.1,64.7,62.2,60.9,59.2,58.6,58.8,59.4,58.9,58.4,59.4,67.1,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52.1,50.2,49.1,48.4,47.6,46.5,50.3,56.0,62.4,68.7,71.5,72.4,71.8,70.7,69.5,68.4,65.0,61.6,58.9,57.7,56.7,56.5,57.0,56.9,59.4,72.4,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.1,51.2,51.4,51.5,51.9,51.7,55.2,60.5,64.1,67.1,68.5,69.6,69.2,68.2,67.6,66.5,62.9,61.5,59.9,59.2,59.0,58.5,58.4,57.9,60.2,69.6,11
,OTAY MESA DVN,55.0,54.5,52.9,51.9,51.3,51.7,54.4,59.3,65.5,69.4,70.0,70.2,70.3,68.2,68.1,67.7,65.0,60.8,57.8,56.7,57.5,56.9,57.6,57.2,60.4,70.3,12
,PENDLETON,,,,,,,,,,,63.0,64.1,64.9,64.5,64.8,64.4,63.6,61.5,60.0,59.6,59.6,59.7,59.4,59.4,62.0,64.9,12
17 RELHUM %,ALPINE,34,36,34,31,30,28,28,25,24,80,56,100,100,81,45,76,59,61,80,88,89,89,89,82,60,100,11
,EL CAJON LES,62,65,65,64,67,70,64,52,38,30,26,28,34,44,48,42,54,68,76,81,84,82,79,81,59,84,20
,KEARNY MESA,64,69,66,64,61,61,59,55,48,39,42,39,46,53,50,51,70,73,77,81,84,84,82,83,63,84,20
18 PRES mmHg,KEARNY MESA,749,748,748,748,748,748,748,749,748,748,748,747,747,746,745,745,744,744,743,743,743,743,743,742,746,749,00
19 SOLAR W/M2,KEARNY MESA,-1,0,-1,0,0,21,186,413,624,793,737,918,886,687,638,486,295,136,4,0,0,0,0,0,284,918,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,.1,.4,.3,.4,.2,.2,.2,.1,.0,.0,.0,.0,.0,.0,.1,.4,11
29 CO Tr PPB,EL CAJON LES,240.5,229.7,C,C,C,435.4,563.0,517.4,369.3,262.9,251.0,305.7,232.0,252.6,214.7,184.4,192.6,189.6,189.1,196.5,207.4,225.3,204.6,185.3,269.0,563.0,06
