,PENDLETON,7.0,6.3,8.2,6.7,4.9,10.8,10.2,10.2,10.5,9.5,10.2,12.6,10.4,10.8,16.9,12.7,15.6,12.5,13.3,12.9,10.8,7.7,9.3,14.3,10.5,16.9,14
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,93,44,77,315,348,92,140,225,262,279,295,290,283,298,294,291,302,308,324,20,4,349,338,59,222,349,21
,CHULA VISTA,114,104,130,137,140,133,144,128,236,265,257,260,258,259,258,267,264,263,214,145,220,235,248,232,205,267,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,139,119,207,109,88,38,77,88,162,233,247,248,239,249,242,249,272,229,215,126,115,252,168,127,177,272,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,69,42,34,59,79,89,143,153,116,222,M,M,M,M,M,M,M,M,M,M,M,M,M,M,101,222,09
,OTAY MESA DVN,101,108,100,356,359,351,143,290,317,292,294,294,295,295,291,285,291,296,290,121,131,339,349,351,264,359,04
,PENDLETON,48,42,56,62,51,66,93,164,177,240,247,249,253,250,247,245,232,194,165,209,25,34,40,65,144,253,12
13 SIGTHETA °,ALPINE,60,31,34,36,28,37,19,39,28,30,25,27,28,27,33,30,27,24,36,66,20,50,51,21,34,66,19
,CHULA VISTA,19,25,16,19,33,31,33,54,48,57,26,22,23,26,24,31,21,23,28,62,28,20,24,35,30,62,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,34,30,48,46,48,40,71,66,53,61,38,26,23,26,34,36,25,21,27,46,26,22,30,43,38,71,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,11,18,30,66,47,35,39,59,40,M,M,M,M,M,M,M,M,M,M,M,M,M,M,36,66,04
,OTAY MESA DVN,6,27,11,25,28,48,37,31,34,43,27,23,17,16,17,17,14,12,15,37,17,33,9,13,23,48,05
,PENDLETON,15,11,12,11,16,17,30,30,33,24,17,14,13,16,15,14,22,21,20,37,16,10,9,19,18,37,19
14 VWSP MPH,ALPINE,.1,.8,.8,.8,1.2,.8,1.4,1.3,3.0,3.1,5.1,5.1,5.6,5.6,4.5,4.2,3.7,3.3,1.8,.3,1.3,1.1,.0,1.0,2.3,5.6,12
,CHULA VISTA,1.3,1.7,1.6,1.9,1.5,1.7,1.4,1.2,.9,3.6,6.1,6.8,6.7,6.0,5.8,4.6,5.5,4.2,.9,.8,1.6,2.6,2.2,1.5,3.0,6.8,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,1.2,.2,1.2,.9,.6,.9,.9,.9,1.9,3.9,6.2,7.2,6.3,4.5,3.5,4.5,5.0,2.1,1.0,1.4,1.9,1.4,1.0,2.5,7.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.4,2.1,1.0,1.2,.4,1.1,2.5,2.5,1.4,3.4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.8,3.4,09
,OTAY MESA DVN,1.9,1.2,2.4,1.5,1.4,1.1,.6,1.6,2.9,3.1,7.1,7.5,8.9,8.1,8.4,8.7,8.6,7.8,4.9,1.7,3.8,1.7,4.3,2.9,4.3,8.9,12
,PENDLETON,3.6,4.4,3.4,4.0,3.7,3.1,2.1,2.6,3.7,3.8,5.2,6.6,7.5,6.4,5.7,6.1,4.1,3.7,2.6,.2,1.9,2.0,2.2,1.5,3.8,7.5,12
15 SWSP MPH,ALPINE,.3,1.3,.9,1.1,1.3,1.4,1.5,1.9,3.3,3.6,5.6,5.6,6.2,6.1,5.3,4.8,4.1,3.5,2.9,.4,1.4,1.3,.4,1.1,2.7,6.2,12
,CHULA VISTA,1.4,1.8,1.6,2.0,1.8,2.0,2.0,1.9,2.0,4.4,6.7,7.3,7.3,6.7,6.3,5.3,5.9,4.5,1.7,1.2,1.7,2.8,2.4,2.2,3.5,7.3,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,1.3,.5,1.2,1.1,1.2,1.6,1.9,2.0,2.9,4.8,7.0,7.8,6.9,5.3,4.6,5.0,5.4,3.0,1.2,1.7,2.1,1.7,1.3,3.0,7.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.5,2.3,1.0,1.4,1.0,2.1,3.1,3.3,3.2,4.4,M,9.1,9.4,7.9,6.9,6.6,6.9,4.7,1.3,2.5,2.1,3.8,2.1,2.7,3.9,9.4,12
,OTAY MESA DVN,1.9,1.3,2.5,1.9,2.1,1.7,1.9,2.1,3.4,3.7,7.8,8.0,9.3,8.4,8.7,9.1,8.8,8.0,5.1,2.9,3.9,2.7,4.4,3.0,4.7,9.3,12
,PENDLETON,3.8,4.5,3.5,4.1,3.9,3.3,2.3,3.2,4.3,4.2,5.5,6.8,7.7,6.6,5.9,6.3,4.5,4.0,2.7,.3,2.0,2.1,2.3,1.7,4.0,7.7,12
16 AMBTEMP °F,ALPINE,53.8,54.9,56.5,55.2,54.7,54.2,57.8,63.8,67.7,73.0,74.4,76.3,78.2,77.4,76.8,75.5,73.7,70.9,65.0,64.2,66.8,67.2,64.3,63.9,66.1,78.2,12
,CARMEL MT RCH,54.5,53.7,53.7,53.4,54.0,54.1,54.4,56.3,60.9,66.4,70.9,71.6,72.2,71.6,71.1,72.4,70.7,66.7,64.5,64.3,64.0,61.7,59.5,57.8,62.5,72.4,15
,CHULA VISTA,57.9,57.2,57.4,58.5,58.5,58.6,59.0,59.7,62.8,65.9,65.8,66.3,65.8,65.8,65.2,65.5,64.2,62.8,61.7,62.3,61.4,59.8,59.6,59.0,61.7,66.3,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,55.4,54.1,52.9,52.2,53.8,55.9,56.9,59.0,67.0,71.5,75.6,77.1,75.5,76.1,76.8,79.6,78.8,73.8,67.8,63.8,62.5,61.8,60.1,58.0,65.3,79.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.7,54.5,54.1,54.7,57.1,57.3,57.7,59.4,64.4,67.9,70.2,68.7,68.8,68.9,69.3,69.7,69.1,66.1,64.7,62.6,62.5,60.3,58.5,58.0,62.5,70.2,10
,OTAY MESA DVN,56.4,56.7,56.4,56.1,56.2,55.8,55.7,57.1,61.1,67.3,70.6,69.5,69.6,68.7,69.2,69.6,67.7,65.2,61.2,60.7,62.7,61.2,58.3,57.7,62.1,70.6,10
,PENDLETON,56.0,54.7,54.5,54.6,55.2,55.4,56.8,58.9,60.4,62.5,64.2,65.0,64.4,64.2,63.9,64.4,64.3,63.0,61.5,61.4,60.6,60.0,59.3,59.4,60.2,65.0,11
17 RELHUM %,ALPINE,80,78,70,73,73,74,65,53,50,42,45,43,42,44,45,47,50,56,67,61,41,37,44,42,55,80,00
,EL CAJON LES,86,87,87,88,89,89,89,86,66,55,48,47,49,49,48,44,44,53,62,70,76,78,81,85,69,89,04
,KEARNY MESA,94,95,94,94,93,93,92,87,75,66,62,65,65,65,65,64,65,72,75,78,79,87,89,92,79,95,01
18 PRES mmHg,KEARNY MESA,746,746,746,746,746,746,747,747,746,746,746,746,746,745,745,745,745,745,745,745,746,746,746,746,746,747,06
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,13,80,221,655,816,931,991,980,905,771,593,373,148,9,-1,0,0,-1,0,312,991,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.1,09
29 CO Tr PPB,EL CAJON LES,239.2,240.5,C,C,C,219.1,235.2,239.3,259.0,302.0,316.4,293.3,244.4,228.7,245.5,264.4,281.6,291.8,301.1,283.0,296.9,403.6,354.2,274.7,276.8,403.6,21
