,CHULA VISTA,56.6,56.1,56.0,55.9,55.6,56.1,57.5,59.1,60.9,61.0,62.8,64.9,64.6,64.7,63.9,62.3,61.6,60.6,59.8,59.6,59.5,59.2,58.2,57.4,59.7,64.9,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,54.5,53.2,53.3,52.8,53.3,54.4,55.4,56.5,59.0,61.9,62.3,64.4,65.4,66.6,64.8,64.7,62.9,61.4,59.9,58.6,57.2,56.3,56.3,55.8,58.8,66.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.2,53.3,52.8,52.6,53.7,55.2,55.7,57.6,60.3,60.1,59.4,62.0,62.9,63.7,63.5,62.8,61.7,59.9,58.8,58.0,57.1,55.7,54.6,54.6,57.9,63.7,13
,OTAY MESA DVN,55.0,55.0,54.6,55.6,56.1,56.2,56.8,58.0,59.7,62.0,62.2,64.3,64.9,63.8,63.8,63.5,62.4,59.9,57.9,57.3,56.9,57.0,56.7,56.9,59.0,64.9,12
,PENDLETON,55.6,55.5,54.8,55.1,55.2,55.8,56.2,57.9,56.8,58.6,61.6,62.7,62.9,63.6,64.1,63.1,61.6,60.6,60.1,59.8,59.5,58.9,58.2,57.6,59.0,64.1,14
17 RELHUM %,ALPINE,93,93,92,91,92,93,94,93,80,66,57,54,49,54,55,60,68,72,75,77,82,86,87,89,77,94,06
,EL CAJON LES,87,89,89,89,89,87,84,82,75,64,64,60,56,55,56,55,57,61,63,67,75,79,78,79,73,89,01
,KEARNY MESA,91,92,92,93,93,93,92,88,75,77,84,71,70,66,65,63,65,69,72,74,76,80,83,86,80,93,03
18 PRES mmHg,KEARNY MESA,749,748,748,749,749,749,750,750,750,750,750,749,749,748,748,748,748,748,748,748,748,748,748,748,749,750,06
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,6,46,108,298,194,358,688,525,464,520,360,182,51,2,0,0,0,0,0,158,688,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,198.9,204.2,C,C,C,238.1,223.2,250.2,236.4,191.9,226.7,214.0,224.0,205.5,204.8,194.0,194.7,194.2,192.4,215.6,200.7,186.4,191.1,176.5,207.7,250.2,07
