,CHULA VISTA,25,26,24,25,25,25,26,25,25,25,25,25,25,25,25,25,25,24,25,25,24,25,25,25,25,26,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,23,24,23,23,23,23,23,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,25,24,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,00
,PENDLETON,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.3,9.9,6.4,5.3,4.9,3.3,3.8,1.0,6.0,6.1,6.7,7.7,14.2,9.9,11.7,9.2,10.5,6.4,5.7,5.4,7.1,10.4,11.4,5.9,7.4,14.2,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.9,12.8,9.7,9.8,8.6,9.5,14.2,14.8,16.0,16.6,14.5,12.4,7.8,7.7,8.0,7.7,5.5,8.7,7.6,7.1,5.6,4.7,5.4,7.2,9.6,16.6,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,2.8,2.2,1.0,2.4,4.3,5.4,3.9,3.2,4.0,3.8,5.0,3.7,3.5,4.4,3.5,2.9,2.4,1.5,2.8,2.1,1.5,4.2,4.0,2.1,3.1,5.4,05
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,30,13,358,74,84,66,262,272,262,259,271,269,274,293,279,276,264,263,256,246,243,266,199,223,221,358,02
,CHULA VISTA,196,102,49,310,310,286,258,292,316,248,269,255,259,259,254,260,259,259,285,291,273,283,301,296,257,316,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,181,145,173,116,99,110,92,274,338,291,245,238,235,242,255,219,260,267,267,269,288,326,351,337,234,351,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,104,92,68,12,23,335,313,289,313,301,227,238,264,275,287,281,293,297,295,299,295,293,317,301,242,335,05
,OTAY MESA DVN,60,90,59,67,33,341,57,331,314,312,293,285,296,291,288,289,281,284,289,296,326,317,339,11,231,341,05
,PENDLETON,218,203,203,165,358,8,320,261,230,238,247,251,249,249,256,262,256,249,223,177,150,198,192,154,222,358,04
13 SIGTHETA °,ALPINE,41,55,43,42,43,18,33,19,23,27,35,33,29,29,27,28,28,25,23,29,25,31,25,64,32,64,23
,CHULA VISTA,39,33,43,39,59,29,59,34,46,27,24,24,28,27,22,23,21,23,19,19,19,27,41,42,32,59,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,45,22,31,26,17,20,59,68,42,55,42,26,28,33,26,25,23,19,16,19,25,28,16,32,31,68,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52,51,49,27,40,28,42,26,47,46,27,17,26,25,21,18,15,12,8,7,7,7,20,17,26,52,00
,OTAY MESA DVN,16,31,39,48,35,30,22,28,23,29,28,18,19,19,15,17,14,12,12,13,16,23,29,33,24,48,03
,PENDLETON,34,71,25,30,46,19,29,28,21,17,14,12,13,16,14,15,15,19,20,42,30,57,29,46,28,71,01
14 VWSP MPH,ALPINE,.9,.2,.7,.6,.5,.7,.8,2.4,3.1,3.8,4.1,4.5,5.5,5.1,5.5,5.0,5.2,4.0,2.5,.4,.7,.4,.7,.4,2.4,5.5,12
,CHULA VISTA,1.5,1.8,1.1,.8,.6,1.6,1.2,1.9,1.7,4.8,5.9,6.8,5.6,5.9,6.9,6.3,6.2,4.8,3.9,2.8,1.8,1.7,1.3,1.5,3.3,6.9,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,2.5,1.7,2.3,2.9,2.3,1.0,1.3,2.6,1.9,3.5,6.7,6.8,5.2,6.4,7.1,6.5,5.6,5.2,3.1,2.4,2.4,3.3,2.5,3.6,7.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.9,1.6,1.3,2.6,1.3,1.9,1.2,2.3,2.0,2.1,5.1,10.1,7.7,6.7,8.3,8.4,8.1,7.3,5.1,3.8,2.5,3.2,1.6,2.0,4.1,10.1,11
,OTAY MESA DVN,2.7,1.5,1.8,1.1,1.9,1.8,3.0,2.9,4.5,4.1,5.9,9.5,8.5,8.4,9.3,8.4,8.5,8.1,6.0,5.0,4.0,2.3,2.3,2.3,4.7,9.5,11
,PENDLETON,2.2,.7,2.2,1.8,1.8,2.8,1.6,2.3,3.3,5.3,7.9,9.7,8.0,5.6,6.7,5.7,6.4,4.6,3.7,2.0,1.9,1.4,1.5,1.6,3.8,9.7,11
15 SWSP MPH,ALPINE,1.5,.7,.9,.7,.8,1.2,.9,2.5,3.3,4.3,4.7,5.3,6.3,5.6,6.0,5.5,5.8,4.4,2.7,.5,.8,1.2,1.0,.8,2.8,6.3,12
,CHULA VISTA,1.8,2.2,1.6,1.9,1.2,2.1,1.9,2.6,2.8,5.3,6.5,7.4,6.3,6.7,7.4,6.8,6.7,5.2,4.1,3.0,1.9,2.1,1.7,2.1,3.8,7.4,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.1,2.6,2.2,2.5,3.0,2.6,1.4,1.9,3.2,3.0,4.4,7.3,7.6,6.6,7.3,7.7,7.0,6.0,5.4,3.3,2.8,2.9,3.4,2.9,4.1,7.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,2.0,1.9,2.9,2.0,2.9,2.2,2.7,2.9,3.8,5.8,10.5,8.7,7.4,8.8,8.9,8.4,7.5,5.2,3.8,2.6,3.3,1.9,2.4,4.6,10.5,11
,OTAY MESA DVN,2.9,1.8,2.1,2.0,2.1,2.2,3.3,3.3,4.8,4.9,6.4,10.0,8.9,8.9,9.7,8.8,8.8,8.3,6.1,5.2,4.2,2.7,3.1,2.6,5.1,10.0,11
,PENDLETON,2.7,1.6,2.4,2.4,2.4,3.0,2.1,2.8,3.5,5.5,8.1,9.9,8.2,5.8,6.9,5.8,6.6,4.9,3.9,2.7,2.2,2.5,3.2,1.9,4.2,9.9,11
16 AMBTEMP °F,ALPINE,58.7,58.9,59.1,59.4,59.4,61.1,64.7,65.9,67.1,71.8,74.9,76.5,77.5,76.8,76.0,74.2,70.5,65.2,58.7,55.4,54.3,53.6,51.8,51.8,64.3,77.5,12
,CARMEL MT RCH,56.4,56.7,56.4,56.3,56.2,55.7,56.3,57.3,58.9,63.7,70.6,M,M,71.2,70.0,67.4,65.1,62.1,58.1,56.5,56.0,55.4,55.3,55.6,59.9,71.2,13
,CHULA VISTA,58.9,58.8,58.9,59.1,59.2,59.6,60.1,61.3,63.9,66.7,66.8,66.6,66.3,66.6,65.7,65.1,63.6,62.8,60.9,60.3,59.9,60.3,60.5,60.2,62.2,66.8,10
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,59.1,58.7,58.5,58.3,58.4,58.1,59.3,61.3,64.5,68.7,73.3,74.4,73.3,74.2,74.6,72.7,70.2,66.8,62.9,60.6,59.4,58.8,58.7,58.8,64.3,74.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,59.5,59.5,59.3,58.7,58.1,58.0,58.7,59.6,61.4,65.7,69.2,69.2,68.0,68.5,68.2,66.4,64.2,61.9,58.7,57.4,57.5,57.4,58.5,58.8,61.8,69.2,10
,OTAY MESA DVN,57.9,57.6,57.6,57.3,57.3,56.5,57.2,59.2,62.6,67.7,70.9,70.7,69.3,69.5,68.7,67.4,65.5,62.6,60.2,59.7,59.2,58.4,58.9,58.8,62.1,70.9,10
,PENDLETON,59.9,60.2,60.2,60.1,59.8,59.5,59.8,60.8,61.5,63.5,64.7,64.1,63.5,63.2,63.6,62.8,61.6,60.6,60.2,60.2,60.3,60.3,60.0,60.1,61.3,64.7,10
17 RELHUM %,ALPINE,64,62,56,51,50,44,41,52,58,46,44,42,40,43,42,43,52,63,79,87,89,90,93,95,59,95,23
,EL CAJON LES,89,89,89,90,89,88,84,79,71,62,52,51,52,50,47,52,55,61,69,75,77,78,78,79,71,90,03
,KEARNY MESA,91,91,92,93,93,93,91,89,83,71,63,64,64,63,63,66,70,76,83,86,86,87,85,85,80,93,03
18 PRES mmHg,KEARNY MESA,747,747,747,746,746,746,747,747,747,747,747,747,747,747,746,746,747,747,747,747,747,747,747,747,747,747,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,13,66,140,384,834,944,1006,993,919,791,609,390,160,9,0,0,0,0,0,302,1006,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,M,M,M,M,M,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,16
29 CO Tr PPB,EL CAJON LES,225.3,223.9,C,C,C,243.8,279.5,327.2,339.7,M,C,C,M,M,M,M,231.8,213.5,209.9,205.1,208.4,226.9,206.4,201.1,238.7,339.7,08
