Current Date:,4/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
16 AMBTEMP °F,ALPINE,61.8,62.6,62.8,64.2,64.0,63.7,67.1,72.1,75.2,76.8,79.7,80.9,82.6,83.2,82.7,81.4,77.5,73.1,66.6,63.1,61.1,61.3,62.2,59.7,70.2,83.2,13
,CARMEL MT RCH,55.1,55.9,55.8,55.3,55.6,55.3,55.5,57.2,61.3,70.4,73.6,75.1,76.0,76.3,76.3,73.7,71.5,67.8,62.9,60.0,58.2,57.5,56.0,56.5,63.3,76.3,13
,CHULA VISTA,59.8,59.8,59.5,59.1,59.2,59.1,59.6,61.3,65.7,67.3,67.8,66.8,67.8,68.7,67.2,65.6,65.3,64.0,61.7,60.5,60.1,59.6,59.7,59.1,62.7,68.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,57.5,57.5,57.5,57.6,57.4,57.5,58.4,61.2,66.4,72.3,77.5,80.5,80.3,81.7,81.2,78.2,76.1,72.6,67.3,63.7,60.9,59.3,58.5,59.0,66.7,81.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.9,58.8,58.8,59.0,59.0,59.1,59.8,61.9,66.7,70.9,73.9,74.5,74.6,75.0,75.0,71.9,68.8,66.7,62.0,59.2,58.5,58.1,58.4,59.4,64.5,75.0,13
,OTAY MESA DVN,57.5,57.0,56.6,55.8,56.2,56.1,56.5,58.2,64.5,71.2,74.7,72.8,72.3,73.8,73.3,70.1,68.0,65.1,62.1,60.3,59.6,59.1,58.1,58.2,63.2,74.7,10
,PENDLETON,59.5,59.2,59.1,59.2,59.1,59.5,59.8,60.4,61.8,63.2,64.5,64.6,65.3,65.1,64.9,64.8,64.6,63.3,61.8,61.3,60.9,60.9,60.6,60.3,61.8,65.3,12
17 RELHUM %,ALPINE,57,45,37,32,32,36,34,29,27,26,30,32,26,28,27,29,38,47,61,69,74,71,66,69,43,74,20
,EL CAJON LES,94,95,95,93,93,91,87,79,65,55,44,38,40,35,38,44,47,53,64,75,84,88,90,89,70,95,01
,KEARNY MESA,95,95,95,95,94,93,91,85,72,63,57,57,55,52,52,58,64,70,82,90,92,93,93,91,79,95,00
18 PRES mmHg,KEARNY MESA,747,746,746,746,746,746,747,747,747,747,747,746,746,746,746,746,746,746,746,746,747,747,747,747,746,747,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,15,85,396,657,817,937,995,987,914,788,604,384,156,9,0,0,0,0,0,323,995,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.1,.1,.2,.2,.1,.1,.2,.2,.1,.1,.1,.0,.0,.0,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,233.5,241.5,C,C,C,256.4,267.6,305.3,370.1,409.5,396.8,380.0,323.2,305.4,306.5,315.0,321.0,276.8,268.4,251.1,219.2,196.3,198.5,224.0,288.8,409.5,09
