,CHULA VISTA,24,24,25,25,24,24,23,23,24,23,23,23,23,23,23,23,23,23,24,24,23,24,24,24,24,25,02
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,25,25,25,25,26,26,26,25,26,00
,EL CAJON LES,27,27,27,27,27,28,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,27,27,27,28,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,25,25,25,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,24,25,01
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,00
,PENDLETON,26,26,26,26,26,25,25,24,24,25,24,24,24,24,24,25,25,25,25,26,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,1.4,.1,1.2,3.5,4.4,3.1,.2,1.0,2.2,.0,5.3,4.7,5.4,7.1,6.2,4.8,5.2,11.4,9.4,10.5,9.9,8.0,5.0,5.4,4.8,11.4,17
,DOWNTOWN SES,11.1,12.0,11.8,8.0,6.5,9.6,8.2,11.4,9.3,10.1,10.0,M,17.6,16.8,13.5,15.2,11.8,13.1,12.3,16.7,22.6,29.0,23.9,26.0,14.1,29.0,21
,EL CAJON LES,16.3,10.3,16.9,11.4,12.7,12.9,10.8,12.5,10.6,10.5,10.1,5.4,5.7,4.5,4.3,5.4,10.5,21.5,27.4,33.1,32.2,29.5,37.5,23.4,15.6,37.5,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,29.1,14.8,25.6,14.5,19.6,13.0,13.7,9.5,22.7,18.8,9.1,8.0,9.5,15.8,17.1,20.3,14.5,13.8,17.8,25.7,31.0,14.6,27.9,16.5,17.6,31.0,20
,PENDLETON,.0,.7,.7,1.4,1.6,1.8,1.2,-.8,-2.3,-2.2,-.9,-.1,-1.0,-1.3,-.5,-.8,.1,.2,-.4,1.4,3.6,4.5,2.6,1.0,.4,4.5,21
12 VWDR °,ALPINE,24,83,91,92,44,65,10,79,120,248,307,284,296,305,314,306,308,15,92,86,54,43,90,92,0,314,14
,CHULA VISTA,9,46,82,44,44,66,60,62,112,301,317,288,272,276,281,287,297,332,335,350,81,81,62,91,0,350,19
,DOWNTOWN SES,348,6,339,6,36,22,341,41,137,332,325,320,281,305,303,318,321,341,360,347,341,44,59,25,0,360,18
,EL CAJON LES,211,191,210,231,133,120,224,96,326,296,359,301,267,301,291,303,300,278,162,76,90,104,97,156,0,359,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,P,38,32,36,21,64,34,39,114,308,328,325,303,297,300,311,317,326,332,62,24,38,50,69,0,332,18
,OTAY MESA DVN,156,48,128,52,89,70,85,19,166,170,302,309,301,300,287,287,279,356,65,123,110,79,116,107,0,356,17
,PENDLETON,56,53,57,52,57,52,57,62,39,40,293,267,275,286,297,298,308,319,359,32,37,52,68,61,0,359,18
13 SIGTHETA °,ALPINE,24,28,29,18,28,28,18,42,17,26,25,28,26,25,21,21,17,26,19,15,21,24,14,13,23,42,07
,CHULA VISTA,26,19,17,57,37,38,52,25,29,52,36,36,22,19,18,19,16,16,15,29,22,36,36,27,29,57,03
,DOWNTOWN SES,11,33,41,22,33,35,19,27,25,30,33,32,22,25,24,23,20,21,28,16,12,28,27,45,26,45,23
,EL CAJON LES,47,51,60,48,43,52,46,35,61,51,46,53,33,26,23,16,18,27,29,34,46,25,56,46,41,61,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,8,10,18,16,22,27,26,48,18,16,20,17,13,10,11,11,9,39,11,21,12,8,14,17,48,08
,OTAY MESA DVN,55,31,7,30,36,26,46,31,22,28,34,19,12,13,12,15,14,27,20,8,8,14,12,20,23,55,00
,PENDLETON,9,11,12,10,12,9,9,11,12,18,30,15,15,18,18,17,16,12,15,9,11,12,12,15,14,30,10
14 VWSP MPH,ALPINE,1.4,1.2,1.0,1.6,.9,1.2,1.0,.3,2.2,1.4,2.8,3.3,3.9,3.6,3.6,3.0,1.8,1.3,1.4,1.7,1.4,1.1,.9,1.6,.0,3.9,12
,CHULA VISTA,2.1,2.0,1.6,.4,1.4,1.4,.9,1.3,1.0,1.5,2.3,2.7,4.9,6.3,7.0,5.0,4.7,2.9,2.2,1.3,.6,.6,1.5,1.6,.0,7.0,14
,DOWNTOWN SES,3.2,1.8,1.4,2.0,1.8,1.0,1.6,.7,1.5,2.4,3.6,3.6,5.9,5.7,5.6,5.8,5.7,2.8,1.3,1.1,1.7,.9,1.3,.8,.0,5.9,12
,EL CAJON LES,.5,.2,.3,.3,.5,.8,.3,.2,.1,.9,1.0,1.7,3.1,3.8,4.2,6.0,4.0,2.0,.7,.9,1.0,.5,.3,.6,.0,6.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,P,4.3,5.2,2.7,3.6,1.8,2.2,1.5,.9,4.3,6.5,5.5,7.1,8.6,9.9,8.9,7.9,5.2,3.0,2.0,2.2,2.9,4.3,2.7,.0,9.9,14
,OTAY MESA DVN,.3,1.1,4.6,1.5,.5,1.5,.5,1.5,2.4,3.2,3.4,5.2,7.9,8.2,9.1,5.7,4.1,2.1,1.6,2.8,3.2,2.4,2.4,1.9,.0,9.1,14
,PENDLETON,4.7,5.2,5.1,4.8,5.2,5.4,5.2,5.1,4.4,3.2,2.5,3.5,3.6,3.9,5.1,5.2,6.1,4.3,3.1,3.6,4.7,3.7,3.1,3.5,.0,6.1,16
15 SWSP MPH,ALPINE,1.8,1.4,1.3,1.7,1.4,1.5,1.6,.9,2.4,2.4,3.1,3.8,4.3,4.0,3.8,3.2,2.0,1.7,1.5,1.8,2.1,1.4,.9,1.7,2.2,4.3,12
,CHULA VISTA,2.5,2.1,1.9,1.1,2.0,1.6,1.1,1.5,1.8,2.1,2.8,3.1,5.3,6.7,7.4,5.3,5.0,3.0,2.4,1.6,.7,.8,1.7,1.8,2.7,7.4,14
,DOWNTOWN SES,3.3,2.1,1.7,2.4,2.0,1.4,1.7,1.5,1.7,2.8,4.2,4.3,6.4,6.2,6.2,6.2,6.1,3.1,1.4,1.2,1.7,1.0,1.5,1.2,3.0,6.4,12
,EL CAJON LES,.7,.7,.4,.6,.9,1.4,.8,.4,.5,1.6,1.5,2.4,3.6,4.1,4.6,6.2,4.2,2.2,1.3,1.3,1.2,.8,.6,1.1,1.8,6.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,4.4,5.4,3.3,3.8,2.0,2.5,2.1,1.7,4.5,6.9,5.9,7.5,8.9,10.1,9.2,8.1,5.3,3.5,2.2,2.9,3.0,4.4,2.8,4.8,10.1,14
,OTAY MESA DVN,1.2,2.1,4.7,2.2,1.1,2.5,1.2,2.0,2.5,3.4,3.8,5.5,8.1,8.4,9.3,5.9,4.4,2.7,2.6,2.9,3.3,2.7,2.5,2.2,3.6,9.3,14
,PENDLETON,5.0,5.3,5.3,4.9,5.4,5.4,5.3,5.2,4.6,3.4,3.0,3.6,3.7,4.2,5.4,5.4,6.3,4.5,3.4,3.7,4.8,3.9,3.2,3.9,4.5,6.3,16
16 AMBTEMP °F,ALPINE,52.6,52.0,51.2,51.0,52.2,51.9,52.1,51.9,56.4,61.0,62.3,65.0,65.4,64.6,64.5,62.2,58.4,54.2,52.9,52.6,53.8,53.3,53.9,54.6,56.3,65.4,12
,CARMEL MT RCH,51.1,49.8,48.5,48.1,47.5,47.0,47.2,49.3,52.6,58.2,61.0,63.5,64.9,66.2,63.4,61.4,59.9,58.5,57.6,56.7,54.8,54.2,53.3,52.8,55.3,66.2,13
,CHULA VISTA,52.2,52.2,51.4,48.7,47.7,48.1,47.9,50.9,55.2,59.0,61.9,64.2,66.0,66.2,63.9,63.0,61.6,60.1,59.0,57.3,55.6,54.7,54.2,54.1,56.5,66.2,13
,DOWNTOWN SES,54.8,54.3,52.0,51.4,50.5,49.6,50.2,52.7,55.9,59.6,62.6,65.5,65.4,66.3,63.5,63.1,61.8,60.4,59.5,58.5,58.0,57.3,56.6,55.6,57.7,66.3,13
,EL CAJON LES,49.7,47.8,46.4,45.3,43.9,43.0,42.6,44.5,51.0,56.5,61.9,66.0,68.3,69.5,69.4,65.9,63.0,59.7,56.6,54.5,53.3,52.5,51.6,51.2,54.8,69.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,50.9,50.4,48.2,48.8,48.4,49.4,50.8,56.3,58.9,61.5,63.8,65.8,65.8,62.5,61.7,60.2,58.5,57.4,55.2,54.4,54.8,54.3,53.4,56.1,65.8,12
,OTAY MESA DVN,54.2,52.1,52.0,51.7,50.7,49.3,50.4,51.0,54.2,57.5,61.1,63.8,65.5,65.8,63.3,61.5,59.9,58.1,56.9,55.5,54.6,54.3,54.2,54.3,56.3,65.8,13
,PENDLETON,52.3,50.6,50.2,49.8,48.5,48.5,48.1,48.4,52.5,56.8,61.4,61.5,62.1,62.4,62.8,63.1,61.8,60.3,59.3,58.1,56.1,55.6,54.6,54.0,55.8,63.1,15
17 RELHUM %,ALPINE,60,61,62,58,55,54,49,55,46,37,36,35,37,42,43,47,64,77,75,71,67,68,65,59,55,77,17
,EL CAJON LES,91,93,95,95,95,95,95,94,79,63,49,41,41,38,39,49,54,73,82,86,85,87,88,89,75,95,02
,KEARNY MESA,P,90,89,92,91,91,86,86,76,69,60,53,60,56,70,76,82,89,92,93,92,91,91,92,81,93,19
18 PRES mmHg,EL CAJON LES,754,754,753,753,753,753,754,754,754,754,754,753,753,752,752,752,752,753,753,753,753,754,754,754,753,754,00
,KEARNY MESA,P,755,754,754,754,754,755,755,755,756,755,755,754,754,754,753,754,754,754,754,755,755,755,755,754,756,09
19 SOLAR W/M2,EL CAJON LES,-1,-1,0,0,-1,0,5,62,268,362,551,603,514,432,257,166,32,-3,-2,-1,0,0,0,1,135,603,11
,KEARNY MESA,P,0,0,0,0,0,8,135,270,387,564,595,582,459,209,179,41,0,0,0,0,0,0,0,149,595,11
25 NOY,EL CAJON LES,33.89,32.70,29.91,27.10,26.37,C,C,66.03,57.81,44.56,28.32,14.44,11.27,7.14,8.81,13.31,18.45,26.52,32.57,39.40,30.82,32.11,29.80,24.42,28.89,66.03,07
26 NOY-NO,EL CAJON LES,17.76,16.00,14.24,12.69,11.65,C,C,13.85,18.90,20.29,16.38,10.21,8.25,5.76,7.45,11.72,17.42,24.94,30.10,31.42,25.74,25.46,21.62,18.02,17.26,31.42,19
27 NO Trace,EL CAJON LES,16.13,16.69,15.66,14.41,14.71,C,C,52.18,38.90,24.26,11.93,4.23,3.02,1.37,1.36,1.58,1.02,1.57,2.46,7.97,5.07,6.64,8.18,6.40,11.62,52.18,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.2,.2,.2,.2,.1,.1,.1,.1,.1,.2,.2,.0,.0,.1,.1,.1,.1,.1,.1,.2,06
29 CO Tr PPB,EL CAJON LES,710.0,690.9,C,C,C,537.3,743.4,887.7,819.0,661.7,487.5,C,308.0,254.3,272.1,334.4,394.7,484.4,613.0,713.2,665.3,719.0,717.4,612.1,581.2,887.7,07
BCarbon ng/m3,DOWNTOWN SES,1556.0,1243.4,1248.7,1038.1,1017.3,1215.9,1456.5,2091.6,1817.5,1081.4,989.2,737.1,1032.2,1083.5,1201.8,1091.0,940.5,785.5,996.9,1609.2,1967.3,1728.5,2316.3,2223.0,1352.9,2316.3,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
