,PENDLETON,.000,.000,C,C,.000,.001,.002,.001,.001,.002,.001,.001,.001,.000,.000,.001,.000,.000,.004,.001,.001,.000,.000,.001,.001,.004,18
06 CO PPM,CARMEL MT RCH,.1,.2,C,C,C,.1,.1,.1,,.3,.4,.3,.6,.4,.5,.4,.6,.6,.6,.6,.2,.3,.5,.4,.4,.6,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,27,27,27,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,26,27,03
,CARMEL MT RCH,26,26,26,26,26,26,26,26,,25,25,25,25,25,25,25,26,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,,25,25,24,25,25,25,24,24,24,24,24,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,27,27,27,27,27,27,27,27,00
,PENDLETON,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.0,3.3,3.6,3.7,2.3,1.0,.3,-.2,.4,-.7,-1.9,1.6,2.1,-.1,.0,.8,2.5,3.9,4.0,3.6,2.9,5.3,4.4,5.9,2.2,5.9,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,3.5,2.5,2.5,4.2,7.7,6.8,3.9,4.5,6.4,5.8,4.8,4.9,3.5,2.8,3.9,3.4,2.5,.6,.1,4.3,4.7,2.6,6.3,5.2,4.0,7.7,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,149,124,218,348,151,150,126,150,244,267,275,303,250,278,312,321,315,314,310,292,309,112,91,354,240,354,23
,CHULA VISTA,230,212,319,137,101,123,146,177,230,236,241,247,245,236,240,248,242,266,282,327,81,59,203,205,210,327,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,171,175,222,302,179,146,112,33,233,213,213,236,237,238,258,265,241,236,212,175,137,152,91,206,195,302,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,157,201,197,106,61,129,142,143,,175,197,200,210,M,201,239,235,241,253,338,83,161,31,39,170,338,19
,OTAY MESA DVN,144,163,354,185,120,110,155,146,180,137,217,208,187,187,190,247,281,304,333,4,46,79,146,131,177,354,02
,PENDLETON,58,38,56,87,126,101,127,165,181,201,204,211,211,214,224,221,243,231,170,77,36,57,125,10,141,243,16
13 SIGTHETA °,ALPINE,14,16,35,26,12,11,16,29,48,31,28,46,27,28,27,29,21,22,21,22,26,38,41,37,27,48,08
,CHULA VISTA,51,26,72,22,17,14,18,28,53,42,19,19,20,21,19,19,20,21,22,30,21,23,44,26,28,72,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,12,33,23,24,25,15,30,55,47,24,58,21,25,27,20,23,24,19,21,14,16,13,19,29,26,58,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,13,24,26,28,17,22,19,,26,25,21,18,M,20,21,24,16,13,17,18,20,26,32,21,32,23
,OTAY MESA DVN,11,12,33,27,27,14,14,15,24,25,22,20,18,20,20,25,14,14,14,14,15,32,13,7,19,33,02
,PENDLETON,20,11,14,14,13,16,17,13,20,20,17,18,17,17,21,27,21,27,25,18,14,19,21,68,20,68,23
14 VWSP MPH,ALPINE,1.5,1.3,.2,.5,1.5,3.2,3.8,2.4,1.7,3.1,2.4,1.7,3.2,3.2,3.6,2.6,2.6,1.9,1.5,1.7,1.2,1.4,.8,.5,2.0,3.8,06
,CHULA VISTA,1.5,1.1,.1,3.5,3.5,4.7,3.7,4.0,1.6,3.0,6.4,9.0,7.0,7.1,9.3,6.7,6.2,3.9,2.7,1.2,1.0,1.3,1.0,1.3,3.8,9.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.2,1.1,1.5,1.4,1.2,3.3,1.5,1.7,1.7,4.3,1.8,5.7,3.9,3.6,5.4,4.6,3.2,4.0,2.8,2.1,2.3,3.0,1.8,.9,2.7,5.7,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,4.9,3.5,3.5,2.3,3.9,3.8,5.8,,5.9,6.7,8.4,7.3,M,6.2,5.0,4.6,4.8,3.7,2.0,1.9,2.3,3.3,1.4,4.3,8.4,11
,OTAY MESA DVN,2.3,2.4,1.2,1.6,1.6,2.1,5.2,5.9,4.8,5.3,3.9,6.9,6.7,7.7,6.6,7.1,7.7,7.2,4.7,2.9,2.9,2.6,2.4,2.8,4.4,7.7,13
,PENDLETON,2.7,3.7,3.4,4.1,4.8,3.0,4.6,7.6,4.3,5.9,7.8,6.7,6.0,5.1,3.3,2.2,2.1,1.5,1.3,2.4,2.5,1.7,1.0,1.0,3.7,7.8,10
15 SWSP MPH,ALPINE,1.6,1.5,.7,.6,1.6,3.3,4.0,2.9,2.4,3.6,2.9,2.1,3.6,3.5,4.0,2.9,2.7,2.1,1.5,2.0,1.3,1.5,1.3,.8,2.3,4.0,06
,CHULA VISTA,2.2,1.4,.4,3.8,3.6,4.9,4.0,4.6,2.1,3.7,6.7,9.4,7.4,7.5,9.8,7.1,6.6,4.2,3.2,1.5,1.2,1.4,1.1,1.4,4.1,9.8,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.2,1.2,1.6,1.6,2.9,3.6,2.0,2.1,2.8,4.6,2.9,6.1,4.3,4.0,5.9,5.1,3.5,4.2,3.0,2.2,2.5,3.2,2.1,1.1,3.1,6.1,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.2,5.1,4.7,3.8,2.8,4.0,4.1,6.2,,6.6,7.5,8.9,7.7,M,6.7,5.4,4.9,5.1,3.8,2.3,2.3,2.4,3.8,1.4,4.8,8.9,11
,OTAY MESA DVN,2.4,2.4,1.7,2.7,1.9,2.2,5.4,6.1,5.3,6.1,5.6,7.3,7.1,8.3,7.0,7.7,8.1,7.4,5.1,3.0,3.1,3.0,2.5,2.9,4.8,8.3,13
,PENDLETON,2.9,3.8,3.6,4.3,5.0,3.2,5.1,7.8,4.7,6.3,8.2,7.0,6.2,5.3,3.5,2.5,2.2,1.8,1.6,2.6,2.7,1.8,1.1,1.7,4.0,8.2,10
16 AMBTEMP °F,ALPINE,51.9,51.5,51.9,51.8,51.6,51.4,52.7,56.4,58.7,58.5,57.5,59.2,58.5,58.6,58.4,56.6,55.6,55.8,55.6,55.1,54.8,54.6,54.5,54.0,55.2,59.2,11
,CARMEL MT RCH,56.7,56.4,56.3,55.9,55.4,55.6,57.1,60.2,,64.3,66.2,64.8,63.6,63.5,63.5,62.0,62.1,61.8,61.1,60.6,60.0,59.8,59.2,58.4,60.2,66.2,10
,CHULA VISTA,59.2,57.6,57.9,57.4,57.3,57.7,60.2,61.1,61.2,62.7,63.8,63.7,64.0,64.9,64.9,63.9,63.6,62.8,62.5,62.2,62.2,62.2,61.8,61.7,61.5,64.9,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,58.5,58.5,58.3,57.8,56.9,56.1,58.1,60.3,61.7,62.8,64.6,63.2,62.9,63.8,63.3,63.3,63.3,62.6,61.8,61.2,60.9,59.8,59.3,59.4,60.8,64.6,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.5,58.3,57.8,57.1,56.8,57.4,58.8,62.3,,63.3,65.6,64.6,64.1,63.8,63.4,64.1,64.0,63.3,62.7,62.4,61.2,61.1,59.9,59.7,61.3,65.6,10
,OTAY MESA DVN,59.3,58.9,58.1,56.7,56.7,57.2,60.0,61.8,61.4,63.1,64.9,66.3,65.8,66.6,67.0,67.9,64.0,62.3,61.2,61.0,61.2,61.6,61.4,61.7,61.9,67.9,15
,PENDLETON,59.6,59.2,59.1,58.9,58.6,59.2,59.9,59.9,62.1,63.7,64.6,65.1,64.3,63.4,63.1,63.5,63.4,63.3,63.0,63.0,62.3,62.5,61.9,61.3,61.9,65.1,11
17 RELHUM %,ALPINE,94,95,95,95,95,95,92,77,75,75,79,75,79,79,80,84,89,88,89,90,91,92,93,94,87,95,01
,EL CAJON LES,81,82,83,88,91,95,89,81,75,73,65,71,70,68,73,71,71,71,73,75,77,81,83,83,78,95,05
,KEARNY MESA,92,89,93,96,97,97,94,80,,75,69,71,69,72,74,74,74,74,73,74,78,79,83,87,81,97,04
18 PRES mmHg,KEARNY MESA,742,742,742,742,742,742,742,743,,743,743,743,743,743,743,743,743,743,743,744,744,744,744,745,743,745,23
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,32,172,458,,656,551,292,245,212,150,200,121,65,8,0,-1,0,0,0,137,656,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,162.4,164.4,C,C,C,162.3,171.8,190.7,184.0,219.4,182.8,167.1,169.7,172.6,204.3,187.1,201.0,172.2,187.5,186.8,176.7,169.5,171.3,208.1,181.5,219.4,09
