,KEARNY MESA,65.6,65.1,65.7,65.5,65.2,,,P,,P,82.7,83.5,82.5,80.4,81.0,80.1,77.8,74.8,71.4,69.9,67.9,66.3,65.4,64.5,72.4,83.5,11
,OTAY MESA DVN,65.6,65.0,64.6,64.7,65.0,64.9,65.6,67.7,73.7,78.5,80.8,80.5,80.8,79.1,78.8,78.4,76.8,72.4,69.3,67.1,66.6,65.8,64.8,64.5,70.9,80.8,10
,PENDLETON,67.7,67.9,67.7,-15.1,66.9,66.4,66.8,68.2,69.8,70.6,71.4,71.6,71.3,72.1,72.4,72.8,72.9,71.4,70.3,69.7,69.0,68.5,68.3,68.0,66.1,72.9,16
17 RELHUM %,ALPINE,44,41,38,38,38,36,33,27,24,27,26,20,26,29,27,27,27,35,47,53,56,51,47,42,36,56,20
,EL CAJON LES,85,89,91,94,94,93,90,78,66,52,42,42,42,42,41,40,43,51,63,71,76,79,82,85,68,94,03
,KEARNY MESA,93,95,97,97,97,,,P,,P,54,53,53,55,52,55,58,65,74,78,83,88,91,92,75,97,02
18 PRES mmHg,KEARNY MESA,745,745,745,745,745,,,P,,P,745,745,744,744,744,744,744,744,744,745,745,745,745,745,745,745,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,,,P,,P,921,998,868,838,818,630,320,105,18,-1,-1,0,0,0,290,998,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,.1,.2,.2,.2,.2,.2,.2,.2,.1,.1,.0,.0,.0,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,239.0,225.8,C,C,C,225.0,258.1,284.4,330.3,375.3,327.7,314.5,277.2,266.0,255.9,245.7,259.1,277.1,246.5,234.0,226.9,243.4,256.4,239.1,267.0,375.3,09
