,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.002,.004,M,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,.003,.003,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.003,.002,.003,09
,PENDLETON,-.002,-.002,C,C,.004,-.002,-.001,.000,-.001,.000,-.002,-.002,.003,-.001,-.001,-.002,-.002,-.002,-.002,-.002,-.002,-.002,-.002,-.002,-.001,.004,04
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.5,.4,.3,.4,.4,.5,C,.5,.5,.4,.4,.5,.6,.5,.4,.5,.5,.4,.4,.4,.6,17
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,26,25,25,24,24,23,23,23,23,23,24,24,23,23,24,24,24,24,25,24,24,26,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,25,26,26,26,26,26,00
,CHULA VISTA,25,24,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,25,25,25,25,25,26,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,26,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,25,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,OTAY MESA DVN,27,27,27,26,26,27,27,27,27,26,26,25,25,24,24,25,25,25,25,25,26,26,27,27,26,27,00
,PENDLETON,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,10.4,9.8,14.9,8.4,8.4,9.5,7.3,5.2,6.4,7.0,7.6,11.3,9.1,10.4,9.9,6.6,4.2,6.5,7.1,9.0,7.1,10.7,7.2,6.8,8.3,14.9,02
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.1,15.7,13.3,11.6,11.8,10.7,13.1,17.0,18.0,18.9,18.5,16.9,M,M,13.6,13.2,9.3,10.2,10.5,10.9,9.2,9.8,9.3,11.9,12.7,18.9,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.4,11.8,10.3,12.3,13.7,15.4,10.9,15.3,16.3,M,M,M,M,15.2,8.6,8.4,8.5,9.7,10.9,15.4,3.7,6.2,11.1,11.8,11.3,16.3,08
,PENDLETON,9.6,7.4,8.7,7.7,9.1,8.8,6.9,12.4,9.3,13.0,11.0,12.6,10.2,8.8,7.8,10.7,7.1,9.6,9.8,8.2,11.0,7.9,7.7,8.6,9.3,13.0,09
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,77,116,31,92,42,350,115,164,261,269,295,297,286,274,282,262,296,292,288,51,19,27,26,10,176,350,05
,CHULA VISTA,136,32,31,36,26,20,62,195,277,262,254,259,262,261,264,255,255,259,266,268,249,257,263,267,197,277,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,149,134,110,109,15,37,38,321,294,284,265,250,257,258,258,261,267,256,238,174,183,166,176,132,193,321,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,275,252,244,319,270,304,86,83,190,221,253,276,279,281,293,287,284,287,298,292,283,290,287,4,247,319,03
,OTAY MESA DVN,339,39,354,45,19,31,8,295,296,307,292,302,298,303,294,297,299,299,305,299,344,7,7,7,212,354,02
,PENDLETON,83,77,192,318,261,50,81,351,249,251,262,275,268,269,264,260,257,249,253,246,183,51,89,100,206,351,07
13 SIGTHETA °,ALPINE,29,40,22,45,39,34,20,32,22,27,27,23,28,28,29,27,24,26,28,28,28,21,23,20,28,45,03
,CHULA VISTA,41,40,29,41,51,33,35,42,67,25,24,22,22,23,23,21,22,20,21,21,17,18,19,19,29,67,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,23,19,32,15,52,38,39,54,73,43,42,26,24,26,24,26,28,22,18,19,15,15,20,17,30,73,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,15,44,42,36,44,44,34,53,39,40,23,20,19,19,21,22,18,13,10,8,7,7,8,17,25,53,07
,OTAY MESA DVN,22,29,42,20,30,49,71,46,30,24,19,16,15,14,16,15,14,12,14,15,23,11,31,16,25,71,06
,PENDLETON,46,36,35,37,31,41,30,60,13,13,16,17,15,13,12,12,15,19,25,44,28,43,55,34,29,60,07
14 VWSP MPH,ALPINE,.6,.5,1.0,1.2,.3,.9,1.0,1.6,3.4,4.0,4.6,5.7,5.9,6.3,5.7,5.4,4.8,3.6,2.4,.7,1.0,1.0,.6,.9,2.6,6.3,13
,CHULA VISTA,.6,1.0,1.7,.8,.8,1.7,1.5,.9,1.3,5.1,5.6,7.2,6.9,7.1,6.7,5.9,5.4,5.6,4.2,3.0,2.3,2.2,2.7,1.6,3.4,7.2,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.0,1.2,.8,1.1,.1,1.7,1.6,1.1,.8,3.1,4.0,6.2,6.4,6.5,6.1,5.3,4.6,4.9,4.8,3.9,3.0,2.5,1.7,1.5,3.1,6.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.6,1.5,1.2,.9,1.8,1.5,2.4,1.9,2.5,3.9,6.8,8.9,8.3,8.5,7.9,7.2,6.7,7.6,6.1,4.8,3.9,3.6,3.6,1.6,4.4,8.9,11
,OTAY MESA DVN,1.9,1.2,1.2,2.0,1.5,1.3,.9,1.6,2.5,4.1,7.0,8.1,9.3,8.3,8.2,7.8,7.9,8.1,5.6,3.6,2.3,2.4,2.0,1.6,4.2,9.3,12
,PENDLETON,1.3,1.1,1.8,1.1,1.3,1.9,2.1,1.4,5.2,5.6,5.2,5.0,5.4,5.8,6.2,6.0,5.3,4.2,2.8,2.3,2.2,1.2,1.0,1.5,3.2,6.2,14
15 SWSP MPH,ALPINE,1.2,.7,1.3,1.7,1.2,1.1,1.2,2.2,3.7,4.5,5.1,6.2,6.7,7.0,6.3,6.0,5.2,4.0,2.8,1.6,1.5,1.3,1.4,1.1,3.1,7.0,13
,CHULA VISTA,1.5,1.7,1.9,1.2,1.5,2.0,2.2,2.0,2.6,5.6,6.1,7.7,7.4,7.7,7.2,6.3,5.8,5.9,4.5,3.2,2.4,2.3,2.9,1.8,3.9,7.7,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.1,1.3,.9,1.1,.3,2.4,2.1,1.7,2.0,3.9,4.9,6.8,6.9,7.1,6.7,5.8,5.2,5.3,5.5,4.1,3.1,2.6,1.9,1.7,3.5,7.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.7,1.8,1.8,1.7,2.2,2.1,2.8,2.7,3.3,4.8,7.4,9.5,8.7,9.0,8.4,7.8,7.1,7.9,6.2,4.9,3.9,3.7,3.6,2.0,4.8,9.5,11
,OTAY MESA DVN,2.6,1.4,1.6,2.1,1.7,1.7,1.5,2.0,2.9,4.4,7.3,8.4,9.6,8.6,8.5,8.1,8.2,8.3,5.7,4.0,2.5,2.5,2.1,1.7,4.5,9.6,12
,PENDLETON,1.8,1.9,2.4,1.9,1.6,2.4,2.6,2.2,5.4,5.8,5.5,5.3,5.5,5.9,6.3,6.2,5.5,4.5,3.1,2.7,2.5,1.7,1.8,2.4,3.6,6.3,14
16 AMBTEMP °F,ALPINE,64.1,64.1,66.4,66.0,66.8,66.6,71.4,79.0,81.5,83.6,85.4,88.4,89.3,88.7,87.8,86.3,83.7,80.0,74.3,70.5,69.0,69.3,69.0,68.2,75.8,89.3,12
,CARMEL MT RCH,62.3,61.9,62.1,61.6,62.3,62.5,63.2,66.4,71.2,76.4,79.8,79.8,80.8,80.1,79.6,79.3,78.5,75.1,69.6,66.2,65.9,64.6,63.1,62.0,69.8,80.8,12
,CHULA VISTA,66.3,66.4,66.3,66.4,66.6,66.4,66.2,67.4,71.7,72.7,73.4,73.6,73.5,73.7,73.2,72.6,72.1,70.4,68.9,67.8,67.4,66.7,66.2,65.8,69.2,73.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,64.0,63.5,63.2,62.8,63.5,64.3,65.5,68.9,74.2,79.5,83.1,84.9,85.3,85.0,85.3,85.0,84.0,81.8,75.5,70.6,68.5,66.7,65.8,64.8,73.2,85.3,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.1,65.1,65.3,65.2,65.0,65.1,66.3,68.8,73.0,77.2,79.1,78.4,77.5,77.4,76.5,77.0,76.2,73.2,68.8,66.0,65.2,64.6,63.5,63.0,70.1,79.1,10
,OTAY MESA DVN,64.8,64.7,64.3,64.1,63.8,63.6,63.8,67.2,72.7,77.7,79.8,M,M,76.8,76.7,76.2,75.2,72.9,69.0,66.3,65.8,64.9,64.3,64.1,69.0,79.8,10
,PENDLETON,66.7,66.6,66.2,66.2,65.9,66.1,65.7,67.0,68.1,68.8,69.6,70.0,71.7,72.2,71.9,72.2,70.6,69.2,68.0,67.4,67.0,67.0,66.8,66.6,68.2,72.2,13
17 RELHUM %,ALPINE,80,79,69,64,59,61,52,38,41,38,39,30,31,33,32,34,34,40,52,51,55,54,47,47,48,80,00
,EL CAJON LES,87,88,88,89,87,86,83,74,64,55,48,45,44,43,42,41,40,42,60,73,78,83,85,87,67,89,03
,KEARNY MESA,87,87,87,87,88,88,85,80,70,60,58,59,59,59,60,56,57,66,78,85,88,90,92,92,76,92,22
18 PRES mmHg,KEARNY MESA,745,745,745,745,745,745,745,745,746,745,745,745,745,745,744,744,744,744,744,744,745,745,745,744,745,746,08
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,20,146,432,637,802,919,980,977,918,806,637,422,207,30,0,0,0,0,0,331,980,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,M,M,M,M,M,M,M,M,M,M,.1,.1,.1,.0,.0,.0,.0,.0,.0,.1,16
29 CO Tr PPB,EL CAJON LES,189.4,193.1,C,C,C,269.4,M,M,M,M,C,C,M,M,M,M,240.0,245.2,245.7,224.7,229.8,214.5,215.2,246.7,228.5,269.4,05
