,PENDLETON,64.7,63.4,62.5,62.6,62.5,62.0,61.8,62.7,65.3,67.1,68.5,70.7,72.3,73.0,73.1,72.9,72.3,71.7,70.5,69.8,69.8,69.2,68.0,67.3,67.7,73.1,14
17 RELHUM %,ALPINE,25,30,19,9,7,7,6,7,7,11,15,18,18,16,20,18,15,22,29,31,31,29,26,31,19,31,19
,EL CAJON LES,85,85,85,86,85,85,77,55,47,36,31,36,36,30,31,32,37,42,50,55,61,66,69,75,57,86,03
,KEARNY MESA,95,98,100,100,100,100,100,85,65,54,40,42,43,39,30,28,31,41,46,52,62,74,83,85,66,100,02
18 PRES mmHg,EL CAJON LES,749,748,748,748,748,749,749,749,750,750,750,750,750,749,749,749,749,749,749,749,749,750,750,750,749,750,08
,KEARNY MESA,750,750,749,750,750,750,751,751,751,751,752,752,751,751,751,751,751,750,750,751,751,751,751,751,751,752,10
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,0,0,40,188,395,590,740,848,903,904,832,720,550,344,148,18,-2,-2,-2,-1,-2,300,904,12
,KEARNY MESA,1,1,1,1,1,29,208,473,676,841,955,1009,991,917,791,624,418,201,32,1,1,1,1,1,341,1009,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,2,11,22,33,42,49,52,51,47,39,29,18,8,1,0,0,0,0,0,17,52,11
25 NOY,EL CAJON LES,5.90,6.33,5.19,5.77,7.61,C,C,M,M,M,M,M,6.41,5.92,5.43,5.37,6.02,5.89,6.24,6.72,6.72,6.50,7.04,7.46,6.26,7.61,04
26 NOY-NO,EL CAJON LES,5.78,6.21,5.06,5.63,6.96,C,C,M,M,M,M,M,5.31,4.80,4.34,4.08,4.70,4.71,5.47,6.25,6.28,6.30,6.87,7.28,5.64,7.28,23
27 NO Trace,EL CAJON LES,.11,.11,.12,.14,.65,C,C,M,M,M,M,M,1.09,1.11,1.09,1.28,1.32,1.17,.76,.47,.43,.20,.17,.17,.61,1.32,16
28 SO2 Tr PPB,EL CAJON LES,M,C,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
29 CO Tr PPB,EL CAJON LES,283.6,296.7,C,C,C,393.8,411.4,M,M,M,C,C,231.7,209.6,197.3,184.4,202.8,206.1,213.8,240.7,250.0,251.8,257.1,270.0,256.3,411.4,06
BCarbon ug/m3,10TH AVE MARINE TERM,.33,.62,.54,.55,<,2.02,<,1.01,<,1.25,.72,<,.43,<,<,.34,.27,<,<,.25,.24,.24,<,.19,.60,2.02,05
,BOSTON AVE,.34,.49,.53,.79,1.06,1.36,1.28,1.08,1.35,1.46,.70,.54,.42,.30,.25,.33,.25,.24,.31,.33,.34,.24,.29,.25,.61,1.46,09
,CHICANO PARK,.38,.49,.47,.49,.67,.87,<,1.09,1.44,1.41,.69,<,.53,<,<,.35,.29,.32,.32,.24,.25,.17,.18,<,.56,1.44,08
,DOWNTOWN SES,.39,<,.42,.39,<,.54,.89,<,1.02,1.41,.68,.51,.42,.32,.29,.23,.20,<,.20,.22,<,.15,<,.18,.47,1.41,09
,OCEANVIEW BLVD,.42,.47,.55,.49,<,<,<,1.18,1.22,1.54,.73,.55,.45,.34,.30,.30,.25,<,.30,.28,.36,<,.23,.22,.54,1.54,09
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,17.7,20.1,18.5,11.7,8.5,7.7,7.0,13.2,15.8,18.0,21.5,34.3,42.1,28.6,24.7,22.7,18.8,20.8,21.3,22.9,24.0,19.7,16.7,18.0,19.7,42.1,12
,CARMEL MT RCH,12.6,17.0,18.7,19.2,19.9,21.9,27.2,32.5,28.3,33.1,39.5,38.6,29.4,30.3,23.9,24.4,19.2,17.1,12.0,17.7,17.8,16.7,18.8,18.0,23.0,39.5,10
,CHULA VISTA,22.8,22.7,22.6,25.4,29.2,30.6,33.4,50.4,69.3,68.5,49.6,42.7,32.6,26.6,24.8,22.5,23.6,26.7,24.9,19.2,19.4,19.3,21.2,21.9,31.2,69.3,08
,DOWNTOWN SES,26.5,33.8,32.1,33.8,33.1,36.4,39.5,45.0,48.1,54.1,31.5,30.7,25.1,21.3,20.6,19.3,17.0,15.0,17.5,18.9,19.7,18.9,19.8,20.6,28.2,54.1,09
,EL CAJON LES,24.2,23.8,23.5,23.7,26.0,24.7,M,26.5,27.1,35.3,53.0,46.9,40.1,43.3,35.9,30.7,26.9,23.2,24.2,24.0,21.2,22.2,21.0,19.4,28.9,53.0,10
,KEARNY MESA,25.2,22.6,18.5,24.5,17.2,8.6,16.6,32.7,46.8,53.5,43.5,34.2,35.7,27.4,17.9,15.5,12.5,16.1,16.4,17.6,18.8,26.8,24.7,24.2,24.8,53.5,09
,OTAY MESA DVN,25.4,43.1,63.4,66.9,39.0,75.5,61.5,68.3,84.9,91.4,84.0,77.6,66.7,60.2,54.1,40.4,36.0,35.1,24.5,23.5,29.0,53.2,32.1,26.0,52.5,91.4,09
,PENDLETON,26.3,21.3,13.3,21.4,18.4,14.3,9.1,11.0,24.6,M,M,25.3,25.6,24.7,22.5,20.1,18.6,18.3,17.2,16.2,16.0,19.7,22.3,22.7,19.4,26.3,00
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
