,CHULA VISTA,67.7,67.2,66.5,66.6,67.0,67.2,67.5,69.0,72.2,73.5,74.8,75.0,76.1,76.0,75.2,75.1,74.2,73.0,70.2,69.0,68.2,67.7,67.3,67.4,70.6,76.1,12
,DOWNTOWN SES,65.9,66.0,66.2,66.2,66.3,66.6,67.1,69.9,74.9,74.6,75.8,76.7,76.3,76.3,77.1,77.3,75.4,73.5,69.4,67.6,66.7,66.4,66.1,65.7,70.6,77.3,15
,EL CAJON LES,67.8,66.8,66.3,66.2,66.0,65.4,65.8,67.3,M,M,M,M,M,M,M,84.3,82.7,79.2,75.1,71.2,69.1,68.1,67.4,66.3,70.3,84.3,15
,KEARNY MESA,64.8,65.1,64.7,64.8,65.1,65.9,66.8,68.2,69.9,71.4,74.4,76.1,76.6,76.7,76.3,76.7,74.2,71.0,68.0,66.2,66.0,65.1,64.6,65.1,69.3,76.7,13
,OTAY MESA DVN,64.1,64.0,64.1,64.1,63.8,63.5,63.7,64.5,67.0,72.7,75.8,76.6,77.4,77.0,75.8,75.1,74.1,71.6,68.0,65.7,64.5,64.0,64.1,64.5,68.6,77.4,12
,PENDLETON,66.5,66.3,66.9,66.9,66.8,66.9,66.8,66.6,66.8,67.4,68.1,69.4,69.6,69.3,70.0,70.2,69.6,69.1,67.5,66.7,66.0,65.5,64.9,64.7,67.4,70.2,15
17 RELHUM %,ALPINE,73,74,73,76,74,78,69,64,67,59,56,53,46,47,50,50,49,53,62,71,76,77,79,81,65,81,23
,EL CAJON LES,88,91,93,92,93,94,93,90,83,71,61,54,51,49,47,43,45,53,62,73,79,83,85,88,73,94,05
,KEARNY MESA,100,100,100,100,100,96,93,90,87,83,76,72,69,68,69,67,74,82,90,95,95,98,99,99,88,100,00
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,748,748,748,748,748,748,747,747,747,746,746,746,747,747,747,748,748,748,748,747,748,05
,KEARNY MESA,748,748,748,748,749,749,749,750,750,750,749,749,749,748,748,748,748,748,749,749,749,749,750,750,749,750,07
19 SOLAR W/M2,EL CAJON LES,0,0,1,1,1,6,41,117,357,695,860,918,907,835,705,531,326,111,2,-2,-2,-1,-1,-1,267,918,11
,KEARNY MESA,1,1,1,1,1,9,64,174,420,673,911,970,960,885,758,584,371,154,12,1,1,1,1,1,290,970,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,3,8,22,40,48,51,50,46,38,28,16,6,0,0,0,0,0,0,15,51,11
25 NOY,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
26 NOY-NO,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
27 NO Trace,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
28 SO2 Tr PPB,EL CAJON LES,.0,.0,.0,.0,-.1,-.1,-.1,-.1,.0,1.1,.5,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.1,09
29 CO Tr PPB,EL CAJON LES,322.5,315.4,297.8,261.8,258.2,255.7,267.6,314.7,325.8,345.8,320.8,C,264.1,242.3,227.0,213.0,199.3,207.0,212.5,217.0,198.9,205.0,225.9,215.3,257.1,345.8,09
BCarbon ug/m3,10TH AVE MARINE TERM,.28,.21,.17,.18,.20,.33,.32,.36,.46,<,.46,.41,.44,.35,<,<,<,.29,.23,.31,.33,<,.35,<,.32,.46,08
,BOSTON AVE,.46,.26,.23,.28,.47,.51,.57,.48,.63,.56,.50,.46,.40,.34,.36,.33,.31,.52,.55,.48,.39,.32,.41,.31,.42,.63,08
,CHICANO PARK,.31,.22,.20,<,.27,.40,<,.53,.62,.45,.39,.34,.30,.26,.33,.28,.25,.31,.39,.27,.24,.23,.33,.23,.33,.62,08
,DOWNTOWN SES,.29,.16,<,.15,.18,.33,<,.30,<,.41,.31,.39,.37,<,.30,<,.32,<,.31,.20,.18,.22,<,.18,.27,.41,09
,OCEANVIEW BLVD,.35,.29,.17,.16,<,.27,<,.33,<,<,.37,<,.38,<,.34,.34,.36,.28,.38,.26,.25,.41,.35,.24,.31,.41,21
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,17.2,17.0,15.4,16.5,14.5,16.9,18.1,19.2,19.5,18.7,22.3,25.2,20.9,23.7,28.2,23.8,20.6,23.7,21.0,20.0,22.2,20.3,19.8,26.2,20.4,28.2,14
,CARMEL MT RCH,17.1,11.4,14.6,18.5,21.7,24.1,23.5,26.1,32.9,31.0,27.8,29.1,28.4,25.1,22.5,20.5,19.4,19.8,16.3,13.7,14.3,15.0,15.4,14.7,20.9,32.9,08
,CHULA VISTA,25.3,21.7,20.3,20.4,18.1,20.0,21.1,19.5,22.2,30.9,31.6,26.7,31.6,28.1,25.0,23.1,24.3,19.0,18.8,16.1,15.8,14.2,16.5,18.3,22.0,31.6,10
,DOWNTOWN SES,38.9,18.8,19.2,21.5,21.7,22.3,22.6,23.0,27.4,29.7,29.0,26.8,26.5,29.5,21.8,20.5,19.1,18.2,17.2,15.7,20.8,24.8,34.5,18.7,23.6,38.9,00
,EL CAJON LES,23.1,22.8,23.0,20.9,21.3,17.5,21.0,27.3,26.0,26.8,26.2,26.4,30.2,31.0,27.9,23.0,20.3,17.6,18.3,16.8,15.9,15.7,15.7,16.6,22.1,31.0,13
,KEARNY MESA,9.0,10.5,15.7,16.3,17.8,18.0,22.2,27.5,28.0,24.9,34.4,31.5,28.3,25.9,22.0,20.0,19.2,17.2,14.6,13.5,15.0,13.8,18.4,15.2,19.9,34.4,10
,OTAY MESA DVN,10.1,10.0,12.8,23.2,25.6,29.8,29.9,33.2,31.4,26.7,28.8,33.6,33.1,41.0,31.7,24.1,23.2,20.8,18.5,16.3,21.8,20.6,21.5,23.1,24.6,41.0,13
,PENDLETON,28.4,30.4,26.5,43.1,39.3,26.2,26.9,43.0,30.8,25.5,28.5,25.4,23.7,23.1,24.9,24.1,18.2,14.9,20.1,28.0,26.3,26.0,44.6,22.0,27.9,44.6,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
