,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,03
,DOWNTOWN SES,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25.8,25.7,25.4,25.3,25.5,25.8,25.7,25.8,26.0,25.7,25.6,25.0,25.1,25.0,25.0,25.0,25.2,25.2,25.3,25.5,25.7,25.9,25.8,25.7,25.5,26.0,08
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,25,25,24,25,25,25,25,25,24,24,24,24,24,24,24,24,24,P,25,25,24,25,25,25,00
11 PM2.5 µg/M3,ALPINE,12.0,14.9,11.5,14.3,9.3,5.7,10.9,11.3,9.4,14.6,16.1,16.4,14.3,12.6,12.2,13.2,12.8,12.8,13.9,12.6,12.8,15.9,16.0,14.0,12.8,16.4,11
,DOWNTOWN SES,10.0,11.6,11.1,13.4,12.9,13.1,8.7,8.6,8.0,3.5,4.5,6.1,9.9,15.4,3.4,7.0,6.4,4.8,4.8,6.3,5.0,9.4,6.8,6.1,8.2,15.4,13
,EL CAJON LES,13.3,11.0,12.3,11.4,10.6,12.6,11.6,15.3,17.0,26.9,18.8,12.9,11.0,8.5,9.9,16.1,13.7,11.0,6.8,8.9,9.3,7.8,5.6,6.5,12.0,26.9,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.0,9.7,10.4,7.8,22.0,27.6,38.0,34.1,35.4,24.4,14.2,14.5,17.2,11.6,17.3,15.7,10.4,10.0,12.6,9.3,9.7,9.2,9.6,5.9,15.9,38.0,06
,PENDLETON,9.2,9.5,7.8,8.2,12.4,16.5,13.2,7.6,10.5,8.3,12.5,13.7,10.9,10.8,10.7,11.7,10.3,8.2,8.3,M,M,6.5,14.5,10.7,10.5,16.5,05
12 VWDR °,ALPINE,134,48,86,21,86,30,106,286,266,291,280,262,278,277,286,310,311,306,315,312,102,82,315,358,0,358,23
,CHULA VISTA,269,240,58,340,214,164,218,215,207,199,253,250,246,245,256,251,247,245,242,214,217,234,229,189,0,340,03
,DOWNTOWN SES,176,168,140,28,201,226,M,M,186,203,215,221,209,202,217,221,204,212,217,213,201,211,217,227,0,227,23
,EL CAJON LES,181,151,183,120,208,173,172,228,242,251,275,286,263,225,223,228,208,210,202,220,209,202,197,205,0,286,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,161.1,99.8,181.0,188.4,227.7,144.0,161.6,166.1,164.9,174.5,197.0,183.6,216.8,209.7,207.2,229.7,239.1,245.0,235.8,217.5,188.0,183.3,155.0,129.2,.0,245.0,17
,OTAY MESA DVN,343,332,357,345,152,173,339,268,294,294,302,299,292,300,290,300,294,291,300,319,346,350,341,342,0,357,02
,PENDLETON,176,187,200,210,244,243,233,210,169,177,179,202,205,206,211,208,189,189,178,P,162,166,169,170,0,244,04
13 SIGTHETA °,ALPINE,50,24,28,29,17,47,69,22,24,32,31,39,36,38,29,27,27,26,21,26,44,43,55,55,35,69,06
,CHULA VISTA,51,37,66,48,56,43,32,24,24,33,26,22,21,22,20,25,25,23,20,19,21,21,25,28,31,66,02
,DOWNTOWN SES,46,29,55,37,36,21,M,20,14,19,18,19,20,19,26,24,25,24,24,24,22,21,26,22,26,55,02
,EL CAJON LES,20,34,59,46,37,29,27,31,50,39,38,36,32,29,26,27,23,22,15,18,20,23,21,23,30,59,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58,32,37,22,54,52,20,19,19,18,23,31,25,23,20,20,16,17,13,14,11,20,27,20,25,58,00
,OTAY MESA DVN,14,31,21,27,30,46,53,34,29,39,30,19,17,14,16,16,13,13,11,14,15,18,16,16,23,53,06
,PENDLETON,18,13,17,17,21,15,22,15,16,15,14,15,16,15,16,16,18,17,13,13,17,18,14,17,16,22,06
14 VWSP MPH,ALPINE,.9,1.0,1.2,1.3,2.0,.9,.3,2.6,3.5,3.7,3.9,3.9,4.4,4.3,4.9,5.4,4.4,3.2,2.7,1.0,1.5,.3,.4,.6,.0,5.4,15
,CHULA VISTA,1.1,.6,.6,.9,.8,1.3,2.2,3.5,3.4,3.3,5.4,6.9,7.6,7.6,7.1,6.4,5.2,4.5,4.0,3.1,3.1,2.5,2.1,1.5,.0,7.6,12
,DOWNTOWN SES,1.4,1.8,.5,1.4,1.2,2.7,M,M,7.1,6.4,7.3,7.2,7.5,8.1,7.4,6.3,5.4,4.6,3.9,3.7,4.2,4.1,3.0,3.1,.0,8.1,13
,EL CAJON LES,2.1,1.8,.9,1.2,1.7,2.6,1.8,2.5,2.0,2.8,3.6,4.6,4.8,5.5,6.3,5.7,5.2,4.4,4.8,3.4,2.8,2.4,1.6,1.8,.0,6.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,1.2,2.1,1.5,1.8,1.0,1.6,3.8,5.1,5.4,6.0,5.9,5.5,7.0,8.1,8.2,7.7,8.1,6.7,5.4,4.6,4.5,3.0,2.2,1.5,.0,8.2,14
,OTAY MESA DVN,2.5,.0,.4,2.7,1.5,.9,.1,1.5,3.4,4.1,5.2,7.6,8.3,8.5,8.7,8.3,8.2,7.0,6.5,4.5,3.0,1.1,2.4,2.7,.0,8.7,14
,PENDLETON,3.5,3.0,3.3,2.8,2.0,1.8,2.4,3.4,4.6,5.8,7.7,8.1,7.1,7.4,7.7,7.1,5.7,4.6,5.1,P,4.3,4.7,4.8,3.3,.0,8.1,11
15 SWSP MPH,ALPINE,1.2,1.2,1.4,1.8,2.1,2.1,1.2,2.9,3.9,4.4,4.7,4.7,5.3,5.5,5.8,5.9,4.9,3.6,2.9,1.2,2.0,.8,.7,1.0,3.0,5.9,15
,CHULA VISTA,1.5,1.1,1.6,2.1,1.3,1.8,2.6,3.9,3.8,3.8,6.0,7.3,8.1,8.1,7.6,7.0,5.6,4.9,4.3,3.3,3.3,2.7,2.3,1.7,4.0,8.1,12
,DOWNTOWN SES,2.1,2.3,1.5,1.6,2.3,2.8,M,M,7.3,6.9,7.9,7.7,8.0,8.6,8.2,6.9,5.9,5.0,4.3,4.1,4.6,4.6,3.2,3.4,5.0,8.6,13
,EL CAJON LES,2.3,2.1,1.3,1.9,2.0,2.8,2.7,3.0,2.7,3.5,4.2,5.5,5.8,6.4,7.0,6.3,5.7,4.7,5.0,3.6,3.0,2.7,1.8,1.9,3.7,7.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.9,2.8,2.0,2.1,1.3,2.5,4.1,5.6,5.7,6.4,6.3,6.6,7.7,8.9,8.7,8.4,8.4,7.1,5.6,4.9,4.6,3.5,2.5,2.2,5.0,8.9,13
,OTAY MESA DVN,2.6,.0,.4,2.8,1.6,1.0,.8,2.0,4.1,4.9,6.1,8.0,8.6,8.8,9.2,8.6,8.4,7.2,6.6,4.8,3.1,1.1,2.5,2.8,4.4,9.2,14
,PENDLETON,3.7,3.2,3.5,3.0,2.3,1.9,2.7,3.5,4.9,6.0,7.9,8.4,7.3,7.6,8.0,7.4,6.0,4.9,5.2,P,4.5,4.9,5.0,3.5,5.0,8.4,11
16 AMBTEMP °F,ALPINE,70.9,71.5,71.9,73.0,75.4,77.0,75.8,74.3,72.1,74.6,78.1,81.6,84.4,85.6,85.6,82.0,79.0,76.3,72.0,68.6,68.4,68.8,68.2,68.7,75.2,85.6,13
,CARMEL MT RCH,62.0,61.5,61.8,62.2,61.8,62.4,63.4,64.8,66.9,68.9,72.7,77.4,82.3,83.9,81.5,80.1,77.8,73.6,68.3,65.1,63.9,62.2,62.2,62.1,68.7,83.9,13
,CHULA VISTA,64.2,64.3,64.4,64.4,64.3,64.3,64.0,64.2,65.0,67.3,71.0,71.5,72.0,71.8,71.6,70.9,70.0,68.3,66.3,65.2,64.5,63.7,63.7,63.6,66.7,72.0,12
,DOWNTOWN SES,64.3,64.1,63.9,64.1,64.0,63.4,63.0,63.3,64.0,65.0,66.4,68.0,69.4,69.8,69.6,69.0,67.9,66.8,65.5,65.1,65.2,64.9,64.7,64.6,65.7,69.8,13
,EL CAJON LES,64.6,64.6,64.1,64.4,63.7,63.7,64.5,65.2,66.2,69.6,73.8,78.3,81.3,81.6,80.1,78.9,77.4,74.9,70.3,66.9,65.3,63.9,63.3,63.7,69.6,81.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.6,65.1,64.6,64.4,64.5,64.7,64.3,64.4,64.2,65.7,67.7,72.4,75.2,75.7,74.9,74.1,71.9,69.7,67.1,65.3,64.6,64.7,65.0,64.8,67.5,75.7,13
,OTAY MESA DVN,62.2,62.4,62.1,61.9,61.7,62.3,63.4,64.8,66.7,70.5,74.4,77.5,77.8,77.5,77.1,74.6,72.5,70.2,66.4,63.6,62.6,61.5,61.2,61.1,67.3,77.8,12
,PENDLETON,64.4,64.2,64.2,64.0,64.0,64.2,64.3,64.4,65.3,66.3,67.6,70.6,71.6,72.2,72.2,71.0,69.3,68.3,66.2,P,65.3,65.0,65.1,65.2,66.7,72.2,13
17 RELHUM %,ALPINE,65,57,55,53,37,31,38,53,66,60,52,45,38,34,35,42,46,53,65,76,76,72,72,68,54,76,19
,EL CAJON LES,89,90,91,90,92,92,90,88,85,76,66,57,52,50,52,54,57,62,70,78,82,86,88,87,76,92,04
,KEARNY MESA,92,93,95,95,95,95,95,95,94,90,84,72,65,64,65,66,70,74,80,85,87,88,88,88,84,95,02
18 PRES mmHg,EL CAJON LES,748,747,747,747,747,747,748,748,748,749,748,748,748,747,747,747,747,746,747,747,748,748,748,748,748,749,09
,KEARNY MESA,749,748,748,748,748,748,749,749,750,750,750,749,749,749,748,748,748,748,748,748,749,749,749,749,749,750,08
19 SOLAR W/M2,EL CAJON LES,-4,-4,-5,-4,-4,14,59,96,171,603,901,960,949,875,768,588,383,168,15,-7,-6,-6,-6,-4,271,960,11
,KEARNY MESA,0,0,0,0,0,12,45,79,140,234,524,1021,1013,946,822,655,446,215,31,0,0,0,0,0,258,1021,11
25 NOY,EL CAJON LES,4.74,4.60,4.36,4.74,4.95,C,C,8.09,11.97,13.21,14.18,9.80,6.57,4.79,4.18,4.81,4.17,3.68,3.97,4.17,3.87,3.54,3.91,3.86,6.00,14.18,10
26 NOY-NO,EL CAJON LES,4.45,4.57,4.35,4.70,4.80,C,C,6.85,10.18,10.02,11.04,8.06,5.75,3.87,3.67,3.96,3.60,3.22,3.61,4.00,3.62,3.38,3.69,3.79,5.23,11.04,10
27 NO Trace,EL CAJON LES,.29,.02,.01,.04,.14,C,C,1.23,1.79,3.18,3.13,1.74,.82,.92,.50,.84,.57,.46,.36,.16,.24,.15,.22,.06,.76,3.18,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,M,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,M,C,C,C,C,C,M,M,M,M,C,C,M,M,M,M,C,M,M,M,M,M,C,C,,M,M
BCarbon ug/m3,10TH AVE MARINE TERM,.61,.47,.72,.91,1.08,.92,.81,.96,.27,.22,.24,.35,.26,.31,.34,.22,.31,.41,.23,.33,.21,.19,.19,.27,.45,1.08,04
,ALPINE,.41,.30,.30,.28,.18,.19,.40,.60,.51,.49,.60,.89,1.00,.68,.35,.31,.32,.35,.37,.36,.43,.45,.46,.35,.44,1.00,12
,CHICANO PARK,.60,.56,.74,.95,1.11,1.11,.82,1.02,.32,.31,.38,.30,.36,.33,.24,.23,.27,.24,.28,.29,.17,.30,.27,.30,.48,1.11,04
,DOWNTOWN SES,.64,.59,.67,.68,.96,1.11,.61,.86,.19,.19,.29,.24,.20,.26,.24,.23,.24,.25,.24,.18,.17,.17,.25,.27,.41,1.11,05
,OCEANVIEW BLVD,.54,.60,.70,.70,.99,1.13,1.36,.98,.37,.39,.49,.32,.35,.36,.29,.22,.31,.22,.21,.26,.23,.24,.23,.23,.49,1.36,06
,SAN YSIDRO,.83,1.12,.96,.97,.90,1.11,1.58,.71,.82,.46,.61,.51,.48,.31,.30,.25,.22,.16,.21,.42,1.09,.87,.50,.33,.66,1.58,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
