20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,2,10,22,32,40,44,44,40,32,21,10,2,0,0,0,0,0,0,12,44,11
25 NOY,EL CAJON LES,<,<,<,<,C,C,C,P,P,C,C,4.35,5.15,5.34,7.04,8.16,7.13,7.92,9.57,10.37,14.38,17.53,11.38,15.48,9.52,17.53,21
26 NOY-NO,EL CAJON LES,<,<,<,<,C,C,C,P,P,C,C,2.47,3.36,3.86,5.29,6.46,5.91,7.13,8.41,9.70,13.07,16.58,10.57,13.75,8.19,16.58,21
27 NO Trace,EL CAJON LES,<,<,<,<,C,C,C,P,P,C,C,1.87,1.78,1.48,1.74,1.69,1.22,.79,1.16,.67,1.30,.94,.80,1.73,1.32,1.87,11
28 SO2 Tr PPB,EL CAJON LES,<,C,C,C,C,<,<,P,P,.0,.0,.0,C,C,C,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,15
29 CO Tr PPB,EL CAJON LES,<,C,C,C,C,C,<,P,P,225.5,183.2,C,C,C,C,227.5,C,228.0,242.6,399.6,344.8,398.2,307.1,409.3,296.5,409.3,23
BCarbon ug/m3,10TH AVE MARINE TERM,.11,.33,.69,.82,.83,1.15,1.10,1.00,.94,.88,.73,.27,.22,.23,.17,.16,.18,.20,.25,.42,.62,.98,1.54,1.27,.63,1.54,22
,BOSTON AVE,.16,.46,.46,.62,.87,1.27,1.76,1.45,.90,.93,.74,.39,.52,.32,.21,.25,.24,.22,.23,.35,.44,2.44,2.24,2.39,.83,2.44,21
,CHICANO PARK,.16,.28,.30,.40,.48,.74,1.05,.90,.70,.74,.66,.24,.22,.19,.18,.22,.26,.39,.64,.39,.67,1.25,1.39,1.65,.59,1.65,23
,DOWNTOWN SES,.09,.28,.24,.28,.35,.47,.63,.68,.53,.41,.35,.14,.22,.17,.13,.13,.12,.16,.23,.29,.53,.85,1.22,1.06,.40,1.22,22
,OCEANVIEW BLVD,.11,.26,.34,.38,.39,.79,.85,.87,.45,.28,.28,.19,.21,.22,.20,.19,.30,.24,.30,.46,.91,1.12,1.31,1.42,.50,1.42,23
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,7.0,6.2,6.5,6.8,7.3,6.3,8.5,11.2,12.0,9.6,9.5,9.2,9.2,9.6,9.0,11.2,18.1,17.2,19.0,19.9,20.4,16.1,17.7,17.4,11.8,20.4,20
,DOWNTOWN SES,11.4,16.0,14.3,13.8,13.3,13.1,12.3,16.5,21.4,20.3,19.4,17.9,20.5,20.3,17.6,15.7,15.1,13.8,15.1,15.7,18.2,20.0,24.6,25.3,17.1,25.3,23
,EL CAJON LES,<,<,<,<,<,<,<,P,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
,OTAY MESA DVN,12.0,13.5,11.0,11.4,11.5,17.0,23.2,21.4,35.6,23.1,27.9,21.3,21.3,20.8,18.5,24.5,25.7,21.2,18.8,19.6,20.4,24.9,33.4,33.0,21.2,35.6,08
,PENDLETON,7.1,8.3,8.0,9.1,7.5,7.0,8.3,8.7,10.4,18.4,24.3,16.9,12.9,14.9,13.8,14.4,14.5,13.3,14.4,13.5,17.9,12.4,13.1,10.7,12.4,24.3,10
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,-.04,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
