,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,37,36,14,14,14,15,12,14,15,17,25,17,14,18,19,18,15,12,10,10,11,9,9,9,16,37,00
,OTAY MESA DVN,12,14,P,11,9,<,15,18,27,45,14,43,16,12,14,14,14,12,13,22,13,13,9,10,17,45,09
,PENDLETON,15,15,27,43,22,19,21,21,20,15,17,P,P,13,13,13,13,13,13,12,11,13,12,18,17,43,03
14 VWSP MPH,ALPINE,3.1,2.8,2.4,3.3,3.6,3.1,2.7,2.5,2.8,2.8,3.1,3.0,2.9,3.7,3.6,3.3,2.7,2.5,2.1,1.8,2.2,2.0,1.4,2.2,.0,3.7,13
,CHULA VISTA,4.0,2.7,3.2,4.4,3.4,1.8,3.6,2.0,5.2,5.7,6.6,7.1,7.2,M,6.7,6.9,M,M,M,M,M,M,M,M,.0,7.2,12
,DOWNTOWN SES,4.7,4.8,5.1,5.6,5.3,4.6,4.9,5.1,4.7,4.7,4.4,5.7,4.5,6.1,5.8,5.8,4.5,4.1,2.6,2.3,3.6,3.2,3.0,4.3,.0,6.1,13
,EL CAJON LES,1.7,2.6,2.7,1.8,2.5,2.5,2.5,3.0,3.5,3.1,2.2,3.5,4.5,4.5,4.0,4.4,3.8,2.6,2.7,2.3,1.0,1.3,2.4,2.7,.0,4.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.0,2.7,2.2,5.2,5.7,5.2,6.4,5.5,6.2,4.7,4.5,4.6,5.2,5.6,5.9,6.0,5.4,5.3,3.8,3.7,4.1,3.6,4.1,4.5,.0,6.4,06
,OTAY MESA DVN,5.1,2.0,P,1.8,2.6,3.1,3.6,3.0,2.4,1.4,3.8,2.0,6.3,7.1,6.5,6.2,6.3,5.2,4.5,2.9,2.4,2.9,4.9,4.9,.0,7.1,13
,PENDLETON,4.7,5.1,3.0,1.6,3.2,4.0,2.9,3.2,3.4,5.1,4.8,P,P,7.6,6.7,5.9,5.1,5.4,5.4,6.3,7.6,6.3,6.1,4.9,.0,7.6,13
15 SWSP MPH,ALPINE,3.3,3.1,2.6,3.7,3.9,3.3,3.0,2.8,3.1,3.1,3.5,3.3,3.3,4.2,4.0,3.5,3.1,2.8,2.2,1.9,2.3,2.3,1.5,2.5,3.0,4.2,13
,CHULA VISTA,4.2,2.9,3.6,4.7,3.7,2.1,3.9,4.2,5.2,5.7,6.6,7.1,7.2,M,6.7,6.9,5.6,5.8,4.6,3.4,4.1,2.7,2.7,5.4,4.7,7.2,12
,DOWNTOWN SES,5.1,5.1,5.4,5.8,5.6,4.8,5.3,5.4,5.2,5.2,5.1,6.2,5.0,6.6,6.2,6.3,4.9,4.6,2.9,2.7,3.9,3.5,3.3,4.6,4.9,6.6,13
,EL CAJON LES,2.2,2.8,3.0,2.0,2.6,2.9,2.8,3.3,3.8,3.5,2.7,3.9,5.1,5.1,4.5,4.7,4.1,3.0,2.9,2.5,1.4,1.5,2.6,2.9,3.2,5.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.7,3.1,2.7,5.4,5.9,5.4,6.6,5.7,6.4,4.9,4.9,4.8,5.5,6.3,6.3,6.6,5.6,5.4,3.9,3.7,4.2,3.7,4.1,4.5,4.9,6.6,06
,OTAY MESA DVN,5.3,2.0,P,1.8,2.6,3.2,3.7,3.1,3.4,2.8,4.1,4.1,6.6,7.4,6.8,6.4,6.5,5.4,4.6,3.3,2.5,3.0,4.9,5.0,4.3,7.4,13
,PENDLETON,5.0,5.3,3.7,2.0,3.5,4.2,3.1,3.5,3.6,5.3,5.0,P,P,7.8,6.9,6.1,5.2,5.5,5.5,6.5,7.7,6.4,6.2,5.2,5.1,7.8,13
16 AMBTEMP °F,ALPINE,47.5,47.5,47.5,47.3,47.1,47.0,47.1,47.4,47.7,49.0,50.2,50.7,51.7,51.1,50.2,50.1,49.7,49.1,49.1,49.2,49.4,49.3,49.3,49.4,48.9,51.7,12
,CARMEL MT RCH,52.9,52.7,52.4,52.3,52.6,53.2,54.0,53.9,54.5,56.5,56.5,58.2,59.1,58.7,57.8,57.6,57.6,57.4,56.9,56.3,55.9,55.7,55.4,54.9,55.5,59.1,12
,CHULA VISTA,54.9,55.5,55.7,55.6,55.3,55.3,55.6,56.4,57.2,58.8,59.5,59.8,60.0,59.9,59.8,59.4,59.3,58.8,58.7,59.0,59.3,59.2,59.1,58.4,57.9,60.0,12
,DOWNTOWN SES,56.8,56.4,56.3,56.1,55.6,55.3,55.3,56.1,56.8,58.0,59.3,58.8,58.7,59.4,59.6,59.5,59.1,58.6,59.0,59.0,58.7,58.6,58.7,58.6,57.8,59.6,14
,EL CAJON LES,53.6,53.1,53.0,53.3,53.7,53.9,54.6,55.4,56.5,57.6,58.5,59.0,58.1,58.5,58.3,58.2,57.8,56.7,56.3,56.5,57.2,57.8,57.4,57.2,56.3,59.0,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.2,54.6,54.4,55.1,55.1,55.3,55.9,56.0,56.0,56.2,56.6,56.1,57.0,58.7,59.3,59.4,59.1,58.8,58.1,57.7,57.6,57.5,57.4,57.4,56.9,59.4,15
,OTAY MESA DVN,53.0,52.5,P,52.7,52.7,52.7,53.6,54.8,55.4,55.6,55.7,56.6,57.1,57.1,56.9,57.0,56.4,56.3,55.8,55.5,55.5,55.4,55.4,55.4,55.2,57.1,12
,PENDLETON,58.7,58.2,56.5,56.2,57.2,57.5,58.0,58.2,59.0,60.9,61.7,P,P,62.9,62.4,61.5,61.2,60.2,59.7,59.0,58.7,58.2,58.5,58.8,59.2,62.9,13
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,100,100,100,100,98,96,99,100,100,100,100,100,100,100,100,100,100,100,100,00
,EL CAJON LES,92,93,95,93,91,90,87,83,78,74,71,71,75,72,73,74,76,83,87,86,82,78,79,80,82,95,02
,KEARNY MESA,91,92,95,86,86,84,86,86,87,87,86,90,85,77,72,72,74,74,77,82,83,83,84,84,83,95,02
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,748,748,749,749,749,749,749,749,748,748,748,748,748,748,748,749,749,749,749,748,749,07
,KEARNY MESA,749,749,749,748,749,749,749,750,750,750,750,750,750,749,749,749,749,749,749,749,750,750,750,750,749,750,07
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,-1,-2,4,71,101,180,136,204,165,99,142,110,57,44,12,0,-1,-1,-1,0,0,55,204,10
,KEARNY MESA,1,1,1,0,0,19,107,132,125,278,169,141,183,171,205,127,83,32,4,1,1,1,1,1,74,278,09
25 NOY,EL CAJON LES,2.38,1.89,1.33,1.64,2.50,C,C,5.89,4.46,4.28,4.59,5.71,5.67,5.61,5.33,5.48,4.64,4.61,5.18,4.84,5.34,5.62,3.30,2.69,4.22,5.89,07
26 NOY-NO,EL CAJON LES,2.19,1.89,1.32,1.63,2.05,C,C,4.90,3.83,3.67,3.99,4.91,5.02,4.81,4.67,4.98,4.05,4.32,4.99,4.77,5.27,5.52,3.24,2.66,3.84,5.52,21
27 NO Trace,EL CAJON LES,.19,.00,.00,.00,.44,C,C,.99,.62,.61,.60,.80,.64,.79,.66,.50,.58,.28,.19,.06,.07,.09,.05,.02,.37,.99,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,164.9,155.1,C,C,C,201.3,203.8,217.7,203.3,204.2,218.4,221.2,254.6,240.0,250.6,232.8,223.7,212.4,238.8,246.5,248.6,220.5,179.8,157.1,214.0,254.6,12
BCarbon ug/m3,10TH AVE MARINE TERM,.04,.05,.04,.04,.04,.04,.05,.14,.05,.05,.06,.10,.19,.15,.09,.13,.16,.11,.10,.15,.12,.14,.09,.07,.09,.19,12
,ALPINE,.24,.24,.11,.03,.03,.06,.08,.08,.07,.09,.12,.14,.18,.20,.30,.19,.20,.17,.15,.18,.14,.18,.17,.20,.15,.30,14
,CHICANO PARK,.32,.15,.26,.41,.39,.33,.55,.39,.32,.36,.26,.28,.36,.43,.30,.43,.28,.18,.27,.26,.30,.22,.23,.17,.31,.55,06
,DOWNTOWN SES,.05,.06,.07,.08,.08,.10,.12,<,.11,.14,.28,.22,.23,.23,.21,.20,.37,.28,.34,.39,.22,.37,.18,.11,.19,.39,19
,OCEANVIEW BLVD,.07,.06,.07,.10,.19,.23,.25,.21,<,<,.16,,,,,,,,,,,,,,.15,.25,06
,SAN YSIDRO,.95,.31,.25,.12,.22,.24,.28,.35,.14,.10,.13,.07,.10,.09,.09,.11,.13,.29,.15,.11,.09,.09,.08,.07,.19,.95,00
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,09
