Current Date:,9/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,123,84,217,173,160,175,154,128,251,173,220,271,294,293,291,295,287,283,289,299,344,103,85,97,212,344,20
,PENDLETON,65,114,101,119,111,100,85,68,97,220,224,229,240,263,273,274,274,275,285,307,340,29,50,38,174,340,20
13 SIGTHETA °,ALPINE,52,51,25,19,43,60,37,59,50,47,47,44,50,42,39,26,29,23,18,34,27,45,59,39,40,60,05
,CHULA VISTA,15,18,21,22,24,24,31,28,62,55,36,26,22,21,23,20,21,20,18,17,19,18,18,24,25,62,08
,DOWNTOWN SES,17,21,20,18,18,25,20,32,46,49,29,22,22,29,27,23,19,26,20,23,21,22,24,24,25,49,09
,EL CAJON LES,34,36,26,23,18,23,24,20,35,70,61,60,59,29,23,24,24,19,16,18,20,17,44,28,31,70,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,13,11,12,14,12,13,32,44,38,51,33,19,19,17,17,14,11,10,9,8,9,36,10,20,51,10
,OTAY MESA DVN,19,16,27,14,17,22,17,33,47,74,42,37,24,18,18,16,13,11,11,18,24,25,11,8,23,74,09
,PENDLETON,16,14,11,13,15,15,17,17,36,25,36,24,15,12,15,15,16,16,18,16,14,10,12,10,17,36,08
14 VWSP MPH,ALPINE,.1,.8,.7,1.0,.2,.4,1.4,.5,1.7,2.1,2.8,3.9,3.5,3.9,4.3,5.1,4.0,2.9,1.6,.3,.6,.3,.5,.9,1.8,5.1,15
,CHULA VISTA,1.5,1.2,1.6,2.1,3.1,2.2,1.4,2.0,1.2,.8,4.1,5.9,7.0,7.4,6.6,7.8,6.1,5.8,4.2,3.1,2.4,1.4,.6,.5,3.3,7.8,15
,DOWNTOWN SES,3.4,2.6,4.0,4.3,4.5,2.6,3.2,2.4,2.1,3.2,4.9,7.2,7.6,6.5,6.6,7.6,7.6,5.0,4.8,3.5,3.0,1.8,1.2,.7,4.2,7.6,12
,EL CAJON LES,2.7,1.3,2.1,3.2,3.2,2.2,3.0,3.2,2.5,.5,2.3,2.0,3.6,6.0,6.5,6.0,5.4,5.2,5.0,3.7,2.8,1.9,.7,.1,3.1,6.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.6,3.0,4.0,6.2,7.2,6.0,4.2,2.4,3.0,3.4,3.9,7.5,9.8,9.4,9.9,10.0,8.8,8.2,5.8,5.1,4.0,3.1,1.2,2.0,5.4,10.0,15
,OTAY MESA DVN,3.1,2.6,1.7,3.9,5.9,4.7,4.1,1.8,2.1,1.6,4.0,5.7,7.7,10.3,9.3,8.9,9.6,7.9,5.7,2.8,1.0,.5,.8,1.6,4.5,10.3,13
