Current Date:,9/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
14 VWSP MPH,ALPINE,.6,1.1,.4,.5,1.2,1.7,1.9,1.0,2.9,2.7,4.1,4.8,5.9,5.2,4.7,3.7,3.7,2.6,1.6,1.8,.4,1.5,.3,.7,2.3,5.9,12
,CHULA VISTA,.8,1.4,1.1,1.1,.9,.8,1.0,1.9,4.6,7.2,8.2,8.1,8.4,7.4,7.5,7.5,6.3,5.0,3.4,1.7,2.3,.7,1.1,1.9,3.8,8.4,12
,DOWNTOWN SES,2.1,5.1,5.2,4.4,4.9,4.2,3.5,4.5,7.6,8.1,8.3,7.3,8.5,7.5,7.7,9.3,10.2,12.4,8.8,5.3,4.6,4.0,4.6,7.7,6.5,12.4,17
,EL CAJON LES,.9,.9,1.0,1.0,.7,.9,1.2,.9,3.5,5.2,6.2,5.2,6.3,6.2,5.5,6.4,6.1,3.6,3.5,4.7,4.4,2.9,1.9,1.3,3.4,6.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.5,1.2,2.0,4.3,4.7,4.9,4.5,2.5,6.2,P,7.4,6.4,7.5,7.3,6.5,8.0,9.2,10.3,6.8,4.3,1.8,3.3,5.7,5.6,5.3,10.3,17
,OTAY MESA DVN,1.4,1.1,4.2,5.2,2.7,.7,1.5,2.0,3.8,4.2,7.3,7.0,7.0,6.4,5.7,6.8,8.7,7.5,2.2,5.4,6.9,5.5,2.5,.3,4.4,8.7,16
,PENDLETON,2.0,3.7,4.0,3.7,3.8,3.3,4.6,4.6,3.3,5.1,4.4,4.1,4.5,6.2,6.7,6.4,6.8,8.5,8.3,5.4,2.2,2.9,1.8,1.1,4.5,8.5,17
15 SWSP MPH,ALPINE,1.4,1.4,1.6,.8,1.3,2.1,2.6,2.6,3.1,3.3,4.7,5.4,6.6,6.0,5.6,4.5,4.4,2.9,2.1,2.1,1.2,3.6,2.5,1.8,3.1,6.6,12
,CHULA VISTA,.9,1.7,1.5,1.2,1.1,1.0,1.3,2.3,5.1,7.6,8.8,8.6,9.0,8.0,8.0,8.0,6.8,5.4,3.7,1.9,2.5,1.3,1.3,2.2,4.1,9.0,12
,DOWNTOWN SES,2.3,5.4,5.5,4.8,5.2,4.5,3.7,5.1,8.1,8.7,9.1,8.1,9.2,8.1,8.4,9.9,10.7,12.9,9.3,5.7,4.9,4.3,4.9,8.1,7.0,12.9,17
,EL CAJON LES,1.4,1.0,1.8,1.3,.9,1.1,1.4,1.7,4.0,5.7,6.6,5.9,7.0,6.7,6.0,6.8,6.6,4.1,4.2,5.0,4.8,4.2,2.5,1.6,3.8,7.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.9,1.5,2.3,4.5,5.0,5.2,5.0,3.2,6.7,P,7.9,6.9,8.1,7.9,7.2,8.6,9.7,10.6,7.2,4.5,2.4,3.9,6.0,6.0,5.7,10.6,17
,OTAY MESA DVN,1.7,1.3,4.3,5.3,3.5,1.9,2.1,2.6,4.2,4.7,8.0,7.9,7.9,7.3,6.3,7.2,9.3,7.8,4.5,5.5,7.2,5.8,2.8,1.3,5.0,9.3,16
,PENDLETON,2.1,3.8,4.0,3.8,3.9,3.5,4.8,4.8,3.6,5.2,4.6,4.4,4.7,6.6,7.1,6.7,7.1,8.8,8.6,5.6,2.5,3.1,2.3,2.1,4.7,8.8,17
16 AMBTEMP °F,ALPINE,72.9,72.8,71.9,70.6,70.7,70.7,73.8,80.3,78.8,78.6,81.0,83.1,82.7,81.9,80.4,77.6,75.4,70.8,68.2,66.0,65.3,65.6,64.0,63.2,73.6,83.1,11
,CARMEL MT RCH,66.9,66.1,65.2,65.1,65.2,64.8,66.4,69.2,74.1,76.3,78.1,76.5,76.0,79.6,80.7,80.0,76.2,72.2,70.2,68.3,67.5,67.7,67.8,67.1,71.1,80.7,14
,CHULA VISTA,67.7,66.9,66.2,66.2,66.8,67.1,68.3,70.6,72.5,74.6,74.4,75.5,75.3,75.6,74.9,75.0,74.9,74.2,72.6,70.4,69.4,69.3,68.6,68.6,71.1,75.6,13
,DOWNTOWN SES,69.0,68.4,67.7,67.3,67.9,68.2,68.7,69.4,70.0,71.5,72.5,72.5,72.2,72.1,72.5,71.9,70.9,70.0,69.4,69.2,68.9,69.0,69.0,69.0,69.9,72.5,10
,EL CAJON LES,67.9,66.7,65.6,65.3,66.2,65.9,67.6,71.6,75.4,77.1,76.7,79.1,79.8,79.6,80.2,79.1,75.3,73.7,72.3,70.3,69.2,68.3,67.4,67.3,72.0,80.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,66.7,65.9,66.6,67.8,67.6,67.5,68.2,70.1,72.7,P,74.9,76.0,75.8,75.9,76.2,75.4,73.2,71.2,70.0,69.1,69.2,69.8,69.0,68.5,70.8,76.2,14
,OTAY MESA DVN,69.6,68.4,66.3,65.3,65.6,65.1,67.4,71.1,74.2,76.6,78.6,79.3,80.7,81.6,82.1,81.5,78.3,74.9,73.9,71.8,69.8,68.5,67.2,68.0,72.7,82.1,14
