Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,PENDLETON,3.2,3.4,5.7,6.4,5.9,6.3,6.4,4.8,6.5,6.0,4.8,8.9,7.5,5.7,6.3,7.8,9.6,7.9,7.0,6.9,7.3,5.1,7.6,4.6,6.3,9.6,16
12 VWDR °,ALPINE,96,48,36,15,309,345,230,275,288,270,285,268,305,277,269,260,306,314,318,340,162,114,69,112,0,345,05
,CHULA VISTA,332,292,312,11,342,354,298,239,241,249,268,255,253,250,250,249,256,253,241,251,268,295,314,299,0,354,05
,DOWNTOWN SES,329,250,325,12,14,336,312,254,219,218,221,239,232,243,232,218,227,245,289,282,268,281,338,4,0,338,22
,EL CAJON LES,170,205,174,31,317,357,290,250,211,245,241,265,264,252,259,244,226,258,215,210,202,193,187,186,0,357,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,270,247,227,356,339,326,329,225,245,204,208,224,240,234,265,252,237,274,293,290,283,278,286,293,0,356,03
,OTAY MESA DVN,341,305,343,353,21,10,257,243,237,286,292,292,289,298,297,293,294,296,301,298,343,5,8,359,0,359,23
,PENDLETON,13,85,55,17,35,30,2,284,261,251,240,238,223,243,247,250,250,261,247,238,259,282,321,336,0,336,23
13 SIGTHETA °,ALPINE,25,41,39,45,37,26,40,31,29,33,32,43,27,31,38,31,26,28,23,23,49,37,54,60,35,60,23
,CHULA VISTA,38,45,35,25,34,32,57,43,22,31,34,29,28,29,25,26,22,21,21,20,22,22,32,34,30,57,06
,DOWNTOWN SES,36,24,43,40,39,30,65,33,29,27,33,25,22,32,23,23,21,21,22,20,20,31,30,17,29,65,06
,EL CAJON LES,19,22,23,48,29,33,32,46,26,28,42,40,24,26,26,23,23,22,19,20,19,17,16,14,27,48,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,14,20,30,28,21,18,27,44,31,29,42,26,17,28,26,19,17,16,13,8,6,5,5,9,21,44,07
,OTAY MESA DVN,34,26,20,50,57,35,56,33,33,21,26,23,17,20,16,15,16,14,14,12,20,18,14,19,25,57,04
,PENDLETON,24,50,19,20,15,23,51,22,16,14,17,18,18,16,13,14,14,17,24,24,17,21,17,32,22,51,06
14 VWSP MPH,ALPINE,1.0,.3,.2,1.2,.7,.9,.9,2.6,3.7,3.8,4.3,3.3,5.5,5.5,4.3,4.7,4.6,3.7,3.4,1.9,.6,.7,.5,.3,.0,5.5,12
,CHULA VISTA,1.3,1.8,1.7,2.1,1.6,2.1,1.6,2.6,4.0,3.3,3.7,5.5,5.8,5.6,6.0,5.5,5.8,4.8,3.5,2.6,1.8,1.7,1.8,1.1,.0,6.0,14
,DOWNTOWN SES,1.6,2.6,1.8,2.3,1.9,2.6,1.6,2.9,2.6,3.9,4.5,6.6,7.5,5.2,7.8,7.1,6.4,5.5,3.7,3.1,2.9,2.2,2.0,2.5,.0,7.8,14
,EL CAJON LES,1.8,1.5,1.6,1.0,2.1,1.8,2.0,2.0,5.1,5.1,3.2,4.8,6.9,6.4,5.4,6.4,5.3,5.9,4.8,3.1,2.6,2.5,2.1,2.3,.0,6.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.8,2.7,1.1,1.9,3.1,3.6,3.8,2.6,4.2,4.1,3.7,5.8,9.3,7.0,6.7,7.4,7.6,7.1,5.8,3.6,4.3,4.1,3.0,2.4,.0,9.3,12
