,EL CAJON LES,101,316,94,36,329,199,260,204,232,253,278,261,267,255,264,211,216,222,223,216,186,195,208,166,0,329,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,,,,,,,,,,,,P,289,287,288,273,277,P,246,222,190,195,208,158,0,289,12
,OTAY MESA DVN,110,358,2,4,341,273,272,240,269,297,298,297,295,297,291,299,290,278,297,287,335,275,270,314,0,358,01
,PENDLETON,334,1,349,7,329,17,350,239,242,243,248,250,252,254,253,259,246,239,229,218,207,155,157,137,0,350,06
13 SIGTHETA °,ALPINE,34,51,23,20,35,21,42,22,22,31,29,33,32,28,31,31,27,25,21,18,30,43,32,53,31,53,23
,CHULA VISTA,19,24,18,20,34,72,42,42,52,25,35,26,23,25,24,23,23,24,23,19,40,31,21,36,30,72,05
,DOWNTOWN SES,19,21,28,24,24,23,48,42,47,25,26,25,21,25,28,21,24,23,30,24,31,32,34,30,28,48,06
,EL CAJON LES,31,47,21,19,41,34,42,22,35,43,32,50,32,23,24,19,18,20,19,21,17,28,29,19,29,50,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,19,17,18,20,15,P,16,36,36,40,24,30,25,40,21
,OTAY MESA DVN,28,27,24,21,49,29,27,58,40,29,20,16,14,15,16,15,16,13,13,16,34,22,12,16,24,58,07
,PENDLETON,19,20,21,16,24,15,33,28,16,15,14,13,12,12,14,16,15,17,22,20,22,29,30,30,20,33,06
14 VWSP MPH,ALPINE,.6,1.8,.7,.9,.5,.2,1.2,2.9,3.6,3.5,4.1,4.3,4.9,5.8,5.4,4.5,4.8,4.4,3.3,2.0,1.2,.8,1.0,.8,.0,5.8,13
,CHULA VISTA,.9,1.3,1.1,1.7,1.2,.7,.7,1.2,1.4,3.4,3.6,5.9,7.5,6.9,6.9,6.0,5.0,4.3,3.5,3.1,1.6,2.2,2.7,1.5,.0,7.5,12
,DOWNTOWN SES,3.0,3.9,3.3,3.2,2.4,2.2,1.6,1.5,1.6,3.8,4.9,6.2,7.8,6.3,6.4,6.4,6.1,5.2,3.2,3.7,2.8,3.0,2.4,2.3,.0,7.8,12
,EL CAJON LES,.2,.3,.5,.9,.4,.2,1.2,3.8,3.1,2.9,4.5,3.0,5.2,6.9,6.9,7.7,7.2,6.3,4.9,3.0,2.5,2.3,2.2,2.9,.0,7.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,,,,,,,,,,,,P,8.2,9.0,8.1,7.2,7.7,P,4.6,2.4,2.0,2.1,3.4,2.4,.0,9.0,13
,OTAY MESA DVN,.4,1.8,1.4,1.2,.0,.3,.0,.4,2.7,4.9,6.2,7.8,10.2,9.5,8.0,8.4,7.6,7.0,5.8,4.4,2.2,1.8,.4,1.1,.0,10.2,12
,PENDLETON,3.7,3.5,2.3,2.1,2.2,3.1,1.3,2.4,4.3,5.7,5.5,6.6,9.4,8.7,7.4,5.5,5.2,5.1,4.0,3.0,2.9,1.5,1.6,2.2,.0,9.4,12
15 SWSP MPH,ALPINE,1.3,2.0,.8,1.1,.6,.3,1.4,3.2,4.0,4.0,4.6,4.9,5.6,6.8,6.3,5.4,5.3,4.8,3.6,2.1,2.0,1.8,1.4,1.2,3.1,6.8,13
,CHULA VISTA,1.0,1.3,1.2,1.9,1.4,1.0,1.2,1.5,2.0,3.7,4.4,6.6,8.1,7.5,7.5,6.4,5.4,4.7,3.9,3.3,2.0,2.5,2.9,2.1,3.5,8.1,12
,DOWNTOWN SES,3.1,4.2,3.7,3.5,2.8,2.6,2.3,2.3,2.5,4.1,5.5,6.7,8.3,7.0,7.3,7.0,6.7,5.7,3.6,4.0,3.1,3.6,2.9,2.6,4.4,8.3,12
,EL CAJON LES,.5,.6,.6,1.2,1.0,.7,1.7,4.4,3.7,3.6,5.2,4.0,6.0,7.4,7.5,8.1,7.6,6.7,5.2,3.2,2.7,2.5,2.5,3.0,3.7,8.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,8.8,9.4,8.5,7.7,8.1,P,4.8,3.4,2.2,2.5,3.7,2.9,5.6,9.4,13
,OTAY MESA DVN,.4,2.0,1.5,1.3,.0,.3,.0,1.1,3.4,5.4,6.5,8.2,10.5,9.9,8.3,8.7,8.0,7.2,6.0,4.6,2.5,2.0,.4,1.5,4.2,10.5,12
,PENDLETON,4.0,3.7,2.5,2.3,2.4,3.3,2.3,2.7,4.5,5.9,5.7,6.7,9.6,8.8,7.6,5.7,5.3,5.3,4.3,3.3,3.0,2.3,2.1,2.7,4.4,9.6,12
16 AMBTEMP °F,ALPINE,70.3,70.0,69.0,69.5,69.2,70.2,72.7,73.4,72.4,74.1,76.7,78.8,81.4,81.8,80.0,77.5,75.1,70.5,64.3,60.0,58.0,57.8,56.1,55.0,70.2,81.8,13
,CARMEL MT RCH,57.2,56.6,56.5,56.4,56.1,56.9,58.0,60.9,64.5,68.4,71.5,72.8,74.9,74.0,74.2,72.0,69.4,66.8,61.8,60.6,60.2,60.7,60.7,60.4,63.8,74.9,12
,CHULA VISTA,59.6,58.9,58.2,57.5,58.3,58.8,59.6,61.1,62.5,63.5,65.9,68.5,68.4,67.6,66.3,64.3,63.0,61.7,61.0,60.7,60.7,60.7,60.4,60.1,62.0,68.5,11
,DOWNTOWN SES,59.4,58.9,58.8,59.0,59.4,60.4,61.5,61.8,62.6,63.5,65.4,67.0,67.3,66.8,66.1,65.2,63.4,61.2,60.6,60.4,60.0,60.3,60.1,60.2,62.1,67.3,12
,EL CAJON LES,59.8,59.2,58.4,57.9,57.3,58.2,61.3,62.6,65.2,69.5,73.7,78.5,81.2,81.4,78.9,76.1,73.0,68.5,63.7,61.6,61.3,61.4,61.3,60.8,66.3,81.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,P,72.8,71.0,70.3,68.9,66.3,P,62.0,61.8,61.6,61.6,61.1,60.9,65.3,72.8,12
,OTAY MESA DVN,57.8,56.8,56.9,56.5,56.1,54.8,56.2,57.7,60.9,66.3,70.2,72.6,73.0,71.2,70.6,67.0,65.5,62.6,59.5,58.8,59.0,58.8,58.7,58.8,61.9,73.0,12
,PENDLETON,61.1,60.9,61.1,61.1,61.3,61.4,62.3,63.2,63.5,63.9,64.9,64.8,64.5,64.9,64.5,63.8,63.1,62.2,61.2,60.8,60.7,60.8,60.8,60.8,62.4,64.9,10
17 RELHUM %,ALPINE,55,54,53,48,47,45,43,46,52,49,46,43,40,40,44,47,51,61,78,90,95,95,99,100,59,100,23
,EL CAJON LES,84,85,86,87,90,88,82,81,76,68,59,50,46,46,49,54,58,66,76,82,83,82,82,83,73,90,04
,KEARNY MESA,,,,,,,,,,,,P,64,66,67,69,74,P,85,85,85,85,86,87,78,87,23
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,747,748,748,747,747,747,746,746,746,746,746,746,747,747,747,747,747,747,747,748,07
,KEARNY MESA,,,,,,,,,,,,P,748,748,747,747,747,P,748,748,748,748,748,748,748,748,12
19 SOLAR W/M2,EL CAJON LES,-1,-2,-1,-1,4,110,382,466,767,934,1040,1091,1077,936,817,590,429,199,30,-2,0,1,1,1,370,1091,11
,KEARNY MESA,,,,,,,,,,,,P,996,885,819,621,372,P,16,0,0,0,0,0,337,996,12
25 NOY,EL CAJON LES,6.40,5.72,5.50,6.04,6.90,C,C,11.10,11.22,12.18,13.59,11.64,7.69,6.78,6.12,7.09,6.70,5.44,4.32,4.28,3.81,3.56,3.41,2.70,6.91,13.59,10
26 NOY-NO,EL CAJON LES,6.40,5.69,5.50,6.01,6.67,C,C,7.63,7.90,8.82,10.24,9.53,6.84,6.06,5.39,5.98,5.50,4.76,4.01,4.04,3.72,3.50,3.39,2.70,5.92,10.24,10
27 NO Trace,EL CAJON LES,.00,.02,.00,.02,.23,C,C,3.46,3.32,3.35,3.35,2.10,.85,.71,.72,1.10,1.20,.67,.31,.24,.08,.05,.01,.00,.99,3.46,07
28 SO2 Tr PPB,EL CAJON LES,C,C,C,C,C,.0,.0,.0,.0,.0,.0,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,C,C,C,C,C,272.5,368.7,351.1,337.8,366.8,380.7,319.1,293.7,261.0,258.4,227.7,205.4,178.9,161.7,162.5,161.3,158.8,161.2,170.3,252.5,380.7,10
BCarbon ug/m3,10TH AVE MARINE TERM,.25,.24,.23,.25,<,.28,.31,.28,.35,.54,.33,.49,.78,.36,.30,.39,.19,.14,.16,.15,.16,.18,.14,.15,.29,.78,12
,ALPINE,.27,.25,.23,.23,.63,.27,.31,.54,.50,.53,.43,.42,.47,.46,.39,.37,.36,.33,.30,.29,.30,.32,.32,.30,.37,.63,04
,CHICANO PARK,.36,.33,.45,.37,.43,.53,.72,.64,.80,<,.53,.46,.43,.41,.29,.43,.42,.36,.24,.27,.35,.33,.22,.22,.42,.80,08
,DOWNTOWN SES,.25,.25,.24,.26,.25,.31,.46,.49,.54,.49,.47,.44,.41,.29,.18,.23,.20,.13,.14,.14,.18,.25,.16,.20,.29,.54,08
,OCEANVIEW BLVD,.24,.25,.25,.26,.26,.30,.42,.57,.64,.60,.52,.47,.45,.43,.34,.33,.29,.29,.19,.23,.20,.23,.18,.19,.34,.64,08
,SAN YSIDRO,.37,.36,.36,.29,.33,.33,.34,.28,.25,.21,.21,.30,.31,.26,.26,.15,.13,.15,.28,.22,.19,.52,.46,.56,.30,.56,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
