Current Date:,12/9/2020,6:38 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/8/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.039,C,C,.039,.039,.038,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.039,.040,00
16 AMBTEMP °F,ALPINE,67.5,66.9,66.1,66.4,66.3,66.0,65.5,66.4,67.7,68.6,70.3,71.1,70.6,70.5,71.5,69.6,66.9,65.9,66.2,62.0,58.7,57.8,58.1,58.2,66.0,71.5,14
,CARMEL MT RCH,66.3,69.2,69.8,70.3,71.0,70.8,71.8,71.4,73.4,76.4,76.2,78.8,80.6,79.6,78.2,77.0,74.3,71.7,68.6,64.2,62.2,61.3,60.1,58.6,70.9,80.6,12
,CHULA VISTA,63.8,66.4,74.1,74.6,74.8,74.0,73.6,74.4,75.4,77.0,77.8,79.3,80.0,81.1,80.1,74.1,66.7,65.7,64.4,62.5,61.7,60.3,58.0,56.3,70.7,81.1,13
,DOWNTOWN SES,60.4,59.2,58.1,60.7,67.4,64.0,63.8,64.7,66.3,70.2,72.8,75.6,79.1,79.7,77.0,74.8,68.2,62.8,62.8,62.4,60.9,60.5,58.6,57.3,66.1,79.7,13
,EL CAJON LES,55.6,56.1,68.4,73.3,73.8,73.4,72.3,72.2,74.9,76.6,77.8,78.7,78.3,79.0,79.8,77.9,74.9,71.0,65.4,61.4,58.8,56.5,55.5,52.5,69.3,79.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,66.9,70.9,73.3,72.3,73.6,73.7,71.6,71.9,74.4,78.5,79.2,80.3,83.2,83.3,80.8,79.8,75.9,69.6,63.9,61.9,60.2,59.1,59.5,58.1,71.7,83.3,13
,OTAY MESA DVN,75.4,75.7,75.5,74.3,74.4,73.8,73.2,73.5,74.9,75.7,75.9,77.8,79.6,80.2,79.1,77.1,75.0,72.7,69.2,63.6,63.3,60.8,60.3,59.8,72.5,80.2,13
,PENDLETON,60.3,60.8,61.7,65.5,70.6,67.2,66.9,69.5,71.4,72.3,76.7,78.6,81.9,83.6,80.8,69.9,72.1,71.4,68.5,63.9,62.5,62.8,61.0,58.7,69.1,83.6,13
17 RELHUM %,ALPINE,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,17,23,26,23,22,11,26,21
,EL CAJON LES,37,35,14,10,9,9,10,10,11,9,10,11,8,8,8,9,9,14,36,42,49,54,53,55,22,55,23
,KEARNY MESA,12,10,9,10,9,9,10,10,9,8,8,10,7,7,7,8,9,22,57,62,50,41,38,38,19,62,19
18 PRES mmHg,EL CAJON LES,749,749,749,749,749,749,750,750,750,751,751,750,750,749,749,749,749,750,750,751,751,751,751,751,750,751,09
,KEARNY MESA,750,750,750,750,750,750,751,751,751,752,752,751,751,750,750,750,750,751,752,752,752,752,752,752,751,752,09
19 SOLAR W/M2,EL CAJON LES,2,2,5,1,1,0,2,56,251,197,275,323,268,379,328,109,14,-3,-3,-2,-1,-1,-1,-2,92,379,13
,KEARNY MESA,0,0,0,0,0,0,5,59,242,348,330,576,526,511,195,146,21,1,0,0,0,0,0,0,123,576,11
25 NOY,EL CAJON LES,42.50,33.18,5.48,1.68,1.49,C,C,M,M,M,M,10.61,2.87,3.57,2.82,2.42,2.98,8.10,9.74,12.86,15.07,16.74,16.68,15.13,11.32,42.50,00
26 NOY-NO,EL CAJON LES,33.62,28.03,5.41,1.69,1.51,C,C,M,M,M,M,8.52,2.57,3.09,2.51,2.31,2.95,7.97,9.53,12.83,14.64,16.48,16.17,14.77,10.25,33.62,00
27 NO Trace,EL CAJON LES,8.88,5.14,.06,-.01,-.01,C,C,M,M,M,M,2.09,.30,.48,.31,.10,.03,.13,.20,.03,.42,.26,.50,.35,1.07,8.88,00
28 SO2 Tr PPB,EL CAJON LES,.3,.2,C,C,C,.0,.0,.0,.0,.0,.0,.1,.0,.1,.1,.1,.1,.1,.3,.2,.2,.1,.1,.1,.1,.3,00
29 CO Tr PPB,EL CAJON LES,777.2,712.2,C,C,C,112.2,125.4,138.2,170.4,134.4,173.8,276.2,154.6,165.3,159.9,151.9,158.0,238.0,351.5,428.0,449.4,453.2,474.8,372.2,294.1,777.2,00
BCarbon ug/m3,10TH AVE MARINE TERM,3.41,3.68,3.15,1.58,2.50,1.48,1.31,2.58,3.99,4.48,2.41,1.97,1.77,.86,1.52,3.26,1.11,.96,.66,.89,1.56,1.34,,,2.11,4.48,09
,ALPINE,.08,.12,.09,.07,.06,.06,.08,.09,.07,.07,.06,.08,.07,.08,.09,.11,.10,.11,.10,.37,.54,.45,,,.13,.54,20
,CHICANO PARK,2.96,1.89,1.43,1.03,.73,1.32,1.64,1.87,3.08,3.36,3.00,2.42,1.24,1.03,.66,1.08,.91,.87,.72,1.07,1.93,2.16,,,1.65,3.36,09
,DOWNTOWN SES,2.28,1.72,1.52,.89,.38,.77,1.21,1.58,2.19,1.72,1.69,1.54,.49,.72,.80,.98,.97,1.09,.83,1.50,1.94,1.81,,,1.30,2.28,00
,OCEANVIEW BLVD,2.46,2.60,2.74,1.40,.91,1.29,2.28,2.50,3.25,2.73,1.51,1.45,.49,.24,.26,1.18,1.11,.89,.94,1.26,1.30,1.88,,,1.58,3.25,08
,SAN YSIDRO,.622,.849,1.188,.377,.272,.516,.940,2.094,.647,.601,.509,.351,.334,.276,.389,.336,.884,2.240,1.654,1.198,1.477,1.603,,,.880,2.240,17
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
