Current Date:,12/10/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/9/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.036,.036,.033,.036,.038,.040,.041,.037,.041,23
,KEARNY MESA,35,39,40,40,37,36,32,29,22,16,16,19,32,33,46,43,44,57,59,61,66,70,67,73,42,73,23
18 PRES mmHg,EL CAJON LES,751,751,751,751,751,751,751,751,751,751,750,749,749,748,748,748,748,748,748,749,749,749,749,749,750,751,00
,KEARNY MESA,752,752,752,752,752,752,752,752,752,752,751,751,750,749,749,749,749,749,749,750,750,750,750,750,751,752,00
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,0,0,0,6,53,224,463,568,519,365,303,344,190,23,-3,-2,-2,-2,-1,-1,-1,127,568,10
,KEARNY MESA,0,0,0,0,0,0,5,72,281,484,561,507,340,381,374,186,27,0,0,0,0,0,0,0,134,561,10
25 NOY,EL CAJON LES,14.54,18.72,22.22,26.81,23.35,C,C,M,M,M,M,M,13.44,5.72,7.36,7.83,11.14,16.28,19.97,24.88,22.09,25.41,21.65,27.84,18.19,27.84,23
26 NOY-NO,EL CAJON LES,14.23,17.92,21.01,22.46,21.41,C,C,M,M,M,M,M,10.83,5.06,6.02,7.28,10.47,15.47,19.12,23.88,21.54,23.14,18.97,23.27,16.59,23.88,19
27 NO Trace,EL CAJON LES,.30,.79,1.21,4.35,1.93,C,C,M,M,M,M,M,2.61,.65,1.34,.55,.67,.81,.85,1.00,.55,2.27,2.67,4.56,1.59,4.56,23
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.2,.2,.3,.3,.2,.2,.3,.2,.2,.2,.2,.1,.1,.1,.1,.1,.1,.1,.1,.3,08
29 CO Tr PPB,EL CAJON LES,343.8,343.5,C,C,C,472.1,619.9,722.2,836.5,728.8,501.2,279.6,362.8,309.6,292.2,293.8,331.9,465.3,571.6,628.7,891.1,650.9,630.9,539.5,515.0,891.1,20
BCarbon ug/m3,10TH AVE MARINE TERM,1.76,1.49,1.66,1.36,1.39,1.25,1.40,1.99,1.69,1.58,1.85,2.68,2.96,1.47,1.01,1.10,2.05,1.58,1.65,1.59,2.73,3.28,2.59,3.11,1.88,3.28,21
,ALPINE,.40,.46,.47,.41,.41,.47,.65,.45,2.36,1.60,.35,.29,.58,1.02,.63,.90,1.00,1.12,1.37,1.44,1.06,.84,.89,.58,.82,2.36,08
,CHICANO PARK,2.05,1.13,.92,.84,.96,1.19,1.26,1.51,1.07,1.47,1.98,2.79,2.22,1.00,.58,.49,1.04,.74,.98,2.06,2.95,3.09,2.98,2.60,1.58,3.09,21
,DOWNTOWN SES,1.89,1.20,1.72,1.47,.99,.94,.87,1.88,.94,1.20,2.07,2.86,3.34,1.44,.94,.61,.85,.97,1.50,2.16,2.40,2.90,3.20,2.44,1.70,3.34,12
,OCEANVIEW BLVD,1.42,.90,.80,.89,.84,.85,.83,1.15,.96,1.51,1.90,2.50,1.63,.93,.67,.72,.74,1.37,1.64,2.02,2.72,2.99,2.95,3.24,1.51,3.24,23
,SAN YSIDRO,1.200,1.124,1.057,3.890,6.903,5.754,7.684,12.534,8.348,7.241,1.733,1.623,.819,.589,.388,.404,.504,.613,.929,1.009,<,1.190,2.899,7.257,3.291,12.534,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
