Current Date:,3/2/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,18,48,17,19,28,22,32,31,34,64,37,M,M,19,19,21,20,16,17,15,15,11,14,18,24,64,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,45,19,10,50,31,37,41,27,62,47,29,66,58,52,20,20,18,19,20,21,27,20,13,33,33,66,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4,5,4,6,7,9,9,16,48,35,37,54,42,16,17,14,12,9,8,7,10,14,16,8,17,54,11
,OTAY MESA DVN,6,16,10,32,20,7,46,24,16,61,33,34,32,M,12,12,11,9,14,11,11,8,12,12,20,61,09
,PENDLETON,10,11,11,12,12,13,11,12,14,34,14,15,12,12,14,14,15,11,14,13,13,11,9,9,13,34,09
14 VWSP MPH,ALPINE,1.7,1.7,1.3,1.2,1.0,1.7,1.7,.3,1.8,1.8,4.2,2.6,2.7,4.8,4.4,5.5,5.8,3.3,1.5,1.5,1.1,.8,1.6,1.0,2.3,5.8,16
,CHULA VISTA,1.5,1.5,3.3,2.0,1.3,1.4,3.2,1.9,2.3,1.2,3.7,M,M,8.8,9.3,8.6,8.1,6.0,2.7,2.3,1.3,1.5,1.6,1.0,3.4,9.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,2.3,2.6,.0,1.3,1.3,1.7,1.9,.8,1.7,4.5,2.1,1.4,3.0,7.9,7.4,6.9,5.6,3.8,1.8,.7,1.2,1.9,.8,2.7,7.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,5.3,5.5,3.9,3.7,3.4,3.3,3.2,1.0,3.9,5.1,3.6,4.4,11.0,10.6,11.8,10.1,7.4,4.5,2.8,1.7,1.7,2.1,3.1,4.9,11.8,15
,OTAY MESA DVN,3.0,1.7,3.0,.4,1.7,1.9,1.2,2.4,3.9,.4,4.3,4.5,5.7,M,12.7,12.8,11.2,8.0,3.8,2.6,3.8,3.2,2.5,3.0,4.2,12.8,15
,PENDLETON,6.1,5.5,6.0,5.4,4.2,5.4,6.3,6.7,5.8,1.0,5.2,5.9,7.5,6.9,6.9,8.0,7.3,5.0,4.6,5.5,2.6,2.6,4.8,6.1,5.5,8.0,15
15 SWSP MPH,ALPINE,1.8,2.1,1.4,1.4,1.3,1.8,1.8,1.0,2.6,2.9,5.1,3.9,4.5,5.6,5.2,6.3,6.3,3.5,1.7,1.6,1.2,1.6,1.8,1.1,2.8,6.3,15
,CHULA VISTA,1.6,1.7,3.4,2.1,1.7,1.6,3.4,2.1,2.6,2.6,4.6,M,M,9.3,9.8,9.2,8.6,6.3,2.9,2.4,1.4,1.5,1.7,1.0,3.7,9.8,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.1,2.4,2.8,.6,1.3,1.7,2.1,2.1,1.4,2.8,5.1,3.6,3.1,4.7,8.5,8.0,7.3,5.9,4.0,2.0,1.1,1.3,2.0,1.0,3.2,8.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,5.3,5.6,4.0,3.8,3.4,3.4,3.3,2.7,4.4,5.8,4.6,5.2,11.6,11.1,12.2,10.3,7.6,4.6,2.9,1.9,1.8,2.2,3.2,5.2,12.2,15
,OTAY MESA DVN,3.0,1.8,3.1,1.1,2.7,1.9,1.5,2.5,4.1,2.7,4.8,5.4,6.2,M,13.0,13.1,11.4,8.1,4.3,2.7,3.9,3.2,2.6,3.3,4.6,13.1,15
,PENDLETON,6.2,5.6,6.2,5.5,4.3,5.5,6.4,6.9,6.0,3.4,5.4,6.1,7.7,7.0,7.1,8.3,7.6,5.1,4.8,5.6,2.9,2.7,4.9,6.2,5.7,8.3,15
16 AMBTEMP °F,ALPINE,41.4,42.1,40.9,40.0,41.0,40.9,41.2,43.8,46.5,49.0,51.6,53.2,55.7,57.5,58.1,57.8,54.2,50.7,47.6,46.1,45.5,44.6,44.4,43.5,47.4,58.1,14
,CARMEL MT RCH,46.6,45.2,45.0,44.1,43.8,43.8,43.8,46.6,51.1,53.1,55.1,57.3,60.2,59.2,59.2,58.3,56.7,53.9,52.3,51.4,50.5,49.3,48.3,47.3,50.9,60.2,12
,CHULA VISTA,46.1,46.1,46.3,44.8,43.5,42.1,44.5,49.3,55.2,60.7,62.0,M,M,61.8,62.0,61.0,59.1,56.6,53.9,52.4,50.9,49.7,48.8,47.2,52.0,62.0,10
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,46.8,45.1,44.1,42.2,41.4,41.0,41.6,44.9,50.0,55.1,59.5,61.3,63.1,65.0,64.4,62.7,60.0,56.7,54.2,53.1,51.3,48.9,47.3,46.1,51.9,65.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,47.4,47.0,46.0,45.2,45.3,44.9,45.1,49.6,53.9,55.6,57.1,58.2,59.5,59.2,58.6,57.6,56.6,54.6,52.7,52.5,50.9,49.5,49.0,48.1,51.8,59.5,12
,OTAY MESA DVN,47.1,47.4,47.2,45.3,43.2,43.1,43.0,45.9,51.2,55.7,57.4,59.1,61.4,60.8,59.6,58.9,57.0,54.6,52.2,50.5,49.5,48.9,49.0,48.8,51.5,61.4,12
,PENDLETON,46.9,46.5,46.2,45.7,45.4,44.4,44.8,47.6,52.8,57.1,57.9,58.7,58.6,57.7,57.9,57.9,57.4,56.3,56.0,55.5,54.0,53.1,50.5,49.1,52.4,58.7,11
17 RELHUM %,ALPINE,87,84,85,85,83,79,76,72,67,58,55,49,37,32,30,42,59,68,77,83,84,85,87,89,69,89,23
,EL CAJON LES,80,83,82,86,87,85,80,72,60,52,43,41,37,34,42,45,50,57,65,69,75,80,82,84,65,87,04
,KEARNY MESA,84,86,88,90,88,89,87,77,63,55,54,51,50,53,54,58,62,67,76,78,81,84,86,89,73,90,03
18 PRES mmHg,KEARNY MESA,754,754,753,753,753,753,753,754,754,754,754,753,752,752,751,751,751,752,752,752,752,752,752,752,753,754,00
19 SOLAR W/M2,KEARNY MESA,1,1,1,0,0,0,42,235,453,657,771,864,863,788,653,464,239,41,1,1,1,0,1,1,253,864,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.0,.0,.0,M,M,M,M,.1,.1,.1,.0,.0,.1,.1,.0,.0,.0,.1,07
29 CO Tr PPB,EL CAJON LES,251.7,237.6,C,C,C,296.1,305.9,285.1,290.6,273.2,210.0,C,M,M,M,206.7,207.6,197.9,224.6,245.5,428.4,451.4,412.6,424.0,291.1,451.4,21
