Current Date:,3/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,M,M,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,25,24,25,25,24,24,25,25,24,25,24,24,24,24,24,24,24,24,25,25,25,25,25,24,25,01
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.4,4.2,5.6,5.3,5.4,3.9,.9,-.5,-.6,3.0,3.6,3.1,5.0,2.9,2.2,2.1,1.8,4.3,4.1,2.8,3.8,3.4,1.2,4.5,3.2,6.4,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,5.4,4.5,3.6,-2.4,-2.7,1.0,-.6,-3.4,-4.6,-1.1,.7,-3.0,.7,2.3,.9,-1.4,-3.0,3.1,1.4,-1.6,-.8,-.9,.5,-.2,.0,5.4,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.4,-.8,1.7,-2.2,1.9,5.2,4.0,3.0,1.9,3.4,3.7,2.1,-.6,1.3,5.0,3.6,1.2,2.3,.8,-.7,3.5,2.5,4.5,2.5,2.0,5.2,05
,PENDLETON,,,,,,,,,,,,,M,,,,,,,,,,,,M,M,M
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,269,261,248,237,205,245,233,248,259,276,281,280,271,276,285,275,280,292,294,277,285,253,224,202,261,294,18
,CHULA VISTA,248,242,238,210,240,211,222,249,281,286,281,270,268,265,262,256,259,260,257,256,243,220,201,189,246,286,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,225,229,221,216,219,227,214,250,266,279,268,272,258,252,265,264,262,273,267,247,231,182,174,170,239,279,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,231,250,232,229,233,235,248,264,294,M,M,293,273,266,273,270,264,273,267,257,240,232,217,220,253,294,08
,OTAY MESA DVN,254,228,260,204,265,255,238,235,262,280,276,273,275,280,273,274,269,270,266,276,251,235,200,181,253,280,09
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 SIGTHETA °,ALPINE,21,25,27,26,22,28,27,26,29,25,23,25,26,24,22,25,24,22,21,22,23,27,28,23,25,29,08
,CHULA VISTA,19,19,19,23,18,20,19,19,18,21,19,22,24,20,22,20,20,19,19,20,17,21,18,18,20,24,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,17,20,19,21,20,26,20,20,18,20,27,26,23,23,22,17,18,15,18,21,24,19,18,20,27,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,34,10,11,11,11,10,12,11,10,M,M,18,22,18,13,11,11,10,8,10,11,12,14,13,13,34,00
,OTAY MESA DVN,10,23,33,18,15,8,14,13,10,13,13,14,18,14,14,14,15,11,10,11,17,16,14,12,15,33,02
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 VWSP MPH,ALPINE,2.8,2.0,2.2,2.9,2.4,3.1,4.2,4.5,5.3,6.2,6.0,6.8,6.0,7.0,7.8,7.6,7.7,6.5,5.3,4.5,3.0,2.9,3.2,4.3,4.8,7.8,14
,CHULA VISTA,2.5,2.7,2.7,2.6,3.4,2.4,3.7,6.0,8.1,8.3,8.4,7.9,7.4,7.4,7.3,6.7,7.0,6.6,4.4,4.3,4.3,3.5,3.7,4.0,5.2,8.4,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,2.6,3.1,3.0,2.7,3.7,2.8,4.5,6.5,7.3,8.3,7.0,7.2,7.6,8.4,8.1,8.7,8.3,6.2,3.9,2.7,1.8,3.5,3.9,5.1,8.7,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.4,4.6,5.0,4.2,4.7,5.2,7.5,9.2,10.6,M,M,7.8,8.9,9.7,12.1,11.6,11.1,9.2,6.6,5.6,5.9,5.6,5.7,6.5,7.3,12.1,14
,OTAY MESA DVN,2.9,1.7,2.3,1.0,3.4,5.4,3.5,5.1,10.0,9.9,10.5,11.1,10.0,11.3,11.8,10.4,10.2,9.7,6.1,3.9,2.0,1.6,3.0,5.4,6.3,11.8,14
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 SWSP MPH,ALPINE,3.2,2.2,2.6,3.2,2.7,3.6,4.6,5.2,5.9,6.7,6.4,7.5,6.5,7.6,8.4,8.3,8.3,7.0,5.7,4.8,3.2,3.2,4.1,4.6,5.2,8.4,14
,CHULA VISTA,2.7,2.9,2.9,2.8,3.6,2.5,3.9,6.4,8.5,8.8,8.9,8.5,8.0,7.8,7.8,7.2,7.4,6.9,4.6,4.5,4.4,3.8,3.9,4.2,5.5,8.9,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.9,3.0,3.4,3.2,2.9,4.0,3.2,4.8,7.1,7.7,8.8,7.8,8.2,8.3,9.1,8.8,9.3,8.7,6.4,4.1,2.9,2.0,3.7,4.1,5.6,9.3,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,4.7,5.1,4.4,4.8,5.2,7.7,9.7,10.8,M,M,8.3,9.6,10.2,12.5,11.8,11.4,9.4,6.7,5.7,6.1,5.7,5.9,6.6,7.5,12.5,14
,OTAY MESA DVN,3.0,2.2,2.6,1.5,3.7,5.5,3.6,5.3,10.2,10.2,10.8,11.5,10.5,11.7,12.1,10.8,10.6,9.9,6.3,4.1,2.1,1.6,3.2,5.7,6.6,12.1,14
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 AMBTEMP °F,ALPINE,55.6,55.2,55.1,54.7,54.4,54.2,53.8,53.4,53.4,52.6,52.5,52.8,55.3,55.9,55.5,56.3,54.9,53.2,50.9,49.5,49.0,49.3,49.1,48.7,53.1,56.3,15
,CARMEL MT RCH,59.0,58.7,58.3,58.2,58.1,58.2,58.2,57.9,56.2,57.4,59.1,61.0,63.3,63.9,63.2,62.0,59.6,58.0,56.5,56.2,56.0,56.0,55.1,54.6,58.5,63.9,13
,CHULA VISTA,60.3,59.9,59.7,59.6,59.3,59.3,59.4,60.3,60.8,63.3,64.0,65.4,66.5,66.4,65.6,64.6,63.5,61.2,59.0,58.8,58.2,58.2,58.3,58.3,61.2,66.5,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,61.4,60.9,60.1,59.5,59.4,59.2,59.2,60.2,60.4,60.9,62.5,63.9,66.1,66.3,66.2,64.9,62.9,60.3,58.2,57.5,57.0,56.4,56.4,55.8,60.7,66.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60.9,60.2,59.9,59.6,59.9,59.9,59.8,60.0,59.0,M,M,62.5,63.3,64.2,63.8,63.0,61.6,59.7,57.9,57.6,58.0,58.4,58.1,58.2,60.3,64.2,13
,OTAY MESA DVN,58.6,58.5,58.4,58.2,58.2,57.5,57.3,57.9,57.6,57.4,58.8,60.0,62.1,63.2,63.1,61.8,61.6,58.3,55.5,54.9,54.0,54.5,55.0,55.5,58.2,63.2,13
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,100,100,100,100,100,80,70,69,65,68,76,89,95,97,98,98,99,92,100,00
,EL CAJON LES,92,93,95,95,93,92,92,88,85,79,69,60,51,47,45,51,56,64,73,75,78,83,85,89,76,95,02
,KEARNY MESA,99,99,99,98,97,98,97,95,93,M,M,68,62,56,58,63,68,75,81,83,82,81,83,84,83,99,00
18 PRES mmHg,KEARNY MESA,749,749,749,748,748,748,749,749,749,M,M,750,750,749,749,749,749,749,749,749,749,749,749,748,749,750,11
19 SOLAR W/M2,KEARNY MESA,0,1,1,0,0,1,27,131,220,M,M,807,885,780,520,480,232,45,1,1,1,1,1,1,188,885,12
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,251.6,C,C,C,116.6,154.6,187.7,222.1,205.4,185.9,181.4,167.3,168.5,167.1,169.6,172.7,174.9,165.2,169.1,204.8,191.5,190.1,181.9,153.4,180.0,251.6,00
