Current Date:,9/1/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,25,25,25,25,25,25,26,26,26,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,26,06
,PENDLETON,23,23,24,24,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,8.5,8.0,8.7,7.7,6.4,9.6,6.6,1.3,.5,5.5,9.2,5.9,19.1,21.5,17.6,17.1,13.3,14.3,20.3,18.6,18.4,12.7,13.4,15.2,11.6,21.5,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14.0,16.1,13.8,10.9,10.0,8.9,12.1,12.7,13.3,13.1,18.4,17.5,18.5,16.7,17.5,15.4,16.3,14.3,17.4,20.4,18.5,18.1,14.6,14.1,15.1,20.4,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.3,7.8,11.5,17.2,11.5,20.6,25.5,31.6,20.4,16.8,10.5,16.4,M,20.0,21.1,15.1,17.3,17.8,12.0,14.0,14.1,12.1,12.0,13.9,15.9,31.6,07
,PENDLETON,9.6,10.0,14.4,10.5,10.6,14.5,12.6,12.6,14.4,17.7,13.7,15.1,11.9,13.4,13.0,13.2,14.4,12.9,11.4,11.2,8.8,17.1,16.7,10.9,12.9,17.7,09
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,38,8,346,345,56,344,290,259,259,270,242,268,248,243,256,269,271,279,301,328,322,352,104,62,240,352,21
,CHULA VISTA,124,110,117,90,66,84,62,339,217,251,260,261,251,256,251,251,245,245,244,237,206,197,200,198,198,339,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,110,70,86,96,82,76,58,327,289,254,264,267,243,231,219,224,225,215,221,205,184,167,147,148,184,327,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60,49,44,63,66,67,71,311,224,213,225,234,235,M,M,M,M,M,M,M,M,M,M,M,143,311,07
,OTAY MESA DVN,34,65,124,91,20,29,9,273,301,305,294,297,295,299,282,294,293,284,275,277,246,235,11,85,197,305,09
,PENDLETON,37,45,47,39,45,43,39,60,248,252,248,259,258,251,255,245,254,245,232,195,147,111,92,80,155,259,11
13 SIGTHETA °,ALPINE,45,21,37,37,27,30,37,55,23,36,42,30,30,31,33,30,28,27,22,25,17,35,32,46,32,55,07
,CHULA VISTA,20,14,14,23,36,47,25,77,62,48,24,25,23,25,24,21,21,20,18,21,24,53,47,25,31,77,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,29,25,24,18,25,16,51,66,68,64,46,27,23,25,24,23,22,18,16,17,19,24,25,56,31,68,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,23,17,20,8,10,29,40,40,45,26,21,18,21,19,19,21,12,9,8,40,26,20,40,23,45,09
,OTAY MESA DVN,12,22,12,26,20,48,34,29,38,29,30,15,18,18,25,15,15,12,8,10,11,26,38,47,23,48,05
,PENDLETON,16,13,13,11,10,12,12,24,27,11,12,12,12,13,13,12,13,16,21,20,11,15,13,13,14,27,08
14 VWSP MPH,ALPINE,.5,1.0,.2,1.2,.7,.7,.5,1.2,3.0,3.2,3.5,4.8,5.8,5.6,4.7,5.0,4.1,3.3,2.0,1.3,.9,.6,.9,.6,2.3,5.8,12
,CHULA VISTA,1.2,1.2,1.6,1.3,1.1,.9,1.3,.1,.4,3.3,5.7,6.1,7.4,6.4,6.3,6.4,5.5,4.8,4.2,2.9,2.2,1.6,1.3,2.4,3.2,7.4,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,1.0,.8,1.5,1.2,1.4,.7,1.0,1.2,1.8,3.4,6.2,6.5,6.5,6.2,6.1,6.1,5.8,5.0,3.8,2.6,2.5,2.4,1.1,3.2,6.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,M,M,M,M,M,M,M,M,M,M,M,.0,.1,00
,OTAY MESA DVN,2.3,1.0,1.4,1.0,1.6,.8,1.8,2.0,2.6,3.5,4.9,9.6,8.9,8.5,6.4,8.8,7.2,6.7,5.2,4.2,2.7,1.3,2.4,1.4,4.0,9.6,11
,PENDLETON,3.3,3.6,4.4,5.0,5.5,4.8,4.9,3.1,2.2,4.7,5.9,5.8,6.4,7.8,6.7,6.9,6.2,4.3,3.6,2.4,2.4,2.2,2.2,3.9,4.5,7.8,13
15 SWSP MPH,ALPINE,.7,1.6,.7,1.4,1.1,.8,.6,1.7,3.3,4.0,4.3,5.4,6.7,6.4,5.4,5.6,4.5,3.6,2.2,1.4,.9,.7,1.0,.9,2.7,6.7,12
,CHULA VISTA,1.3,1.3,1.7,1.4,1.2,1.1,1.5,1.5,1.8,4.1,6.2,6.8,8.0,7.0,6.9,6.8,5.8,5.2,4.4,3.2,2.7,2.2,2.2,2.7,3.6,8.0,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,1.0,1.1,1.7,1.3,1.5,1.3,1.6,2.0,3.2,4.5,7.0,7.1,7.4,6.9,6.6,6.7,6.1,5.2,4.0,2.9,2.8,2.6,1.8,3.7,7.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,M,M,M,M,M,M,M,M,M,M,M,.0,.1,00
,OTAY MESA DVN,2.5,1.2,1.4,1.1,1.7,1.2,2.2,2.6,3.1,3.8,5.4,9.9,9.4,8.9,6.9,9.1,7.5,6.8,5.2,4.3,2.9,1.6,2.8,1.8,4.3,9.9,11
,PENDLETON,3.4,3.7,4.5,5.1,5.7,5.0,5.0,3.6,3.4,4.7,6.1,5.9,6.6,8.0,6.9,7.1,6.3,4.5,3.8,2.6,2.4,2.3,2.3,4.1,4.7,8.0,13
16 AMBTEMP °F,ALPINE,65.8,66.2,65.0,65.3,66.1,67.5,70.9,76.9,79.4,81.4,85.2,88.3,88.9,88.1,87.2,85.6,82.4,76.5,71.3,67.1,65.1,63.6,62.3,62.3,74.1,88.9,12
,CARMEL MT RCH,65.2,64.1,63.4,63.1,62.5,62.6,64.9,68.0,71.9,77.0,81.5,83.0,83.1,83.6,82.9,81.1,79.9,75.0,71.1,68.7,67.6,67.3,67.6,67.5,71.8,83.6,13
,CHULA VISTA,66.9,66.2,65.0,64.7,64.8,65.8,67.5,69.0,72.7,75.8,75.7,76.4,76.0,75.6,75.3,74.6,73.5,71.5,70.0,69.9,69.7,69.2,69.1,68.6,70.6,76.4,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,66.1,65.4,63.8,62.7,62.4,62.3,64.4,68.6,73.2,79.1,83.6,86.1,85.4,84.5,83.9,83.0,80.4,76.1,72.6,69.8,68.5,68.6,68.9,68.6,72.8,86.1,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,64.5,64.0,64.2,65.1,64.3,63.7,66.9,70.4,73.7,77.3,80.5,80.7,80.4,80.6,79.8,78.6,77.4,73.6,71.2,69.4,69.6,69.9,69.5,69.5,71.9,80.7,11
,OTAY MESA DVN,65.6,65.2,65.0,64.6,63.4,64.5,64.5,67.1,71.8,76.7,81.1,80.0,79.3,78.2,79.1,77.2,75.0,72.1,68.2,67.3,67.0,67.0,67.1,66.9,70.6,81.1,10
,PENDLETON,65.6,64.6,63.6,62.8,62.7,63.9,64.9,68.5,72.2,73.7,74.9,75.4,76.5,77.3,77.0,76.8,75.1,73.5,71.9,71.1,70.5,69.9,69.5,68.3,70.4,77.3,13
17 RELHUM %,ALPINE,54,40,43,37,26,22,18,18,19,27,26,23,28,30,31,34,40,55,69,82,89,92,94,90,45,94,22
,EL CAJON LES,84,80,75,79,71,71,77,72,65,53,43,39,42,44,44,48,56,66,75,82,85,85,84,84,67,85,20
,KEARNY MESA,89,89,90,89,92,93,89,79,69,58,54,55,56,55,58,61,65,74,80,84,83,82,83,83,75,93,05
18 PRES mmHg,KEARNY MESA,746,746,746,746,746,746,746,746,746,746,745,745,744,744,743,743,743,743,743,743,743,743,743,743,745,746,00
19 SOLAR W/M2,KEARNY MESA,-3,-3,-3,-3,-3,13,164,336,535,727,834,887,875,807,682,514,310,80,2,-3,-3,-3,-3,-3,281,887,11
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.1,.1,.1,.2,.2,.2,.3,.3,.2,.3,.2,.2,.2,.1,.1,.1,.1,.1,.1,.1,.3,11
29 CO Tr PPB,EL CAJON LES,320.6,313.0,C,C,C,304.7,315.2,323.6,331.4,364.4,311.0,C,M,278.3,265.8,277.2,284.6,257.5,277.3,244.7,243.9,233.5,242.5,239.5,285.7,364.4,09
