,SAN YSIDRO,24.4,29.1,C,C,29.1,31.9,32.9,30.4,33.5,39.9,28.8,14.2,7.3,9.0,7.6,8.2,12.9,23.9,26.8,32.4,41.0,40.6,39.2,36.8,26.3,41.0,20
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.0,.2,.7,1.0,.4,.1,.1,.1,.1,.1,1.6,.2,.0,.0,.0,.0,.0,.0,.2,1.6,16
,OTAY MESA DVN,.2,.3,C,C,.2,.4,1.4,.9,.4,1.2,.5,1.0,.5,1.3,1.1,.5,.3,.3,4.1,1.8,7.8,3.6,.3,2.0,1.3,7.8,20
,PENDLETON,.0,.0,.0,-.1,.0,.0,.0,.6,1.4,1.4,1.5,1.2,.9,1.0,2.4,3.7,1.0,.0,.1,.0,.0,.0,.0,.0,.6,3.7,15
06 CO PPM,CARMEL MT RCH,.7,.7,C,C,.2,.6,.5,.8,1.3,.5,.7,.7,.7,.7,.8,.6,.7,.9,.9,.6,.7,.5,1.3,.9,.7,1.3,08
,SAN YSIDRO,.4,.6,C,C,.8,1.0,1.4,1.8,2.2,1.5,.7,.3,.2,.4,.3,.4,.5,.8,.8,.9,1.3,1.7,1.7,1.4,1.0,2.2,08
07 H2S PPB,SAN YSIDRO,.0,.2,.9,3.0,2.9,3.5,4.0,7.7,15.6,5.9,.8,.0,.0,.0,.0,8.6,19.3,16.4,11.5,7.0,8.5,11.1,7.7,4.8,5.8,19.3,16
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,CHULA VISTA,23,24,24,23,24,23,24,P,,P,P,P,26,26,26,26,26,26,26,25,25,25,24,24,25,26,12
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,24,25,25,25,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,27,26,26,27,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,27,02
,KEARNY MESA,25,25,24,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,00
,OTAY MESA DVN,26,25,25,25,25,25,25,25,25,25,25,24,24,25,25,24,24,23,23,23,24,24,24,24,24,26,00
,PENDLETON,24,24,23,24,23,24,24,24,24,24,25,24,24,24,24,24,24,25,25,25,26,26,26,25,24,26,20
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,23,24,24,25,23,23,24,25,24,24,23,23,23,23,23,25,13
11 PM2.5 µg/M3,ALPINE,1.5,1.2,1.3,1.5,2.2,2.7,1.6,1.6,1.3,1.5,1.4,1.4,1.3,1.4,1.6,2.0,3.1,3.4,5.0,4.1,4.8,3.1,2.6,1.9,2.2,5.0,18
,CARMEL MT RCH,4.0,4.9,3.3,3.1,2.7,3.0,2.8,3.9,4.1,4.1,2.5,2.3,2.6,2.7,3.4,3.2,3.2,3.5,4.6,6.8,5.1,4.0,4.4,4.1,3.6,6.8,19
,CHULA VISTA,4.1,4.8,3.7,3.2,3.0,2.8,2.9,P,,P,P,P,4.4,4.0,3.7,4.4,5.2,6.0,9.0,12.5,11.9,13.3,9.6,11.6,6.3,13.3,21
,DOWNTOWN SES,8.9,5.6,6.3,4.4,4.2,3.4,3.0,3.0,3.3,3.3,9.6,4.4,3.1,2.8,3.3,3.8,5.7,5.7,7.1,8.6,12.1,12.3,12.4,10.0,6.0,12.4,22
,EL CAJON LES,12.1,11.9,11.4,9.6,9.6,10.1,10.5,9.7,11.2,9.4,8.7,4.6,2.4,1.8,2.3,3.4,3.1,7.5,19.1,19.2,19.2,20.4,23.6,22.8,10.9,23.6,22
,KEARNY MESA,3.5,3.3,2.8,2.8,2.7,2.5,2.6,2.3,2.4,2.3,2.7,2.6,2.9,3.1,3.4,3.3,4.7,4.1,3.6,3.6,3.7,4.1,4.3,4.2,3.2,4.7,16
,OTAY MESA DVN,2.4,3.0,3.1,2.0,5.7,3.6,4.5,4.3,3.4,7.8,2.0,2.6,2.3,3.0,2.9,2.8,4.1,4.2,11.5,28.3,21.3,20.5,3.3,12.6,6.7,28.3,19
,PENDLETON,3.8,3.6,3.4,3.1,3.2,3.2,2.9,3.1,3.1,2.8,2.9,3.3,5.3,4.2,5.6,6.6,8.4,7.1,6.0,6.7,6.4,5.1,5.1,4.1,4.5,8.4,16
,SAN YSIDRO,7.8,7.6,9.2,10.6,12.7,13.8,13.5,16.5,15.5,17.9,12.9,5.0,3.0,3.4,3.3,4.7,5.7,13.4,12.0,14.4,23.0,36.7,42.3,44.4,14.5,44.4,23
12 VWDR °,ALPINE,132,95,129,354,83,77,71,114,339,288,293,303,301,283,293,298,320,144,87,124,38,103,113,102,0,354,03
,CHULA VISTA,18,63,78,53,58,50,59,P,,P,P,P,278,279,282,278,264,33,121,107,84,88,102,62,0,282,14
,DOWNTOWN SES,338,35,18,29,8,32,10,39,41,243,238,216,253,281,299,308,331,24,320,24,70,37,321,349,0,349,23
,EL CAJON LES,219,168,122,226,211,254,164,114,272,7,329,311,312,273,276,256,300,151,105,171,118,136,240,128,0,329,10
,KEARNY MESA,38,53,64,54,62,58,48,60,65,163,219,263,207,238,297,301,323,358,52,61,86,68,49,13,0,358,17
,OTAY MESA DVN,155,351,48,52,24,12,23,29,1,4,322,303,312,296,285,282,300,20,119,129,138,345,10,134,0,351,01
,PENDLETON,71,71,66,54,81,66,51,31,31,44,70,75,278,301,304,291,317,335,87,69,64,65,57,26,0,335,17
13 SIGTHETA °,ALPINE,50,17,45,28,38,39,39,45,43,29,26,28,43,38,30,27,39,20,35,43,27,37,35,44,35,50,00
,CHULA VISTA,50,25,28,23,28,24,32,P,,P,P,P,28,17,19,17,30,37,18,13,20,63,45,31,29,63,21
,DOWNTOWN SES,25,42,56,50,53,62,63,32,56,58,21,25,27,17,19,20,28,22,62,44,35,25,32,20,37,63,06
,EL CAJON LES,38,57,40,52,64,46,54,47,56,42,47,49,46,40,47,20,25,28,35,61,47,32,53,28,44,64,04
,KEARNY MESA,17,15,13,6,8,10,7,8,13,39,28,54,37,18,13,10,9,32,17,18,7,10,6,14,17,54,11
,OTAY MESA DVN,38,31,40,32,21,33,23,25,24,14,18,19,23,17,11,12,15,42,33,15,18,33,32,25,25,42,17
,PENDLETON,9,10,13,12,8,13,12,28,11,11,16,38,15,14,14,15,12,22,31,13,43,22,43,19,19,43,20
14 VWSP MPH,ALPINE,1.2,2.4,.5,1.7,2.0,1.5,1.1,1.2,.7,2.4,2.7,3.1,2.6,2.9,3.0,3.2,1.3,1.8,1.5,.9,1.7,1.0,1.0,1.3,.0,3.2,15
,CHULA VISTA,2.4,2.5,1.9,2.1,1.8,2.2,1.5,P,,P,P,P,4.7,6.4,5.7,5.8,2.4,.9,1.3,3.4,2.0,.9,1.1,.8,.0,6.4,13
,DOWNTOWN SES,2.5,4.1,1.2,.6,.7,2.8,1.0,3.8,2.2,.7,2.4,3.5,3.8,6.4,6.8,6.7,3.8,2.2,.7,1.5,2.0,1.9,1.6,2.0,.0,6.8,14
,EL CAJON LES,.6,.1,.5,.5,.1,.1,.4,.8,.3,.1,.4,.5,1.5,2.1,2.1,5.1,3.4,.9,1.0,.2,1.3,.4,.4,.3,.0,5.1,15
,KEARNY MESA,5.1,6.3,3.6,5.2,6.0,6.3,6.0,4.3,3.2,2.0,4.1,1.7,3.8,7.7,9.6,9.7,6.6,4.7,2.4,3.1,3.2,4.0,6.1,4.1,.0,9.7,15
,OTAY MESA DVN,8.0,4.8,2.7,3.8,3.9,2.6,2.4,2.7,3.2,3.3,3.5,3.9,4.2,8.2,9.2,6.4,3.0,3.0,3.0,4.7,4.3,1.7,3.2,2.7,.0,9.2,14
,PENDLETON,9.1,8.5,7.3,5.2,11.1,7.8,6.3,3.0,6.0,5.6,4.9,1.1,3.1,4.9,5.5,3.3,7.6,4.2,3.9,3.9,3.1,4.6,3.1,5.1,.0,11.1,04
15 SWSP MPH,ALPINE,1.4,2.6,1.3,2.7,2.2,2.1,1.5,1.6,1.3,2.8,3.4,3.5,3.3,3.7,3.8,3.6,1.8,2.3,2.3,1.4,2.0,1.3,1.7,2.0,2.3,3.8,14
,CHULA VISTA,3.3,2.8,2.2,2.2,2.0,2.3,1.8,P,,P,P,P,5.1,6.7,6.0,6.1,2.7,1.1,1.4,3.5,2.2,1.2,1.4,1.8,2.9,6.7,13
,DOWNTOWN SES,3.2,5.0,1.9,1.9,1.7,3.4,2.0,4.1,2.7,1.7,2.7,4.0,4.5,6.7,7.2,7.1,4.1,2.5,1.4,2.0,2.3,2.1,2.1,2.5,3.3,7.2,14
,EL CAJON LES,1.7,1.5,.9,.8,.4,.8,1.1,1.1,.4,.5,.9,1.1,1.9,2.4,3.0,5.3,4.1,1.4,1.1,.5,1.8,1.3,.6,.6,1.5,5.3,15
,KEARNY MESA,5.4,6.5,3.6,5.2,6.0,6.3,6.1,4.4,3.4,2.7,4.6,2.8,4.9,8.1,9.8,9.9,6.8,5.2,2.6,3.8,3.3,4.0,6.3,4.6,5.3,9.9,15
,OTAY MESA DVN,9.1,5.4,3.6,4.6,4.2,3.1,2.6,3.2,3.6,3.4,3.8,4.1,4.5,8.8,9.5,6.7,3.7,3.7,4.1,5.0,4.5,2.4,3.4,2.9,4.6,9.5,14
,PENDLETON,9.3,8.6,7.8,5.4,11.3,8.7,6.5,3.5,6.1,5.7,5.0,3.9,3.2,5.1,5.7,3.5,7.8,5.6,4.0,4.0,3.6,5.1,3.8,5.4,5.8,11.3,04
16 AMBTEMP °F,ALPINE,59.3,61.1,61.0,59.9,61.1,62.4,61.8,62.5,65.0,67.5,70.5,72.0,74.3,75.7,76.1,74.8,68.0,63.2,62.1,61.4,62.0,60.0,62.3,63.5,65.3,76.1,14
,CARMEL MT RCH,55.5,54.2,54.8,55.8,55.5,55.2,54.7,54.7,59.8,64.2,70.2,74.8,78.7,80.8,75.2,71.6,67.9,65.0,63.2,60.6,60.0,59.8,58.7,58.2,62.9,80.8,13
,CHULA VISTA,54.5,55.4,54.3,53.5,53.4,53.4,53.3,P,,P,P,P,77.2,75.5,74.5,71.4,67.5,63.8,60.6,59.8,58.5,57.7,55.4,54.0,60.7,77.2,12
,DOWNTOWN SES,57.6,57.4,53.9,53.4,52.9,54.8,54.3,56.5,60.1,69.9,73.4,76.8,78.2,76.7,72.9,70.4,67.5,65.8,62.9,61.2,59.4,58.8,55.8,57.0,62.8,78.2,12
,EL CAJON LES,46.4,45.9,44.7,43.4,42.8,42.8,42.3,43.7,47.7,55.1,64.3,73.5,78.3,80.3,81.0,77.0,70.6,63.9,59.3,56.6,54.2,52.2,50.0,48.1,56.8,81.0,14
,KEARNY MESA,57.9,55.9,56.8,56.7,55.4,55.7,57.0,58.1,62.5,72.6,75.8,78.2,80.2,79.4,75.2,71.0,66.2,62.9,62.1,59.9,59.4,59.1,58.9,57.8,63.9,80.2,12
,OTAY MESA DVN,67.4,61.8,62.9,63.8,63.3,63.2,63.7,64.2,64.8,67.6,73.0,76.0,78.3,78.8,76.2,71.0,65.9,63.4,64.0,62.2,62.0,61.2,59.9,58.9,66.4,78.8,13
,PENDLETON,54.8,53.8,54.6,56.3,55.8,56.0,56.1,53.2,54.0,64.7,71.6,74.5,67.7,65.8,66.7,65.3,64.2,64.0,62.3,60.9,59.1,57.3,57.1,55.1,60.5,74.5,11
,SAN YSIDRO,60.5,56.1,53.7,53.8,52.9,53.2,53.5,54.0,58.5,68.2,74.5,78.5,80.4,78.5,74.9,69.3,64.7,61.9,59.3,57.9,57.8,56.9,55.4,56.0,62.1,80.4,12
17 RELHUM %,ALPINE,16,13,13,13,12,12,14,14,15,15,14,12,11,11,11,13,20,24,25,23,22,21,19,16,16,25,18
,EL CAJON LES,51,54,56,60,62,64,65,62,54,37,27,17,13,11,12,19,22,28,35,40,43,47,52,56,41,65,06
,KEARNY MESA,28,30,28,28,30,30,27,26,25,17,14,12,11,14,18,28,38,41,32,32,32,34,35,35,27,41,17
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,751,751,751,751,751,750,749,749,748,749,750,750,750,750,750,750,750,750,750,751,06
,KEARNY MESA,751,751,751,750,751,751,751,751,752,752,751,751,750,750,750,750,751,751,751,751,751,751,751,751,751,752,08
19 SOLAR W/M2,EL CAJON LES,-3,-3,-3,-2,-2,-2,1,50,115,313,502,571,549,459,322,167,10,-7,-5,-4,-3,-3,-4,-3,126,571,11
,KEARNY MESA,0,0,0,0,0,0,3,57,233,506,598,642,619,533,390,208,28,0,0,0,0,0,0,0,159,642,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,3,9,18,26,29,28,23,16,8,1,0,0,0,0,0,0,0,7,29,11
25 NOY,EL CAJON LES,35.39,39.37,36.30,29.85,34.53,C,C,49.13,55.29,39.17,30.13,13.56,5.93,4.20,6.55,7.81,6.94,15.83,20.67,27.23,22.45,28.76,34.65,45.14,26.76,55.29,08
26 NOY-NO,EL CAJON LES,26.86,27.61,26.74,24.24,25.02,C,C,24.46,26.05,21.56,18.90,9.68,4.54,3.32,5.44,6.76,6.27,15.15,19.84,25.99,21.42,26.93,29.91,32.48,19.50,32.48,23
27 NO Trace,EL CAJON LES,8.52,11.76,9.56,5.61,9.51,C,C,24.67,29.23,17.60,11.22,3.88,1.39,.87,1.10,1.05,.66,.67,.83,1.24,1.02,1.83,4.73,12.66,7.25,29.23,08
28 SO2 Tr PPB,EL CAJON LES,.3,.3,C,C,C,.3,.3,.3,.4,.3,.2,.2,.1,.1,.1,.2,.1,.3,.5,.4,.5,.5,.6,.5,.3,.6,22
29 CO Tr PPB,EL CAJON LES,649.0,677.8,C,C,C,678.0,819.0,790.0,822.8,661.2,517.1,260.0,185.6,165.0,223.2,253.8,231.2,452.5,551.0,712.9,600.1,740.0,769.9,996.1,559.8,996.1,23
BCarbon ug/m3,10TH AVE MARINE TERM,2.42,2.69,2.50,<,<,3.83,1.53,2.33,1.18,2.46,1.79,2.38,2.49,.61,.78,.62,.85,.72,<,2.34,2.48,3.22,3.42,3.52,2.10,3.83,05
,BOSTON AVE,1.67,1.44,.75,.65,1.57,.57,1.57,1.83,1.14,.90,2.40,1.12,.57,.33,.59,.82,.88,1.16,2.45,3.90,5.67,4.48,3.60,4.20,1.84,5.67,20
,CHICANO PARK,1.97,.94,<,.63,<,<,<,.61,1.08,1.39,2.37,<,.52,.28,.50,.45,<,<,1.09,1.98,<,3.12,2.79,2.85,1.41,3.12,21
,DOWNTOWN SES,1.49,.54,.68,.58,.49,.33,.35,.51,.70,.60,1.73,<,.35,.21,.50,.38,.67,.50,1.22,<,2.06,2.50,2.32,2.02,.94,2.50,21
,OCEANVIEW BLVD,1.54,.77,.66,.63,.66,.51,.28,.46,.71,.48,1.43,1.18,.56,.28,.56,.34,.53,<,5.91,<,3.50,3.54,3.16,<,1.32,5.91,18
,SAN YSIDRO,1.55,1.53,1.82,2.52,2.62,2.95,<,<,4.23,3.60,2.00,.77,.36,.32,.31,.60,<,1.03,1.43,1.35,3.51,<,8.61,<,2.16,8.61,22
PM10 STD,ALPINE,4.3,2.7,3.0,3.3,4.3,6.0,4.1,5.6,6.5,7.4,8.0,7.0,6.4,8.5,10.0,10.3,16.5,12.0,17.5,11.1,12.4,10.4,9.7,7.6,8.1,17.5,18
,CARMEL MT RCH,10.8,15.6,8.7,12.2,7.9,10.9,7.5,19.9,19.1,20.0,10.7,11.8,18.6,15.6,22.8,24.8,15.8,12.6,17.1,19.6,14.6,10.6,14.7,12.7,14.7,24.8,15
,CHULA VISTA,11.4,13.0,9.4,8.2,6.9,7.1,7.2,P,,P,P,P,17.8,14.7,14.7,17.2,16.6,19.3,26.5,28.4,36.8,35.0,22.8,23.2,17.6,36.8,20
,DOWNTOWN SES,22.8,16.3,16.6,12.4,10.0,9.0,8.6,10.1,13.1,14.1,37.1,17.7,13.5,14.7,12.6,17.7,18.7,16.7,24.6,22.8,27.4,27.7,25.8,24.0,18.0,37.1,10
,EL CAJON LES,24.3,24.9,24.2,21.7,21.9,24.7,23.7,23.4,27.3,27.0,22.9,11.6,8.9,9.2,11.0,19.3,14.9,20.2,36.1,39.4,36.9,37.3,41.5,43.3,24.8,43.3,23
,KEARNY MESA,12.2,11.7,8.2,7.6,7.4,6.0,8.7,6.6,7.7,9.9,15.5,13.4,17.9,13.4,18.1,15.4,17.9,14.8,13.3,11.2,12.9,14.6,17.0,17.1,12.4,18.1,14
,OTAY MESA DVN,18.0,23.0,18.6,8.2,61.9,29.0,43.8,49.8,28.5,111.0,12.5,16.8,15.7,19.1,19.5,15.3,27.2,22.8,53.0,106.2,110.8,77.6,14.4,48.4,39.6,111.0,09
,PENDLETON,12.5,14.0,11.9,11.8,13.6,14.7,9.6,10.3,12.7,11.4,13.3,18.3,30.9,22.4,22.0,24.7,29.8,31.4,22.8,20.5,20.0,15.6,17.6,14.7,17.7,31.4,17
,SAN YSIDRO,28.0,27.9,30.2,35.8,40.0,43.0,46.2,54.0,67.2,79.6,63.2,27.5,13.3,20.0,16.3,23.4,19.6,34.0,28.5,34.0,59.6,89.0,117.7,121.9,46.6,121.9,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
