13 SIGTHETA °,ALPINE,16,57,16,31,61,51,21,32,42,34,34,42,34,30,31,28,28,27,54,25,26,25,51,23,34,61,04
,CHULA VISTA,30,26,31,50,49,42,22,24,35,36,50,23,21,19,20,19,21,17,17,22,18,18,22,33,28,50,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,18,21,35,40,36,39,71,56,69,50,66,57,63,46,34,20,21,15,29,22,51,25,19,36,39,71,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6,7,9,7,16,35,20,18,15,19,22,23,25,14,18,13,9,8,8,6,8,10,34,21,15,35,05
,OTAY MESA DVN,12,23,21,17,19,11,47,56,38,21,20,24,17,13,13,14,13,17,19,48,26,24,39,34,24,56,07
,PENDLETON,10,10,9,14,9,10,10,12,27,18,13,16,13,12,13,14,17,17,12,14,15,22,21,10,14,27,08
14 VWSP MPH,ALPINE,1.2,.4,.6,.5,.1,1.0,1.6,1.1,1.2,2.1,2.8,2.7,4.0,4.2,4.0,4.6,3.1,1.2,.6,.3,.6,1.1,.1,.7,1.7,4.6,15
,CHULA VISTA,.2,.6,.4,.7,.3,.5,1.6,1.9,1.7,2.4,2.5,5.2,7.3,8.0,6.3,5.5,4.2,4.4,3.4,2.3,2.5,1.6,.9,.7,2.7,8.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.8,1.3,.2,.2,1.7,.5,.3,.4,.3,1.7,1.4,1.0,2.3,2.3,4.4,6.0,4.8,4.4,2.6,2.3,.9,1.7,1.6,.3,1.9,6.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,4.2,4.1,4.5,2.6,1.6,2.1,2.4,4.4,5.2,4.6,4.9,5.8,8.9,6.6,7.3,7.4,7.3,5.4,5.2,4.5,2.4,.7,1.3,4.5,8.9,13
,OTAY MESA DVN,3.3,1.7,.6,1.5,1.5,3.5,.9,.2,1.4,4.1,5.4,5.1,8.5,9.9,8.5,7.0,6.1,4.7,2.9,1.3,1.6,.6,.5,1.2,3.4,9.9,13
,PENDLETON,4.0,3.4,3.5,4.0,3.9,4.4,4.2,3.9,1.5,3.3,4.0,4.7,5.6,6.6,5.0,4.3,3.9,3.0,2.8,2.7,2.8,1.4,1.6,3.2,3.7,6.6,13
15 SWSP MPH,ALPINE,1.3,.7,.6,.6,.1,1.1,1.7,1.3,1.5,2.5,3.4,3.5,4.9,4.8,4.6,5.1,3.6,1.4,.7,.6,.8,1.2,.1,.9,2.0,5.1,15
,CHULA VISTA,.3,.7,.5,.9,.8,.9,1.8,2.2,2.0,2.8,3.2,5.7,7.7,8.4,6.7,5.8,4.5,4.6,3.5,2.4,2.6,1.7,1.1,.7,3.0,8.4,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.9,1.3,1.0,.5,1.9,1.2,.6,.7,1.0,2.4,2.5,2.8,4.0,3.9,5.4,6.3,5.1,4.5,3.2,2.6,2.2,2.3,1.8,.8,2.5,6.3,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.0,4.3,4.2,4.6,2.7,1.8,2.7,2.6,4.6,5.5,4.9,5.3,6.3,9.2,7.0,7.6,7.5,7.4,5.4,5.3,4.5,2.4,1.1,1.6,4.7,9.2,13
,OTAY MESA DVN,3.5,2.1,.9,1.7,2.5,3.6,1.4,.7,2.1,4.4,5.8,5.6,8.9,10.1,8.8,7.2,6.3,5.1,3.1,1.5,1.7,1.5,1.1,1.8,3.8,10.1,13
,PENDLETON,4.0,3.5,3.5,4.1,3.9,4.5,4.2,4.1,2.3,3.7,4.1,4.9,5.7,6.8,5.2,4.4,4.1,3.1,2.9,2.8,3.1,1.6,1.7,3.2,3.8,6.8,13
16 AMBTEMP °F,ALPINE,54.1,54.9,56.5,56.0,52.8,51.9,53.6,58.4,60.4,64.5,67.0,70.0,72.4,73.0,72.5,69.7,66.4,62.4,58.4,56.7,55.6,54.1,53.1,52.1,60.3,73.0,13
,CARMEL MT RCH,51.7,50.4,50.4,50.4,50.6,50.6,50.2,54.0,58.2,60.1,62.7,66.1,69.5,68.8,68.6,66.9,64.7,61.3,58.4,57.0,55.4,54.8,54.0,53.2,57.8,69.5,12
,CHULA VISTA,53.5,52.8,51.6,50.7,50.9,49.7,52.0,54.2,56.8,60.8,64.1,65.9,67.2,65.7,65.1,63.8,62.9,61.8,60.2,59.3,58.6,57.8,56.9,55.6,58.2,67.2,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52.7,51.8,50.4,49.3,48.4,48.4,49.4,52.6,57.2,62.0,66.6,70.1,73.3,75.0,75.3,72.2,69.6,66.7,63.1,60.7,59.1,57.4,56.1,54.9,60.1,75.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,53.3,50.4,49.8,50.0,51.8,52.8,53.0,54.0,56.9,59.9,62.6,64.0,67.9,66.5,66.3,65.5,63.2,60.2,57.3,56.1,55.9,56.3,55.4,54.5,57.7,67.9,12
,OTAY MESA DVN,54.0,53.4,52.9,52.1,51.7,51.6,50.6,52.4,56.9,60.8,63.8,67.0,68.7,67.0,65.3,64.5,62.1,59.8,58.3,56.8,56.3,56.0,55.6,55.3,58.0,68.7,12
,PENDLETON,52.3,52.5,51.3,50.2,50.2,50.0,50.8,53.7,57.7,59.9,60.6,62.5,63.0,62.5,62.3,61.9,61.3,60.4,59.2,59.1,58.6,57.9,56.6,54.5,57.0,63.0,12
17 RELHUM %,ALPINE,69,63,49,51,52,44,36,30,36,32,38,32,35,29,29,47,56,66,76,80,83,87,89,90,54,90,23
,EL CAJON LES,88,89,89,91,92,91,89,80,67,57,51,44,41,41,40,46,50,55,64,71,78,84,89,90,70,92,04
,KEARNY MESA,89,92,94,95,94,94,97,98,96,84,73,72,62,61,62,61,69,81,89,92,95,94,94,96,85,98,07
18 PRES mmHg,KEARNY MESA,748,748,747,747,747,747,747,748,748,748,748,748,747,747,747,746,746,746,746,747,747,747,747,747,747,748,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,2,45,202,340,476,523,574,827,656,587,384,212,55,1,1,1,1,0,1,204,827,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,.2,M,M,M,M,M,.1,.1,.1,.0,.0,.0,.0,.0,.0,.2,10
29 CO Tr PPB,EL CAJON LES,264.0,262.0,C,C,C,457.0,576.0,455.2,466.9,467.5,317.6,C,M,M,M,M,C,310.6,305.5,317.0,337.4,364.9,293.5,313.9,367.2,576.0,06
