,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,36,39,58,62,48,49,58,50,44,50,53,58,67,52,34,21,17,17,33,36,57,44,38,63,45,67,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,7,7,8,8,10,13,12,24,35,49,53,40,12,12,15,13,8,19,52,10,48,35,10,21,53,11
,OTAY MESA DVN,21,28,52,34,30,72,52,46,21,23,33,35,12,M,20,19,32,37,19,49,26,22,54,63,35,72,05
,PENDLETON,16,14,14,14,17,16,13,11,13,12,18,22,39,15,14,13,10,13,48,26,15,22,50,10,19,50,22
14 VWSP MPH,ALPINE,2.7,1.2,.6,1.2,1.4,.4,4.0,P,2.0,4.2,2.2,6.8,2.7,2.5,4.1,2.6,3.5,5.7,4.8,2.4,.5,1.4,2.5,1.6,2.7,6.8,11
,CHULA VISTA,1.4,.5,1.5,1.5,1.4,.9,.9,1.3,1.9,1.4,P,4.6,6.3,7.2,6.8,7.0,6.5,5.2,3.2,.4,1.1,1.5,2.2,2.1,2.9,7.2,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,1.5,.2,.9,.4,.4,.4,.7,1.0,1.5,2.1,2.5,2.5,3.7,5.1,7.4,7.3,5.0,1.4,1.3,1.3,1.3,1.4,.4,2.1,7.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,3.9,3.5,4.7,5.2,5.1,4.0,3.0,3.9,3.0,3.1,2.6,2.4,P,11.5,9.5,7.7,7.0,6.5,3.9,5.7,1.1,.6,4.2,4.6,11.5,14
,OTAY MESA DVN,3.2,2.1,1.0,2.3,1.9,.9,1.1,2.5,3.2,4.8,3.8,10.9,P,11.7,7.3,7.3,3.0,3.0,2.1,1.1,2.8,2.8,1.5,1.9,3.6,11.7,13
,PENDLETON,3.3,6.4,7.8,7.5,5.5,7.2,9.8,15.0,13.4,15.4,10.4,7.2,5.0,P,11.5,13.3,13.1,8.2,1.9,2.6,3.5,3.9,3.1,6.2,7.9,15.4,09
15 SWSP MPH,ALPINE,3.5,1.5,.7,3.0,3.4,4.0,5.3,P,4.2,5.2,5.1,7.5,4.6,3.7,4.8,4.1,4.2,6.4,5.4,3.8,2.2,2.2,3.5,2.2,3.9,7.5,11
,CHULA VISTA,1.6,.6,1.9,1.7,1.5,1.2,1.6,1.4,2.1,2.3,P,5.1,6.9,7.7,7.3,7.5,6.8,5.4,3.4,1.5,1.1,1.6,2.5,2.1,3.3,7.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,1.8,.8,1.5,.8,1.2,.8,1.1,1.8,2.0,2.9,3.7,4.0,4.9,6.9,7.9,7.7,5.5,3.0,2.0,2.0,2.0,2.2,1.5,2.9,7.9,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,3.9,3.6,4.8,5.3,5.2,4.1,3.1,4.4,3.7,4.0,3.8,6.4,P,11.8,10.0,8.0,7.2,6.9,4.8,5.8,1.9,2.4,4.5,5.2,11.8,14
,OTAY MESA DVN,3.4,2.9,1.5,3.5,2.4,1.4,1.6,2.8,3.5,5.2,4.6,11.7,P,M,7.9,7.8,5.1,3.3,2.4,2.9,3.2,3.0,2.0,3.0,3.9,11.7,11
,PENDLETON,3.5,6.6,8.0,7.8,5.7,7.5,10.1,15.3,13.7,15.7,10.9,7.9,7.7,P,11.9,13.6,13.3,8.4,3.0,3.0,3.9,4.1,3.5,6.4,8.3,15.7,09
16 AMBTEMP °F,ALPINE,45.7,48.0,48.3,48.3,49.2,49.1,49.9,P,56.9,59.7,63.0,64.4,65.9,67.2,67.1,66.4,64.1,58.3,53.8,53.2,51.7,50.6,51.0,50.3,55.7,67.2,13
,CARMEL MT RCH,48.3,47.7,48.2,51.9,53.6,53.5,54.6,56.7,60.2,63.5,66.3,67.7,68.5,70.0,70.6,68.8,65.6,61.7,60.2,59.8,58.7,56.3,54.7,53.7,59.2,70.6,14
,CHULA VISTA,50.3,49.4,49.4,48.5,47.9,48.0,47.3,53.7,59.3,64.1,P,68.5,69.4,68.8,69.2,69.0,68.1,65.5,61.6,59.1,56.8,54.8,52.7,51.3,57.9,69.4,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,48.7,47.3,46.1,44.6,43.7,42.6,42.9,48.7,56.1,62.9,66.4,68.8,70.3,72.1,72.1,70.6,68.9,65.4,61.3,59.5,55.1,51.2,48.9,48.0,56.8,72.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,50.6,49.6,48.7,48.8,49.2,47.1,49.8,56.1,61.2,64.4,66.9,68.4,69.6,P,68.0,65.8,63.7,60.3,57.8,57.1,57.0,54.6,56.5,51.9,57.5,69.6,12
,OTAY MESA DVN,50.8,50.6,50.8,49.3,50.3,50.5,51.4,54.8,57.7,62.3,66.0,68.0,P,M,68.8,68.7,67.2,63.5,59.8,59.2,56.5,55.1,54.0,53.3,57.7,68.8,14
,PENDLETON,50.2,51.7,52.0,52.5,53.6,54.1,53.2,58.0,61.3,63.8,66.8,68.5,66.9,P,63.5,62.9,63.0,60.8,59.2,58.5,56.5,53.7,52.0,52.4,58.0,68.5,11
17 RELHUM %,ALPINE,62,53,53,42,28,24,21,P,19,17,15,15,14,14,14,13,14,15,17,17,19,21,22,23,24,62,00
,EL CAJON LES,87,88,88,91,90,90,89,80,53,22,19,16,15,13,15,20,23,31,34,20,30,41,47,49,48,91,03
,KEARNY MESA,84,89,91,88,79,78,61,47,29,22,22,19,22,P,28,41,45,46,54,42,28,32,27,37,48,91,02
18 PRES mmHg,KEARNY MESA,749,749,749,749,749,750,750,751,752,752,752,751,751,P,750,750,750,750,751,751,751,751,751,751,750,752,08
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,1,69,273,487,667,794,855,845,P,652,476,268,68,1,0,0,0,1,0,237,855,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.2,.2,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,07
29 CO Tr PPB,EL CAJON LES,251.0,246.2,C,C,C,536.1,800.2,904.9,701.3,219.5,217.7,195.4,184.4,181.4,211.4,235.0,229.0,221.4,262.7,200.1,295.8,336.7,352.9,301.6,337.3,904.9,07
