,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,22,22,22,23,25,24,24,24,24,23,23,24,24,24,25,25,25,24,24,23,24,25,08
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,25,25,25,25,25,24,24,24,24,25,25,25,25,26,26,25,26,00
,PENDLETON,25,25,25,25,24,24,24,P,,,,,,,,,,,,,,,,,25,25,00
11 PM2.5 µg/M3,ALPINE,5.1,6.4,8.8,6.1,2.8,1.0,2.2,.7,-1.2,-.8,.0,1.2,3.4,6.0,5.3,5.2,8.9,6.3,8.1,9.8,9.1,10.0,8.8,6.9,5.0,10.0,21
,DOWNTOWN SES,14.2,11.9,8.4,6.0,6.7,5.6,6.2,6.3,14.9,17.4,18.3,14.5,7.7,2.9,8.0,6.0,7.2,8.7,9.3,7.2,6.5,6.1,8.6,7.5,9.0,18.3,10
,EL CAJON LES,14.1,11.7,10.7,6.6,8.9,7.9,7.0,10.1,10.0,8.0,7.4,9.3,6.4,8.2,7.3,7.6,7.9,6.6,8.4,7.9,7.8,10.6,8.5,6.8,8.5,14.1,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.5,28.7,22.2,22.6,32.4,17.2,16.9,22.2,21.3,21.0,13.9,8.2,5.3,4.5,6.6,4.7,7.4,8.2,9.3,6.2,9.5,9.4,8.5,7.4,13.2,32.4,04
,PENDLETON,6.7,8.8,8.9,6.0,6.2,5.4,5.5,,,,,,,,,,,,,,,,,,6.7,8.9,02
12 VWDR °,ALPINE,111,100,100,20,35,269,114,123,197,248,249,265,279,260,240,232,241,244,238,248,224,189,192,278,0,279,12
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,359,42,40,42,51,107,48,95,190,212,206,229,239,264,279,274,286,292,306,306,8,337,344,356,0,359,00
,EL CAJON LES,239,256,242,221,255,235,124,243,278,276,248,238,220,217,239,244,250,259,255,274,316,311,341,346,0,346,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,63,64,61,64,60,59,14,140,204,224,233,230,234,277,283,287,278,281,288,272,90,85,94,85,0,288,18
,OTAY MESA DVN,55,152,174,158,140,137,132,150,155,178,297,302,282,284,292,285,283,299,295,283,319,278,343,342,0,343,22
,PENDLETON,57,54,52,57,58,60,62,P,,,,,,,,,,,,,,,,,0,62,06
13 SIGTHETA °,ALPINE,14,15,14,30,20,72,29,16,45,35,37,32,31,30,29,28,27,30,24,31,37,30,37,25,30,72,05
,CHULA VISTA,58,42,17,20,21,23,22,27,49,22,22,24,21,22,20,20,19,19,16,15,46,42,37,31,27,58,00
,DOWNTOWN SES,29,54,44,17,26,35,19,20,27,21,21,35,23,23,26,24,22,23,28,34,21,44,42,21,28,54,01
,EL CAJON LES,26,37,37,44,24,36,45,47,42,44,24,27,26,21,26,22,22,17,18,23,23,15,21,24,29,47,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3,3,6,6,5,4,22,26,22,23,19,28,16,18,15,15,11,9,9,31,8,27,19,13,15,31,19
,OTAY MESA DVN,33,44,43,29,13,13,15,21,11,29,15,16,22,17,15,17,11,11,14,11,30,23,33,30,22,44,01
,PENDLETON,7,8,8,9,6,7,8,P,,,,,,,,,,,,,,,,,8,9,03
14 VWSP MPH,ALPINE,1.5,1.9,1.7,1.1,1.3,.4,.7,2.8,1.8,3.7,4.7,5.2,5.2,6.0,6.1,5.5,4.1,2.8,2.4,1.5,1.9,1.7,1.2,1.7,.0,6.1,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,.9,1.0,1.9,2.9,1.3,.5,3.3,3.2,2.4,4.6,5.1,4.1,7.1,6.6,6.3,5.7,5.7,5.3,3.5,2.2,2.0,.9,.9,1.9,.0,7.1,12
,EL CAJON LES,.9,.4,.2,.0,.5,.0,.0,.5,.8,1.8,5.6,5.0,5.6,7.6,5.9,5.0,5.3,5.7,2.8,2.7,2.2,2.4,1.4,1.7,.0,7.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.1,4.9,5.6,5.5,5.6,4.9,2.8,.5,2.5,4.9,7.2,5.4,9.3,9.6,9.0,7.6,8.2,6.1,3.4,2.3,1.6,.9,1.5,1.3,.0,9.6,13
,OTAY MESA DVN,.7,.2,.5,.5,2.2,3.0,2.5,2.5,4.4,2.6,8.4,7.4,8.1,9.3,7.9,5.6,7.0,5.7,3.7,3.6,2.4,1.2,1.0,1.3,.0,9.3,13
,PENDLETON,6.5,6.9,6.0,5.6,6.4,6.0,7.2,P,,,,,,,,,,,,,,,,,.0,7.2,06
15 SWSP MPH,ALPINE,1.5,2.0,1.8,1.8,1.4,.4,1.4,3.0,2.4,4.3,5.6,6.1,5.9,7.0,6.9,6.2,4.5,3.1,2.5,1.7,2.3,2.2,1.8,2.2,3.3,7.0,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,.9,1.1,2.1,3.0,1.9,.6,3.4,3.4,3.5,5.0,5.8,4.8,7.8,7.5,6.8,6.1,6.2,5.7,3.9,2.6,2.1,1.2,1.0,2.0,3.7,7.8,12
,EL CAJON LES,.9,.4,.2,.0,.5,.0,.0,.5,1.0,2.1,6.2,5.6,6.1,8.1,6.8,5.5,5.7,6.0,3.0,3.0,2.4,2.5,1.6,1.9,2.9,8.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.1,4.9,5.6,5.5,5.6,4.9,3.3,1.9,2.7,5.4,7.7,6.0,9.7,10.2,9.3,8.0,8.4,6.1,3.5,2.6,1.7,1.1,1.6,1.4,5.1,10.2,13
,OTAY MESA DVN,1.7,1.0,.8,.6,2.4,3.1,2.8,2.6,4.5,4.0,8.7,7.7,8.8,9.8,8.4,6.1,7.2,5.8,3.9,3.7,2.8,1.5,1.2,1.9,4.2,9.8,13
,PENDLETON,6.6,6.9,6.0,5.7,6.5,6.0,7.3,P,,,,,,,,,,,,,,,,,6.4,7.3,06
16 AMBTEMP °F,ALPINE,64.2,64.3,63.5,64.0,65.2,64.4,64.6,67.6,71.3,73.2,74.0,73.5,73.8,74.1,72.1,68.9,65.4,60.7,56.3,55.5,55.3,54.5,54.4,53.8,64.8,74.1,13
,CARMEL MT RCH,60.0,59.2,58.7,58.2,58.1,57.9,57.9,62.5,70.1,73.9,75.5,76.9,78.0,75.0,72.0,70.5,64.9,61.2,59.9,59.0,58.0,57.4,56.9,57.2,64.1,78.0,12
,CHULA VISTA,61.2,60.4,59.5,59.4,59.3,58.7,59.4,64.3,69.7,70.6,70.2,70.8,70.9,69.8,69.1,67.7,65.5,63.8,63.3,62.9,62.2,61.3,60.7,60.1,64.2,70.9,12
,DOWNTOWN SES,62.1,61.3,60.6,61.3,59.7,57.7,60.2,66.1,69.0,69.5,71.3,73.9,72.2,71.3,70.0,68.5,65.8,64.5,63.9,63.9,63.1,62.6,62.5,62.0,65.1,73.9,11
,EL CAJON LES,55.6,54.2,52.8,51.8,50.9,50.6,51.2,56.6,64.8,72.8,77.1,77.2,78.9,77.1,75.6,73.2,69.8,64.4,62.3,62.5,62.0,61.5,60.7,60.1,63.5,78.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,61.1,59.9,60.2,59.6,59.9,59.9,58.5,66.3,70.1,73.3,74.6,75.3,75.6,73.0,70.1,68.7,64.8,62.3,61.9,60.8,59.0,58.2,57.6,57.7,64.5,75.6,12
,OTAY MESA DVN,65.0,63.3,62.0,60.7,59.1,58.6,58.7,63.5,68.3,74.6,74.1,74.4,76.2,72.9,70.5,68.6,66.1,61.6,60.8,59.5,60.0,58.6,59.4,59.1,64.8,76.2,12
,PENDLETON,58.3,57.2,55.9,54.9,54.6,55.7,55.6,P,,,,,,,,,,,,,,,,,56.0,58.3,00
17 RELHUM %,ALPINE,14,14,15,14,13,14,15,15,11,10,10,12,16,16,27,40,60,69,90,96,94,94,95,96,40,96,19
,EL CAJON LES,40,43,46,48,50,51,52,42,30,20,19,27,21,33,45,47,49,71,77,76,76,77,78,79,50,79,23
,KEARNY MESA,28,28,28,29,29,28,31,25,20,20,27,25,33,49,54,56,74,81,83,84,86,88,88,89,49,89,23
18 PRES mmHg,EL CAJON LES,749,749,749,749,748,748,749,749,749,749,749,749,748,748,748,748,748,748,749,749,749,749,749,749,749,749,00
,KEARNY MESA,750,750,749,749,749,749,749,749,750,750,750,750,749,749,749,749,749,749,750,750,750,750,750,750,750,750,00
19 SOLAR W/M2,EL CAJON LES,2,2,2,2,3,4,48,286,452,638,759,799,772,670,504,305,64,4,2,6,3,5,4,5,223,799,11
,KEARNY MESA,0,0,0,0,0,1,77,272,362,588,684,716,683,593,460,289,83,2,0,0,0,0,0,0,200,716,11
25 NOY,EL CAJON LES,21.80,22.70,20.55,23.02,C,C,28.35,29.66,22.11,15.87,8.74,7.70,6.29,5.52,5.27,4.30,4.13,3.53,3.68,4.08,4.58,5.41,6.18,4.97,11.74,29.66,07
26 NOY-NO,EL CAJON LES,21.23,21.97,20.03,22.15,C,C,19.51,18.61,15.38,11.86,7.28,6.60,5.54,4.91,4.63,3.94,3.90,3.46,3.48,3.93,4.48,5.33,6.06,4.95,9.96,22.15,03
27 NO Trace,EL CAJON LES,.57,.73,.52,.87,C,C,8.83,11.05,6.73,4.00,1.45,1.09,.75,.60,.63,.36,.23,.06,.20,.14,.10,.07,.11,.01,1.77,11.05,07
28 SO2 Tr PPB,EL CAJON LES,.1,C,C,C,.1,.0,.1,.1,.1,.1,.2,.2,.2,.2,.2,.2,.1,.1,.1,.1,.1,.1,.0,.0,.1,.2,10
29 CO Tr PPB,EL CAJON LES,472.0,C,C,C,436.6,471.3,527.6,523.7,445.5,399.6,276.5,255.5,243.1,229.4,240.3,249.0,240.3,233.6,227.3,226.3,246.3,271.4,281.3,253.6,321.4,527.6,06
BCarbon ug/m3,10TH AVE MARINE TERM,2.44,2.21,1.44,1.31,1.83,3.14,1.41,1.26,2.03,3.03,2.61,1.91,.49,.78,.34,.45,.55,.30,.21,.16,.20,.16,.50,1.13,1.25,3.14,05
,ALPINE,.11,.10,.10,.11,.10,.11,.12,.15,.13,.15,.15,.34,.52,.41,.33,.21,.25,.29,.26,.27,.24,.24,.23,.22,.21,.52,12
,CHICANO PARK,2.22,1.62,1.03,1.10,.63,.92,.93,1.03,2.16,2.79,2.86,1.87,.67,.35,.33,.35,.34,.39,.34,.25,.34,.42,.27,.53,.99,2.86,10
,DOWNTOWN SES,2.07,1.59,1.00,.67,.59,.65,.63,.99,1.94,2.87,2.99,1.63,.58,.27,.35,.38,.30,.30,.28,.32,.32,.37,.38,.49,.92,2.99,10
,OCEANVIEW BLVD,2.27,1.51,1.04,.86,.82,.86,.96,.87,1.50,2.45,2.38,1.94,.65,.24,.30,.35,.30,.32,.37,.35,.35,.79,.56,.38,.93,2.45,09
,SAN YSIDRO,1.95,5.66,5.90,7.03,5.32,3.75,3.66,4.17,4.15,1.78,.86,.54,.71,.21,.26,.23,.24,.23,.19,.27,.47,.48,.42,.38,2.04,7.03,03
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
