,DOWNTOWN SES,62.9,63.2,63.4,63.6,63.4,63.3,62.9,M,67.8,69.2,69.3,70.0,71.5,70.4,70.6,68.9,68.0,67.7,67.6,67.9,67.6,67.5,67.7,67.3,67.0,71.5,12
,EL CAJON LES,66.0,65.5,65.3,65.3,64.8,64.1,64.6,65.9,67.8,69.3,70.4,70.9,72.7,72.2,71.5,70.8,68.1,67.0,67.1,66.7,67.0,66.3,66.0,65.8,67.5,72.7,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.4,65.1,65.0,65.0,65.2,65.1,65.5,65.9,66.8,68.4,68.6,69.4,70.3,69.8,69.7,67.6,66.7,66.1,66.1,66.2,65.6,65.4,65.1,64.8,66.6,70.3,12
,OTAY MESA DVN,63.7,63.3,63.4,63.9,63.4,<,<,<,65.8,68.3,69.1,69.1,69.4,70.1,69.2,68.0,65.7,64.8,64.6,64.6,64.1,64.4,63.5,63.4,65.8,70.1,13
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
17 RELHUM %,ALPINE,100,100,100,100,100,100,99,98,97,88,85,87,85,80,81,80,86,97,98,96,94,95,79,97,93,100,00
,EL CAJON LES,85,87,87,85,85,89,88,83,77,72,68,65,60,60,62,63,69,72,71,72,70,73,74,77,75,89,05
,KEARNY MESA,90,91,91,90,90,91,90,88,84,77,76,73,67,70,68,76,80,83,82,81,85,85,86,86,83,91,01
18 PRES mmHg,EL CAJON LES,749,749,749,749,749,750,750,750,750,750,750,750,750,750,749,749,749,750,750,750,750,750,749,750,750,750,05
,KEARNY MESA,749,750,750,750,750,750,750,750,751,751,751,751,751,750,750,750,750,750,750,750,750,750,750,750,750,751,08
19 SOLAR W/M2,EL CAJON LES,-3,-3,-3,-5,-6,-5,26,82,207,320,295,287,491,233,224,114,21,-2,-3,-4,-3,-4,-3,-3,94,491,12
,KEARNY MESA,0,0,0,0,0,2,23,91,215,238,143,437,328,280,158,69,24,2,0,0,0,0,0,0,84,437,11
25 NOY,EL CAJON LES,4.51,4.00,3.07,2.90,4.70,C,C,6.42,6.63,6.68,6.67,6.39,4.51,4.92,5.97,6.69,4.14,3.93,5.71,3.81,4.38,5.29,5.50,6.76,5.16,6.76,23
26 NOY-NO,EL CAJON LES,4.50,3.98,3.06,2.87,4.54,C,C,5.90,5.78,5.59,5.71,5.53,3.82,4.35,5.14,5.91,3.88,3.74,4.73,3.79,4.07,5.26,5.45,6.70,4.74,6.70,23
27 NO Trace,EL CAJON LES,.01,.01,.01,.02,.16,C,C,.52,.85,1.08,.95,.86,.69,.57,.82,.78,.25,.19,.97,.01,.31,.02,.05,.05,.41,1.08,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,211.7,197.5,C,C,C,185.6,269.4,235.1,229.6,236.3,261.7,217.9,220.0,216.8,234.2,242.3,208.1,202.8,194.1,190.0,192.1,198.8,201.8,248.7,218.7,269.4,06
BCarbon ug/m3,10TH AVE MARINE TERM,.16,.15,.15,.15,.24,.23,.21,.17,.30,.21,.38,<,.26,.20,.19,.37,.21,.23,.26,.21,.39,.45,.46,.32,.26,.46,22
,ALPINE,.34,.32,.30,.29,.31,.34,.46,.44,.40,.33,.32,.34,.39,.35,.31,.32,.30,.23,.19,.17,.15,.15,.19,.20,.30,.46,06
,CHICANO PARK,.16,.18,.18,.22,.23,.53,.67,.37,.44,.51,.49,.27,.23,.59,.35,.30,.27,.22,.27,.30,.46,.59,.73,.39,.37,.73,22
,DOWNTOWN SES,.16,.15,.15,.18,.23,.40,.29,.27,.31,.25,.44,.26,<,.28,.26,.21,.29,.26,.22,.29,.57,.67,.56,.55,.32,.67,21
,OCEANVIEW BLVD,.14,.17,.16,.16,.22,.31,.45,.40,.50,.44,.44,.29,.26,.41,.40,.34,.45,.34,.24,.21,.29,.45,.47,.43,.33,.50,08
,SAN YSIDRO,.04,.07,.10,.06,.08,.11,.13,.15,<,<,<,.02,.02,.02,<,<,<,<,<,<,.01,.02,<,.01,.06,.15,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
