Current Date:,10/3/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/2/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,2.5,.1,.1,.6,.5,.7,1.8,1.7,1.9,4.0,6.2,2.2,12.1,10.4,7.5,6.2,2.3,2.4,1.7,.9,1.2,2.9,2.5,1.4,.0,12.1,12
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,1.9,2.2,2.6,2.5,2.3,2.6,1.7,3.8,5.2,7.1,7.5,6.3,5.4,6.3,7.3,6.8,4.8,1.5,1.2,1.0,1.5,1.2,1.6,1.6,3.6,7.5,10
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,1.2,.3,.5,.4,1.3,1.5,1.1,1.1,2.3,2.9,5.2,7.7,7.8,6.7,6.1,5.5,3.5,3.2,3.7,1.2,.9,1.4,1.7,1.3,2.9,7.8,12
,EL CAJON LES,.6,.4,.0,.0,.0,.0,.1,.7,1.2,2.3,3.1,4.7,5.2,8.5,8.7,6.5,4.8,2.9,1.5,1.0,1.4,.7,.9,1.0,2.3,8.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.6,4.4,5.3,7.4,5.2,5.7,5.1,3.2,2.1,4.0,5.9,9.1,12.5,13.8,12.8,7.7,4.2,3.9,2.8,2.2,3.5,4.3,3.2,2.7,5.6,13.8,13
,OTAY MESA DVN,2.8,.2,.4,1.3,.7,1.2,2.2,2.1,2.2,4.7,6.8,6.3,12.9,11.2,7.9,6.9,2.6,3.0,2.5,1.5,1.3,2.9,2.6,1.6,3.7,12.9,12
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,70.2,70.0,68.8,70.3,70.4,72.0,74.1,78.2,83.9,86.2,87.3,88.2,89.5,90.6,88.5,85.7,81.1,79.0,77.5,75.8,74.8,74.1,73.1,73.2,78.4,90.6,13
,CARMEL MT RCH,66.2,64.8,63.6,62.9,62.6,63.1,65.0,74.2,82.2,88.9,92.7,93.1,92.1,90.8,89.5,86.3,85.5,81.9,77.9,75.7,73.8,71.5,70.7,68.6,76.8,93.1,11
,CHULA VISTA,63.5,63.2,62.4,64.2,63.7,63.7,66.3,71.2,78.5,86.1,88.1,89.4,88.3,86.2,83.2,78.2,74.9,73.2,71.8,70.8,69.6,68.2,66.9,65.9,73.2,89.4,11
,DOWNTOWN SES,61.8,60.4,60.0,59.6,59.6,59.5,60.8,66.8,73.2,77.0,80.0,79.6,79.3,80.2,81.1,78.4,75.9,70.5,65.6,65.4,65.8,65.5,65.0,64.6,69.0,81.1,14
,EL CAJON LES,62.1,60.1,58.4,57.0,56.6,56.4,58.8,65.2,74.5,85.3,92.3,95.1,96.5,95.3,92.7,91.1,86.6,82.6,78.3,76.1,72.4,70.6,68.6,66.3,75.0,96.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,66.3,67.0,66.6,67.3,65.9,67.2,70.4,76.3,84.9,89.8,92.8,93.6,91.3,86.8,85.7,83.7,84.1,80.8,77.0,73.3,71.2,68.9,66.9,65.4,76.8,93.6,11
,OTAY MESA DVN,69.0,68.4,69.4,67.2,67.1,67.6,69.0,73.5,81.9,89.5,93.0,95.2,93.1,91.3,88.4,87.6,80.3,77.3,75.4,75.9,75.3,72.8,71.7,70.5,77.9,95.2,11
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,12,13,15,14,17,16,15,14,12,11,10,10,9,9,11,13,16,17,19,20,21,20,20,21,15,21,20
,EL CAJON LES,31,36,38,40,42,43,40,31,21,14,11,11,10,12,13,14,16,19,37,40,47,45,38,41,29,47,20
,KEARNY MESA,22,20,21,20,22,21,19,17,12,11,11,12,17,19,17,22,21,21,21,26,34,36,41,37,22,41,22
18 PRES mmHg,EL CAJON LES,749,749,749,748,748,749,749,749,749,748,748,747,747,746,746,747,747,747,748,748,748,748,748,748,748,749,00
,KEARNY MESA,749,749,749,749,749,749,749,749,749,749,749,748,748,747,747,747,747,748,748,749,749,749,749,748,748,749,00
