,CHULA VISTA,.014,C,C,.009,.013,.015,.011,.011,.005,.005,.006,.008,.006,.007,.008,.007,.011,.014,.013,.009,.009,.015,.019,.013,.010,.019,22
,DOWNTOWN SES,.020,.018,.016,.018,.014,.014,.016,.011,.010,.009,.015,.015,.010,.008,.006,.006,.006,.007,.007,.006,.009,.019,.024,.023,.013,.024,22
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,C,C,.007,.007,.007,.008,.006,.006,.005,.004,.004,.004,.003,.003,.003,.003,.004,.004,.004,.008,.014,.013,.009,.006,.014,21
,OTAY MESA DVN,.007,C,C,.014,.007,.012,.017,.011,.013,.009,.003,.003,.006,.006,.006,.005,.006,.006,.007,.009,.011,.011,.018,.021,.009,.021,23
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.002,C,C,.002,.002,.002,.003,.004,.004,.002,.002,.001,.001,.002,.002,.001,.002,.004,.005,.005,.003,.002,.002,.001,.002,.005,18
,CARMEL MT RCH,.015,C,C,.013,.010,.015,.014,.010,.004,.010,.011,.010,.009,.008,.008,.008,.010,.011,.009,.010,.012,.010,.017,.022,.011,.022,23
,CHULA VISTA,.013,C,C,.009,.013,.014,.009,.008,.005,.005,.005,.007,.006,.006,.007,.006,.010,.014,.013,.009,.009,.016,.019,.013,.010,.019,22
,DOWNTOWN SES,.019,.017,.015,.016,.013,.013,.012,.008,.007,.007,.012,.011,.008,.007,.005,.006,.006,.006,.007,.006,.008,.018,.021,.021,.011,.021,22
,EL CAJON LES,.010,C,C,C,.007,.008,.008,.004,.004,.004,.003,.002,.003,.002,.002,.002,.003,.005,.011,.011,.016,.014,.014,.011,.007,.016,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,C,C,.007,.007,.007,.006,.005,.005,.004,.003,.004,.004,.003,.003,.003,.003,.004,.004,.004,.008,.013,.012,.009,.006,.013,21
,OTAY MESA DVN,.006,C,C,.013,.006,.011,.012,.008,.009,.007,.003,.002,.005,.005,.005,.005,.005,.006,.006,.009,.011,.011,.017,.021,.008,.021,23
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.003,C,C,.004,.002,.009,.012,.005,.002,.004,.006,.006,.005,.005,.005,.004,.004,.005,.004,.004,.003,.001,.004,.010,.005,.012,06
,CHULA VISTA,.000,C,C,.000,.000,.000,.001,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,DOWNTOWN SES,.001,.001,.001,.002,.001,.002,.003,.003,.003,.002,.004,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.001,.002,.002,.002,.004,10
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.001,06
,OTAY MESA DVN,.001,C,C,.001,.000,.001,.005,.003,.004,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.000,.001,.001,.001,.005,06
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,1.8,C,C,.6,1.7,.8,.9,.5,.3,.6,.7,.8,.7,.6,.6,.6,.7,.7,.6,.6,.6,1.7,2.0,1.4,.9,2.0,22
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,26,25,24,24,24,24,24,24,24,24,24,25,25,25,26,26,26,25,27,00
,CARMEL MT RCH,27,27,27,27,26,27,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,26,27,00
,CHULA VISTA,24,24,24,24,24,24,24,25,25,24,24,24,24,24,25,24,24,24,24,24,24,25,25,25,24,25,07
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,22,22,23,23,23,23,23,24,23,24,00
,EL CAJON LES,25,25,24,24,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,21,21,20,20,19,19,21,23,24,23,23,23,23,23,23,23,23,24,24,24,24,23,22,22,24,09
,OTAY MESA DVN,25,26,26,26,26,26,26,26,26,25,25,24,24,24,24,23,23,23,24,25,25,25,25,25,25,26,01
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,7.9,5.7,4.7,4.7,4.8,5.5,4.3,2.0,-.8,-.7,2.9,2.4,1.5,3.4,6.4,4.3,4.2,2.4,2.8,4.7,5.9,6.3,5.5,5.8,4.0,7.9,00
,DOWNTOWN SES,6.3,6.8,7.9,10.4,8.6,7.5,7.7,9.6,10.3,9.8,8.6,10.2,7.8,8.4,8.9,6.6,7.5,6.1,4.2,7.4,7.3,6.0,5.4,6.4,7.7,10.4,03
,EL CAJON LES,8.2,6.3,5.9,9.0,5.3,2.6,5.4,5.9,8.6,9.2,6.2,7.2,10.0,7.1,7.8,6.9,8.9,11.2,9.4,7.1,11.8,14.0,11.8,11.4,8.2,14.0,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.7,8.5,17.4,25.3,7.3,11.7,13.9,9.5,8.4,10.4,10.7,5.6,9.0,7.3,7.1,7.3,9.5,10.4,6.7,2.5,4.8,4.2,21.8,36.1,11.0,36.1,23
,PENDLETON,8.9,9.7,7.0,7.1,7.7,7.3,9.7,11.3,8.9,7.6,13.7,9.9,6.5,9.3,7.2,7.1,8.7,6.7,9.4,8.9,7.0,5.7,9.2,10.0,8.5,13.7,10
12 VWDR °,ALPINE,84,76,77,80,342,90,42,179,215,202,250,283,280,288,294,303,283,321,41,104,106,105,93,103,0,342,04
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,42,39,9,82,68,39,43,68,87,213,243,276,279,308,313,311,303,321,334,343,348,100,70,64,0,348,20
,EL CAJON LES,102,75,101,211,99,98,46,50,27,78,309,295,253,268,316,296,279,277,308,283,141,101,126,93,0,316,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,55,57,57,56,87,64,65,81,147,272,330,300,288,306,305,316,324,302,318,319,20,82,114,77,0,330,10
,OTAY MESA DVN,45,11,121,121,106,125,19,150,159,150,315,317,285,302,290,285,300,327,309,233,113,155,148,89,0,327,17
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,20,18,35,40,45,21,47,70,31,40,41,34,31,29,27,25,26,25,37,18,14,36,16,24,31,70,07
,CHULA VISTA,46,35,49,25,50,39,18,21,42,47,38,21,23,22,19,19,19,25,17,20,29,14,11,15,28,50,04
,DOWNTOWN SES,58,45,65,46,26,32,15,23,42,57,19,20,21,28,20,25,20,19,18,17,30,33,35,24,31,65,02
,EL CAJON LES,20,21,55,53,11,47,43,27,55,57,55,35,26,22,20,22,19,16,16,36,21,23,67,40,34,67,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,8,7,15,7,6,10,32,42,50,27,25,15,17,13,13,11,7,7,8,8,49,10,17,17,50,09
,OTAY MESA DVN,53,38,42,18,21,30,27,19,30,26,48,22,13,14,12,13,12,14,19,27,28,31,19,34,25,53,00
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,1.7,2.0,1.2,1.1,.4,2.2,.4,.5,2.3,2.4,2.8,4.3,4.7,5.5,6.3,5.6,3.8,1.4,.7,1.4,2.1,.8,1.7,1.1,.0,6.3,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,.7,1.1,.4,1.0,2.0,1.4,3.6,3.1,2.5,1.7,5.4,6.9,8.3,6.7,8.8,6.2,5.0,4.6,4.8,4.2,.4,.5,.5,1.5,.0,8.8,14
,EL CAJON LES,1.6,1.5,.8,.3,3.1,.7,.3,1.9,.5,.3,2.0,2.6,6.5,7.0,7.8,6.8,4.9,3.0,2.5,1.2,.9,1.9,.4,.9,.0,7.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.9,4.1,4.2,2.4,3.3,3.8,3.9,2.5,1.9,.7,5.4,6.4,9.8,9.5,10.3,9.6,8.0,6.6,6.7,4.2,3.8,.5,2.8,2.7,.0,10.3,14
,OTAY MESA DVN,.6,.6,1.0,2.0,2.7,1.3,.9,2.4,3.1,3.1,3.0,7.2,11.3,9.7,9.8,9.3,6.7,3.9,2.4,1.0,1.2,1.7,1.7,1.0,.0,11.3,12
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,2.2,2.1,1.4,1.6,1.5,2.4,.5,.9,2.6,3.0,3.6,5.1,5.6,6.4,7.0,6.1,4.3,2.0,1.2,1.5,2.2,.8,1.8,1.1,2.8,7.0,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,.7,1.3,.5,1.1,2.2,1.5,3.7,3.5,3.0,3.0,5.8,7.3,8.8,7.4,9.3,6.7,5.3,4.8,5.0,4.4,.7,.5,.5,1.8,3.7,9.3,14
,EL CAJON LES,1.7,1.6,1.1,.6,3.2,1.1,.8,2.1,1.6,1.6,3.0,4.2,7.2,7.6,8.4,7.5,5.1,3.2,2.7,1.4,1.7,2.0,.6,1.1,3.0,8.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,4.1,4.2,2.7,3.4,3.9,4.0,3.0,2.3,3.1,6.0,7.3,10.4,9.9,10.5,9.9,8.2,6.7,6.8,4.4,3.9,.9,2.9,2.8,5.2,10.5,14
,OTAY MESA DVN,1.3,.9,1.2,2.2,3.1,1.5,1.5,3.2,3.4,3.4,4.0,7.9,11.7,10.0,10.2,9.5,6.9,4.1,2.5,1.4,1.5,2.0,2.0,1.5,4.0,11.7,12
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,57.1,57.2,57.6,58.5,57.5,55.5,58.1,62.5,66.4,70.0,74.0,76.0,76.9,77.0,76.3,75.0,73.6,69.7,66.7,64.5,63.4,63.6,62.8,62.5,65.9,77.0,13
,CARMEL MT RCH,56.4,55.5,54.7,54.2,53.5,53.4,54.7,61.1,66.0,70.9,74.6,77.3,77.6,75.6,75.3,74.1,72.4,68.3,64.7,63.3,62.0,60.5,59.1,57.5,64.3,77.6,12
,CHULA VISTA,58.8,58.2,56.9,56.7,56.6,57.1,58.5,62.8,67.7,72.6,75.5,74.3,74.1,75.3,75.3,74.8,73.2,70.5,68.1,66.5,64.8,63.2,62.2,61.6,66.1,75.5,10
,DOWNTOWN SES,60.5,59.6,58.4,57.7,57.4,57.0,59.0,63.7,67.7,72.0,73.3,73.9,73.2,74.9,74.2,74.5,73.6,70.5,67.5,66.3,65.5,64.6,63.5,62.2,66.3,74.9,13
,EL CAJON LES,56.3,56.1,54.8,53.9,52.6,52.6,53.7,59.0,65.2,71.7,76.8,80.9,82.4,82.5,82.6,80.3,77.6,73.9,70.8,67.1,63.7,61.8,60.2,58.6,66.5,82.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,56.9,57.2,56.7,55.8,54.5,55.1,56.7,62.8,67.2,73.2,77.0,78.7,77.2,75.0,74.0,73.8,72.1,67.0,64.2,63.1,62.7,60.7,57.7,58.1,64.9,78.7,11
,OTAY MESA DVN,58.5,58.0,57.2,56.6,57.1,56.5,57.2,61.4,66.6,72.6,77.7,80.0,78.4,76.9,77.1,75.5,73.0,69.0,66.2,63.6,62.4,61.9,60.9,60.3,66.0,80.0,11
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,82,77,65,53,52,56,51,48,38,31,22,16,17,19,19,17,20,27,36,33,31,32,33,30,38,82,00
,EL CAJON LES,87,86,88,89,91,90,87,70,56,45,35,29,32,30,23,27,33,36,49,65,73,75,75,71,60,91,04
,KEARNY MESA,91,90,92,92,94,94,93,79,66,48,36,38,43,49,49,54,57,79,90,93,93,93,94,86,75,94,04
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,750,750,750,750,750,749,748,748,747,747,747,747,747,747,747,747,747,747,749,750,00
,KEARNY MESA,751,750,750,750,750,750,751,751,751,751,750,750,749,748,748,748,748,747,748,748,748,748,747,747,749,751,00
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-5,-5,-3,33,317,509,642,750,786,756,662,509,318,111,-4,-8,-8,-8,-7,-6,-6,222,786,11
,KEARNY MESA,0,0,0,0,0,2,99,305,468,617,710,740,715,631,500,328,137,9,0,0,0,0,0,0,219,740,11
25 NOY,EL CAJON LES,9.56,6.34,7.04,9.10,C,C,10.97,6.10,5.70,5.72,5.76,4.44,5.11,4.45,3.90,3.81,4.18,5.67,10.98,11.33,16.04,14.37,14.48,11.86,8.04,16.04,20
26 NOY-NO,EL CAJON LES,9.43,6.26,6.88,8.55,C,C,7.94,4.52,4.31,4.71,5.06,4.08,4.60,4.10,3.57,3.51,3.97,5.53,10.82,10.92,15.66,14.23,14.19,11.72,7.48,15.66,20
27 NO Trace,EL CAJON LES,.13,.07,.16,.54,C,C,3.03,1.57,1.38,1.00,.70,.36,.50,.34,.33,.29,.20,.13,.16,.40,.37,.13,.28,.14,.55,3.03,06
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.2,.2,.1,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,271.6,C,C,C,211.2,227.7,275.5,203.0,203.1,222.8,247.2,217.0,254.0,225.3,191.6,198.1,211.8,249.0,315.0,338.1,428.3,404.1,388.2,299.0,265.7,428.3,20
BCarbon ug/m3,10TH AVE MARINE TERM,.84,.75,.54,.74,.69,.82,.77,.84,.68,.57,.86,.76,.44,.51,.44,.60,.60,.51,.63,.66,.38,.61,.98,1.84,.71,1.84,23
,ALPINE,.16,.16,.14,.14,.12,.12,.20,.17,.22,.16,.11,.08,.09,.12,.10,.08,.08,.16,.16,.17,.10,.09,.09,.08,.13,.22,08
,CHICANO PARK,1.05,.89,.83,.70,.81,.76,.76,.67,.53,.60,.69,.62,.38,.42,.37,.45,.60,.48,.36,.35,.50,.63,.89,1.02,.64,1.05,00
,DOWNTOWN SES,.78,.78,.69,.77,.71,.83,.53,.50,.51,.46,.74,.81,.53,.43,.39,.43,.38,.33,.33,.28,.47,.53,.78,.88,.58,.88,23
,OCEANVIEW BLVD,1.13,1.01,.91,.73,.76,.68,.57,.52,.35,.28,.60,.67,.49,.33,.27,.25,.28,.37,.35,.36,.40,1.05,.64,.85,.58,1.13,00
,SAN YSIDRO,.02,.04,.15,.53,.49,.43,.35,.33,.27,.14,.10,.07,.03,.02,.03,.02,.02,.02,.03,.02,.02,.03,.03,.08,.14,.53,03
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
