,KEARNY MESA,.005,.003,C,C,.027,.023,.025,.016,.009,.007,.008,.006,.005,.004,.004,.003,.003,.006,.007,.007,.010,.010,.011,.016,.010,.027,04
,OTAY MESA DVN,.003,.003,C,C,.022,.020,.019,.026,.025,.018,.014,.009,.006,.005,.006,.004,.003,.004,.005,.005,.006,.009,.008,.006,.010,.026,07
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
03 NO2 PPM,ALPINE,.001,.001,C,C,.005,.005,.006,.007,.006,.003,.004,.004,.006,.004,.003,.004,.004,.005,.004,.005,.005,.008,.006,.004,.005,.008,21
,CARMEL MT RCH,.005,.004,C,C,.017,.012,.009,.010,.007,.012,.020,.019,.019,.014,.013,.009,.011,.013,.012,.013,.013,.016,.015,.012,.013,.020,10
,CHULA VISTA,.006,.003,C,C,.008,.007,.009,.012,.011,.009,.003,.002,.002,.002,.002,.002,.004,.003,.004,.005,.004,.003,.010,.013,.006,.013,23
,DOWNTOWN SES,.005,.003,C,C,.011,.011,.011,.010,.010,.007,.005,.002,.002,.003,.003,.003,.007,.005,.006,.006,.009,.006,.012,.015,.007,.015,23
,EL CAJON LES,.004,.002,C,C,C,.006,.006,.006,.006,.005,.006,.006,.002,.002,.004,.004,<,.004,.004,.006,.010,.010,.010,.006,.005,.010,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.003,C,C,.021,.020,.021,.013,.007,.006,.007,.005,.004,.004,.003,.003,.003,.006,.007,.007,.009,.010,.011,.015,.009,.021,04
,OTAY MESA DVN,.003,.002,C,C,.016,.017,.016,.018,.014,.011,.011,.007,.005,.005,.005,.003,.002,.004,.004,.005,.006,.008,.007,.006,.008,.018,07
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.002,.001,.002,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,06
,CARMEL MT RCH,.001,.001,C,C,.004,.006,.002,.003,.004,.010,.022,.015,.014,.012,.011,.008,.008,.007,.007,.007,.007,.009,.003,.002,.007,.022,10
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.003,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,08
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.002,.002,.002,.001,.000,.000,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.005,.003,.004,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.005,04
,OTAY MESA DVN,.000,.000,C,C,.007,.003,.004,.009,.010,.007,.003,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.002,.010,08
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.3,.3,.3,.3,.4,.6,.5,.6,.6,.6,.5,.7,.6,.5,.6,.5,.6,.5,.4,.5,.7,16
10 INTMP °C,ALPINE,25,26,25,26,25,25,26,26,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,01
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,25,24,25,24,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,03
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,00
,EL CAJON LES,25,24,25,24,25,24,25,24,25,24,24,24,24,24,24,24,<,24,24,24,25,25,25,25,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,25,25,25,24,24,24,24,24,23,24,24,24,24,24,24,25,25,25,25,25,24,25,04
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,24,24,25,25,25,25,25,25,25,00
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
11 PM2.5 µg/M3,ALPINE,3.6,3.9,3.0,3.5,2.2,2.3,4.3,6.2,3.9,1.2,.0,2.8,7.8,8.3,5.2,3.1,,,,,,,,,3.8,8.3,13
,DOWNTOWN SES,8.0,5.1,3.5,4.8,3.7,6.0,10.2,9.6,9.4,8.4,4.5,5.5,8.2,5.9,6.3,6.8,,,,,,,,,6.6,10.2,06
,EL CAJON LES,6.1,12.0,6.6,3.5,3.0,6.2,7.1,7.1,7.5,8.9,9.0,M,8.1,5.7,3.7,4.1,,,,,,,,,6.5,12.0,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.4,3.7,7.3,5.5,2.2,7.9,8.9,6.2,6.8,7.8,9.8,5.6,5.9,6.4,5.1,3.9,,,,,,,,,6.2,9.8,10
,PENDLETON,13.8,,,,,,,4.9,4.8,4.9,,,,,,,,,,,,,,,7.1,13.8,00
12 VWDR °,ALPINE,45,43,358,115,119,124,316,132,145,164,233,258,242,240,256,262,254,275,281,312,57,338,157,140,0,358,02
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,26,41,34,109,189,186,186,134,127,207,212,203,210,200,228,253,292,306,321,325,277,301,76,98,0,325,19
,EL CAJON LES,52,57,135,117,207,225,178,98,86,145,220,218,209,212,226,235,<,271,301,294,221,209,150,175,0,301,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,65,52,50,102,153,165,125,132,123,161,211,200,212,224,250,254,292,301,296,302,271,282,115,119,0,302,19
,OTAY MESA DVN,49,75,169,160,164,134,166,M,M,M,237,258,289,278,273,293,301,297,320,4,309,268,187,9,0,320,18
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,0,P,P
13 SIGTHETA °,ALPINE,30,31,39,32,10,42,42,60,28,25,28,31,27,38,32,32,27,28,24,44,35,17,41,61,34,61,23
,CHULA VISTA,23,32,44,57,22,21,16,16,26,30,20,22,25,23,21,22,25,23,17,19,20,44,16,25,25,57,03
,DOWNTOWN SES,34,20,20,53,16,15,16,20,29,27,23,20,21,20,21,24,26,26,23,22,24,25,31,20,24,53,03
,EL CAJON LES,43,35,41,47,49,54,47,31,31,40,28,26,32,34,22,25,<,22,20,26,29,22,13,22,32,54,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,27,12,28,21,9,21,24,16,20,26,23,26,30,18,14,15,11,9,8,12,6,12,33,17,18,33,22
,OTAY MESA DVN,27,52,57,67,30,37,25,M,M,M,20,30,35,25,14,16,12,11,17,20,18,39,38,25,29,67,03
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
14 VWSP MPH,ALPINE,2.5,3.5,1.3,4.8,6.3,2.5,.8,.6,2.5,5.0,4.0,4.2,4.8,3.6,3.5,4.6,4.5,2.7,2.5,.8,.1,1.0,.4,.5,.0,6.3,04
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,6.1,11.3,5.1,1.3,4.4,4.2,3.9,3.1,3.1,4.6,5.9,7.1,6.6,6.5,7.6,5.9,5.0,3.4,3.1,1.9,2.8,2.0,1.2,.5,.0,11.3,01
,EL CAJON LES,4.2,7.4,2.3,1.8,1.8,1.1,1.7,2.5,2.4,1.9,4.6,5.1,4.6,4.0,6.4,5.5,<,3.3,3.5,1.5,.5,1.3,2.1,1.8,.0,7.4,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.9,16.7,4.4,2.0,5.0,4.7,2.2,4.6,6.2,4.4,4.8,6.6,6.2,7.8,10.3,8.5,8.1,4.9,3.7,2.4,3.8,2.9,.1,1.4,.0,16.7,01
,OTAY MESA DVN,5.8,6.8,1.5,1.3,4.6,2.7,3.1,M,M,M,5.9,6.3,5.3,4.5,9.7,8.5,7.3,4.8,2.7,1.7,1.4,.5,.7,1.6,.0,9.7,14
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,.0,P,P
15 SWSP MPH,ALPINE,3.5,4.1,3.6,5.4,6.4,4.7,1.6,1.3,3.1,5.5,4.6,4.9,5.6,4.5,4.1,5.2,5.3,3.1,2.8,1.3,.8,1.1,1.3,.8,3.5,6.4,04
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,6.7,12.1,5.4,2.0,4.6,4.4,4.1,3.5,3.5,5.3,6.5,7.6,7.1,7.0,8.2,6.5,5.5,3.9,3.4,2.0,3.1,2.3,1.3,.6,4.9,12.1,01
,EL CAJON LES,4.9,8.6,4.6,2.4,2.2,1.9,2.4,2.9,2.8,3.0,5.5,5.8,5.2,4.7,7.0,6.0,<,3.7,3.9,1.7,.5,1.4,2.2,2.0,3.7,8.6,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.1,17.1,5.3,4.2,5.0,4.9,2.4,4.7,6.6,4.8,5.2,7.4,7.0,8.9,10.7,8.8,8.4,5.0,3.8,2.4,3.9,3.1,1.0,1.8,5.8,17.1,01
,OTAY MESA DVN,9.0,9.3,2.1,1.9,7.2,4.3,3.8,M,M,M,7.4,7.0,6.1,5.0,10.0,8.9,7.4,4.9,3.1,1.9,1.5,.7,.9,2.0,5.0,10.0,14
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
16 AMBTEMP °F,ALPINE,60.1,60.8,61.8,62.0,63.3,63.7,59.9,62.1,64.9,67.9,68.1,68.8,68.9,70.4,70.2,69.3,66.9,64.0,62.9,62.3,61.6,60.8,60.5,60.5,64.2,70.4,13
,CARMEL MT RCH,63.7,62.9,64.6,65.3,63.8,63.5,63.7,65.2,68.0,70.9,72.5,74.3,76.6,76.7,74.4,72.1,70.1,67.9,66.6,66.1,65.3,64.2,63.4,62.9,67.7,76.7,13
,CHULA VISTA,64.9,65.4,65.8,64.9,64.8,65.7,67.1,68.3,70.4,72.9,71.4,73.3,74.5,74.5,74.2,72.5,71.1,70.0,68.9,68.2,67.6,66.9,66.2,67.0,69.0,74.5,12
,DOWNTOWN SES,65.2,66.6,67.3,66.2,66.9,66.8,67.5,68.5,69.2,69.0,68.2,68.5,68.5,69.3,69.0,67.8,67.7,66.8,66.2,65.1,64.4,64.0,63.4,63.5,66.9,69.3,13
,EL CAJON LES,63.8,65.0,65.2,65.2,63.6,64.2,65.3,67.2,68.9,72.2,73.9,74.5,75.2,77.0,75.6,75.2,<,70.4,69.6,68.6,67.2,65.5,64.4,65.6,68.8,77.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,64.4,65.1,66.8,66.5,65.2,65.3,65.8,67.3,69.3,70.5,71.9,74.3,75.5,76.2,74.2,72.3,70.6,68.5,67.0,66.5,65.9,65.2,64.9,63.6,68.5,76.2,13
,OTAY MESA DVN,64.9,66.5,65.1,65.9,67.0,64.6,65.4,66.4,68.7,71.5,72.8,73.4,74.4,74.3,74.7,72.8,69.8,67.8,66.3,65.3,64.8,64.8,65.1,64.5,68.2,74.7,14
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
17 RELHUM %,ALPINE,100,93,85,84,80,78,95,92,87,76,78,77,81,73,72,75,80,92,97,99,100,100,100,100,87,100,00
,EL CAJON LES,91,85,83,81,87,89,92,86,78,71,65,66,60,55,57,59,<,71,75,77,81,87,91,89,77,92,06
,KEARNY MESA,92,89,79,80,86,89,92,92,84,78,73,64,61,59,64,71,76,82,87,90,91,92,92,95,82,95,23
18 PRES mmHg,EL CAJON LES,750,748,746,746,747,747,748,749,749,749,749,749,748,748,748,748,<,748,748,749,749,749,749,749,748,750,00
,KEARNY MESA,751,748,747,747,747,748,748,749,749,750,750,749,749,748,748,748,749,749,749,749,749,750,750,750,749,751,00
19 SOLAR W/M2,EL CAJON LES,-3,-2,-2,-3,-4,-1,44,157,275,352,403,564,421,433,259,297,<,3,-3,-5,-6,-5,-4,-2,138,564,11
,KEARNY MESA,0,0,0,0,0,1,49,177,309,289,345,698,720,651,416,290,100,10,0,0,0,0,0,0,169,720,12
25 NOY,EL CAJON LES,3.91,1.67,1.55,2.44,4.97,C,C,6.75,7.36,6.61,7.45,9.30,4.61,4.01,5.12,5.00,<,4.65,4.33,6.78,10.14,9.65,10.20,7.09,5.88,10.20,22
26 NOY-NO,EL CAJON LES,3.90,1.67,1.53,2.43,4.77,C,C,5.78,5.95,5.27,6.14,7.86,4.11,3.49,4.63,4.36,<,4.34,4.22,6.62,9.64,9.46,10.12,6.99,5.39,10.12,22
27 NO Trace,EL CAJON LES,.00,.00,.01,.00,.20,C,C,.96,1.41,1.34,1.31,1.35,.50,.51,.49,.64,<,.31,.10,.15,.50,.18,.08,.10,.48,1.41,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.1,.1,.0,.0,.0,<,.0,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,230.7,166.8,C,C,C,221.4,236.3,242.1,219.2,213.6,C,256.0,199.6,194.9,208.6,210.5,<,187.6,211.5,245.0,318.8,314.1,351.1,284.6,237.4,351.1,22
BCarbon ug/m3,10TH AVE MARINE TERM,.54,.43,.28,.35,.39,.36,.78,.87,.82,.49,.30,.25,.32,.28,.35,.30,.28,1.09,.40,<,<,<,<,.57,.47,1.09,17
,ALPINE,.17,.05,.02,.05,.12,.13,.22,.30,.27,.14,.19,.24,.44,.32,.26,.23,.24,.26,.24,<,<,<,<,.30,.21,.44,12
,CHICANO PARK,.55,.36,.25,.44,.65,.64,.68,.80,.82,.72,.55,.33,.37,.47,.52,.46,.47,.40,.52,<,<,<,<,.61,.53,.82,08
,DOWNTOWN SES,.48,.34,.19,.26,.54,.52,.54,.62,.66,.53,.35,.22,.22,.29,.28,.30,.33,.35,.42,<,<,<,<,.58,.40,.66,08
,OCEANVIEW BLVD,.42,.29,.17,.35,.54,.54,.64,.59,.60,.72,.58,.54,.46,.57,.44,.40,.40,.34,.41,<,<,<,<,.68,.48,.72,09
,SAN YSIDRO,.62,.25,.77,.46,.49,.40,.71,.81,.86,.53,.32,<,.28,.50,.28,.23,.26,.30,.37,<,<,<,<,.41,.47,.86,08
RAINFALL,EL CAJON LES,.13,.03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.13,00
