,CHULA VISTA,24,24,12,15,13,13,15,16,22,22,21,19,23,24,21,19,25,21,18,18,16,20,27,28,20,28,23
,DOWNTOWN SES,26,17,20,22,19,18,20,17,22,23,22,21,22,25,19,21,25,25,33,19,17,18,15,26,21,33,18
,EL CAJON LES,18,13,17,38,43,30,42,49,22,22,22,19,21,22,20,20,21,20,19,19,21,22,28,49,26,49,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,27,17,13,30,19,11,12,15,14,13,14,13,14,12,12,12,7,9,20,12,38,70,7,18,70,22
,OTAY MESA DVN,36,33,14,22,23,13,14,14,16,16,12,12,12,15,12,12,12,12,15,12,17,14,14,24,17,36,00
,PENDLETON,,,,,,P,13,38,14,14,14,11,15,14,12,13,14,13,18,31,9,11,9,11,15,38,07
14 VWSP MPH,ALPINE,1.3,.5,1.9,2.9,2.4,1.7,2.4,3.7,4.8,5.2,5.6,5.1,5.0,4.9,7.1,5.5,4.5,2.9,2.9,2.0,1.7,1.3,1.7,2.7,.0,7.1,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.1,2.0,2.2,2.1,1.8,2.3,3.9,6.7,4.9,6.7,6.2,7.1,7.7,6.9,9.4,7.3,5.1,3.7,2.6,2.7,2.4,1.4,.9,2.6,.0,9.4,14
,EL CAJON LES,.9,2.3,2.7,1.5,.4,2.8,.9,1.5,5.8,6.5,7.3,7.8,6.7,6.1,7.0,7.7,4.9,4.1,4.6,3.6,3.0,1.5,1.4,.7,.0,7.8,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.3,1.3,1.6,1.1,1.4,2.5,3.8,4.7,6.0,9.5,11.4,11.0,12.0,11.3,13.1,10.4,7.2,5.1,3.2,1.7,3.2,2.4,.4,4.2,.0,13.1,14
,OTAY MESA DVN,1.8,.4,3.0,2.3,2.1,3.4,4.2,5.9,6.7,8.5,9.5,10.4,8.9,9.2,9.5,9.7,7.7,4.1,3.2,3.6,2.7,2.8,3.5,2.2,.0,10.4,11
,PENDLETON,,,,,,P,3.7,.6,8.8,9.6,10.7,12.0,11.7,10.9,11.3,8.5,7.0,6.6,4.2,1.5,4.8,4.9,4.9,5.0,.0,12.0,11
15 SWSP MPH,ALPINE,1.4,1.4,1.9,3.0,2.5,1.8,2.6,4.0,5.2,6.0,6.5,5.7,5.6,5.6,7.8,7.0,4.9,3.3,3.3,2.5,1.8,1.5,1.9,2.8,3.8,7.8,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,1.5,2.1,2.4,2.2,1.9,2.4,4.1,7.0,7.3,7.4,6.8,7.6,8.3,7.6,9.8,7.8,5.5,4.0,3.1,2.9,2.5,1.5,.9,2.8,4.6,9.8,14
,EL CAJON LES,1.2,2.5,2.8,2.0,.7,2.9,1.2,1.8,6.2,7.2,7.8,8.3,7.1,6.6,7.4,8.2,5.4,4.4,5.0,3.9,3.2,2.0,1.9,.8,4.2,8.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.4,1.4,1.7,1.2,1.5,2.7,3.9,4.8,7.4,10.0,11.8,11.3,12.3,11.9,13.4,10.7,7.5,5.1,3.3,2.4,3.3,2.8,.9,4.2,5.7,13.4,14
,OTAY MESA DVN,2.1,1.3,3.1,3.0,2.3,3.5,4.4,6.1,7.2,10.0,9.7,10.7,9.2,9.6,10.0,10.0,7.9,4.2,3.4,3.7,2.8,2.9,3.6,2.5,5.6,10.7,11
,PENDLETON,,,,,,P,3.8,4.4,9.0,9.9,11.0,12.2,12.1,11.3,11.5,8.7,7.2,6.8,4.3,2.3,4.9,5.3,5.0,5.1,7.5,12.2,11
16 AMBTEMP °F,ALPINE,53.0,53.1,53.2,53.1,54.1,54.3,54.5,54.9,55.5,55.5,55.2,55.2,55.2,54.7,56.7,55.8,54.2,53.3,52.8,51.5,50.3,48.9,49.6,48.9,53.5,56.7,14
,CARMEL MT RCH,57.7,57.4,57.6,58.0,58.3,58.4,59.0,60.1,61.3,60.7,60.6,61.8,62.5,62.5,61.1,60.3,60.3,57.7,56.4,55.1,53.3,51.6,50.5,49.2,58.0,62.5,12
,CHULA VISTA,60.8,60.5,60.1,60.0,60.9,61.4,61.8,63.2,63.9,65.1,64.9,64.3,65.7,65.9,64.9,63.5,62.6,61.8,61.2,60.2,59.2,57.6,56.1,55.3,61.7,65.9,13
,DOWNTOWN SES,61.4,60.8,60.5,61.3,61.4,61.8,62.8,64.1,64.2,65.3,65.2,65.3,66.5,65.8,64.1,63.3,62.7,61.7,61.4,60.4,59.3,58.2,57.2,56.0,62.1,66.5,12
,EL CAJON LES,59.8,59.6,59.2,59.4,59.9,60.0,60.4,61.5,63.2,62.8,64.0,63.7,63.6,64.7,65.0,63.0,62.0,60.8,59.9,59.2,58.6,56.6,53.7,52.1,60.5,65.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.9,57.3,57.9,59.1,59.8,60.4,60.9,61.1,61.9,63.1,63.8,64.0,65.1,64.2,62.7,62.0,61.4,59.0,57.4,56.0,53.4,53.6,51.4,50.0,59.3,65.1,12
,OTAY MESA DVN,58.9,58.6,59.2,58.7,59.2,60.0,60.1,60.6,62.1,61.9,61.4,62.2,60.8,64.1,63.0,61.3,59.9,58.6,58.4,57.9,57.0,55.4,54.7,54.4,59.5,64.1,13
,PENDLETON,,,,,,P,61.2,61.8,63.5,63.9,64.7,65.6,64.8,64.4,64.7,64.3,63.0,61.1,60.9,60.4,57.9,55.9,54.8,53.7,61.5,65.6,11
17 RELHUM %,ALPINE,100,98,91,90,84,84,85,85,85,91,92,92,92,97,83,87,95,96,95,91,91,94,94,96,91,100,00
,EL CAJON LES,80,82,83,80,77,74,73,71,69,74,66,67,67,62,64,70,69,69,67,65,66,70,77,81,72,83,02
,KEARNY MESA,91,92,91,88,86,83,81,83,83,79,72,71,65,71,76,73,66,70,72,75,80,80,83,88,79,92,01
18 PRES mmHg,EL CAJON LES,749,749,749,748,748,748,749,749,749,749,749,749,748,748,748,748,748,748,749,749,749,749,749,749,749,749,00
,KEARNY MESA,750,750,749,749,749,749,749,750,750,750,750,750,749,749,749,749,749,749,749,750,750,750,750,750,750,750,00
19 SOLAR W/M2,EL CAJON LES,4,4,4,5,6,6,25,65,151,171,200,155,142,210,233,129,53,6,5,5,4,1,1,2,66,233,14
,KEARNY MESA,0,0,0,0,0,0,15,64,69,158,215,205,325,266,240,170,97,3,0,0,0,0,0,0,76,325,12
25 NOY,EL CAJON LES,5.00,4.27,4.04,3.39,4.39,C,C,7.73,8.50,6.90,3.38,3.24,3.35,3.78,3.55,2.77,3.15,3.82,3.26,3.68,5.04,7.28,10.01,8.60,4.96,10.01,22
26 NOY-NO,EL CAJON LES,4.97,4.25,3.97,3.37,4.38,C,C,7.26,7.45,6.12,2.94,2.88,2.87,3.09,3.03,2.34,2.85,3.36,3.13,3.51,4.90,7.11,9.73,8.52,4.63,9.73,22
27 NO Trace,EL CAJON LES,.03,.02,.06,.02,.01,C,C,.47,1.05,.78,.43,.36,.48,.68,.52,.42,.30,.46,.12,.17,.13,.16,.27,.07,.31,1.05,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,.0,.0,.0,.0,.1,08
29 CO Tr PPB,EL CAJON LES,247.9,221.3,C,C,C,226.3,241.4,272.2,243.7,234.2,191.0,194.4,188.1,192.7,197.3,194.2,201.6,204.7,195.7,202.9,231.5,259.7,273.1,254.1,222.2,273.1,22
BCarbon ug/m3,10TH AVE MARINE TERM,.95,.72,.63,.57,1.12,1.91,1.03,.78,.38,.18,.14,.15,.19,.26,.08,.06,.09,.11,.09,.14,.16,.33,.25,.94,.47,1.91,05
,ALPINE,.20,.18,.19,.19,.21,.15,.41,.12,.14,.28,.19,.14,.12,.14,.09,.12,.11,.12,.18,.15,.10,.06,.09,.09,.16,.41,06
,CHICANO PARK,.62,1.02,1.04,.58,.73,1.32,1.00,.72,.55,.38,.54,.28,.26,.32,.17,.17,.21,.17,.18,.37,.46,.57,.52,.66,.54,1.32,05
,DOWNTOWN SES,.29,.44,.41,.35,.47,1.07,1.12,.74,.36,.14,.13,.13,.14,.17,.14,.14,.07,.09,.20,.25,.37,.52,.60,.49,.37,1.12,06
,OCEANVIEW BLVD,.46,.51,.48,.97,.63,1.14,1.46,1.04,.53,.21,.21,.21,.20,.24,.20,.21,.21,.19,.24,.45,.49,.50,.66,.55,.50,1.46,06
,SAN YSIDRO,.40,.40,.38,.77,1.73,1.37,1.07,.74,.58,.12,.11,.10,.10,.15,.12,.08,.11,.12,.18,.39,.71,.54,.36,.23,.45,1.73,04
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
