,OTAY MESA DVN,-3.0,-.3,-1.0,-1.1,-.3,.7,.8,2.7,3.4,4.4,4.0,2.8,4.2,2.6,1.4,5.8,3.9,3.0,2.1,7.9,20.6,12.6,38.0,10.1,5.2,38.0,22
,PENDLETON,3.6,4.4,2.6,.8,.1,-.8,.1,1.4,3.6,M,1.5,7.6,6.3,5.4,M,.3,1.2,1.4,3.5,3.1,1.3,3.6,4.9,5.6,2.7,7.6,11
12 VWDR °,ALPINE,135,139,157,195,207,230,266,247,274,228,242,258,253,257,256,234,233,247,248,238,216,169,132,117,0,274,08
,CHULA VISTA,138,141,159,173,182,217,227,230,255,233,259,249,251,247,252,241,222,196,126,137,99,109,111,110,0,259,10
,DOWNTOWN SES,144,164,181,181,187,227,229,236,251,238,246,252,248,243,237,241,210,208,197,132,82,79,77,82,0,252,11
,EL CAJON LES,144,137,155,186,192,220,240,231,250,212,242,238,238,241,247,224,227,202,138,146,150,73,150,99,0,250,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,150,161,181,193,207,225,234,241,282,285,255,261,249,244,248,240,236,231,181,17,98,105,89,83,0,285,09
,OTAY MESA DVN,128,142,141,162,180,215,234,232,289,230,240,248,259,259,260,266,236,195,201,124,123,122,114,110,0,289,08
,PENDLETON,158,165,180,187,201,215,214,253,267,254,253,251,249,241,236,257,341,45,62,39,29,48,63,51,0,341,16
13 SIGTHETA °,ALPINE,13,12,15,22,24,26,30,28,30,27,29,30,31,29,30,30,31,31,34,32,31,23,11,11,25,34,18
,CHULA VISTA,14,17,16,15,17,21,21,22,23,19,18,19,20,21,22,21,37,31,36,27,12,12,12,12,20,37,16
,DOWNTOWN SES,26,23,37,14,15,19,18,21,41,20,21,20,21,21,19,22,18,22,18,20,16,37,21,22,22,41,08
,EL CAJON LES,13,12,35,19,19,22,22,21,25,22,22,20,21,22,21,22,21,18,17,45,30,40,46,52,25,52,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,15,21,18,15,15,12,12,13,16,10,12,10,12,13,12,13,11,10,22,39,8,7,32,6,15,39,19
,OTAY MESA DVN,13,13,15,15,14,13,11,14,34,37,12,12,11,13,11,10,11,15,40,12,13,11,8,6,15,40,18
,PENDLETON,19,14,15,17,14,10,10,17,15,11,10,12,9,12,12,15,16,13,11,15,13,10,10,12,13,19,00
14 VWSP MPH,ALPINE,10.2,8.5,7.8,11.5,11.3,8.7,7.7,10.4,7.8,4.9,7.5,6.7,6.8,6.2,5.6,4.8,3.8,2.2,1.9,1.6,1.3,2.0,2.9,3.4,.0,11.5,03
,CHULA VISTA,9.4,8.4,7.3,10.9,11.4,8.8,7.4,9.3,4.9,5.6,7.6,9.8,9.6,8.9,8.0,6.4,2.9,.6,1.0,1.4,2.1,2.7,3.0,3.1,.0,11.4,04
,DOWNTOWN SES,4.8,4.1,3.1,11.8,13.0,6.8,6.7,8.2,2.1,6.2,7.4,8.8,9.3,9.4,8.1,5.7,3.5,2.2,1.4,1.0,2.3,1.7,2.7,2.2,.0,13.0,04
,EL CAJON LES,12.4,12.0,4.8,9.0,9.9,6.1,7.1,11.1,6.8,4.4,7.7,8.2,7.8,8.2,6.1,5.1,4.4,3.1,2.5,2.4,2.7,.6,1.6,.5,.0,12.4,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,8.0,5.9,7.9,10.6,14.1,10.7,11.9,16.9,7.6,9.0,11.2,15.7,15.5,13.7,11.5,9.7,7.4,3.8,1.5,1.4,2.9,2.2,1.5,2.7,.0,16.9,07
,OTAY MESA DVN,15.5,11.8,11.7,9.9,12.1,10.7,10.1,10.8,5.8,4.2,12.1,14.6,15.2,13.8,11.4,8.6,4.2,3.0,.6,3.5,2.6,3.1,4.3,4.6,.0,15.5,00
,PENDLETON,8.4,10.8,15.8,13.2,13.0,9.0,13.4,17.5,7.3,15.3,13.0,11.6,13.1,9.8,8.2,4.2,3.2,2.4,3.7,4.2,4.5,4.5,3.8,3.6,.0,17.5,07
15 SWSP MPH,ALPINE,10.5,8.8,8.3,12.3,12.3,9.5,8.8,11.6,8.7,5.5,8.4,7.6,7.7,7.3,6.4,5.7,4.3,2.8,2.2,1.9,1.6,2.2,3.0,3.5,6.7,12.3,03
,CHULA VISTA,9.8,8.8,7.7,11.3,11.8,9.7,7.9,10.2,5.3,6.0,8.1,10.4,10.2,9.5,8.6,6.9,3.4,1.3,1.2,1.6,2.1,2.8,3.1,3.2,6.7,11.8,04
,DOWNTOWN SES,5.3,4.5,3.6,12.1,13.5,7.2,7.1,9.0,2.9,6.6,8.0,9.4,10.1,10.0,8.6,6.2,3.7,2.4,1.5,1.7,2.4,1.8,2.8,2.4,6.0,13.5,04
,EL CAJON LES,12.8,12.2,5.7,9.6,10.4,6.8,7.6,12.0,7.5,4.9,8.3,8.7,8.3,9.0,6.6,5.5,4.8,3.4,2.7,2.6,3.0,.7,1.7,.9,6.5,12.8,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8.3,6.4,8.4,11.0,14.6,11.0,12.2,18.1,8.0,9.2,11.5,16.0,15.9,14.0,11.9,10.0,7.6,4.0,2.0,2.2,3.0,2.2,2.0,2.7,8.8,18.1,07
,OTAY MESA DVN,15.9,12.1,12.1,10.4,12.5,11.7,10.3,11.4,8.1,4.7,12.4,15.0,15.5,14.2,11.7,8.8,4.8,3.2,1.6,3.7,2.9,3.2,4.3,4.7,9.0,15.9,00
,PENDLETON,8.8,11.2,16.4,13.8,13.7,9.2,13.7,18.8,7.6,15.6,13.3,11.9,13.3,10.0,8.5,4.6,3.8,2.6,3.7,4.6,4.7,4.6,3.9,3.7,9.3,18.8,07
16 AMBTEMP °F,ALPINE,51.2,52.5,53.5,54.1,53.6,53.5,53.6,53.1,50.6,50.4,50.0,50.0,49.7,51.1,50.3,50.1,49.4,48.4,48.3,48.2,47.8,47.6,47.1,46.9,50.5,54.1,03
,CARMEL MT RCH,54.6,55.7,56.7,55.6,56.2,56.7,57.2,56.8,54.7,56.2,55.9,55.8,56.4,56.1,56.5,56.7,56.3,54.4,52.7,51.7,52.0,51.7,51.7,51.6,55.0,57.2,06
,CHULA VISTA,57.7,58.0,59.2,60.1,59.1,59.7,60.0,59.9,57.4,59.3,59.2,61.1,61.3,60.9,60.9,60.2,58.0,56.8,55.9,55.6,54.5,53.5,54.0,53.6,58.2,61.3,12
,DOWNTOWN SES,57.5,57.6,57.9,59.1,58.4,59.2,59.7,59.5,57.9,59.8,59.8,60.3,61.2,61.4,60.8,60.3,59.0,57.9,57.6,56.8,55.7,54.8,53.8,53.4,58.3,61.4,13
,EL CAJON LES,56.5,58.0,58.8,58.8,57.8,58.0,58.7,59.0,56.3,57.5,58.7,57.6,58.5,59.3,58.8,58.9,57.5,55.9,54.1,53.6,53.0,51.8,51.3,50.9,56.6,59.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.4,57.9,58.3,58.2,58.5,59.1,59.5,59.3,57.0,57.7,58.5,59.1,60.2,59.9,60.4,59.0,58.1,56.8,55.3,54.2,52.7,51.9,52.4,52.5,57.2,60.4,14
,OTAY MESA DVN,58.9,59.7,59.7,58.7,57.4,57.5,58.1,58.2,55.0,56.7,58.6,59.0,59.1,58.6,58.4,57.3,55.6,55.0,54.2,53.9,53.0,52.7,52.4,51.9,56.7,59.7,01
,PENDLETON,57.0,58.3,58.1,58.1,58.8,59.4,59.6,57.7,58.1,59.5,59.3,59.7,61.9,61.7,60.9,59.9,57.8,57.1,55.7,54.5,53.7,53.8,53.1,52.2,57.7,61.9,12
17 RELHUM %,ALPINE,100,97,95,98,100,100,100,100,100,100,100,100,99,92,95,96,95,100,100,100,100,100,100,100,99,100,00
,EL CAJON LES,87,80,79,88,99,100,100,99,98,96,82,82,74,68,69,68,73,82,91,93,94,96,97,97,87,100,05
,KEARNY MESA,97,94,90,97,100,100,100,99,98,92,90,79,72,72,72,76,79,85,88,93,96,97,99,100,90,100,04
18 PRES mmHg,EL CAJON LES,746,745,745,745,745,745,745,746,747,747,748,748,748,748,748,748,748,748,749,749,749,749,750,750,747,750,22
,KEARNY MESA,747,747,746,746,746,746,746,747,748,749,749,749,749,749,749,749,749,749,750,750,750,750,751,751,748,751,22
19 SOLAR W/M2,EL CAJON LES,3,4,4,3,3,3,4,21,101,245,352,320,299,317,190,114,19,1,1,1,0,0,1,2,84,352,10
,KEARNY MESA,1,0,1,0,0,0,1,21,188,190,377,295,431,371,368,163,31,1,0,0,0,0,1,0,102,431,12
25 NOY,EL CAJON LES,.86,.99,1.26,1.10,1.00,C,C,1.98,2.47,3.21,2.72,2.62,2.54,2.72,2.81,3.03,3.34,3.86,4.25,4.23,4.65,10.67,9.87,16.58,3.94,16.58,23
26 NOY-NO,EL CAJON LES,.85,.98,1.24,1.11,1.02,C,C,1.86,1.96,2.51,2.19,2.12,2.01,2.27,2.42,2.68,2.94,3.45,4.19,4.10,4.46,10.39,9.56,14.64,3.58,14.64,23
27 NO Trace,EL CAJON LES,.00,.01,.01,.00,-.01,C,C,.12,.50,.70,.53,.49,.53,.44,.39,.35,.39,.40,.05,.12,.18,.27,.30,1.93,.35,1.93,23
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,142.3,140.7,C,C,C,137.6,154.5,150.6,172.8,191.0,182.1,170.0,169.6,176.6,185.5,186.6,192.4,217.3,335.3,249.5,270.3,557.4,527.0,687.0,247.4,687.0,23
BCarbon ug/m3,10TH AVE MARINE TERM,3.81,1.51,.29,.08,.05,.03,.03,.03,.09,.04,.04,.06,.05,.06,.05,.07,.10,.09,.34,.12,1.77,4.25,5.07,5.34,.97,5.34,23
,ALPINE,.06,.04,.03,.03,.03,<,<,.02,.05,.05,.06,.06,.05,.05,.06,.10,.11,.16,.29,.32,.25,.60,.25,.48,.14,.60,21
,CHICANO PARK,.16,.26,.30,.08,.06,.21,.18,.26,.29,.43,.34,.35,.36,.32,.26,.28,.21,.13,.18,.54,4.02,7.80,7.47,7.12,1.32,7.80,21
,DOWNTOWN SES,<,<,<,.02,<,<,<,<,<,<,<,<,<,<,<,<,.02,<,<,.02,.03,.03,.04,.03,.03,.04,22
,OCEANVIEW BLVD,.09,.17,.25,.09,.03,.04,.07,.08,.21,.15,.12,.10,.09,.10,.10,.11,.16,.19,.80,2.28,2.78,3.18,5.06,5.13,.89,5.13,23
,SAN YSIDRO,.22,.26,.35,.06,.11,.04,.03,.09,.14,.13,.11,.10,.12,.12,.13,.14,.21,.36,.69,.82,1.44,2.83,6.10,8.00,.94,8.00,23
RAINFALL,EL CAJON LES,.00,.01,.00,.08,.20,.12,.00,.11,.22,.00,.00,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.03,.22,08
