,PENDLETON,P,,,,,.014,.002,.006,C,C,.003,.003,.002,.003,C,C,C,.000,.000,.002,.002,.001,.001,.000,.003,.014,05
06 CO PPM,CARMEL MT RCH,.2,.3,C,C,C,.7,.7,1.0,.8,.6,.7,.6,.6,.6,.7,.6,.6,.7,.7,.9,1.2,.6,.6,.8,.7,1.2,20
10 INTMP °C,ALPINE,28,28,28,27,28,28,28,28,28,27,26,26,26,26,26,26,26,26,27,28,28,28,28,28,27,28,00
,CARMEL MT RCH,27,26,27,27,27,27,27,27,26,25,25,25,25,25,25,24,24,25,25,25,24,24,24,23,25,27,00
,CHULA VISTA,23,23,23,23,23,23,23,24,24,26,27,27,26,26,26,26,26,26,26,26,25,25,24,23,25,27,10
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,22,22,22,22,21,21,22,23,23,23,23,23,24,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,27,26,26,26,27,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,24,24,25,26,26,26,26,26,26,26,00
,PENDLETON,P,,,,,21,23,24,25,24,24,23,23,23,24,24,25,25,25,25,25,25,25,26,24,26,23
11 PM2.5 µg/M3,ALPINE,-1.6,-1.2,-.1,-1.7,-4.7,-2.5,1.0,1.0,.7,-4.4,-8.7,-5.8,-.3,1.4,-1.0,-1.6,-.2,1.9,7.3,6.1,4.5,5.1,2.2,.9,.0,7.3,18
,DOWNTOWN SES,,,,,,,,M,4.8,.7,-1.6,3.5,4.1,2.8,3.0,5.1,7.1,6.0,11.9,14.7,23.2,32.1,18.2,18.4,9.6,32.1,21
,EL CAJON LES,8.5,6.4,4.5,5.6,4.7,3.0,1.7,2.9,5.7,8.2,M,9.1,3.8,.4,3.6,4.5,3.9,2.6,11.2,22.3,19.5,13.2,22.7,15.5,7.9,22.7,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.5,4.6,4.9,1.4,.2,20.7,-1.8,-.1,4.3,2.2,-.8,1.1,1.5,1.1,-.5,-.9,1.2,3.4,7.2,22.8,36.0,8.7,6.1,3.0,5.4,36.0,20
,PENDLETON,M,,,,,M,M,M,M,M,M,M,M,M,M,6.8,6.9,6.4,4.8,2.7,5.2,8.6,5.6,2.6,5.5,8.6,21
12 VWDR °,ALPINE,62,61,4,62,97,76,50,37,348,263,234,297,89,352,348,175,254,357,107,79,72,51,7,5,0,357,17
,CHULA VISTA,109,82,33,41,88,35,67,50,59,21,331,278,298,278,291,290,297,346,12,61,103,43,91,96,0,346,17
,DOWNTOWN SES,92,52,30,29,66,18,44,41,29,22,311,268,276,307,301,305,326,344,351,355,46,53,45,25,0,355,19
,EL CAJON LES,93,94,9,169,74,96,120,110,338,228,320,312,312,283,273,289,310,284,127,88,92,112,112,206,0,338,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,136,65,51,147,64,347,51,56,25,37,323,331,303,289,295,308,317,338,44,11,66,74,72,39,0,347,05
,OTAY MESA DVN,278,102,22,351,88,138,18,123,301,293,303,45,74,269,273,278,303,39,95,154,37,27,89,25,0,351,03
,PENDLETON,P,,,,,45,45,16,25,13,242,266,290,294,304,307,311,307,345,37,71,62,52,60,0,345,18
13 SIGTHETA °,ALPINE,30,42,28,22,15,20,38,55,55,39,53,49,39,53,51,54,44,42,31,38,27,35,17,53,39,55,07
,CHULA VISTA,15,17,21,16,19,41,22,26,24,38,46,23,21,19,19,16,22,18,22,34,40,18,24,30,25,46,10
,DOWNTOWN SES,16,28,15,17,62,21,17,15,29,53,65,20,15,22,20,21,20,17,42,34,34,19,23,46,28,65,10
,EL CAJON LES,20,53,40,61,34,37,44,59,58,69,66,35,55,49,24,19,16,20,38,54,24,47,46,54,43,69,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,16,11,21,19,15,10,18,53,22,32,36,24,12,11,12,10,10,16,19,20,33,19,8,19,53,08
,OTAY MESA DVN,22,39,44,22,30,13,31,43,31,50,22,44,60,45,57,12,15,36,28,26,48,20,47,35,34,60,12
,PENDLETON,P,,,,,8,11,12,13,16,15,14,17,17,13,11,12,16,12,15,8,9,12,11,13,17,12
14 VWSP MPH,ALPINE,.6,1.4,2.2,1.5,1.6,1.6,.8,.9,.3,2.0,2.0,1.2,4.1,1.2,2.6,2.1,2.0,1.0,1.7,1.8,1.5,.5,2.3,.5,.0,4.1,12
,CHULA VISTA,1.9,2.0,1.8,4.8,2.1,1.2,2.8,1.9,2.2,1.7,2.0,4.9,5.9,6.5,6.2,5.8,2.5,3.6,1.7,.8,1.2,2.4,1.7,1.8,.0,6.5,13
,DOWNTOWN SES,2.3,1.4,3.3,4.4,.8,1.7,2.6,4.5,1.9,1.5,1.3,5.3,7.3,5.8,6.1,5.3,5.2,3.9,1.4,.6,1.3,2.0,2.8,1.6,.0,7.3,12
,EL CAJON LES,2.0,1.1,1.0,.7,1.1,1.0,.5,.9,.7,.5,.8,2.6,2.0,4.0,5.1,5.8,4.8,2.8,1.3,.8,1.9,.7,1.0,.4,.0,5.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.2,2.1,4.0,3.5,3.1,3.9,3.9,2.5,1.5,2.9,3.4,3.6,6.3,7.9,9.3,8.7,6.4,4.1,1.7,3.2,3.1,2.0,2.7,6.1,.0,9.3,14
,OTAY MESA DVN,.5,1.2,1.2,3.5,1.3,4.5,2.5,.7,.8,1.7,3.6,1.5,3.1,3.4,3.5,7.9,3.6,2.6,1.8,2.1,1.2,2.6,1.3,3.1,.0,7.9,15
,PENDLETON,P,,,,,7.3,4.9,4.6,6.2,4.4,2.4,3.7,4.5,4.8,8.3,7.8,7.6,4.1,5.6,4.0,7.0,7.9,6.6,8.0,.0,8.3,14
15 SWSP MPH,ALPINE,1.2,2.5,2.4,1.8,1.7,1.8,1.0,1.9,1.8,2.7,3.1,3.3,5.1,3.9,3.5,3.1,2.5,1.6,1.9,2.3,1.9,1.9,2.5,1.6,2.4,5.1,12
,CHULA VISTA,2.0,2.1,2.2,4.9,2.8,2.3,2.9,2.4,2.4,2.1,2.5,5.4,6.3,6.9,6.6,6.0,2.8,3.8,1.8,1.6,1.4,2.6,2.0,2.0,3.2,6.9,13
,DOWNTOWN SES,2.4,1.6,3.4,4.6,1.8,1.8,2.8,4.7,2.1,2.4,2.3,5.9,7.6,6.3,6.4,5.7,5.7,4.0,2.0,.9,1.6,2.1,3.0,1.8,3.5,7.6,12
,EL CAJON LES,2.3,1.5,1.7,1.9,1.7,1.2,.7,1.1,1.1,1.4,1.6,3.1,2.6,4.9,5.5,6.3,5.0,3.1,1.7,1.2,2.3,.9,1.6,.9,2.3,6.3,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,2.3,4.1,4.5,3.5,4.1,4.1,2.5,1.7,3.1,3.8,4.3,6.8,8.2,9.4,8.9,6.5,4.2,1.8,3.5,3.6,2.4,2.9,6.6,4.4,9.4,14
,OTAY MESA DVN,.6,2.3,1.6,3.8,3.5,4.7,3.0,2.3,1.3,2.1,3.9,6.3,6.5,4.6,4.5,8.2,4.1,2.8,2.7,2.3,1.8,2.9,1.9,3.5,3.4,8.2,15
,PENDLETON,P,,,,,7.4,5.1,4.8,6.5,4.7,2.9,3.9,4.7,5.1,8.5,7.9,7.8,4.4,5.8,4.3,7.0,8.0,6.8,8.1,6.0,8.5,14
16 AMBTEMP °F,ALPINE,46.0,47.0,48.2,47.5,47.2,47.1,47.0,48.2,51.4,55.9,58.6,60.3,62.8,62.7,62.7,62.9,58.6,54.7,51.4,50.0,50.8,51.4,50.5,50.9,53.1,62.9,15
,CARMEL MT RCH,50.3,50.5,50.2,49.8,49.3,48.4,47.8,48.6,52.0,56.5,59.0,62.3,64.5,65.5,65.3,63.3,59.8,57.6,55.4,54.1,52.8,52.6,52.1,49.6,54.9,65.5,13
,CHULA VISTA,53.5,53.1,52.8,52.0,51.6,50.1,50.3,50.9,54.3,58.4,61.9,63.5,65.1,66.2,66.3,65.0,63.5,60.2,58.2,55.3,53.4,51.7,51.0,48.4,56.5,66.3,14
,DOWNTOWN SES,53.2,52.9,52.9,52.7,51.8,50.7,50.4,51.7,56.7,59.8,62.3,63.5,64.3,66.0,65.4,65.2,62.4,59.4,58.1,56.4,54.9,53.5,52.8,50.8,57.0,66.0,13
,EL CAJON LES,50.5,50.3,50.7,50.6,50.2,47.8,46.0,46.9,50.8,55.7,60.0,64.3,67.3,68.8,68.4,66.9,63.2,58.6,54.5,52.0,49.3,47.4,44.7,42.9,54.5,68.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.2,52.1,51.8,51.8,51.0,50.0,49.3,50.9,55.0,59.2,61.5,63.6,65.1,65.1,64.2,62.1,58.9,56.9,54.9,54.0,52.2,52.8,51.0,51.5,55.7,65.1,12
,OTAY MESA DVN,51.5,50.5,50.3,50.8,49.8,49.8,49.4,49.5,53.7,57.7,60.3,64.4,66.8,67.1,67.3,64.8,62.0,59.3,56.8,55.9,54.4,52.8,52.1,49.9,56.1,67.3,14
,PENDLETON,P,,,,,50.0,48.4,47.2,50.3,56.0,60.3,61.3,61.8,62.9,62.9,62.7,60.9,59.2,57.9,56.6,53.8,54.2,52.2,52.0,56.3,62.9,13
17 RELHUM %,ALPINE,99,97,95,100,100,96,94,91,81,69,52,42,23,28,22,16,43,34,33,32,28,22,22,21,56,100,03
,EL CAJON LES,95,94,94,99,98,98,99,99,90,78,64,51,37,39,45,45,50,65,76,81,73,67,68,72,74,99,03
,KEARNY MESA,100,100,100,100,100,100,100,98,90,75,71,64,63,54,62,68,71,74,79,73,72,69,64,44,79,100,00
18 PRES mmHg,EL CAJON LES,751,751,751,751,750,751,751,751,752,752,752,751,751,750,750,751,751,752,752,752,753,753,753,753,751,753,20
,KEARNY MESA,752,752,752,752,752,752,752,752,753,753,753,753,752,752,752,752,752,753,753,753,754,754,754,754,753,754,20
19 SOLAR W/M2,EL CAJON LES,1,2,3,3,1,0,3,27,165,469,535,570,541,460,328,164,20,-2,-3,-2,-2,-1,-2,-1,137,570,11
,KEARNY MESA,0,0,0,0,0,0,4,116,277,428,558,612,591,507,375,199,36,0,0,0,0,0,0,0,154,612,11
25 NOY,EL CAJON LES,7.35,5.25,8.24,9.97,6.89,C,C,20.33,23.71,25.03,14.68,8.22,4.56,5.89,7.74,6.99,12.99,14.12,21.15,24.55,17.43,18.47,15.16,23.57,13.74,25.03,09
26 NOY-NO,EL CAJON LES,6.96,5.12,7.90,9.46,6.57,C,C,8.77,9.71,10.87,8.24,5.55,3.37,4.28,5.82,5.67,12.14,13.75,19.95,22.13,16.44,16.23,14.01,20.03,10.58,22.13,19
27 NO Trace,EL CAJON LES,.39,.12,.33,.51,.31,C,C,11.56,13.99,14.16,6.43,2.66,1.18,1.60,1.91,1.31,.85,.37,1.20,2.42,.99,2.24,1.15,3.54,3.14,14.16,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.1,M,M,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.0,.0,.0,.1,09
29 CO Tr PPB,EL CAJON LES,267.5,222.9,C,C,C,264.1,465.1,467.5,472.4,482.7,C,C,M,226.8,270.4,274.7,308.6,366.1,459.9,588.2,523.7,522.0,494.6,518.1,399.7,588.2,19
BCarbon ug/m3,10TH AVE MARINE TERM,1.15,.86,.36,.19,.24,.29,.48,.61,.65,1.38,.61,.63,.41,.65,.57,.62,.71,.66,.96,1.44,2.42,4.83,4.60,3.15,1.19,4.83,21
,ALPINE,.18,.08,.04,.06,.05,.05,.06,.21,.19,.14,.09,.07,.03,<,<,<,<,<,<,<,<,<,<,<,.10,.21,07
,CHICANO PARK,1.20,.91,.49,.26,.27,.69,1.18,1.18,1.00,.86,1.06,.93,.75,.59,.75,.97,.97,1.03,1.19,1.68,3.22,3.50,3.28,3.23,1.30,3.50,21
,DOWNTOWN SES,.87,.86,.41,.23,.20,.60,.75,.76,.66,.36,.23,.86,.77,.53,.72,.86,.70,.71,1.13,1.76,3.57,4.66,3.10,2.67,1.17,4.66,21
,OCEANVIEW BLVD,.82,.74,.47,.21,.23,.43,.62,.94,.53,.33,.27,.81,.72,.52,.61,.43,.68,.75,1.32,2.04,2.37,3.15,3.73,2.68,1.06,3.73,22
,SAN YSIDRO,2.08,1.96,2.18,1.80,.68,.89,2.05,2.49,2.21,1.78,.89,.52,.41,.28,.25,.34,.48,.55,1.04,1.52,1.44,2.80,4.02,2.98,1.49,4.02,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
