Current Date:,12/16/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/15/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.042,C,C,.038,.036,.037,.033,M,M,M,M,M,M,M,M,M,.035,.037,.031,.025,.032,.035,.036,.035,.042,00
,PENDLETON,M,M,M,M,M,M,M,M,M,-4.7,121.2,12.8,35.9,-15.0,-15.0,70.6,7.5,28.6,20.6,115.8,43.1,157.2,41.9,207.0,55.1,207.0,23
12 VWDR °,ALPINE,316,342,350,331,54,82,79,99,140,195,251,277,302,298,302,304,290,312,346,84,101,98,336,5,0,350,02
,CHULA VISTA,312,4,32,76,76,93,89,87,97,79,12,320,284,280,285,288,291,317,7,58,64,57,55,51,0,320,11
,DOWNTOWN SES,317,333,333,69,45,53,49,49,88,86,319,284,301,291,292,295,305,331,348,31,47,37,40,34,0,348,18
,EL CAJON LES,107,83,106,165,271,192,261,222,308,66,297,321,311,305,308,293,294,282,2,118,98,81,80,120,0,321,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,305,304,49,72,95,85,76,91,93,55,336,341,323,308,285,299,301,316,353,39,55,64,55,59,0,353,18
,OTAY MESA DVN,8,356,6,23,62,111,104,81,223,276,311,323,323,324,285,279,294,355,357,28,52,77,40,38,0,357,18
,PENDLETON,310,1,69,55,36,58,56,44,52,69,214,254,263,265,264,272,301,316,341,7,28,37,36,53,0,341,18
13 SIGTHETA °,ALPINE,26,17,19,27,40,38,17,19,26,47,39,41,35,35,32,24,23,26,16,25,25,25,20,53,29,53,23
,CHULA VISTA,18,18,23,31,28,26,40,23,16,34,73,66,24,20,20,18,18,15,15,14,12,14,14,14,25,73,10
,DOWNTOWN SES,24,17,18,41,35,17,13,14,24,44,63,49,48,24,22,26,24,22,17,14,13,12,13,12,25,63,10
,EL CAJON LES,22,19,59,49,64,55,43,57,65,69,60,50,41,44,51,22,19,15,51,21,29,50,16,47,42,69,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,62,14,24,9,12,9,10,17,32,50,40,35,21,18,13,11,7,9,17,5,7,8,9,19,62,01
,OTAY MESA DVN,19,21,19,13,32,15,17,28,53,57,33,31,21,16,12,10,10,17,17,14,15,19,20,13,22,57,09
,PENDLETON,17,14,13,12,14,13,11,12,13,17,47,15,16,18,15,15,14,12,13,10,9,8,9,11,15,47,10
14 VWSP MPH,ALPINE,2.4,2.3,2.1,.4,.3,1.1,1.9,1.9,2.3,2.2,2.6,3.3,3.7,3.3,3.3,3.7,3.6,1.5,1.7,1.6,1.2,.9,1.1,.2,.0,3.7,12
,CHULA VISTA,4.1,2.4,1.1,1.3,1.6,3.2,2.4,3.2,3.8,2.0,1.0,1.8,5.7,7.6,8.1,7.6,5.2,3.1,2.5,2.6,2.4,2.8,3.2,3.9,.0,8.1,14
,DOWNTOWN SES,4.2,4.1,1.8,1.6,2.6,2.4,3.3,3.6,2.6,2.5,1.7,2.1,3.6,5.8,5.9,5.5,4.6,3.6,2.9,2.2,3.2,3.2,4.4,5.1,.0,5.9,14
,EL CAJON LES,1.6,2.1,.4,.2,.5,.5,.7,.4,.3,.3,1.5,2.8,3.4,3.3,2.9,5.4,4.8,2.6,.3,1.6,1.5,.6,1.7,.8,.0,5.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.8,1.5,3.1,2.7,3.0,3.3,4.1,2.9,2.5,3.2,3.0,3.7,5.3,6.7,7.6,8.3,6.5,4.9,3.6,3.6,6.2,4.1,5.2,4.7,.0,8.3,15
,OTAY MESA DVN,3.5,3.5,3.2,3.5,1.6,2.6,2.1,1.1,.3,.5,3.4,5.1,7.3,8.2,11.2,10.1,6.2,3.5,4.5,4.4,4.3,2.6,2.4,3.4,.0,11.2,14
,PENDLETON,9.4,4.3,3.9,5.1,7.1,5.6,5.5,7.2,7.2,5.1,1.1,5.6,4.9,4.9,5.1,4.5,4.1,5.1,4.5,4.4,5.5,5.7,7.1,5.9,.0,9.4,00
15 SWSP MPH,ALPINE,3.1,2.4,2.3,.4,.5,1.4,2.0,2.0,2.6,2.9,3.8,4.1,4.4,4.1,3.9,4.0,3.9,1.6,1.8,1.8,1.3,1.0,1.2,.3,2.4,4.4,12
,CHULA VISTA,4.6,2.5,1.5,1.4,2.0,3.4,2.7,3.3,4.0,2.7,2.6,3.3,6.1,8.1,8.5,7.9,5.4,3.4,2.6,2.7,2.5,2.9,3.3,4.0,3.8,8.5,14
,DOWNTOWN SES,4.5,4.3,1.9,1.9,2.9,2.5,3.4,3.7,2.8,3.3,3.1,3.0,4.7,6.3,6.4,6.1,5.0,3.9,3.1,2.4,3.3,3.3,4.5,5.2,3.8,6.4,14
,EL CAJON LES,1.9,2.2,1.1,1.0,1.2,1.0,1.0,.7,1.0,1.1,2.9,3.8,4.4,4.6,3.8,5.8,5.1,2.7,1.1,1.7,1.6,.8,1.8,1.4,2.2,5.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.0,1.9,3.3,3.1,3.1,3.4,4.1,3.0,2.6,4.0,4.2,4.9,6.4,7.2,7.9,8.6,6.6,5.0,3.9,3.7,6.3,4.2,5.2,4.8,4.7,8.6,15
,OTAY MESA DVN,3.7,3.7,3.4,3.6,2.2,2.8,2.5,1.5,.4,.9,4.0,5.6,7.9,8.7,11.5,10.3,6.3,4.0,4.7,4.8,4.4,2.9,2.6,3.5,4.4,11.5,14
,PENDLETON,9.7,4.5,4.1,5.3,7.3,5.8,5.6,7.4,7.4,5.4,2.9,5.8,5.0,5.1,5.3,4.7,4.2,5.3,4.6,4.5,5.6,5.7,7.2,6.1,5.6,9.7,00
