,CHULA VISTA,18,19,19,19,19,19,19,19,19,22,25,26,26,26,26,26,26,25,25,24,24,24,24,23,23,26,11
,DOWNTOWN SES,24,24,24,24,24,24,25,25,24,24,23,22,22,22,22,23,23,23,23,23,23,24,24,24,23,25,06
,EL CAJON LES,24,25,24,24,24,24,24,24,24,25,25,25,24,24,24,24,23,24,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,24,23,23,23,23,24,24,25,25,25,25,25,26,26,26,26,26,26,26,27,25,27,23
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,27,00
,PENDLETON,25,25,25,25,25,24,24,24,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,1.1,-.2,1.3,1.3,3.5,1.6,-1.3,-.1,3.3,3.8,4.8,4.6,2.5,4.2,2.5,4.1,3.5,8.8,6.0,8.5,6.9,8.3,4.8,.5,3.5,8.8,17
,DOWNTOWN SES,8.3,7.4,11.0,8.3,6.5,7.1,7.9,6.7,8.0,8.7,5.4,,,,,,,,,,,,,,7.7,11.0,02
,EL CAJON LES,8.6,7.3,7.9,5.8,5.6,6.4,4.9,8.2,9.6,9.9,6.3,5.8,5.7,4.0,1.5,3.9,3.7,3.2,3.7,3.0,3.6,6.2,5.1,5.1,5.6,9.9,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.1,28.2,2.8,7.2,4.9,3.4,10.9,8.6,13.5,7.7,7.3,7.4,5.2,3.1,4.7,3.1,-1.2,1.9,4.2,2.6,2.8,18.3,4.3,5.6,6.5,28.2,01
,PENDLETON,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
12 VWDR °,ALPINE,66,93,55,85,66,91,75,54,156,287,268,294,294,281,298,288,283,293,228,140,121,119,91,48,0,298,14
,CHULA VISTA,52,57,60,68,61,98,82,55,354,24,11,297,277,288,293,314,311,327,295,61,90,123,113,110,0,354,08
,DOWNTOWN SES,33,37,33,40,31,28,25,47,54,28,341,296,285,283,296,318,327,326,312,63,104,117,99,101,0,341,10
,EL CAJON LES,100,134,108,270,242,114,237,103,251,346,294,272,282,292,284,280,310,323,339,314,53,131,112,74,0,346,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,59,64,57,58,54,58,72,64,51,342,319,326,303,299,299,301,M,274,317,68,130,126,110,134,0,342,09
,OTAY MESA DVN,58,124,55,117,357,27,108,97,179,302,287,290,306,310,312,318,335,313,312,336,341,159,136,80,0,357,04
,PENDLETON,56,50,61,61,52,51,57,51,51,66,37,260,258,262,285,294,278,304,328,254,193,81,70,40,0,328,18
13 SIGTHETA °,ALPINE,30,17,52,46,57,55,28,40,23,23,39,33,33,30,25,22,28,28,34,15,13,18,20,47,32,57,04
,CHULA VISTA,15,53,42,32,25,36,21,22,45,40,45,40,21,18,19,21,19,21,34,40,25,14,14,16,28,53,01
,DOWNTOWN SES,17,19,14,14,49,59,24,39,30,30,35,27,23,20,24,25,31,29,41,41,20,18,16,18,28,59,05
,EL CAJON LES,22,39,39,52,42,58,41,36,44,45,64,55,32,24,21,16,19,19,25,16,21,17,22,18,33,64,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,7,5,8,9,13,9,8,22,18,22,22,15,16,17,12,M,11,17,15,13,10,9,11,13,22,08
,OTAY MESA DVN,26,11,25,19,31,23,39,45,43,21,50,45,16,14,14,14,12,14,25,20,22,23,30,23,25,50,10
,PENDLETON,10,12,10,10,11,12,12,10,12,15,26,16,13,16,15,15,15,13,14,19,8,15,10,12,13,26,10
14 VWSP MPH,ALPINE,1.2,1.2,.2,.7,.4,.3,.9,.5,1.3,3.0,2.1,3.8,5.8,4.9,5.2,5.8,4.3,1.9,1.0,1.8,3.2,2.8,1.9,.6,.0,5.8,12
,CHULA VISTA,6.0,1.9,.7,1.1,2.2,.8,1.7,3.2,.9,2.8,1.8,4.0,7.3,8.8,9.7,6.6,4.0,2.8,.9,.8,1.3,2.0,3.9,2.9,.0,9.7,14
,DOWNTOWN SES,4.0,3.3,3.4,3.4,2.0,.8,1.9,2.3,1.1,3.1,3.4,4.8,7.9,7.7,6.8,4.9,3.2,2.3,1.1,1.7,2.9,3.3,3.5,2.4,.0,7.9,12
,EL CAJON LES,1.1,.6,.8,.3,.5,.5,.5,.5,1.5,.3,.8,2.5,5.0,6.6,7.7,7.8,5.4,4.1,2.0,3.2,1.0,2.4,1.0,1.4,.0,7.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.3,4.8,5.8,5.2,5.6,2.0,3.2,4.6,3.0,6.6,5.4,5.8,9.9,10.4,11.3,8.3,M,4.0,1.8,2.2,2.5,3.5,3.5,3.5,.0,11.3,14
,OTAY MESA DVN,2.3,2.6,1.9,2.0,2.1,3.3,1.5,.8,1.6,1.9,1.4,3.0,9.0,10.0,9.9,9.7,7.5,4.9,1.9,1.2,1.0,2.7,1.4,.8,.0,10.0,13
,PENDLETON,6.6,6.2,6.4,6.5,6.5,5.9,6.5,7.4,6.1,6.8,.3,4.7,6.9,6.6,5.5,7.7,6.0,6.0,3.4,.9,1.4,3.6,3.2,4.6,.0,7.7,15
15 SWSP MPH,ALPINE,1.5,1.3,.4,.9,.5,.3,1.3,1.0,2.4,3.3,2.8,4.5,6.6,5.7,5.7,6.2,4.8,2.2,1.5,2.0,3.3,2.9,2.0,.9,2.7,6.6,12
,CHULA VISTA,6.2,2.2,1.2,1.2,2.4,1.0,1.9,3.4,1.5,3.1,2.8,4.8,8.2,9.2,10.2,7.2,4.2,3.0,1.4,1.1,1.6,2.1,4.0,3.1,3.6,10.2,14
,DOWNTOWN SES,4.2,3.4,3.5,3.5,2.2,1.4,2.2,2.7,2.4,3.7,4.2,5.4,8.7,8.2,7.5,5.5,3.6,2.6,1.4,2.2,3.2,3.5,3.6,2.6,3.8,8.7,12
,EL CAJON LES,1.4,1.7,1.0,.7,.8,.6,1.0,.9,1.9,1.6,2.3,3.2,6.2,7.2,8.2,8.1,5.8,4.4,2.3,3.3,2.1,2.5,1.1,1.5,2.9,8.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,4.8,5.8,5.3,5.7,2.1,3.3,4.8,3.3,7.0,5.8,6.5,10.3,10.9,11.8,8.5,M,4.2,2.0,2.4,2.7,3.7,3.6,3.6,5.3,11.8,14
,OTAY MESA DVN,3.0,2.7,2.1,2.2,2.4,3.6,1.5,2.1,2.0,3.3,4.0,5.0,9.3,10.4,10.4,10.0,7.7,5.0,2.3,1.8,1.2,2.9,1.6,.9,4.1,10.4,13
,PENDLETON,6.7,6.3,6.5,6.6,6.6,6.1,6.6,7.6,6.3,7.0,2.5,4.8,7.1,6.9,5.7,8.0,6.2,6.2,3.7,1.2,1.5,3.7,3.3,4.9,5.5,8.0,15
16 AMBTEMP °F,ALPINE,40.8,40.6,42.3,42.0,42.2,41.5,41.3,43.0,46.0,48.0,52.2,54.2,54.4,54.4,53.6,51.8,48.2,46.8,46.2,46.0,45.9,46.0,46.2,46.1,46.7,54.4,12
,CARMEL MT RCH,40.6,39.1,38.8,38.2,38.5,38.5,38.0,40.7,45.9,51.6,54.1,56.6,57.0,57.4,56.3,54.7,53.6,53.6,52.5,51.3,51.1,50.7,50.4,50.1,48.3,57.4,13
,CHULA VISTA,44.9,42.9,42.0,41.9,41.6,40.2,40.6,43.8,47.2,52.9,56.4,58.7,59.1,59.2,58.4,57.2,56.6,56.2,55.5,55.2,53.6,52.8,53.0,53.5,51.0,59.2,13
,DOWNTOWN SES,45.9,44.9,44.1,43.8,42.5,41.8,41.9,44.8,49.4,54.9,58.0,59.2,58.9,59.0,58.0,56.6,56.3,56.1,56.0,55.6,53.3,52.9,52.7,53.0,51.7,59.2,11
,EL CAJON LES,39.1,38.0,37.0,36.2,35.7,35.2,34.8,37.3,42.0,47.4,54.3,58.2,60.8,60.8,59.9,57.3,55.2,54.8,54.4,53.9,53.0,51.7,51.7,51.6,48.3,60.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,42.7,41.7,41.3,41.3,41.4,41.9,41.0,43.4,49.2,54.7,56.8,58.3,58.5,58.3,57.3,55.4,55.1,54.7,54.5,53.1,53.0,52.7,52.3,52.1,50.4,58.5,12
,OTAY MESA DVN,45.9,43.5,43.9,42.3,41.5,41.5,40.3,42.6,47.0,51.6,55.6,58.2,58.7,58.0,58.2,55.8,54.2,53.7,53.1,52.7,52.4,51.2,51.0,51.4,50.2,58.7,12
,PENDLETON,43.3,43.8,42.3,41.6,40.7,40.7,40.8,42.8,46.8,51.4,56.4,58.1,58.6,58.4,58.8,58.0,57.0,55.7,54.7,55.1,55.1,54.0,53.4,52.9,50.9,58.8,14
17 RELHUM %,ALPINE,77,72,62,62,58,59,60,58,54,47,37,36,40,40,50,62,86,96,100,100,100,100,100,100,69,100,18
,EL CAJON LES,88,88,91,92,94,95,95,92,79,64,47,37,33,40,47,61,71,74,77,82,88,97,95,94,76,97,21
,KEARNY MESA,86,88,87,86,84,81,83,80,66,51,39,39,47,54,68,76,79,83,85,95,97,99,100,100,77,100,22
18 PRES mmHg,EL CAJON LES,754,754,754,753,753,753,753,753,753,754,753,752,752,751,751,751,751,751,751,751,752,752,752,751,752,754,00
,KEARNY MESA,755,755,755,754,754,754,754,754,754,755,754,754,753,753,752,752,752,752,752,753,753,753,753,753,753,755,00
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,0,5,41,151,375,525,539,524,452,333,132,15,3,2,3,2,2,2,2,130,539,11
,KEARNY MESA,0,0,0,0,1,0,6,100,273,452,541,565,577,499,331,73,14,1,0,0,0,0,0,0,143,577,12
25 NOY,EL CAJON LES,14.91,12.60,15.90,24.38,29.92,C,C,57.29,66.77,48.55,19.89,8.77,9.51,5.71,4.77,5.99,6.46,6.91,6.83,5.99,5.38,4.73,4.57,6.45,16.92,66.77,08
26 NOY-NO,EL CAJON LES,12.59,10.81,13.06,13.81,14.42,C,C,15.23,19.53,19.25,11.83,6.25,6.92,4.24,3.60,4.94,5.94,6.31,6.60,5.83,5.36,4.56,4.51,6.39,9.18,19.53,08
27 NO Trace,EL CAJON LES,2.31,1.78,2.84,10.56,15.49,C,C,42.05,47.23,29.29,8.05,2.52,2.59,1.46,1.16,1.05,.51,.60,.23,.16,.02,.17,.06,.06,7.73,47.23,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.1,.1,.1,.2,.2,.1,M,M,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,08
29 CO Tr PPB,EL CAJON LES,381.9,318.6,C,C,C,551.4,1200.9,865.4,977.0,709.1,399.8,C,M,208.6,213.8,223.4,241.3,240.6,231.6,244.7,223.6,229.2,226.5,248.2,417.6,1200.9,06
BCarbon ug/m3,10TH AVE MARINE TERM,.74,.68,.62,.68,.49,.53,.87,1.06,1.56,.98,.75,.39,.33,.37,.34,.39,.42,.35,.31,.50,.73,.65,.61,1.02,.64,1.56,08
,ALPINE,.17,.11,.07,.08,.11,.11,.10,.24,.39,.16,.09,.13,.19,.21,.18,.16,.27,.25,.27,1.02,.38,.26,.23,.29,.23,1.02,19
,CHICANO PARK,1.13,.66,.61,.60,.61,.96,1.24,1.06,1.12,.81,.60,.52,.44,.48,.46,.54,.64,.44,.62,.94,.65,.61,.77,1.07,.73,1.24,06
,DOWNTOWN SES,.74,.63,.61,.63,.70,.70,1.40,.92,.96,.61,.40,.48,.36,.37,.41,.39,.42,.33,.50,.58,.58,.68,.52,.76,.61,1.40,06
,OCEANVIEW BLVD,.72,.65,.66,.53,.44,.67,1.44,.88,.52,.48,.46,.45,.41,.48,.41,.44,.38,.42,.57,.44,.40,.61,.48,.85,.57,1.44,06
,SAN YSIDRO,.63,1.32,3.82,3.36,3.21,2.56,3.26,2.96,2.96,2.41,.28,.29,.34,.23,.24,.19,.24,.30,.46,.49,.29,.56,1.46,2.01,1.41,3.82,02
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
