Current Date:,4/21/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/20/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,PENDLETON,7.4,7.3,5.3,6.2,6.9,8.6,6.1,7.2,7.2,8.3,9.2,5.3,1.6,4.1,3.8,4.4,3.3,1.7,1.6,4.3,6.2,6.9,6.7,4.2,5.5,9.2,10
12 VWDR °,ALPINE,153,260,292,307,316,314,311,332,305,299,283,285,280,283,265,269,262,276,274,278,253,264,269,224,0,332,07
,CHULA VISTA,91,243,302,306,359,15,343,333,305,288,279,283,267,264,275,265,273,284,284,288,300,257,265,256,0,359,04
,DOWNTOWN SES,311,293,302,8,349,22,337,321,302,288,288,287,284,282,279,279,254,278,280,278,317,306,256,281,0,349,04
,EL CAJON LES,129,161,163,272,306,305,12,323,311,310,286,251,248,250,263,278,252,261,257,273,254,227,225,172,0,323,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,326,311,311,331,333,2,338,327,308,294,288,287,282,273,275,288,269,282,276,284,264,278,334,82,0,338,06
,OTAY MESA DVN,77,94,290,34,23,336,8,312,308,287,288,288,284,286,287,294,281,281,288,295,279,283,258,240,0,336,05
,PENDLETON,314,328,328,313,315,326,318,288,255,250,229,268,262,265,267,250,256,248,239,235,294,251,319,334,0,334,23
13 SIGTHETA °,ALPINE,33,18,14,46,38,21,24,35,30,31,32,31,30,30,28,29,27,23,22,21,26,21,22,21,27,46,03
,CHULA VISTA,22,22,19,24,26,34,36,20,23,20,20,20,21,17,21,20,19,17,17,19,29,37,21,19,23,37,21
,DOWNTOWN SES,22,22,23,22,49,27,26,24,22,23,23,22,21,21,23,28,25,20,22,25,38,38,26,30,26,49,04
,EL CAJON LES,13,16,26,45,18,18,31,30,24,38,25,30,26,28,22,30,24,17,17,22,22,18,19,21,24,45,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,10,11,11,11,15,15,19,14,19,15,17,20,13,12,15,16,12,9,12,9,11,52,46,17,52,22
,OTAY MESA DVN,29,38,35,16,23,19,21,23,18,16,14,14,18,15,13,15,12,9,10,13,10,38,41,17,20,41,22
,PENDLETON,13,14,14,15,14,15,16,18,19,25,23,13,13,11,16,19,13,16,14,22,21,26,19,41,18,41,23
14 VWSP MPH,ALPINE,.7,.5,1.2,.6,1.3,1.4,1.5,2.4,3.3,3.8,3.8,4.2,4.1,5.4,6.9,5.0,3.9,4.6,4.2,4.5,2.7,3.0,2.8,2.4,.0,6.9,14
,CHULA VISTA,.9,.7,4.8,2.5,1.4,.7,1.2,3.1,5.0,6.8,8.2,9.6,8.9,10.5,9.4,7.0,7.6,7.5,6.4,4.9,2.6,1.5,2.3,3.2,.0,10.5,13
,DOWNTOWN SES,3.2,3.4,2.5,1.8,.9,1.7,2.1,4.1,4.6,5.9,8.2,8.5,8.4,9.7,7.3,4.9,5.5,6.7,5.5,2.9,2.1,2.0,2.9,2.8,.0,9.7,13
,EL CAJON LES,1.6,1.8,.3,1.3,3.0,3.1,1.6,3.3,3.8,3.4,3.8,5.0,5.7,6.9,8.9,4.9,5.8,6.3,5.8,4.2,3.4,2.8,3.0,2.4,.0,8.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.7,3.9,3.5,4.8,4.7,3.6,5.2,5.5,7.6,8.0,9.6,10.4,8.1,13.3,13.3,8.4,6.6,7.1,6.3,2.7,3.6,2.6,.4,1.7,.0,13.3,13
,OTAY MESA DVN,.6,1.3,1.0,.9,1.4,2.8,2.6,3.9,5.9,8.9,10.3,11.7,10.2,11.9,12.7,7.8,9.0,9.7,7.9,6.0,4.6,.8,.3,.7,.0,12.7,14
,PENDLETON,3.5,4.0,4.0,4.4,3.8,3.9,4.7,3.8,3.8,4.3,5.0,5.2,6.5,7.8,5.8,5.5,6.2,6.4,5.8,3.3,2.1,2.0,2.7,.7,.0,7.8,13
15 SWSP MPH,ALPINE,.8,.5,1.2,.9,1.5,1.6,1.6,3.2,3.8,4.3,4.4,4.7,4.7,6.0,7.8,5.6,4.3,5.0,4.4,4.8,3.0,3.2,3.0,2.7,3.5,7.8,14
,CHULA VISTA,1.0,1.2,5.1,2.7,1.6,.9,1.4,3.3,5.4,7.4,8.8,10.2,9.5,11.0,10.1,7.4,8.0,7.9,6.7,5.2,2.8,1.8,2.5,3.4,5.2,11.0,13
