Current Date:,4/16/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/15/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.048,C,C,.048,.041,M,M,M,M,M,M,M,M,M,M,M,.061,.059,.056,.057,.059,.059,.060,.054,.061,17
13 SIGTHETA °,ALPINE,45,63,23,17,27,19,23,23,35,27,35,34,37,35,26,26,23,23,20,18,20,15,11,11,27,63,01
,CHULA VISTA,41,44,45,26,38,23,19,20,55,50,22,20,22,21,19,20,22,23,16,16,23,13,28,15,27,55,08
,DOWNTOWN SES,22,24,21,26,28,31,54,47,63,25,23,27,23,27,25,18,20,30,24,28,43,21,17,14,28,63,08
,EL CAJON LES,39,32,35,45,48,47,57,51,54,62,62,31,28,25,24,21,20,22,13,29,23,21,37,18,35,62,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,10,28,11,7,8,12,23,25,51,40,16,16,18,12,13,11,9,7,11,13,9,12,13,16,51,09
,OTAY MESA DVN,36,16,51,34,31,38,14,18,45,40,28,16,14,15,14,13,14,20,12,15,19,12,19,48,24,51,02
,PENDLETON,36,45,44,53,65,44,20,19,30,19,17,13,18,19,20,23,21,20,11,9,19,10,20,27,26,65,04
14 VWSP MPH,ALPINE,.6,.4,.7,.8,1.7,3.2,2.1,1.0,2.6,3.9,4.1,4.5,5.1,5.5,6.4,6.2,6.5,4.0,1.6,.9,.8,.7,.8,1.4,.0,6.5,16
,CHULA VISTA,.5,1.3,1.4,1.6,1.0,2.7,2.5,2.4,.7,1.6,5.0,6.2,6.0,6.0,7.6,6.6,5.3,2.9,2.3,1.7,1.0,1.9,2.4,1.3,.0,7.6,14
,DOWNTOWN SES,.6,1.1,1.3,1.7,1.6,1.5,.7,.9,.7,3.7,4.9,5.4,5.1,4.9,6.0,6.8,5.6,3.4,2.6,1.7,.2,2.1,1.7,1.6,.0,6.8,15
,EL CAJON LES,.4,.3,1.0,.2,.3,.4,.1,.7,.9,.9,1.9,4.7,6.6,6.7,7.7,8.6,6.8,3.6,3.4,.7,.7,.2,.8,1.5,.0,8.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.8,3.2,2.5,4.8,7.9,5.2,4.7,2.3,2.8,2.2,4.0,8.4,8.2,7.7,10.0,10.8,9.0,5.7,4.1,1.6,1.7,2.9,2.5,1.7,.0,10.8,15
,OTAY MESA DVN,.4,1.9,1.4,2.1,2.6,2.3,2.8,2.6,2.0,1.9,4.3,7.7,9.0,9.2,10.4,8.8,6.5,4.5,3.3,2.4,1.6,2.3,2.9,.5,.0,10.4,14
,PENDLETON,2.8,2.7,3.3,.8,.6,2.1,4.4,4.7,2.5,3.6,3.2,4.3,4.3,4.0,4.3,3.3,3.2,2.9,4.1,3.2,1.7,2.8,4.2,4.7,.0,4.7,07
