,PENDLETON,.3,.2,C,C,.2,.9,2.5,5.1,2.8,.8,1.5,.3,5.8,2.9,1.4,.1,.1,.2,.1,.0,.0,.0,.2,1.0,1.2,5.8,12
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,.6,.8,.9,.9,.6,.5,.6,.6,.6,.6,.5,.4,.6,.6,.7,.7,.6,.6,.5,.4,.6,.9,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,24,23,23,23,23,23,24,24,24,24,25,24,24,24,24,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,27,27,27,26,26,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,DOWNTOWN SES,26,26,26,26,25,26,26,26,26,25,25,25,25,25,25,24,,,,,,,,,25,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,25,25,25,25,25,25,26,26,25,26,00
,PENDLETON,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,6.0,5.4,4.6,3.7,3.7,4.1,4.4,5.5,5.2,M,M,M,12.0,11.3,10.6,8.9,8.8,8.4,7.8,7.7,8.5,9.1,8.6,7.9,7.2,12.0,12
,CARMEL MT RCH,8.2,9.3,8.3,9.4,9.2,7.7,9.8,12.2,11.4,12.5,14.3,14.3,12.1,11.0,11.4,10.2,8.9,9.8,9.4,9.5,9.3,8.8,9.5,8.6,10.2,14.3,10
,CHULA VISTA,12.9,12.3,12.3,12.3,12.5,12.4,14.5,16.8,16.4,15.7,16.4,13.7,12.8,11.6,11.1,11.2,12.0,12.3,11.4,11.2,12.7,13.1,12.8,11.4,12.9,16.8,07
,DOWNTOWN SES,11.5,9.6,9.8,10.1,10.8,11.5,13.0,13.7,14.2,14.5,14.9,13.9,12.8,13.2,13.6,10.6,,,,,,,,,12.3,14.9,10
,EL CAJON LES,12.0,11.4,11.9,11.7,12.1,12.7,13.2,12.8,11.7,11.9,10.7,12.9,13.3,12.5,10.7,12.4,11.4,9.5,8.8,10.3,11.3,11.5,11.9,11.9,11.6,13.3,12
,KEARNY MESA,13.0,14.2,11.4,9.8,7.7,10.4,14.4,14.5,14.5,15.1,17.8,17.3,14.4,13.1,15.5,13.4,11.1,10.6,10.2,10.9,10.4,10.5,8.9,9.2,12.4,17.8,10
,OTAY MESA DVN,26.8,17.0,19.7,22.5,26.3,38.9,25.4,38.4,27.3,22.0,M,M,M,M,16.6,15.0,15.3,15.1,15.0,14.4,15.2,26.5,36.6,16.7,22.5,38.9,05
,PENDLETON,9.7,10.0,9.9,11.3,12.1,11.6,11.9,12.9,12.6,13.0,13.0,12.6,12.2,14.2,10.3,8.9,8.8,8.7,7.9,8.4,9.5,9.8,9.9,10.2,10.8,14.2,13
12 VWDR °,ALPINE,75,69,106,87,96,228,191,256,268,288,291,302,297,305,297,299,307,295,316,278,88,89,103,94,0,316,18
,CHULA VISTA,191,131,141,142,137,75,323,273,277,261,257,244,248,243,251,260,265,263,243,188,171,161,158,156,0,323,06
,DOWNTOWN SES,341,336,332,336,344,346,350,216,268,271,284,M,M,M,M,M,,,,,,,,,0,350,06
,EL CAJON LES,185,289,138,118,121,117,331,300,247,274,263,260,215,217,233,241,233,246,252,184,147,161,131,103,0,331,06
,KEARNY MESA,306,338,339,322,320,7,336,299,333,300,303,292,288,291,289,289,311,316,303,307,311,303,310,324,0,339,02
,OTAY MESA DVN,355,342,127,161,4,19,263,259,308,294,296,297,296,298,296,300,295,298,314,324,268,339,7,236,0,355,00
,PENDLETON,28,29,15,9,6,36,6,277,259,261,267,261,258,258,250,251,244,225,200,236,292,335,63,350,0,350,23
13 SIGTHETA °,ALPINE,18,34,24,24,33,45,27,32,28,23,25,25,28,27,25,27,25,23,22,41,21,26,16,15,26,45,05
,CHULA VISTA,27,34,16,14,27,30,35,54,29,23,26,22,22,26,24,25,23,27,19,23,14,14,13,14,24,54,07
,DOWNTOWN SES,12,17,26,14,14,18,40,26,41,20,22,M,M,27,M,M,,,,,,,,,23,41,08
,EL CAJON LES,28,46,29,31,47,40,46,53,50,38,36,26,21,21,26,24,24,21,18,26,47,31,55,39,34,55,22
,KEARNY MESA,46,19,10,12,23,22,22,36,41,31,21,19,16,22,17,20,18,16,10,8,7,6,10,10,19,46,00
,OTAY MESA DVN,31,41,64,21,47,26,51,43,23,13,13,12,11,11,11,10,11,10,18,34,15,45,17,43,26,64,02
,PENDLETON,15,24,11,13,16,14,11,31,15,16,15,14,12,13,13,13,14,19,16,21,23,15,33,15,17,33,22
14 VWSP MPH,ALPINE,.5,.2,1.0,.9,.6,.1,.3,1.5,2.8,4.3,4.5,5.2,5.4,5.4,5.4,4.7,4.4,3.5,2.0,.3,.7,.6,1.8,1.4,.0,5.4,12
,CHULA VISTA,.7,.4,.8,.9,.4,.5,1.1,1.5,3.6,4.7,5.2,7.1,7.7,5.7,5.8,5.3,4.6,3.7,3.0,1.5,2.0,2.1,1.7,1.9,.0,7.7,12
,DOWNTOWN SES,3.4,2.9,1.8,2.5,3.5,3.4,1.1,2.9,3.3,5.5,6.0,M,M,M,M,M,,,,,,,,,.0,6.0,10
,EL CAJON LES,.1,.3,.5,.7,.8,.8,.6,.9,1.4,2.7,3.5,5.0,7.2,7.2,6.1,5.4,5.1,4.0,3.4,2.0,.6,.8,.7,.9,.0,7.2,12
,KEARNY MESA,.9,3.3,4.5,3.1,2.1,2.3,3.4,2.1,3.5,4.5,6.5,7.6,8.5,7.6,7.5,7.3,7.0,5.9,5.6,4.6,3.9,5.0,4.0,1.9,.0,8.5,12
,OTAY MESA DVN,1.9,1.3,.8,1.6,2.3,1.2,.3,1.4,4.9,6.7,6.9,8.7,10.0,10.3,10.0,10.2,9.4,8.0,4.3,2.0,1.3,.4,2.8,.6,.0,10.3,13
,PENDLETON,2.0,1.7,3.5,2.1,2.0,2.7,2.8,1.7,4.3,5.5,5.9,7.1,9.0,9.1,7.4,6.5,5.5,4.7,3.9,2.5,1.8,1.7,.7,1.3,.0,9.1,13
15 SWSP MPH,ALPINE,.6,.3,1.0,1.0,.7,.4,.8,1.8,3.2,4.6,4.9,5.7,6.0,6.0,6.0,5.2,4.8,3.7,2.2,.5,.7,.7,1.8,1.4,2.7,6.0,12
,CHULA VISTA,.8,.5,.8,1.0,.5,.7,1.6,1.9,4.0,5.1,5.9,7.6,8.2,6.3,6.3,5.9,5.0,4.1,3.2,1.7,2.1,2.2,1.7,1.9,3.3,8.2,12
,DOWNTOWN SES,3.4,3.1,1.9,2.6,3.6,3.6,1.8,3.2,3.8,5.8,6.8,M,M,M,M,M,,,,,,,,,3.6,6.8,10
,EL CAJON LES,.4,.4,.6,.9,1.2,.9,.9,1.3,2.3,3.4,4.2,5.5,8.0,7.7,6.8,6.0,5.7,4.2,3.6,2.5,.8,1.1,1.0,1.1,2.9,8.0,12
,KEARNY MESA,1.3,3.3,4.6,3.2,2.4,2.5,3.7,2.9,4.2,5.1,6.9,8.0,8.8,8.2,7.8,7.8,7.5,6.1,5.7,4.7,3.9,5.1,4.1,2.0,5.0,8.8,12
,OTAY MESA DVN,2.1,1.6,1.1,1.7,2.5,1.6,1.5,2.2,5.3,6.9,7.1,8.9,10.2,10.5,10.2,10.4,9.6,8.1,4.8,2.4,1.4,.6,3.1,.6,4.8,10.5,13
,PENDLETON,2.1,1.9,3.6,2.2,2.1,3.0,2.9,2.5,4.5,5.7,6.1,7.3,9.2,9.3,7.6,6.7,5.7,4.9,4.0,2.9,2.0,1.9,1.1,1.3,4.2,9.3,13
16 AMBTEMP °F,ALPINE,78.6,77.5,76.8,78.5,77.3,77.3,80.7,84.1,87.0,88.8,91.0,92.0,92.7,92.0,90.8,90.1,87.8,85.6,82.1,79.1,78.4,78.1,78.1,78.2,83.4,92.7,12
,CARMEL MT RCH,69.0,66.4,65.5,65.4,65.2,66.2,70.3,75.7,80.7,85.0,86.3,86.3,87.9,87.8,86.2,84.9,82.5,80.3,77.2,73.9,72.8,70.8,68.5,67.5,75.9,87.9,12
,CHULA VISTA,67.3,67.1,66.5,66.0,66.0,67.0,69.5,73.0,75.6,76.7,77.3,76.7,74.5,75.5,75.6,74.8,75.3,75.7,74.0,72.3,71.5,69.8,68.8,67.9,71.9,77.3,10
,DOWNTOWN SES,67.7,67.3,67.0,66.8,66.2,66.7,70.1,73.1,75.3,M,78.0,79.7,77.9,76.8,76.1,74.7,,,,,,,,,72.2,79.7,11
,EL CAJON LES,70.6,70.2,69.1,68.2,67.7,67.8,72.3,77.5,83.2,88.7,92.2,92.4,90.5,88.6,90.2,89.9,88.4,87.5,84.3,80.0,77.7,76.1,74.1,72.3,80.0,92.4,11
,KEARNY MESA,65.8,65.2,66.1,66.0,65.4,65.8,68.7,74.3,80.3,85.2,85.3,86.2,86.3,85.3,83.3,82.6,80.1,78.3,75.0,70.7,69.2,67.2,66.3,65.8,74.4,86.3,12
,OTAY MESA DVN,66.7,64.8,65.5,65.7,65.3,66.2,69.7,75.3,79.6,82.2,82.4,81.9,79.6,79.2,79.2,78.5,77.7,76.9,74.3,71.0,69.0,70.1,69.6,67.8,73.3,82.4,10
,PENDLETON,67.9,67.6,66.5,66.2,65.4,65.6,66.2,67.7,69.0,70.4,71.3,72.4,72.6,71.0,72.1,72.6,72.3,71.4,69.5,68.8,68.7,68.6,68.6,68.4,69.2,72.6,12
17 RELHUM %,ALPINE,39,40,41,40,42,43,40,35,28,30,30,29,32,32,31,28,29,28,31,33,37,39,37,36,35,43,05
,EL CAJON LES,77,75,78,81,82,83,71,60,50,39,34,39,44,45,39,38,42,38,39,52,58,62,67,71,57,83,05
,KEARNY MESA,92,97,99,100,100,100,94,78,62,52,55,51,48,49,52,51,54,58,67,79,83,88,93,95,75,100,03
18 PRES mmHg,EL CAJON LES,748,748,747,748,748,748,748,748,748,748,748,748,748,748,747,747,747,747,747,747,747,747,747,747,748,748,00
,KEARNY MESA,750,749,749,749,749,750,750,750,750,750,750,750,750,749,749,749,749,748,748,748,748,748,748,748,749,750,00
19 SOLAR W/M2,EL CAJON LES,-1,-1,-1,-1,0,51,235,440,622,760,812,607,894,881,766,589,400,202,32,-5,-3,-2,-2,-2,303,894,12
,KEARNY MESA,1,1,1,1,2,64,299,516,711,790,831,983,1003,961,840,675,477,249,60,1,1,1,1,1,353,1003,12
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,3,13,24,35,43,47,38,51,50,42,31,20,10,2,0,0,0,0,0,17,51,12
25 NOY,EL CAJON LES,7.67,7.94,8.02,7.58,7.78,C,C,M,M,15.04,8.09,9.02,7.46,6.46,6.66,6.42,6.35,5.79,5.69,9.30,9.74,11.22,12.49,11.70,8.52,15.04,09
26 NOY-NO,EL CAJON LES,7.45,7.70,7.74,7.27,7.47,C,C,M,M,10.79,6.30,7.41,5.81,4.90,5.13,4.92,4.68,4.41,4.78,8.36,9.29,10.81,12.11,11.38,7.43,12.11,22
27 NO Trace,EL CAJON LES,.21,.24,.27,.30,.31,C,C,M,M,4.25,1.79,1.60,1.64,1.55,1.52,1.50,1.67,1.37,.90,.93,.44,.40,.37,.32,1.07,4.25,09
28 SO2 Tr PPB,EL CAJON LES,M,C,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
29 CO Tr PPB,EL CAJON LES,265.1,260.4,C,C,C,309.8,M,405.1,M,419.9,321.1,370.0,284.5,254.8,268.8,267.4,282.1,259.1,248.3,311.0,320.7,356.1,374.4,377.0,313.4,419.9,09
BCarbon ug/m3,10TH AVE MARINE TERM,.29,.24,.38,.44,.37,1.83,.80,.92,.51,.77,.54,.83,.35,<,.43,<,.41,.47,.31,.63,.77,<,.40,.28,.57,1.83,05
,BOSTON AVE,.61,.30,.32,.37,.54,.64,.63,.91,.89,.56,.53,.52,.34,.35,.32,.43,.31,.46,.71,.84,.68,1.03,.81,.56,.57,1.03,21
,CHICANO PARK,.54,.31,.23,.33,.43,.58,.46,.89,.85,<,.64,<,.50,<,.33,<,<,.47,<,1.24,.77,<,.83,.48,.58,1.24,19
,DOWNTOWN SES,.34,.25,.22,.25,.30,.28,.36,.66,.74,<,<,.54,<,.37,<,<,.32,.34,.41,.58,.51,.72,<,.50,.43,.74,08
,OCEANVIEW BLVD,.37,<,.25,<,.49,.49,<,.73,<,.56,.61,.58,<,<,<,.48,<,.38,.28,.45,<,.78,.64,<,.51,.78,21
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,17.4,15.9,13.5,10.6,10.7,14.1,18.2,25.5,29.1,M,M,M,40.4,37.8,36.6,29.4,23.9,21.1,19.7,22.3,21.6,22.1,20.6,22.5,22.5,40.4,12
,CARMEL MT RCH,16.5,17.6,14.7,19.1,17.6,16.9,19.8,27.3,25.8,25.7,33.8,34.6,29.5,24.9,24.4,20.3,19.2,21.5,20.2,19.3,20.1,18.1,19.8,16.6,21.8,34.6,11
,CHULA VISTA,23.3,22.1,21.7,22.7,21.8,24.0,29.3,33.8,34.1,32.9,33.9,25.8,21.8,18.8,19.0,19.5,20.1,23.1,23.0,22.9,26.3,26.5,25.3,20.9,24.6,34.1,08
,DOWNTOWN SES,19.6,16.6,17.1,17.5,19.1,19.7,25.8,27.8,33.3,35.2,33.3,30.3,28.8,27.1,26.8,19.2,,,,,,,,,24.8,35.2,09
,EL CAJON LES,23.2,21.8,24.2,22.8,22.7,24.7,30.2,30.8,31.2,34.2,30.8,34.6,38.0,32.5,25.6,29.6,25.0,22.6,20.4,22.7,24.7,25.4,25.4,24.6,26.9,38.0,12
,KEARNY MESA,48.2,61.8,25.5,17.0,13.0,20.4,41.6,37.3,38.8,42.7,46.8,50.3,41.2,29.6,41.9,30.8,21.6,20.9,19.7,22.2,20.4,20.6,18.1,17.6,31.1,61.8,01
,OTAY MESA DVN,158.9,34.4,45.9,53.5,70.4,173.4,95.8,152.9,75.6,61.3,M,M,M,M,41.5,36.2,30.8,27.7,31.6,28.8,29.7,134.8,197.1,35.4,75.7,197.1,22
,PENDLETON,18.3,20.1,20.2,21.7,21.0,19.6,26.9,24.4,25.7,26.2,23.7,25.5,27.7,56.6,31.9,16.3,15.8,15.3,13.9,15.7,19.8,21.9,19.5,20.2,22.8,56.6,13
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
