,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.9,7.1,6.5,6.1,7.5,7.5,8.3,,M,5.5,5.3,6.2,9.9,10.1,6.7,3.9,7.4,7.6,7.0,4.1,3.5,8.7,7.5,7.0,6.7,10.1,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.5,11.9,11.7,9.6,12.1,8.2,8.3,10.6,9.4,9.1,8.8,7.0,8.4,10.8,8.4,6.8,4.9,6.0,7.3,5.1,3.5,6.5,3.9,1.7,7.8,12.1,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.5,6.6,8.3,7.0,8.9,9.4,12.0,18.5,16.8,9.7,10.4,9.2,37.4,11.2,9.4,10.8,9.4,7.9,5.5,2.2,1.1,3.7,4.6,4.1,9.6,37.4,12
,PENDLETON,5.1,3.8,2.0,1.2,2.2,1.6,4.5,3.0,-.2,2.6,3.4,4.2,2.6,4.1,3.7,1.6,2.3,1.8,-.8,-1.5,-.8,-.8,1.1,.8,1.9,5.1,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,333,349,202,338,333,357,260,247,264,292,274,254,271,263,268,260,271,254,268,257,219,257,220,242,273,357,05
,CHULA VISTA,241,262,262,253,239,243,217,242,252,251,249,253,259,267,258,252,270,259,256,249,253,238,232,226,249,270,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,226,214,212,198,217,211,200,209,239,232,256,216,223,230,232,239,237,237,229,232,218,216,223,236,224,256,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,269,259,282,276,278,277,243,225,231,237,237,221,237,235,230,231,251,257,261,228,218,249,222,236,245,282,02
,OTAY MESA DVN,309,286,271,277,276,285,267,295,286,299,262,262,262,266,278,303,288,291,284,286,291,280,290,262,282,309,00
,PENDLETON,189,192,190,212,280,207,203,221,214,210,212,233,244,242,236,234,225,228,228,231,221,224,184,202,219,280,04
13 SIGTHETA °,ALPINE,41,62,68,43,49,57,70,44,41,30,35,36,36,28,33,34,26,24,24,23,35,33,20,20,38,70,06
,CHULA VISTA,43,24,19,17,17,20,23,23,25,25,23,24,25,23,25,24,24,24,19,19,19,17,18,31,23,43,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,51,47,30,18,21,20,28,25,28,30,38,34,28,M,25,27,24,20,20,19,16,17,16,19,26,51,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,9,9,8,11,11,20,17,19,25,24,25,22,22,26,20,16,15,13,15,17,16,19,12,17,26,14
,OTAY MESA DVN,16,12,9,11,12,13,13,41,18,22,35,46,27,24,19,17,15,13,11,12,16,14,14,14,19,46,11
,PENDLETON,18,17,22,32,21,25,21,19,18,23,20,19,16,17,17,18,19,17,20,20,18,22,20,18,20,32,03
14 VWSP MPH,ALPINE,1.0,.2,.1,.6,.7,1.1,.9,2.0,3.1,4.6,4.2,4.2,5.0,5.9,5.3,4.9,5.3,4.6,3.4,3.1,1.7,2.1,3.4,2.7,2.9,5.9,13
,CHULA VISTA,1.2,2.3,2.7,3.1,2.8,2.6,3.1,3.0,4.2,4.6,5.5,6.2,6.7,7.4,6.0,5.4,5.1,4.3,3.7,4.0,3.8,4.0,3.2,1.6,4.0,7.4,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,.9,1.6,2.7,2.6,2.7,2.8,2.8,3.1,3.2,3.2,4.5,6.3,6.7,6.1,6.0,5.7,5.5,4.7,4.5,4.7,3.9,5.0,3.9,3.9,6.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,4.2,4.5,4.2,3.5,3.4,3.9,4.7,5.1,4.9,5.4,6.8,8.8,8.9,7.2,7.9,7.2,6.6,5.1,4.7,4.9,5.0,4.7,5.0,5.4,8.9,13
,OTAY MESA DVN,3.9,5.1,4.5,4.4,4.1,3.2,3.2,1.1,4.7,5.9,6.1,5.7,8.1,8.6,8.9,8.6,8.9,7.2,6.2,5.3,3.3,3.8,4.3,3.8,5.4,8.9,14
,PENDLETON,3.1,3.6,2.2,1.4,.9,1.9,2.6,3.2,3.5,3.9,4.6,5.0,6.2,6.4,7.6,6.6,5.0,5.1,3.4,3.7,4.8,2.3,3.9,1.6,3.9,7.6,14
15 SWSP MPH,ALPINE,1.4,.9,1.0,1.5,1.3,1.7,1.8,2.7,3.9,5.2,5.1,5.1,6.0,6.6,6.2,5.8,5.9,5.1,3.7,3.4,2.3,2.5,3.6,2.9,3.6,6.6,13
,CHULA VISTA,1.6,2.6,2.9,3.3,2.9,2.8,3.4,3.3,4.5,5.1,6.0,6.8,7.4,8.0,6.5,5.9,5.5,4.7,3.9,4.2,4.0,4.2,3.5,1.8,4.4,8.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,1.4,2.0,2.9,2.7,2.9,3.1,3.1,3.6,3.6,3.9,5.3,7.1,7.5,6.8,6.8,6.3,6.1,5.0,4.7,5.0,4.1,5.2,4.1,4.4,7.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.6,4.3,4.5,4.3,3.5,3.5,4.2,4.9,5.8,5.4,5.9,7.4,9.5,9.5,7.9,8.4,7.6,6.8,5.3,5.0,5.3,5.2,5.2,5.1,5.8,9.5,12
,OTAY MESA DVN,4.0,5.3,4.5,4.5,4.2,3.3,3.3,2.1,4.9,6.4,7.0,7.5,9.0,9.3,9.5,9.0,9.2,7.5,6.4,5.4,3.5,3.9,4.5,4.0,5.8,9.5,14
,PENDLETON,3.3,3.9,2.4,1.6,1.1,2.1,2.8,3.4,3.7,4.2,4.9,5.3,6.4,6.7,7.9,6.9,5.3,5.3,3.6,4.0,5.0,2.8,4.2,1.8,4.1,7.9,14
16 AMBTEMP °F,ALPINE,56.8,57.0,56.8,56.6,56.2,56.4,58.3,61.3,65.7,67.3,68.9,71.6,74.5,74.3,73.8,72.6,69.6,66.5,62.0,59.8,59.3,59.1,58.9,57.8,63.4,74.5,12
,CARMEL MT RCH,61.3,61.0,60.5,60.2,60.3,60.6,61.5,63.2,63.2,65.1,67.4,71.4,72.4,72.8,72.3,70.3,68.4,65.9,64.3,63.3,63.1,62.4,61.7,61.5,64.8,72.8,13
,CHULA VISTA,62.8,62.8,62.7,62.6,62.4,62.4,62.3,62.8,64.2,65.3,66.3,67.3,68.7,69.1,68.1,66.5,65.7,64.8,64.5,63.9,63.5,63.5,62.9,62.6,64.5,69.1,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,63.4,63.3,63.4,63.1,62.9,62.7,62.9,63.2,63.7,64.9,67.9,71.4,72.2,72.4,72.3,72.5,70.4,68.2,65.8,64.9,64.4,64.0,63.2,63.0,66.1,72.5,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62.9,62.4,62.1,62.0,62.1,62.1,62.6,63.0,63.5,64.7,66.2,67.5,68.9,69.0,69.2,68.8,66.7,65.7,64.9,64.3,64.0,63.6,63.2,61.4,64.6,69.2,14
,OTAY MESA DVN,62.6,62.3,61.9,61.9,61.7,61.7,62.4,63.8,66.1,68.8,73.8,75.6,75.8,74.8,73.5,70.2,68.3,66.1,64.6,63.9,63.7,63.5,63.1,62.9,66.4,75.8,12
,PENDLETON,63.8,63.5,63.1,62.6,62.6,62.8,62.9,63.4,64.0,65.0,66.4,68.2,69.1,70.0,68.9,67.7,66.6,65.7,65.2,65.0,64.8,64.3,63.3,61.8,65.0,70.0,13
17 RELHUM %,ALPINE,96,97,97,97,97,97,91,80,69,68,64,58,49,49,51,54,60,67,78,85,87,88,88,91,77,97,01
,EL CAJON LES,80,80,80,81,81,82,81,81,79,75,66,57,56,56,57,57,62,67,72,74,76,77,80,79,72,82,05
,KEARNY MESA,84,85,86,87,87,87,85,83,80,75,71,68,65,65,64,66,72,74,77,78,78,79,82,91,78,91,23
18 PRES mmHg,KEARNY MESA,746,746,746,746,746,746,746,746,747,747,747,746,746,746,746,745,745,745,745,745,745,745,745,745,746,747,08
19 SOLAR W/M2,KEARNY MESA,1,0,0,0,1,14,46,103,162,303,413,662,901,796,712,577,168,77,17,1,0,0,0,0,206,901,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.1,.1,M,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,182.6,181.3,C,C,C,190.0,200.2,213.3,199.5,175.1,177.6,164.6,151.9,M,145.0,165.3,155.9,158.8,169.2,168.9,148.4,149.8,132.9,127.8,167.9,213.3,07
