Current Date:,4/12/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,19,14,46,44,15,30,25,25,32,M,21,14,23,27,32,15,12,15,13,13,55,14,31,18,24,55,20
,OTAY MESA DVN,13,17,18,21,41,27,21,20,26,28,50,18,18,22,35,30,11,11,12,13,26,21,21,27,23,50,10
,PENDLETON,14,25,18,12,14,17,14,27,17,14,15,12,15,20,18,14,16,10,17,19,19,18,14,17,17,27,07
14 VWSP MPH,ALPINE,.6,.6,2.3,2.4,5.8,3.9,.8,.5,2.1,2.6,4.9,6.9,7.3,4.9,4.1,4.9,6.1,5.3,2.9,2.7,2.4,2.9,2.8,3.2,3.5,7.3,12
,CHULA VISTA,.7,1.9,.5,.7,.2,1.2,1.0,1.4,2.1,3.5,4.6,10.3,7.7,5.1,2.6,6.2,9.0,5.3,4.6,4.8,1.6,4.5,2.5,2.2,3.5,10.3,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.0,1.8,1.2,2.2,1.4,.9,1.3,1.0,1.0,2.3,4.5,8.6,7.2,6.1,4.6,5.4,11.4,5.3,4.3,5.5,2.7,3.9,2.6,3.6,3.7,11.4,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.7,2.4,1.7,.8,.7,2.4,1.7,3.5,3.7,M,5.9,13.5,7.8,6.9,4.3,9.4,12.1,7.1,7.1,5.9,1.1,4.8,2.4,3.6,4.9,13.5,11
,OTAY MESA DVN,3.4,4.3,5.6,3.0,.7,3.9,4.3,3.1,2.6,4.6,3.8,12.8,8.8,6.7,3.6,5.5,12.7,8.3,6.8,5.9,3.2,2.0,3.7,.5,5.0,12.8,11
,PENDLETON,4.4,3.2,2.9,3.8,3.3,3.2,4.3,3.4,5.1,7.3,9.2,9.6,7.0,5.9,6.7,8.0,6.9,7.7,6.9,3.4,2.6,3.4,4.0,6.4,5.4,9.6,11
15 SWSP MPH,ALPINE,1.7,1.0,2.4,2.6,5.9,4.0,1.8,1.7,2.8,3.3,5.6,7.8,8.4,5.7,5.0,5.8,6.8,5.8,3.4,3.0,3.1,3.3,3.2,3.7,4.1,8.4,12
,CHULA VISTA,.9,2.0,1.8,1.4,.8,1.6,1.6,2.0,3.0,4.3,5.1,10.8,8.4,5.8,3.5,6.7,9.5,5.6,5.0,5.2,2.1,4.8,2.7,2.4,4.0,10.8,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,2.6,1.6,2.7,1.7,1.3,1.9,1.5,1.7,3.0,5.1,9.3,7.9,6.9,5.4,5.9,11.9,5.7,4.6,5.8,3.9,4.2,3.5,3.8,4.3,11.9,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.3,3.0,2.1,1.6,2.8,2.8,2.4,3.9,4.3,M,7.8,14.0,8.5,7.6,4.9,10.7,12.5,7.4,7.3,6.1,2.3,5.0,3.0,5.0,5.6,14.0,11
,OTAY MESA DVN,3.7,4.9,5.8,3.1,1.9,4.4,4.6,3.4,2.9,5.1,5.4,14.2,9.2,7.2,4.3,6.3,12.9,8.5,7.0,6.0,3.6,2.7,3.9,.7,5.5,14.2,11
,PENDLETON,4.6,3.6,3.1,4.0,3.5,3.5,4.4,3.9,5.4,7.6,9.6,9.8,7.3,6.3,7.0,8.3,7.2,7.8,7.4,3.9,2.8,3.7,4.1,7.2,5.7,9.8,11
16 AMBTEMP °F,ALPINE,64.6,65.0,64.2,63.3,64.1,66.0,63.7,67.5,69.3,73.8,76.8,77.1,74.4,73.0,73.6,75.4,73.4,65.5,59.5,56.5,55.6,55.3,54.1,53.6,66.1,77.1,11
,CARMEL MT RCH,60.0,59.1,58.5,59.6,60.3,58.8,59.1,64.5,69.1,72.4,76.9,74.4,73.6,74.9,77.3,76.1,67.0,64.5,60.2,59.4,59.5,58.8,57.1,56.4,64.9,77.3,14
,CHULA VISTA,58.8,57.5,56.9,55.7,54.7,55.3,59.7,63.5,69.4,71.0,74.2,69.9,69.6,70.5,73.4,72.8,66.4,63.5,62.2,61.5,61.2,60.3,59.4,58.1,63.6,74.2,10
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,61.0,59.6,58.9,58.7,56.7,56.1,58.7,64.1,70.0,74.6,77.3,78.5,75.4,76.8,77.9,78.6,73.2,66.7,63.9,62.1,61.4,60.9,59.6,58.0,66.2,78.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,59.1,58.1,58.8,59.6,57.1,57.4,59.0,63.2,66.0,M,76.2,71.3,71.9,72.5,75.0,74.3,66.7,64.1,61.5,60.6,60.5,59.7,58.9,58.5,63.9,76.2,10
,OTAY MESA DVN,60.5,60.7,60.6,60.4,59.3,57.1,56.7,62.3,67.4,72.3,77.2,75.4,69.3,71.5,73.9,77.1,68.0,62.6,60.1,59.4,58.7,58.7,57.2,56.1,64.3,77.2,10
,PENDLETON,57.9,55.8,55.0,55.7,56.4,55.6,57.1,62.0,69.0,70.2,71.2,70.0,70.1,69.7,68.8,67.3,65.5,62.3,60.5,60.7,60.1,60.5,60.3,60.1,62.6,71.2,10
17 RELHUM %,ALPINE,39,38,35,37,33,27,34,35,36,28,23,27,32,39,38,26,32,55,74,87,93,92,94,92,48,94,22
,EL CAJON LES,74,76,73,66,74,75,69,61,49,44,38,31,43,41,37,32,45,61,70,76,75,77,79,83,60,83,23
,KEARNY MESA,64,70,66,64,69,85,76,81,73,M,43,61,58,50,42,46,67,76,83,84,83,83,83,85,69,85,05
18 PRES mmHg,KEARNY MESA,748,748,747,747,747,747,748,748,748,M,748,748,748,748,747,747,747,748,748,748,748,749,749,749,748,749,21
19 SOLAR W/M2,KEARNY MESA,-3,-3,-3,-2,-3,8,172,398,608,778,904,961,953,883,748,562,336,114,1,-2,-2,-2,-3,-3,308,961,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.3,.5,.3,.2,.2,.2,.1,.2,.1,.1,.1,.0,.0,.0,.0,.0,.0,.1,.5,08
29 CO Tr PPB,EL CAJON LES,321.8,370.7,C,C,C,410.6,498.3,394.1,418.5,381.9,280.8,194.8,195.6,215.2,205.2,206.7,217.8,189.0,222.4,211.8,170.7,163.2,192.1,159.9,267.6,498.3,06
