Current Date:,4/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
4/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,2.4,2.2,1.8,2.5,3.8,.7,.6,1.1,2.7,1.9,5.1,7.8,10.0,16.1,14.7,14.2,11.9,8.6,7.3,5.3,3.5,.9,3.6,3.5,5.5,16.1,13
,PENDLETON,6.4,6.7,3.2,4.7,3.1,2.4,5.2,2.9,1.7,2.7,4.0,5.3,5.0,8.9,9.2,14.0,9.3,9.3,6.5,5.6,3.8,3.2,2.1,2.9,5.3,14.0,15
15 SWSP MPH,ALPINE,2.6,2.5,1.9,1.7,3.3,1.9,2.5,2.6,4.5,4.0,5.3,4.9,5.7,5.4,8.0,8.8,7.4,5.2,2.4,2.2,2.1,1.6,1.1,1.7,3.7,8.8,15
,CHULA VISTA,1.9,2.1,3.0,1.4,2.3,1.6,1.8,2.1,1.6,3.3,6.2,6.6,8.3,9.1,10.0,9.9,8.0,5.6,4.3,2.3,1.3,1.3,1.3,1.2,4.0,10.0,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.8,.5,.8,.6,1.3,.6,.2,.0,2.0,1.3,3.2,3.4,4.6,7.2,9.9,9.6,10.3,6.3,3.2,2.0,.1,1.1,1.7,1.7,3.0,10.3,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,4.9,3.1,3.5,4.9,4.9,4.9,3.0,2.9,4.9,5.2,8.0,10.8,11.8,14.4,13.9,10.9,9.5,3.1,3.2,3.3,4.1,2.6,2.6,6.0,14.4,14
,OTAY MESA DVN,3.2,3.5,2.5,2.7,4.7,1.4,1.3,1.9,3.5,3.9,6.5,8.8,11.1,16.4,15.0,14.5,12.1,8.9,7.4,5.5,3.6,2.1,3.7,3.9,6.2,16.4,13
,PENDLETON,6.6,6.8,3.7,4.8,3.3,2.6,5.4,3.7,2.0,2.8,4.2,5.6,5.3,9.2,9.5,14.2,9.5,9.4,6.6,5.7,4.0,3.3,2.6,3.1,5.6,14.2,15
16 AMBTEMP °F,ALPINE,63.0,62.6,62.9,64.5,63.2,63.1,66.3,70.1,71.6,73.6,75.9,78.3,80.3,81.5,81.2,79.3,76.7,72.8,68.2,65.9,65.0,63.2,63.0,63.6,69.8,81.5,13
,CARMEL MT RCH,59.2,59.6,59.7,60.1,60.6,59.9,62.4,68.0,76.4,79.9,83.6,84.0,83.7,83.7,82.2,81.0,77.5,74.5,71.0,67.8,66.5,64.4,62.0,59.8,70.3,84.0,11
,CHULA VISTA,55.3,55.4,54.0,53.5,52.5,52.8,60.1,71.1,79.8,83.7,84.3,86.1,87.7,86.6,84.5,81.1,79.6,77.0,73.1,69.9,65.1,62.5,59.7,57.5,69.7,87.7,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,53.8,52.4,50.9,49.5,48.5,47.9,52.8,61.0,70.3,78.3,83.2,85.2,87.4,88.1,88.1,85.1,81.8,78.0,74.1,71.1,66.4,63.4,60.8,58.6,68.2,88.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.8,57.7,58.6,57.1,57.6,57.3,62.6,71.8,77.2,79.7,82.9,84.5,85.0,84.8,82.2,78.1,76.5,74.7,71.7,70.4,66.3,63.6,60.2,60.5,70.0,85.0,12
,OTAY MESA DVN,59.5,58.1,59.9,60.7,62.8,61.4,62.7,72.4,77.4,81.3,84.0,84.7,86.2,85.7,83.5,81.7,79.4,76.3,72.2,69.7,68.1,68.3,65.9,62.7,71.9,86.2,12
,PENDLETON,54.9,54.2,50.6,50.4,51.9,51.3,56.4,65.5,72.8,75.1,71.8,72.0,73.9,71.8,72.0,73.0,73.5,70.2,66.2,64.6,63.7,61.9,58.4,56.5,63.9,75.1,09
17 RELHUM %,ALPINE,14,13,12,11,12,12,12,11,11,11,10,9,8,8,10,10,10,11,12,13,13,15,14,14,12,15,21
,EL CAJON LES,40,42,45,47,53,55,47,31,20,11,8,6,6,7,7,7,8,9,11,13,19,21,23,26,23,55,05
,KEARNY MESA,32,33,30,30,27,28,23,15,11,10,7,8,8,8,12,12,15,14,15,15,16,19,24,24,18,33,01
18 PRES mmHg,KEARNY MESA,753,753,753,753,753,754,754,754,754,754,753,753,752,752,751,751,751,751,751,751,751,751,751,751,752,754,05
19 SOLAR W/M2,KEARNY MESA,-3,-2,-2,-2,-2,25,204,438,650,820,945,1001,987,909,776,592,368,134,3,-2,-3,-2,-3,-2,326,1001,11
28 SO2 Tr PPB,EL CAJON LES,.1,.0,C,C,C,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.0,.1,00
29 CO Tr PPB,EL CAJON LES,326.5,296.3,C,C,C,461.0,592.4,516.2,477.8,315.4,227.0,161.9,158.2,186.3,170.3,156.2,163.4,179.3,231.2,372.4,469.8,385.5,320.5,343.0,310.0,592.4,06
