,PENDLETON,,,,,,,,,,,,,,,P,25,25,24,24,24,24,24,24,24,24,25,15
,SAN YSIDRO,25,25,26,26,25,25,25,25,26,25,24,24,25,24,24,24,23,24,26,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,10.0,9.5,9.0,8.4,7.3,6.3,5.8,5.9,5.5,5.9,6.7,7.3,8.7,10.4,9.7,8.8,9.0,8.7,8.4,8.7,9.2,8.7,6.7,5.0,7.9,10.4,13
,CARMEL MT RCH,10.0,9.6,10.0,9.2,9.3,8.8,9.6,11.1,11.8,11.9,12.2,11.9,11.2,9.4,9.7,,,,,,,,,,10.3,12.2,10
,CHULA VISTA,9.9,9.6,9.4,9.4,10.6,10.3,11.6,12.8,12.7,10.6,11.7,11.5,10.6,10.6,8.9,6.8,6.8,5.8,5.4,4.9,4.7,4.6,4.8,5.2,8.7,12.8,07
,DOWNTOWN SES,9.2,9.9,10.2,9.9,10.6,10.6,10.4,10.7,10.3,10.7,11.8,10.8,10.6,10.0,9.0,6.9,6.7,5.7,5.2,5.4,5.2,4.7,4.7,5.0,8.5,11.8,10
,EL CAJON LES,8.0,8.2,8.5,8.4,8.6,9.3,11.1,11.1,11.0,10.2,9.7,10.1,10.4,9.3,9.1,8.1,7.3,6.8,6.0,5.5,5.5,5.4,5.7,5.6,8.2,11.1,06
,KEARNY MESA,8.8,8.8,9.1,8.8,8.7,9.1,10.7,11.1,11.8,12.2,12.1,12.5,11.5,10.7,10.3,8.9,7.9,6.7,5.8,4.9,5.1,5.3,5.7,6.3,8.8,12.5,11
,OTAY MESA DVN,11.7,13.1,12.1,11.9,14.3,29.5,27.8,20.4,16.8,14.6,12.8,12.1,12.0,11.3,10.5,9.2,8.7,8.3,7.0,7.2,7.1,7.3,7.0,7.7,12.5,29.5,05
,PENDLETON,,,,,,,,,,,,,,,P,6.4,4.5,3.7,4.0,4.2,4.4,5.1,5.3,6.5,4.9,6.5,23
,SAN YSIDRO,9.2,10.6,10.3,9.9,9.9,10.1,12.1,13.3,13.4,11.2,12.3,11.4,10.8,9.6,8.2,7.2,6.9,5.8,5.4,5.5,4.6,4.5,4.9,6.4,8.8,13.4,08
12 VWDR °,ALPINE,84,83,74,344,336,62,247,240,269,305,300,318,280,316,314,293,330,331,337,5,122,109,115,113,0,344,03
,CHULA VISTA,337,10,15,40,58,25,355,266,258,257,257,255,241,251,250,241,252,256,246,247,222,237,204,180,0,355,06
,DOWNTOWN SES,330,353,341,334,345,325,301,313,273,272,267,257,268,253,266,250,233,229,220,244,194,189,189,177,0,353,01
,EL CAJON LES,349,355,333,329,14,53,321,303,281,282,258,224,217,218,232,223,204,228,206,198,176,184,178,159,0,355,01
,KEARNY MESA,321,347,6,321,0,29,338,326,314,307,308,280,265,242,275,280,253,261,271,281,292,282,147,135,0,347,01
,OTAY MESA DVN,355,356,346,353,33,108,191,211,282,280,279,275,277,281,278,282,280,283,276,308,298,307,315,345,0,356,01
,PENDLETON,,,,,,,,,,,,,,,P,252,244,246,218,217,146,162,121,131,0,252,15
13 SIGTHETA °,ALPINE,60,25,41,41,36,28,69,23,28,27,34,27,32,26,25,27,23,26,24,37,25,44,21,38,33,69,06
,CHULA VISTA,31,18,23,21,26,23,32,52,36,23,25,24,23,24,21,25,22,22,20,19,23,17,26,17,25,52,07
,DOWNTOWN SES,23,34,24,26,26,29,24,54,27,24,16,24,27,29,26,24,21,19,17,28,47,17,19,16,26,54,07
,EL CAJON LES,18,16,12,19,20,37,45,39,62,43,45,30,24,22,25,23,14,26,16,14,13,18,13,15,25,62,08
,KEARNY MESA,14,15,17,46,22,32,20,41,27,18,24,20,19,19,16,19,18,16,12,7,5,8,28,13,20,46,03
,OTAY MESA DVN,14,12,12,11,29,35,25,67,20,14,19,18,17,12,13,12,12,11,12,13,15,18,23,14,19,67,07
,PENDLETON,,,,,,,,,,,,,,,P,16,10,11,19,26,34,13,21,12,18,34,20
14 VWSP MPH,ALPINE,2.2,3.9,3.6,4.1,2.2,1.7,1.7,5.0,6.1,6.7,7.0,8.1,8.1,8.6,8.7,8.7,8.6,6.9,6.1,3.0,4.2,2.7,4.9,2.0,.0,8.7,14
,CHULA VISTA,1.3,1.4,1.3,1.3,1.4,1.6,2.4,1.3,4.2,6.4,5.9,6.4,6.3,6.5,7.2,5.9,5.7,4.9,4.5,3.6,2.2,2.2,2.2,2.3,.0,7.2,14
,DOWNTOWN SES,2.3,1.8,3.1,1.7,1.7,2.1,4.1,2.0,5.0,7.1,8.6,6.7,5.7,5.1,6.4,5.8,6.2,5.9,4.9,2.5,3.0,3.4,2.9,3.3,.0,8.6,10
,EL CAJON LES,2.7,2.4,3.2,1.8,1.3,1.0,1.2,1.9,1.8,2.9,3.2,6.1,6.9,7.0,6.9,7.5,7.8,4.7,5.0,4.6,3.8,2.9,3.5,2.2,.0,7.8,16
,KEARNY MESA,3.7,2.6,4.1,2.2,2.5,2.5,3.9,3.5,4.7,7.7,6.8,7.3,7.6,7.8,8.8,7.2,6.1,6.6,5.6,5.1,3.8,2.7,.9,2.4,.0,8.8,14
,OTAY MESA DVN,2.9,2.3,1.6,2.8,1.2,.8,1.9,1.3,5.5,7.8,6.7,7.9,7.8,10.0,10.1,9.9,9.3,9.0,6.8,4.7,3.2,2.6,1.9,2.5,.0,10.1,14
,PENDLETON,,,,,,,,,,,,,,,P,5.4,6.7,6.7,4.5,3.6,2.5,3.3,2.1,2.2,.0,6.7,16
15 SWSP MPH,ALPINE,4.4,5.4,4.6,5.0,4.4,4.7,4.3,5.9,6.9,7.5,8.5,9.2,9.4,9.7,9.6,9.6,9.2,7.6,6.6,4.7,4.8,4.6,5.3,5.1,6.5,9.7,13
,CHULA VISTA,1.4,1.5,1.6,1.4,1.6,1.9,2.7,2.4,4.9,6.9,6.5,7.0,6.9,7.0,7.7,6.4,6.1,5.3,4.8,3.8,2.4,2.3,2.4,2.4,4.1,7.7,14
,DOWNTOWN SES,2.5,2.2,3.4,2.0,1.8,2.5,4.5,2.7,5.7,7.7,9.0,7.2,6.6,5.9,7.1,6.4,6.7,6.2,5.1,3.0,3.3,3.6,3.2,3.4,4.7,9.0,10
,EL CAJON LES,2.8,2.7,3.3,2.1,1.6,1.2,1.8,2.4,2.8,3.7,4.0,7.0,7.5,7.6,7.7,8.5,8.0,5.2,5.3,4.8,4.0,3.0,3.6,2.4,4.3,8.5,15
,KEARNY MESA,4.0,3.8,4.4,2.4,2.9,2.9,4.3,4.1,5.2,8.2,7.4,7.8,8.1,8.5,9.8,7.7,6.6,6.9,5.7,5.2,3.8,2.7,1.9,2.5,5.3,9.8,14
,OTAY MESA DVN,3.0,2.4,1.7,2.9,1.6,1.6,2.3,2.3,5.8,8.0,7.1,8.3,8.2,10.3,10.4,10.2,9.5,9.1,7.0,5.0,3.6,3.3,2.2,2.6,5.4,10.4,14
,PENDLETON,,,,,,,,,,,,,,,P,5.6,6.8,6.9,5.0,4.0,3.0,3.4,2.4,2.2,4.4,6.9,17
16 AMBTEMP °F,ALPINE,72.5,73.1,74.7,74.4,74.3,74.7,78.4,81.4,83.8,85.7,87.8,88.9,89.9,89.1,87.8,87.3,83.2,79.9,75.8,72.7,72.1,72.7,74.6,75.8,79.6,89.9,12
,CARMEL MT RCH,63.8,64.2,63.8,63.0,62.6,62.4,63.5,67.4,73.8,77.7,81.3,84.6,83.6,84.3,81.7,,,,,,,,,,71.8,84.6,11
,CHULA VISTA,65.7,65.3,64.7,64.7,64.4,64.8,67.7,70.7,73.5,74.3,75.0,75.5,75.7,74.6,74.0,73.8,72.3,70.5,68.1,66.4,66.3,65.8,65.9,64.8,69.4,75.7,12
,DOWNTOWN SES,66.3,66.6,66.2,65.6,65.3,65.6,66.4,69.4,72.1,73.4,73.8,74.2,74.9,75.9,75.3,73.8,73.1,70.9,68.7,66.6,65.8,65.0,64.8,64.9,69.4,75.9,13
,EL CAJON LES,66.0,65.2,64.3,63.3,63.3,63.9,67.5,71.9,77.8,83.6,87.9,89.6,88.6,87.8,87.9,85.1,81.5,80.1,75.3,70.8,67.9,66.4,65.1,64.1,74.4,89.6,11
,KEARNY MESA,65.4,65.5,65.3,64.4,64.5,64.5,66.3,69.2,74.4,77.9,78.5,80.8,81.1,81.6,79.6,77.8,77.4,74.3,70.6,65.9,64.4,64.1,63.2,62.6,70.8,81.6,13
,OTAY MESA DVN,63.4,63.4,63.3,62.8,62.9,63.9,67.7,71.6,75.4,77.9,79.5,79.8,80.3,78.1,77.5,75.1,73.9,71.5,68.0,65.1,63.4,62.3,62.2,61.7,69.6,80.3,12
,PENDLETON,,,,,,,,,,,,,,,P,69.7,69.3,68.4,67.3,66.6,66.4,65.7,65.5,65.0,67.1,69.7,15
,SAN YSIDRO,66.9,66.4,65.8,65.7,65.5,66.2,68.3,70.1,72.9,73.8,74.8,74.8,74.8,74.2,73.2,71.7,70.6,69.1,67.0,65.6,65.2,65.0,64.5,64.1,69.0,74.8,10
17 RELHUM %,ALPINE,47,41,36,35,33,30,28,27,25,26,25,27,28,31,32,31,39,43,53,61,61,54,40,32,37,61,19
,EL CAJON LES,89,92,93,96,96,93,83,74,62,47,39,41,43,43,42,47,53,55,65,76,84,87,90,93,70,96,03
,KEARNY MESA,95,94,94,96,96,97,91,82,69,62,61,55,53,53,57,59,60,68,77,89,93,94,93,93,78,97,05
18 PRES mmHg,EL CAJON LES,747,747,746,746,747,747,747,747,747,747,747,747,747,747,746,746,746,746,746,747,747,747,747,747,747,747,00
,KEARNY MESA,747,747,747,747,747,748,748,748,748,748,748,748,748,748,747,747,747,747,747,748,748,748,748,748,748,748,05
19 SOLAR W/M2,EL CAJON LES,-1,-1,0,0,3,93,338,501,697,862,976,1027,1020,948,822,647,445,230,49,-2,-3,-2,-2,-1,360,1027,11
,KEARNY MESA,-1,-1,-1,-1,2,43,265,510,707,865,978,1040,1034,966,849,687,488,264,72,0,-1,-1,-1,-1,365,1040,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,4,15,26,37,47,53,56,56,52,44,34,23,11,3,0,0,0,0,0,19,56,11
25 NOY,EL CAJON LES,3.50,3.04,3.19,4.40,C,C,6.15,6.27,6.68,4.66,4.13,5.21,5.14,5.86,6.18,5.20,4.61,5.39,5.70,5.54,5.79,5.70,5.37,4.56,5.10,6.68,08
26 NOY-NO,EL CAJON LES,3.49,3.05,3.21,4.41,C,C,4.67,4.83,5.46,4.16,3.89,4.88,4.74,5.25,5.46,4.61,4.10,4.88,5.41,5.41,5.72,5.49,5.29,4.53,4.67,5.72,20
27 NO Trace,EL CAJON LES,.01,-.01,-.01,-.01,C,C,1.48,1.44,1.21,.49,.24,.33,.39,.60,.71,.59,.51,.50,.29,.12,.07,.21,.08,.02,.42,1.48,06
28 SO2 Tr PPB,EL CAJON LES,.1,C,C,C,.0,.0,.1,.1,.1,.1,.1,.1,.1,.2,.2,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.2,13
29 CO Tr PPB,EL CAJON LES,174.5,C,C,C,176.5,196.7,226.8,225.0,255.5,234.9,221.4,250.2,241.3,233.1,238.2,225.9,201.3,213.4,205.6,206.1,196.9,195.7,191.6,184.0,214.0,255.5,08
BCarbon ug/m3,10TH AVE MARINE TERM,3.57,2.88,1.43,4.55,1.53,.52,.65,<,.39,.20,.32,<,.32,.33,<,.29,<,.20,.20,<,.22,.08,.09,.10,.94,4.55,03
,ALPINE,.18,.19,.16,.16,.16,<,.12,<,<,<,<,<,<,<,<,<,<,<,.20,.23,.33,.22,.12,.08,.18,.33,20
,BOSTON AVE,.24,.22,.21,.22,.27,.31,.25,.37,.46,.35,.31,.32,.30,.21,.23,.21,.14,.14,.15,.17,.15,.07,.09,.15,.23,.46,08
,CHICANO PARK,.21,.18,.17,.18,.27,<,.23,.34,.38,.30,.30,.22,.27,<,.25,.21,.23,<,.19,.30,<,.16,.14,<,.24,.38,08
,DOWNTOWN SES,<,.17,.17,.19,<,.21,.18,.18,.36,.41,<,.31,<,.26,.21,.23,.23,<,.19,.22,<,.28,<,.11,.23,.41,09
,OCEANVIEW BLVD,.21,.21,.26,<,.21,.29,.20,.21,.36,.33,.40,.32,<,.24,<,.24,.18,.14,<,.17,.17,<,<,.16,.24,.40,10
,OTAY MESA DVN,.27,.26,.26,.34,.69,2.17,1.99,1.22,.65,.37,.30,.25,.22,.21,.20,.17,.17,.15,.14,.10,.11,.12,.10,.13,.44,2.17,05
,SAN YSIDRO,<,.53,.33,.23,.23,<,<,.27,.36,<,.21,.19,<,.18,.16,<,.16,.11,.11,.11,.13,<,.20,.37,.23,.53,01
PM10 STD,ALPINE,25.4,23.4,23.5,20.8,20.5,15.9,14.9,16.7,14.6,17.8,17.4,19.6,22.1,25.2,22.8,21.5,19.7,18.7,21.9,20.3,22.2,22.0,17.4,13.1,19.8,25.4,00
,CARMEL MT RCH,23.4,21.2,22.3,18.2,18.1,17.0,19.0,20.5,23.1,24.8,25.0,23.0,22.0,21.8,22.5,,,,,,,,,,21.4,25.0,10
,CHULA VISTA,19.5,19.5,18.4,18.6,26.6,26.2,27.5,25.2,28.7,23.1,24.1,24.5,21.0,21.7,17.9,13.1,13.5,11.8,10.7,9.6,9.4,8.7,10.6,10.9,18.3,28.7,08
,DOWNTOWN SES,19.5,21.2,21.0,20.5,20.8,21.1,20.9,21.8,22.4,22.2,22.3,20.5,19.6,18.3,18.0,15.8,13.9,12.3,11.9,13.6,9.7,9.1,8.4,9.6,17.2,22.4,08
,EL CAJON LES,17.3,17.8,17.2,15.5,15.2,18.2,21.2,20.5,21.4,22.4,20.1,22.1,20.3,18.5,18.0,17.4,15.2,14.3,12.3,12.0,12.0,10.4,10.7,10.2,16.6,22.4,09
,KEARNY MESA,18.4,19.6,19.4,17.7,17.4,18.1,21.2,22.8,24.1,25.1,22.4,23.9,22.4,20.4,20.9,18.6,15.8,15.2,12.9,10.7,9.6,10.0,11.2,12.0,17.9,25.1,09
,OTAY MESA DVN,26.5,33.7,28.8,26.9,33.8,102.6,66.8,49.3,37.3,30.3,30.5,30.3,34.5,33.1,30.0,21.7,22.5,23.3,19.4,25.5,21.6,17.0,15.1,18.3,32.4,102.6,05
,PENDLETON,,,,,,,,,,,,,,,P,13.0,10.1,8.3,7.8,7.2,8.6,10.9,11.1,15.2,10.2,15.2,23
,SAN YSIDRO,20.4,19.8,20.8,19.6,20.8,21.4,23.6,24.2,27.5,22.8,25.7,22.4,20.1,18.5,16.3,13.9,14.4,12.3,12.0,12.2,10.2,10.2,10.8,14.1,18.0,27.5,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
