Current Date:,2/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,28,27,27,26,26,26,25,25,26,26,27,27,27,27,27,28,10
,PENDLETON,23,23,23,23,22,22,22,22,22,23,24,23,23,23,23,24,24,24,25,25,25,25,24,24,23,25,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.7,3.8,3.2,2.2,1.0,1.3,1.3,,2.5,8.5,7.7,M,M,M,M,M,M,M,M,M,M,M,M,M,3.5,8.5,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27.8,13.7,16.2,20.7,18.8,15.3,13.6,21.8,13.4,10.8,8.5,6.1,9.5,12.2,17.8,9.7,7.4,8.2,11.7,22.4,20.0,15.3,17.5,19.8,14.9,27.8,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,27.7,10.9,12.4,17.1,19.3,17.6,11.3,21.5,20.8,25.7,20.2,12.5,18.7,10.8,7.1,4.6,10.2,8.6,10.9,7.8,14.0,12.1,11.0,15.9,14.5,27.7,00
,PENDLETON,7.2,11.6,12.6,9.2,9.5,8.5,8.7,7.2,4.9,7.0,7.9,6.8,3.9,1.4,1.4,3.9,5.4,5.0,4.2,6.1,7.1,6.6,6.8,5.3,6.5,12.6,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,64,57,90,103,96,104,92,103,157,259,280,310,297,306,297,296,290,309,88,90,5,299,102,8,171,310,11
,CHULA VISTA,87,55,92,89,95,88,88,97,154,145,255,278,256,268,268,272,268,226,204,156,164,137,114,114,165,278,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,125,146,152,256,132,168,195,256,288,341,284,227,261,240,272,266,272,325,223,97,216,106,106,231,216,341,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,66,58,47,56,57,72,50,57,146,164,252,253,280,272,283,300,296,308,294,340,286,57,80,285,182,340,19
,OTAY MESA DVN,94,54,62,127,123,118,123,142,160,168,237,287,283,283,285,290,293,276,181,121,313,14,44,97,174,313,20
,PENDLETON,47,55,51,47,49,59,59,58,68,242,246,245,250,259,265,285,294,310,326,342,348,71,70,52,171,348,20
13 SIGTHETA °,ALPINE,41,16,17,17,16,52,18,16,23,27,31,27,42,29,29,31,23,22,46,25,26,60,22,34,29,60,21
,CHULA VISTA,15,53,62,29,43,12,21,18,18,31,36,22,33,22,22,20,20,19,19,14,19,12,11,10,24,62,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,51,31,47,54,22,27,40,52,39,37,46,35,51,44,33,22,17,20,29,39,40,22,22,47,36,54,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,7,10,11,44,17,8,12,30,20,32,34,53,25,18,11,10,9,9,27,58,28,10,41,22,58,20
,OTAY MESA DVN,56,36,41,11,14,13,25,47,25,32,41,18,15,15,13,12,16,9,52,33,37,20,14,9,25,56,00
,PENDLETON,9,12,17,15,18,14,9,11,17,40,12,16,13,14,13,18,20,15,12,11,12,11,14,10,15,40,09
14 VWSP MPH,ALPINE,1.3,1.3,1.6,1.6,1.0,1.3,.9,1.2,2.4,3.0,3.6,4.3,3.4,4.3,4.1,4.6,4.8,1.7,.5,1.2,.7,.2,1.1,1.9,2.2,4.8,16
,CHULA VISTA,4.1,.7,1.1,.7,.8,3.4,3.6,3.0,2.8,2.0,2.9,5.3,3.6,5.5,5.6,5.7,4.7,2.7,1.7,2.1,2.0,1.7,2.2,2.2,2.9,5.7,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.0,.4,.2,.1,1.0,.6,.4,.7,1.1,1.5,1.4,3.7,2.2,2.9,4.3,6.9,6.5,3.4,1.1,1.0,.4,1.9,1.3,.3,1.8,6.9,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.3,5.1,4.7,2.1,1.4,2.2,4.0,2.8,2.0,4.5,2.9,3.9,2.3,5.5,6.5,8.4,7.9,4.7,3.6,1.2,2.5,2.7,2.5,1.2,3.7,8.4,15
,OTAY MESA DVN,1.9,1.2,2.4,4.2,2.2,2.7,1.9,1.2,2.9,3.0,1.2,6.2,7.5,7.2,8.5,9.0,6.1,3.0,.2,2.0,1.5,3.1,2.8,3.0,3.5,9.0,15
,PENDLETON,5.0,5.2,3.9,3.6,3.2,4.3,5.0,5.2,5.1,1.8,3.8,3.1,4.5,4.5,4.6,4.4,4.6,4.0,1.5,1.5,3.5,1.6,2.9,4.3,3.8,5.2,01
15 SWSP MPH,ALPINE,1.6,1.6,1.7,1.7,1.1,1.6,.9,1.3,2.7,3.3,4.1,4.8,4.1,4.8,4.6,5.2,5.2,1.9,.6,1.3,1.4,.5,1.2,2.2,2.5,5.2,15
,CHULA VISTA,4.3,.9,1.4,.9,1.0,3.5,3.8,3.2,3.0,2.2,3.8,5.6,4.3,6.2,6.0,6.1,4.9,3.0,1.8,2.2,2.1,1.8,2.3,2.3,3.2,6.2,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,1.1,.3,.4,1.3,1.2,1.0,.8,1.5,1.8,2.7,4.4,3.5,4.1,5.4,7.4,6.8,3.6,1.7,1.1,.6,2.1,1.4,.9,2.4,7.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,5.1,4.8,2.2,2.0,2.4,4.1,3.1,2.2,4.8,4.0,4.5,3.3,6.0,7.0,8.6,8.0,4.8,3.7,1.3,3.3,3.2,2.5,1.6,4.0,8.6,15
,OTAY MESA DVN,2.6,2.0,3.6,4.3,2.3,2.8,2.1,1.8,3.1,3.4,3.0,6.6,7.8,7.5,8.7,9.2,6.4,3.1,1.9,2.2,2.1,3.4,2.9,3.1,4.0,9.2,15
,PENDLETON,5.1,5.3,4.0,3.7,3.4,4.4,5.0,5.4,5.3,2.2,3.9,3.2,4.6,4.6,4.7,4.7,4.9,4.1,1.5,1.6,4.0,1.8,2.9,4.4,3.9,5.4,07
16 AMBTEMP °F,ALPINE,45.1,48.2,47.8,45.9,47.3,48.2,47.9,50.4,55.2,58.6,61.3,63.0,64.7,66.3,66.4,65.7,62.4,57.0,53.5,52.1,52.3,50.8,49.1,49.3,54.5,66.4,14
,CARMEL MT RCH,46.6,45.6,44.2,44.3,44.6,45.6,44.6,48.7,53.4,58.4,61.7,62.9,64.8,66.7,67.4,66.0,64.0,60.0,57.6,55.3,53.0,51.3,49.5,48.7,54.4,67.4,14
,CHULA VISTA,47.7,45.7,44.4,43.7,44.0,44.7,46.4,50.2,57.3,62.3,66.2,64.0,66.9,67.0,65.9,64.4,63.1,59.5,55.2,52.8,51.4,50.7,50.2,49.1,54.7,67.0,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,44.9,43.9,42.4,41.9,41.5,40.5,40.1,43.5,50.2,57.6,63.0,65.6,68.2,69.6,71.1,70.0,67.8,64.0,59.7,56.1,53.9,52.0,49.8,48.5,54.4,71.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,46.8,48.1,47.8,46.9,46.2,44.8,46.8,51.1,56.9,59.2,61.5,63.2,64.8,66.2,66.3,64.8,62.6,59.1,56.2,53.9,52.4,50.1,49.1,49.5,54.8,66.3,14
,OTAY MESA DVN,48.6,48.6,46.4,46.2,46.0,45.8,46.1,47.7,53.0,57.8,62.1,63.6,63.4,64.7,64.2,62.9,61.7,58.4,55.7,54.2,54.2,52.6,51.4,50.3,54.4,64.7,13
,PENDLETON,47.9,46.9,46.2,45.9,45.8,45.5,45.6,47.7,53.8,57.9,58.4,59.9,60.6,60.6,60.7,60.4,59.5,57.7,56.3,54.9,53.6,52.9,51.0,50.3,53.3,60.7,14
17 RELHUM %,ALPINE,58,48,52,58,52,47,48,48,40,37,33,33,27,27,29,32,40,42,49,58,57,57,60,58,45,60,22
,EL CAJON LES,79,81,85,87,87,89,90,83,66,49,37,31,28,25,28,34,30,31,42,55,67,75,82,85,60,90,06
,KEARNY MESA,79,74,73,74,77,79,71,66,53,43,41,40,42,42,46,40,44,55,65,71,78,85,89,90,63,90,23
18 PRES mmHg,KEARNY MESA,749,749,748,748,748,749,749,749,750,750,750,749,748,748,748,748,748,748,748,748,749,749,749,749,749,750,08
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,0,17,181,389,572,697,756,753,690,572,409,209,32,1,0,0,0,0,1,220,756,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.2,.2,.2,.1,.1,.1,.1,.2,.1,.1,.2,.1,.1,.0,.0,.0,.0,.0,.2,07
29 CO Tr PPB,EL CAJON LES,549.0,428.2,C,C,C,518.0,764.8,920.6,754.4,559.4,400.4,333.6,319.2,305.8,348.3,301.0,277.0,351.0,447.0,492.2,511.5,485.8,529.2,494.9,480.5,920.6,07
