Current Date:,2/20/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,23,22,22,22,22,23,24,24,24,23,24,24,24,24,25,25,25,25,25,24,24,25,18
,OTAY MESA DVN,27,27,27,28,28,28,28,28,28,28,27,28,28,27,27,26,25,26,25,25,26,26,27,27,27,28,03
,PENDLETON,23,22,23,23,23,23,23,22,21,22,22,23,23,23,23,24,25,25,25,24,24,23,23,22,23,25,16
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,1.0,.8,-.9,-.8,-1.1,1.2,3.4,2.5,.1,-.9,.0,1.5,2.5,-.7,2.7,4.5,2.2,1.9,5.8,4.3,1.6,3.5,10.4,6.3,2.1,10.4,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.9,3.3,4.7,4.9,5.1,3.8,3.6,4.6,6.1,6.7,3.4,-.5,-.7,1.9,M,M,1.2,4.0,5.7,25.4,33.2,13.4,11.4,17.0,7.3,33.2,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,9.2,6.6,7.5,8.2,8.8,16.2,14.4,8.5,14.8,7.8,16.0,9.4,8.1,8.6,4.8,12.0,6.5,9.3,6.7,7.6,7.7,5.8,9.0,6.8,9.1,16.2,05
,PENDLETON,3.7,2.5,2.0,2.1,1.0,2.3,1.7,.0,1.5,1.1,-3.0,-5.1,-1.8,.5,-.3,-.7,.7,1.8,2.5,2.8,4.9,9.1,6.3,4.2,1.6,9.1,21
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,86,25,33,102,80,90,103,99,155,250,307,286,282,279,283,269,241,273,247,252,79,65,64,89,168,307,10
,CHULA VISTA,74,58,84,122,75,100,45,57,18,153,208,268,252,254,255,258,260,261,234,85,68,70,101,91,144,268,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,102,86,115,83,78,60,251,349,318,32,279,338,260,307,255,264,266,267,194,110,92,76,76,101,182,349,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,17,40,39,44,37,57,72,22,74,138,279,314,292,275,278,259,268,272,279,46,55,56,61,66,139,314,11
,OTAY MESA DVN,109,109,13,113,87,121,59,289,198,184,177,271,276,268,275,272,272,282,30,38,49,69,119,87,157,289,07
,PENDLETON,60,64,57,44,64,72,68,74,55,14,2,250,252,250,252,254,261,260,272,26,68,54,43,43,119,272,18
13 SIGTHETA °,ALPINE,16,42,32,43,12,15,18,21,32,40,42,29,28,26,29,35,29,27,38,29,28,19,26,29,29,43,03
,CHULA VISTA,25,20,45,50,19,20,23,22,45,52,52,34,34,23,20,20,22,21,30,19,26,35,29,16,29,52,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,14,43,62,25,25,52,68,62,62,69,48,47,38,34,32,23,18,17,20,30,23,45,35,31,38,69,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,7,45,15,22,7,14,30,36,35,58,64,61,28,18,15,13,7,7,19,7,6,6,6,23,64,11
,OTAY MESA DVN,13,63,65,15,44,26,56,34,35,33,32,32,35,22,19,16,10,9,46,11,8,21,31,60,31,65,02
,PENDLETON,11,12,12,19,13,12,13,12,17,21,27,10,11,12,11,10,13,13,22,12,11,13,9,12,14,27,10
14 VWSP MPH,ALPINE,2.0,.4,.6,.9,1.9,1.9,2.3,2.4,1.7,2.1,3.1,5.2,5.7,6.5,5.0,4.5,5.4,3.1,1.0,.4,.8,.6,.7,.2,2.4,6.5,13
,CHULA VISTA,1.6,2.7,.5,.8,1.9,3.7,1.5,1.9,1.3,1.7,1.4,4.1,3.8,5.8,6.6,6.9,5.5,3.5,.5,.7,1.0,2.0,3.2,4.7,2.8,6.9,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.4,1.3,.4,1.5,2.4,.1,.5,.5,.5,.3,1.8,3.8,3.9,5.1,5.7,6.9,6.7,4.1,1.5,1.8,1.1,1.5,1.9,1.4,2.4,6.9,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.7,6.0,2.0,5.1,4.9,5.6,2.4,1.8,1.8,1.9,2.0,2.5,2.8,5.9,7.6,8.0,7.6,5.5,3.3,2.5,3.3,4.1,4.6,4.6,4.1,8.0,15
,OTAY MESA DVN,3.3,1.1,.8,2.4,1.7,2.0,1.0,.5,1.9,2.5,4.0,3.9,5.2,6.8,7.4,8.7,6.8,4.6,1.4,3.5,4.1,2.9,1.3,.2,3.3,8.7,15
,PENDLETON,5.6,6.6,6.7,4.9,7.3,7.4,6.7,6.9,4.6,4.9,2.8,8.2,7.3,7.2,7.8,8.3,5.9,4.8,3.0,3.1,3.8,4.8,4.8,6.0,5.8,8.3,15
15 SWSP MPH,ALPINE,2.1,.5,.7,1.1,2.0,2.0,2.4,2.6,2.4,2.9,3.9,5.9,6.5,7.2,5.8,5.2,6.0,3.5,1.1,.5,.9,.6,.7,.2,2.8,7.2,13
,CHULA VISTA,1.7,2.8,.8,1.0,2.1,3.9,1.8,2.0,1.6,2.5,2.8,4.7,4.5,6.2,7.0,7.4,5.9,3.8,.9,.8,1.2,2.2,3.5,4.9,3.2,7.4,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.6,1.5,1.1,1.6,2.5,1.1,1.5,1.1,1.2,1.3,3.0,5.0,5.2,6.3,6.5,7.7,7.0,4.5,1.7,2.3,1.2,1.8,2.1,1.6,3.0,7.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.9,6.2,2.3,5.2,5.2,5.6,2.6,2.2,2.5,2.3,3.1,4.2,4.5,6.6,7.9,8.4,7.8,5.6,3.3,3.2,3.4,4.1,4.7,4.7,4.5,8.4,15
,OTAY MESA DVN,3.5,1.9,1.2,2.6,2.3,2.5,2.6,2.0,2.3,3.3,4.9,4.4,6.3,7.2,7.8,9.1,7.0,4.6,2.3,3.5,4.1,3.6,1.8,.8,3.8,9.1,15
,PENDLETON,5.7,6.8,6.9,5.0,7.4,7.6,6.9,7.0,4.9,5.3,6.2,8.4,7.4,7.3,7.9,8.4,6.1,4.9,3.2,3.4,4.0,4.9,4.9,6.2,6.1,8.4,11
16 AMBTEMP °F,ALPINE,36.5,36.7,36.1,34.5,35.1,35.0,32.6,36.7,43.1,47.6,50.7,52.4,53.1,54.0,53.6,53.4,50.8,46.0,41.8,40.2,39.3,38.7,38.0,37.1,42.6,54.0,13
,CARMEL MT RCH,38.2,37.1,36.1,35.8,35.6,36.2,36.2,38.9,42.9,47.8,51.6,54.0,56.0,57.3,57.7,56.7,54.5,51.1,49.4,47.4,45.6,44.1,42.7,41.5,45.6,57.7,14
,CHULA VISTA,42.0,41.6,40.1,38.7,38.9,39.4,38.4,41.5,45.3,51.8,58.2,58.8,60.5,60.7,59.8,57.9,56.6,53.6,49.2,47.0,45.2,45.5,43.2,44.3,48.3,60.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,39.0,38.1,36.7,36.1,35.5,34.9,33.9,37.4,43.1,48.8,54.4,56.7,58.5,59.6,60.0,59.1,56.8,53.3,50.2,47.0,44.8,43.2,41.8,40.2,46.2,60.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,41.6,40.2,39.7,39.2,39.2,37.8,37.3,41.2,46.8,50.9,53.5,55.7,57.3,57.5,57.7,56.8,55.6,52.7,51.2,47.9,46.0,44.8,43.5,42.5,47.4,57.7,14
,OTAY MESA DVN,41.3,40.9,40.6,39.7,40.0,37.8,38.0,40.2,45.3,50.0,52.8,55.0,56.1,56.8,56.7,55.3,53.6,50.7,48.5,47.6,47.7,47.3,46.3,45.4,47.2,56.8,13
,PENDLETON,41.7,40.5,39.5,39.1,38.6,38.8,39.9,43.5,48.7,52.9,56.2,56.3,56.9,57.9,57.8,57.5,56.2,54.9,54.1,51.3,49.0,47.1,44.9,43.2,48.6,57.9,13
17 RELHUM %,ALPINE,67,63,66,71,68,65,67,55,41,30,25,25,24,21,23,22,27,38,58,63,66,68,70,71,50,71,03
,EL CAJON LES,85,86,89,89,87,86,90,84,67,52,33,25,25,20,22,21,25,35,49,61,66,68,69,74,59,90,06
,KEARNY MESA,84,86,87,86,84,86,86,79,64,53,41,31,28,23,25,31,37,45,51,62,68,70,72,73,61,87,02
18 PRES mmHg,KEARNY MESA,749,749,749,749,749,749,749,750,750,751,751,751,750,750,749,749,749,749,750,750,750,750,750,750,750,751,09
19 SOLAR W/M2,KEARNY MESA,1,1,0,1,1,1,20,177,384,554,692,758,755,698,574,401,196,25,1,0,0,0,0,0,218,758,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,.0,.0,.0,.0,.0,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,.1,.0,.0,.0,.0,.2,07
29 CO Tr PPB,EL CAJON LES,240.5,220.8,217.4,213.1,231.7,376.5,533.5,868.9,621.0,430.4,231.4,176.1,179.2,177.2,192.5,179.9,165.3,236.4,328.8,422.3,494.4,368.9,239.8,366.9,321.3,868.9,07
