Current Date:,12/26/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/25/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
15 SWSP MPH,ALPINE,2.1,1.3,1.9,1.8,1.9,1.7,1.8,1.5,2.6,2.8,3.3,3.4,3.8,4.1,4.4,3.7,1.6,2.7,2.1,1.2,1.6,1.7,1.2,1.8,2.3,4.4,14
,CHULA VISTA,2.2,1.4,2.6,2.4,1.8,1.2,3.1,2.0,3.9,2.5,1.7,2.3,3.9,7.8,7.5,5.7,2.0,1.0,2.7,1.4,1.1,1.6,2.0,2.4,2.8,7.8,13
,DOWNTOWN SES,1.0,1.6,3.0,1.8,.9,1.3,1.4,2.4,.7,1.6,1.9,3.3,4.8,6.6,6.5,4.8,2.5,2.0,1.6,1.6,2.2,1.3,1.2,1.8,2.4,6.6,13
,EL CAJON LES,1.1,1.3,1.0,1.4,1.1,.7,1.3,1.3,1.1,1.2,1.7,1.6,2.0,5.5,4.5,4.3,3.8,2.3,2.0,.8,.6,1.0,.9,.7,1.8,5.5,13
,KEARNY MESA,4.9,5.5,4.8,5.3,5.5,5.2,6.3,6.1,3.2,2.0,2.3,4.9,9.4,10.6,10.5,10.5,7.7,5.5,4.0,3.6,4.0,3.8,3.3,6.1,5.6,10.6,13
,OTAY MESA DVN,5.6,3.2,5.0,5.6,2.7,1.9,.9,1.5,1.0,3.1,5.7,5.2,4.8,6.4,7.5,6.1,5.1,2.3,5.6,2.0,1.2,3.0,1.6,3.5,3.8,7.5,14
,PENDLETON,5.6,3.2,3.4,6.8,6.9,6.3,10.8,5.6,7.0,6.3,3.8,7.3,5.8,8.3,8.6,6.6,3.0,1.3,1.3,1.7,2.8,5.8,5.3,4.8,5.3,10.8,06
16 AMBTEMP °F,ALPINE,66.9,67.5,67.0,65.7,65.3,65.8,65.8,65.3,67.9,72.2,74.3,77.2,79.0,80.1,80.5,77.1,72.8,68.7,68.3,68.3,68.0,69.4,69.4,68.7,70.5,80.5,14
,CARMEL MT RCH,56.1,58.1,57.9,55.8,56.8,57.1,59.2,63.1,68.6,74.7,79.0,79.4,79.5,80.4,79.1,75.8,73.5,69.4,65.9,64.3,64.3,60.8,61.3,60.9,66.7,80.4,13
,CHULA VISTA,55.4,54.2,52.6,52.9,51.2,51.8,56.2,58.1,67.8,74.4,78.7,81.3,82.8,80.3,78.4,77.4,73.5,68.4,65.4,63.0,61.2,60.7,59.0,58.9,65.2,82.8,12
,DOWNTOWN SES,55.7,54.8,55.4,54.3,53.0,53.4,53.6,57.8,63.5,70.8,75.2,78.7,79.2,79.4,78.9,77.7,74.6,70.4,66.8,64.1,63.0,61.2,59.3,59.6,65.0,79.4,13
,EL CAJON LES,48.8,47.3,46.2,44.9,44.4,43.5,42.9,45.2,52.8,62.7,73.1,78.1,84.4,84.6,82.7,81.3,76.0,67.6,62.7,60.0,57.5,54.8,52.7,51.0,60.2,84.6,13
,KEARNY MESA,60.2,58.8,56.6,57.6,57.7,58.6,57.5,62.7,69.6,76.6,80.7,82.8,80.8,78.8,76.9,75.3,71.0,67.3,66.8,65.4,66.7,63.1,62.8,61.1,67.3,82.8,11
,OTAY MESA DVN,63.5,65.8,63.9,64.3,66.1,65.1,63.4,64.9,68.9,72.4,78.9,82.5,82.9,83.1,79.7,77.6,72.6,68.1,68.3,67.8,66.6,65.4,64.7,64.2,70.0,83.1,13
,PENDLETON,53.4,55.3,54.1,54.3,57.2,56.6,61.7,61.4,64.3,70.3,66.0,66.8,68.0,68.0,68.6,68.5,68.7,65.5,63.3,62.3,59.6,60.3,58.8,57.5,62.1,70.3,09
17 RELHUM %,ALPINE,19,17,18,20,20,19,19,21,21,18,17,14,14,13,13,20,25,28,25,22,22,19,17,17,19,28,17
,EL CAJON LES,79,81,83,84,85,87,87,84,66,43,29,25,15,16,17,17,20,32,40,44,49,56,60,63,53,87,05
,KEARNY MESA,42,44,48,46,44,41,42,35,29,21,18,18,18,18,19,22,26,30,29,31,31,36,38,41,32,48,02
18 PRES mmHg,EL CAJON LES,754,754,754,754,754,754,754,754,754,754,754,753,752,752,752,752,752,752,752,752,753,752,752,753,753,754,00
,KEARNY MESA,755,754,755,755,755,755,755,755,755,755,755,754,754,753,753,753,754,754,753,753,754,753,753,754,754,755,00
19 SOLAR W/M2,EL CAJON LES,-6,-5,-5,-5,-5,-5,-3,22,81,341,416,459,519,437,338,172,18,-11,-8,-7,-6,-6,-6,-5,113,519,12
,KEARNY MESA,1,1,1,1,1,1,3,84,249,396,484,523,526,433,335,180,35,1,1,1,1,1,1,1,136,526,12
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,4,9,19,24,26,27,23,17,8,2,0,0,0,0,0,0,0,7,27,12
25 NOY,EL CAJON LES,50.29,45.95,40.38,36.01,C,C,42.02,50.12,40.08,20.63,16.64,15.35,7.56,5.93,5.46,5.05,6.76,14.75,20.06,23.54,32.91,33.59,33.58,39.78,26.65,50.29,00
26 NOY-NO,EL CAJON LES,27.77,24.70,23.29,22.15,C,C,16.81,17.96,21.03,14.59,12.60,12.17,6.34,5.18,4.61,4.57,6.56,14.56,19.10,22.07,28.61,26.51,24.66,27.05,17.40,28.61,20
27 NO Trace,EL CAJON LES,22.52,21.24,17.08,13.85,C,C,25.20,32.16,19.05,6.03,4.04,3.17,1.21,.74,.84,.48,.20,.18,.96,1.46,4.29,7.08,8.92,12.73,9.24,32.16,07
28 SO2 Tr PPB,EL CAJON LES,.4,C,C,C,.2,.2,.2,.2,.3,.2,.1,.1,.0,.0,.0,.0,.1,.2,.2,.2,.3,.2,.2,.2,.1,.4,00
29 CO Tr PPB,EL CAJON LES,1449.2,C,C,C,913.2,929.8,873.2,945.7,787.3,475.1,385.5,388.9,234.7,216.8,198.0,207.1,236.5,573.8,608.6,768.8,850.7,810.8,873.1,884.1,648.1,1449.2,00
BCarbon ug/m3,10TH AVE MARINE TERM,6.19,6.45,2.92,2.79,2.41,2.20,1.26,<,2.53,2.81,2.40,1.56,1.51,.84,.92,1.22,1.41,1.34,1.25,1.48,2.43,3.02,4.48,3.27,2.46,6.45,01
,BOSTON AVE,10.32,8.04,6.42,3.28,2.04,1.45,1.67,.99,1.05,1.47,1.58,.72,.70,.54,.64,.78,.77,1.31,2.92,4.15,4.29,5.78,4.41,4.74,2.92,10.32,00
,CHICANO PARK,9.19,9.38,3.47,2.75,2.16,1.66,1.22,.93,1.58,1.90,1.44,.63,.57,.33,.40,.46,.49,.72,1.55,3.51,3.71,5.49,3.98,3.47,2.54,9.38,01
,DOWNTOWN SES,4.27,3.41,1.76,2.34,1.59,1.02,.82,.57,1.02,<,<,<,.71,.31,.39,.47,.60,.55,1.58,1.56,2.90,3.15,3.57,1.82,1.64,4.27,00
,OCEANVIEW BLVD,9.76,6.69,5.15,3.59,1.78,1.43,1.93,.79,.90,.86,.96,.35,.42,.36,.37,.30,.45,.70,1.83,2.85,3.14,4.20,4.96,3.17,2.37,9.76,00
,SAN YSIDRO,5.57,5.05,3.39,3.39,6.72,18.88,30.55,24.10,15.95,6.56,1.13,.70,.39,.31,.17,.27,.58,.96,.96,2.48,3.60,5.99,11.68,9.02,6.60,30.55,06
PM10 STD,ALPINE,10.3,3.9,3.8,3.7,3.0,3.2,3.6,4.3,4.2,3.0,1.6,1.8,2.4,3.0,1.4,8.9,10.5,10.3,9.3,6.5,5.6,5.0,3.1,1.7,4.7,10.5,16
,DOWNTOWN SES,40.8,32.4,23.6,31.9,21.9,19.3,15.3,11.5,16.8,19.8,20.7,11.2,14.3,12.3,12.0,13.2,12.7,13.5,21.9,22.1,37.1,34.7,30.3,21.0,21.2,40.8,00
,EL CAJON LES,70.9,63.4,53.6,45.4,43.6,43.8,38.7,40.1,40.1,26.0,16.5,13.3,9.0,10.1,10.2,9.5,10.7,23.4,26.1,31.7,37.4,34.9,32.2,44.3,32.2,70.9,00
,OTAY MESA DVN,17.0,17.2,13.7,11.3,14.8,12.8,12.6,18.2,19.8,20.4,17.1,16.1,13.1,11.0,13.4,18.5,27.0,19.0,63.8,76.4,33.0,42.0,107.7,26.9,26.7,107.7,22
,PENDLETON,19.3,30.0,31.0,15.8,11.9,11.8,9.1,8.5,8.7,8.3,38.5,29.7,31.4,42.1,42.0,27.6,44.4,63.6,52.6,37.1,21.7,18.2,17.0,17.0,26.5,63.6,17
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
