,DOWNTOWN SES,11.7,13.1,10.6,12.8,10.3,10.2,10.2,9.4,9.8,10.7,9.3,8.7,9.4,9.0,6.5,5.7,4.6,15.8,27.9,17.4,26.0,26.5,19.7,21.4,13.1,27.9,18
,EL CAJON LES,18.1,22.0,16.1,10.0,9.8,14.2,12.0,10.0,14.9,16.3,13.6,8.3,4.4,1.7,-.5,5.5,5.9,8.6,18.7,23.1,25.8,31.2,27.4,28.3,14.3,31.2,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.0,11.3,8.3,4.8,7.9,8.1,15.4,6.1,7.8,8.0,3.3,.1,.7,1.5,1.3,6.4,7.0,4.1,2.4,.3,1.9,2.7,-.2,-.1,4.6,15.4,06
,PENDLETON,6.5,8.3,6.8,9.7,6.2,4.6,4.6,9.4,,,,,,,,M,11.7,22.4,20.0,15.4,10.2,8.4,7.2,6.5,9.8,22.4,17
12 VWDR °,ALPINE,53,135,143,49,330,322,301,277,272,201,101,97,98,65,80,90,90,282,234,236,282,322,316,22,0,330,04
,CHULA VISTA,57,110,71,68,61,60,59,55,39,8,359,301,259,250,248,268,262,138,109,87,89,48,59,62,0,359,10
,DOWNTOWN SES,35,28,37,51,23,25,323,341,356,350,269,289,288,280,236,267,253,114,81,37,18,346,10,16,0,356,08
,EL CAJON LES,290,173,64,245,226,308,137,238,26,325,287,291,291,339,273,242,214,119,109,106,224,104,125,127,0,339,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,49,57,64,57,56,56,48,45,74,50,12,103,210,329,260,280,317,332,6,50,59,140,96,48,0,332,17
,OTAY MESA DVN,116,127,53,46,14,99,105,48,344,339,56,103,119,122,100,310,317,312,105,18,86,120,93,238,0,344,08
,PENDLETON,42,60,61,54,58,58,57,56,P,,,,,,,P,285,164,105,27,39,55,20,49,0,285,16
13 SIGTHETA °,ALPINE,68,56,37,65,67,76,70,66,42,49,24,22,23,39,31,30,35,58,47,49,74,60,52,55,50,76,05
,CHULA VISTA,18,41,32,37,28,22,37,25,24,20,21,31,19,18,19,20,29,13,13,24,22,30,26,25,25,41,01
,DOWNTOWN SES,15,32,36,45,47,62,60,50,55,36,57,27,22,18,23,26,27,41,34,59,40,23,36,37,38,62,05
,EL CAJON LES,64,61,49,61,42,48,47,55,72,54,52,28,32,23,36,23,25,46,66,62,67,50,53,30,48,72,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,10,8,7,8,8,13,16,25,51,38,62,51,48,15,16,8,14,22,18,19,42,17,8,22,62,11
,OTAY MESA DVN,20,18,25,22,34,48,40,53,64,23,37,12,15,12,39,20,13,48,26,51,55,25,38,69,34,69,23
,PENDLETON,10,11,10,10,10,7,9,18,P,,,,,,,P,23,23,40,27,18,28,9,14,17,40,18
14 VWSP MPH,ALPINE,.7,1.2,2.3,.5,1.6,.8,1.7,2.7,4.0,1.9,7.6,8.4,7.1,5.4,6.0,5.4,4.6,1.8,2.0,1.8,1.0,1.9,2.0,2.2,.0,8.4,11
,CHULA VISTA,3.1,.7,1.0,.8,1.7,2.7,1.2,1.5,1.8,2.1,3.2,2.5,5.0,7.2,6.4,4.8,1.9,1.7,1.9,1.8,1.7,1.7,1.5,2.3,.0,7.2,13
,DOWNTOWN SES,3.4,1.8,1.9,1.2,1.2,1.0,.6,.9,.8,1.2,1.4,3.7,4.3,5.0,4.4,3.5,1.5,1.1,1.0,.6,1.4,2.0,1.9,2.4,.0,5.0,13
,EL CAJON LES,.1,.3,.7,.4,.4,.2,.2,.2,.2,.7,1.0,2.2,2.5,3.1,3.0,5.6,2.5,1.3,1.0,1.5,.3,1.4,.5,.4,.0,5.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.1,3.0,4.1,5.2,5.2,5.1,5.0,2.9,1.7,.9,2.1,.9,3.0,.5,7.3,4.8,4.8,2.7,1.7,2.0,2.9,1.3,2.3,4.1,.0,7.3,14
,OTAY MESA DVN,1.6,1.6,1.2,1.4,2.9,1.1,1.4,1.2,.7,3.6,4.4,15.2,12.7,13.2,10.3,6.8,4.9,.7,2.5,1.2,.6,3.1,2.5,1.2,.0,15.2,11
,PENDLETON,5.8,5.5,5.4,5.6,5.6,6.2,6.0,4.8,P,,,,,,,P,2.0,2.2,.7,3.0,3.2,3.4,5.3,4.6,.0,6.2,05
15 SWSP MPH,ALPINE,1.4,1.8,2.7,2.5,2.6,2.8,4.3,4.5,4.9,5.6,8.2,9.0,7.7,6.5,7.0,6.1,5.3,3.9,3.7,3.0,3.3,3.3,3.0,3.8,4.5,9.0,11
,CHULA VISTA,3.3,.9,1.3,1.1,1.9,2.9,1.4,1.6,1.9,2.2,3.4,3.4,5.3,7.5,6.7,5.1,2.3,1.8,2.0,1.9,1.9,2.2,1.6,2.5,2.8,7.5,13
,DOWNTOWN SES,3.5,2.3,2.1,1.7,1.5,1.3,1.0,1.1,1.2,2.3,2.5,4.1,4.6,5.3,4.8,4.0,1.8,1.6,1.2,1.0,1.9,2.1,2.4,2.8,2.4,5.3,13
,EL CAJON LES,.7,.7,1.1,.5,.4,.3,.4,.4,.5,1.1,1.5,2.5,3.0,4.0,5.1,6.0,2.8,1.8,2.0,2.2,1.2,1.7,1.0,1.3,1.8,6.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.1,3.2,4.2,5.3,5.2,5.1,5.1,3.0,1.8,1.4,2.6,2.5,3.7,4.8,8.0,6.0,4.8,2.9,2.1,2.1,3.0,2.5,2.5,4.2,3.8,8.0,14
,OTAY MESA DVN,1.7,1.8,1.8,1.7,3.2,1.5,1.8,1.7,1.2,3.9,7.7,15.9,13.1,13.5,11.9,7.1,5.1,1.9,2.9,2.1,1.9,3.8,2.8,3.8,4.7,15.9,11
,PENDLETON,5.9,5.6,5.5,5.7,5.7,6.3,6.1,5.0,P,,,,,,,P,2.2,2.3,1.2,3.3,3.4,3.7,5.4,4.7,4.5,6.3,05
16 AMBTEMP °F,ALPINE,48.0,48.3,48.1,49.1,51.0,53.2,56.1,55.8,58.9,63.9,66.8,67.9,69.2,69.1,68.6,67.7,65.0,61.7,59.0,58.7,59.0,59.8,58.2,58.8,59.2,69.2,12
,CARMEL MT RCH,47.1,46.4,45.9,46.5,45.5,44.5,44.1,45.2,50.1,57.9,64.9,69.8,72.8,74.5,71.4,71.3,66.8,63.5,62.1,62.0,60.1,60.3,59.5,57.5,57.9,74.5,13
,CHULA VISTA,51.0,49.1,48.5,47.8,47.7,48.4,48.2,49.4,53.4,58.8,64.6,70.4,72.5,69.9,65.9,65.4,64.3,61.3,58.5,57.1,55.2,53.4,51.9,52.8,56.9,72.5,12
,DOWNTOWN SES,51.9,50.7,50.0,49.1,47.9,47.1,46.5,48.0,54.9,60.4,65.1,69.4,71.6,71.7,69.8,68.7,67.7,63.3,60.9,58.1,56.1,54.9,54.5,54.4,58.0,71.7,13
,EL CAJON LES,46.1,45.5,44.9,43.7,42.7,42.1,41.2,41.6,46.0,52.6,59.7,67.4,73.1,76.2,75.8,71.5,68.4,61.4,57.7,55.0,52.3,49.4,47.6,45.8,54.5,76.2,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,48.9,48.6,48.1,47.4,47.1,47.3,47.7,48.8,53.1,61.0,68.0,72.3,74.2,76.3,72.7,70.2,66.0,62.3,58.1,57.1,57.4,55.7,53.5,55.1,58.2,76.3,13
,OTAY MESA DVN,50.3,49.5,48.7,48.6,48.3,47.7,47.7,50.8,56.2,60.7,67.9,73.3,74.5,74.9,74.2,65.8,63.1,59.6,58.4,59.5,59.8,61.3,61.1,60.1,59.3,74.9,13
,PENDLETON,48.7,48.7,49.1,47.5,47.0,46.4,45.3,46.6,P,,,,,,,P,61.2,58.5,57.6,55.3,54.5,56.0,52.6,53.8,51.8,61.2,16
17 RELHUM %,ALPINE,95,93,93,87,72,52,32,32,26,21,18,17,16,18,18,18,19,22,26,26,24,23,24,25,37,95,00
,EL CAJON LES,93,94,94,95,96,96,97,96,90,76,61,39,22,19,21,26,33,44,50,55,61,67,71,77,66,97,06
,KEARNY MESA,98,97,98,97,98,98,97,95,90,72,41,27,24,23,34,38,43,53,56,51,44,48,53,48,63,98,00
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,753,754,754,755,755,755,755,754,754,754,755,755,756,756,756,757,757,757,757,755,757,20
,KEARNY MESA,754,754,754,754,754,754,755,755,756,756,756,756,755,755,755,756,756,757,757,757,758,758,758,758,756,758,20
19 SOLAR W/M2,EL CAJON LES,1,1,1,0,0,0,2,37,164,356,456,573,573,505,373,219,50,-4,-2,-1,-1,-1,-1,0,138,573,11
,KEARNY MESA,1,1,1,1,1,1,2,70,257,442,570,641,636,558,424,257,70,1,0,0,1,1,1,1,164,641,11
25 NOY,EL CAJON LES,22.03,24.10,20.21,22.72,C,C,25.16,35.71,37.66,26.70,20.35,11.47,5.36,4.32,6.32,6.82,9.86,14.96,18.78,27.75,39.71,32.31,36.39,39.54,22.19,39.71,20
26 NOY-NO,EL CAJON LES,14.61,14.92,13.84,12.30,C,C,9.77,10.07,11.91,12.30,11.83,8.19,4.27,3.64,5.36,5.99,9.26,14.67,18.59,25.84,29.74,26.53,25.43,23.95,14.22,29.74,20
27 NO Trace,EL CAJON LES,7.41,9.17,6.36,10.42,C,C,15.39,25.63,25.75,14.40,8.51,3.27,1.09,.67,.96,.83,.59,.28,.18,1.91,9.96,5.78,10.96,15.58,7.95,25.75,08
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.1,.1,.0,.1,.1,.2,.1,.1,.1,.0,.1,.1,.1,.2,.1,.2,.2,.1,.1,.1,.1,.2,09
29 CO Tr PPB,EL CAJON LES,461.9,C,C,C,447.7,549.3,399.7,494.1,559.1,470.7,398.9,274.5,194.1,166.9,196.8,219.9,260.8,406.8,521.7,616.8,786.5,764.0,759.7,822.1,465.3,822.1,23
BCarbon ug/m3,10TH AVE MARINE TERM,1.69,1.24,1.27,1.27,1.22,.92,.98,1.21,.80,1.85,1.04,1.33,1.21,.68,.66,1.06,1.14,1.60,1.11,2.48,2.92,3.14,2.55,3.19,1.52,3.19,23
,ALPINE,.47,.46,.34,.26,.20,.18,.11,.14,.09,.09,.06,.08,.10,.13,.13,.10,.11,.16,.26,.15,.11,.11,.09,.09,.17,.47,00
,CHICANO PARK,1.89,1.61,1.24,1.25,1.05,.88,1.12,1.16,.87,.97,1.22,1.20,.88,.66,.42,.38,1.01,1.31,1.67,2.60,3.24,3.06,3.70,2.74,1.51,3.70,22
,DOWNTOWN SES,1.57,1.20,1.15,.93,.87,.83,.89,.85,.70,.58,.86,.79,.83,.64,.40,.45,.91,1.30,1.23,2.28,2.74,2.36,1.99,1.83,1.17,2.74,20
,OCEANVIEW BLVD,2.46,1.54,1.19,1.26,1.00,1.59,.68,.76,.80,.52,.57,.41,.69,.52,.33,.39,.49,.64,1.38,2.25,3.27,3.43,3.21,2.91,1.35,3.43,21
,SAN YSIDRO,.39,1.66,5.56,7.60,7.38,5.38,4.04,4.73,6.91,6.54,2.22,.17,.15,.29,.40,.34,.38,.58,.94,1.25,2.04,2.27,2.15,2.01,2.72,7.60,03
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
