,EL CAJON LES,.000,.000,C,C,C,.001,.002,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,OTAY MESA DVN,.001,.001,C,C,.002,.001,.002,M,M,.002,M,M,M,M,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,04
,PENDLETON,.000,.000,C,C,.000,.000,.002,.007,.004,.003,.001,.000,.002,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.001,.001,.007,07
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.6,.8,.5,.5,.5,.5,.6,.6,.6,.6,.6,.6,.6,.5,.4,.5,.4,.4,.3,.5,.8,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,24,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,CHULA VISTA,26,25,26,25,25,25,25,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,25,26,00
,DOWNTOWN SES,25,26,26,25,26,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,26,25,26,01
,EL CAJON LES,26,26,26,26,26,26,26,26,26,27,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,27,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,26,26,26,26,26,26,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,26,25,26,02
,PENDLETON,25,25,26,26,26,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,11.4,11.5,9.2,8.0,7.2,4.2,9.5,10.5,5.9,14.9,14.8,13.9,19.0,12.3,9.2,8.0,5.7,7.1,7.8,11.8,11.4,10.0,11.9,8.0,10.1,19.0,12
,DOWNTOWN SES,7.5,11.9,9.1,6.6,9.7,9.3,9.9,14.6,13.1,10.5,M,10.3,12.0,11.1,10.7,11.2,14.4,9.4,8.9,6.5,8.0,9.9,5.5,7.9,9.9,14.6,07
,EL CAJON LES,13.1,12.1,9.8,10.3,14.1,15.9,13.2,19.4,19.5,16.6,15.7,12.5,14.8,10.2,10.2,9.2,6.9,6.2,8.6,9.1,8.9,7.5,7.8,6.3,11.5,19.5,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,12.2,18.0,12.8,15.7,19.1,22.5,17.4,14.1,12.3,13.0,15.0,15.7,12.6,14.7,9.8,7.8,16.2,7.3,15.2,9.8,8.4,5.9,2.7,4.9,12.6,22.5,05
,PENDLETON,10.9,10.2,9.6,13.0,11.4,8.5,12.6,11.9,13.4,12.3,7.4,10.0,13.2,14.4,9.1,9.5,7.3,5.1,3.8,3.6,3.2,9.3,7.2,4.3,9.2,14.4,13
12 VWDR °,ALPINE,357,156,17,76,162,114,124,314,347,2,348,356,2,335,358,14,4,4,28,247,176,126,23,120,0,358,14
,CHULA VISTA,324,351,323,340,45,339,0,10,309,282,283,285,278,269,271,273,281,283,284,284,286,311,321,319,0,351,01
,DOWNTOWN SES,333,344,342,342,6,3,332,321,304,300,297,304,294,296,291,304,298,318,325,318,327,337,339,334,0,344,01
,EL CAJON LES,19,34,2,10,60,15,60,22,M,M,M,M,M,M,10,26,358,357,353,17,5,42,29,59,0,358,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,325,349,343,312,2,1,341,333,323,301,308,303,307,310,307,310,307,301,309,299,310,335,329,331,0,349,01
,OTAY MESA DVN,320,327,334,0,29,303,323,316,322,312,290,292,289,294,292,295,293,298,312,310,289,264,246,260,0,334,02
,PENDLETON,319,26,341,359,294,320,320,304,294,290,281,274,279,277,272,288,281,286,302,301,305,296,357,6,0,359,03
13 SIGTHETA °,ALPINE,52,20,56,32,40,31,33,38,M,29,24,24,26,27,29,25,25,26,22,18,15,46,27,40,31,56,02
,CHULA VISTA,16,20,24,20,24,21,20,26,34,27,23,20,20,20,22,21,20,19,17,17,21,20,20,18,21,34,08
,DOWNTOWN SES,18,21,22,24,25,24,24,29,26,23,25,23,23,24,25,24,24,25,21,22,23,19,20,22,23,29,07
,EL CAJON LES,30,36,16,27,60,38,<,<,M,M,M,M,M,M,M,<,<,<,<,24,19,28,32,34,31,60,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,12,11,15,21,26,19,20,29,19,15,16,13,13,14,15,14,11,9,9,8,10,8,9,14,29,08
,OTAY MESA DVN,18,31,24,21,23,22,22,27,22,20,15,14,14,13,12,10,11,10,13,13,14,13,12,12,17,31,01
,PENDLETON,44,24,19,23,25,36,35,20,20,18,19,16,17,17,15,19,17,18,17,19,19,14,18,7,21,44,00
14 VWSP MPH,ALPINE,.5,1.3,.3,1.0,1.5,1.5,.1,1.1,2.7,3.6,5.0,5.5,5.8,5.5,4.8,5.0,4.1,2.8,1.3,1.1,1.2,.5,.8,.3,.0,5.8,12
,CHULA VISTA,1.7,1.0,.3,1.6,2.2,2.8,3.2,2.6,3.1,4.9,7.1,8.5,8.8,8.2,7.7,7.2,6.5,6.0,4.1,4.1,2.2,2.6,2.5,1.8,.0,8.8,12
,DOWNTOWN SES,3.5,2.4,2.6,3.5,2.8,2.9,3.5,3.0,4.6,5.5,7.4,7.5,7.9,6.6,7.2,6.7,6.3,5.2,4.7,3.9,3.4,4.0,3.3,3.3,.0,7.9,12
,EL CAJON LES,2.3,1.4,1.5,1.3,.7,.9,1.6,2.3,M,M,M,M,M,M,5.9,6.7,6.3,4.9,4.5,2.8,2.4,2.1,2.7,1.8,.0,6.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.8,4.8,3.8,3.9,3.0,2.6,4.2,5.5,4.9,7.5,9.9,10.8,12.1,12.1,10.5,9.7,8.8,8.0,6.0,5.3,5.3,5.3,6.9,6.8,.0,12.1,12
,OTAY MESA DVN,2.5,2.3,1.5,2.5,2.6,1.2,2.9,3.3,4.6,6.1,9.6,11.1,10.8,10.9,11.5,11.9,10.3,7.9,6.2,4.8,2.9,1.9,1.5,1.6,.0,11.9,15
,PENDLETON,.7,2.0,3.4,2.5,2.2,2.0,2.3,3.9,4.9,5.5,5.5,5.8,6.2,6.0,6.2,6.2,5.4,5.3,5.5,3.3,2.9,3.8,2.6,3.9,.0,6.2,12
15 SWSP MPH,ALPINE,.7,1.3,.7,1.3,1.8,1.9,.9,1.9,3.1,4.0,5.4,6.0,6.3,6.1,5.4,5.4,4.5,3.2,1.4,1.4,1.3,1.2,.9,.8,2.8,6.3,12
,CHULA VISTA,1.8,1.2,.6,1.8,2.6,3.0,3.4,2.8,3.7,5.3,7.6,9.1,9.4,8.7,8.3,7.7,6.9,6.3,4.3,4.2,2.4,2.8,2.7,1.9,4.5,9.4,12
,DOWNTOWN SES,3.7,2.5,2.9,3.9,3.2,3.2,3.8,3.4,5.1,6.0,8.2,8.1,8.5,7.4,7.9,7.3,6.9,5.7,5.0,4.2,3.7,4.2,3.4,3.6,5.1,8.5,12
,EL CAJON LES,2.6,1.8,1.5,1.6,1.7,1.1,2.1,3.0,M,M,M,M,M,M,6.9,7.8,6.6,5.1,4.6,3.1,2.5,2.5,3.3,2.2,3.3,7.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,5.0,4.1,4.1,3.6,3.1,4.6,6.0,5.5,7.9,10.2,11.2,12.5,12.4,10.8,10.0,9.1,8.2,6.1,5.4,5.3,5.4,7.0,6.9,7.1,12.5,12
,OTAY MESA DVN,2.9,2.5,2.0,2.7,2.8,2.1,3.4,3.6,5.1,6.6,9.9,11.5,11.2,11.2,11.8,12.1,10.5,8.0,6.4,4.9,3.0,1.9,1.7,1.7,5.8,12.1,15
,PENDLETON,2.0,2.3,3.6,2.6,2.5,2.4,2.7,4.2,5.2,5.8,5.9,6.1,6.5,6.3,6.4,6.6,5.6,5.7,5.8,3.5,3.0,4.1,3.0,4.0,4.4,6.6,15
16 AMBTEMP °F,ALPINE,72.7,73.1,72.4,72.3,72.6,75.0,77.5,78.9,80.8,83.4,86.3,88.6,90.8,91.1,89.9,88.3,87.0,84.2,80.3,77.9,76.9,76.3,75.6,75.0,80.3,91.1,13
,CARMEL MT RCH,69.3,69.0,68.6,68.8,69.2,69.2,70.0,70.3,74.1,79.2,81.8,83.5,84.0,84.6,84.1,83.2,81.3,77.9,74.7,72.2,71.1,69.7,69.2,68.9,74.7,84.6,13
,CHULA VISTA,71.5,71.0,70.7,70.9,71.4,71.3,71.9,73.0,76.0,79.2,81.0,81.5,81.5,81.9,81.2,80.3,79.1,76.8,74.8,73.8,73.4,73.2,72.3,71.7,75.4,81.9,13
,DOWNTOWN SES,72.0,71.7,72.0,72.1,72.0,72.0,72.4,73.6,75.7,77.5,79.2,79.3,79.3,80.9,79.7,78.9,78.6,77.2,74.9,73.8,73.1,72.5,72.3,72.0,75.1,80.9,13
,EL CAJON LES,71.4,71.0,70.5,70.4,70.5,70.3,72.2,74.2,77.8,82.4,88.0,89.7,91.0,90.9,92.6,92.0,89.5,86.7,81.9,79.3,77.6,76.4,73.8,73.0,79.7,92.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,70.5,70.7,71.1,71.1,71.1,71.0,71.5,72.3,75.7,78.5,79.9,81.3,81.8,82.8,82.2,81.4,79.6,76.5,74.1,71.7,71.3,71.0,70.8,70.7,74.9,82.8,13
,OTAY MESA DVN,70.2,70.2,69.3,68.8,69.3,68.5,68.7,71.1,75.4,80.1,83.4,83.4,83.2,83.6,83.9,81.9,80.2,76.9,73.7,72.1,70.4,69.4,69.0,69.0,74.7,83.9,14
,PENDLETON,73.2,72.6,72.0,71.9,71.9,71.6,72.0,73.0,75.0,77.4,79.1,79.9,80.0,80.3,79.4,78.6,78.0,76.4,74.3,73.4,72.8,72.1,71.0,69.5,74.8,80.3,13
17 RELHUM %,ALPINE,74,71,69,68,61,53,49,49,48,49,46,42,40,39,40,38,38,40,47,53,53,54,56,57,51,74,00
,EL CAJON LES,90,90,91,91,92,92,87,83,74,64,54,51,47,43,37,34,38,44,56,62,65,69,81,84,67,92,04
,KEARNY MESA,91,91,91,92,94,93,92,89,80,72,69,65,60,57,60,64,69,77,80,88,90,92,92,93,81,94,04
18 PRES mmHg,EL CAJON LES,745,745,745,745,745,745,745,745,745,745,745,744,744,744,744,743,743,743,743,744,744,744,744,744,744,745,00
,KEARNY MESA,746,746,746,746,746,746,746,746,746,747,746,746,746,745,745,745,745,744,745,745,745,746,745,745,746,747,09
19 SOLAR W/M2,EL CAJON LES,-2,-2,-1,-1,0,16,148,381,603,792,920,981,972,894,745,547,319,100,0,-3,-3,-2,-3,-2,308,981,11
,KEARNY MESA,0,0,0,0,0,9,56,167,561,749,868,929,918,855,730,554,339,120,7,0,0,0,0,0,286,929,11
25 NOY,EL CAJON LES,3.09,2.88,3.49,3.38,2.88,C,C,6.99,M,M,M,M,M,M,1.93,1.51,1.82,2.60,2.18,3.18,3.24,4.97,6.01,4.39,3.40,6.99,07
26 NOY-NO,EL CAJON LES,3.10,2.88,3.37,3.38,2.87,C,C,4.60,M,M,M,M,M,M,1.44,1.13,1.32,2.28,2.12,3.09,2.87,4.89,5.89,4.20,3.08,5.89,22
27 NO Trace,EL CAJON LES,-.01,.00,.11,.00,.00,C,C,2.39,M,M,M,M,M,M,.48,.37,.49,.32,.05,.08,.36,.08,.12,.18,.31,2.39,07
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.0,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.0,.1,00
29 CO Tr PPB,EL CAJON LES,240.2,234.8,C,C,C,268.3,316.5,293.6,306.5,303.7,313.5,286.3,266.0,231.9,217.1,197.7,212.5,238.7,244.7,227.7,208.6,211.0,224.7,222.6,250.7,316.5,06
BCarbon ug/m3,DOWNTOWN SES,.42,.41,.44,.47,.53,.58,.73,.73,.79,.74,.73,.51,.45,.53,.45,.53,.53,.48,.46,.48,.40,.43,.31,.23,.52,.79,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
